Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																	
Дата голосования: 04.12.2011																																																																																	
																																																																																	
"Наименование Избирательной комиссии:    Казань, Ново-Савиновская"																																																																																	
																																																																																	
Сводная таблица результатов выборов																																																																																	
																																																																																	
		Сумма	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3779	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	67	52	52	52	52	52	52	52	52	52	52	52	52	52	62	52	52	52	52	52	52	52	52	52	52	52	62	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	0	0	52					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2400	34	25	12	25	31	28	18	21	21	29	17	32	41	35	38	29	36	43	42	39	44	30	41	33	40	55	32	36	30	34	31	29	26	36	40	30	45	45	40	50	42	47	26	33	40	34	29	28	31	30	49	55	38	30	33	39	21	22	48	35	30	25	26	29	26	28	32	26	36	42	23	0	0	24					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1905	11	23	12	23	8	20	32	13	12	14	17	10	9	24	23	8	12	13	33	26	17	11	57	10	23	27	9	20	17	38	13	12	11	20	21	11	25	19	22	9	15	31	16	27	13	26	25	67	51	7	21	19	18	9	17	33	28	21	21	15	7	11	21	11	25	11	12	17	27	18	11	340	138	41					
14	Число погашенных неиспользованных открепительных удостоверений	1379	18	27	40	27	21	24	34	31	31	23	35	20	11	17	14	23	16	9	10	13	8	22	11	19	12	12	20	16	22	18	21	23	26	16	12	22	7	7	12	12	10	5	26	19	12	18	23	24	21	22	3	7	14	22	19	13	31	30	4	17	22	27	26	23	26	24	20	26	16	10	29	0	0	28					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	10284	45	136	61	236	82	97	110	112	146	25	74	92	96	267	158	151	187	195	186	204	126	118	50	185	220	203	246	114	190	174	183	236	110	102	70	152	39	247	62	111	163	114	169	212	59	228	181	181	102	242	159	210	196	198	110	266	176	93	80	134	121	180	135	79	146	71	87	153	74	135	39	30	21	142					
		9.97%	3.43%	12.72%	5.03%	18.32%	5.65%	6.86%	10.72%	10.98%	12.31%	2.06%	5.96%	6.97%	6.93%	20.09%	11.63%	11.50%	14.99%	12.98%	10.18%	11.00%	8.08%	6.54%	2.45%	11.97%	12.68%	11.89%	15.23%	7.84%	15.31%	12.00%	13.01%	13.23%	10.98%	7.68%	4.23%	12.78%	3.10%	17.56%	4.73%	6.96%	10.85%	7.58%	14.29%	14.44%	5.25%	15.99%	13.93%	15.64%	5.94%	15.23%	10.98%	12.99%	14.23%	12.38%	6.40%	17.48%	12.42%	5.26%	4.89%	8.76%	8.08%	14.05%	12.21%	4.83%	14.29%	5.17%	4.93%	12.39%	4.91%	8.14%	3.11%	7.89%	15.22%	13.91%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	5576	32	61	85	31	61	93	62	42	74	62	49	66	59	28	103	62	46	49	143	98	101	61	85	54	74	53	136	51	146	102	90	98	53	98	82	122	54	159	103	52	77	47	117	56	92	33	81	12	105	207	130	93	69	46	54	68	92	99	18	32	20	38	44	157	61	78	126	126	65	36	35	21	15	146					
		5.41%	2.44%	5.71%	7.01%	2.41%	4.20%	6.58%	6.04%	4.12%	6.24%	5.10%	3.95%	5.00%	4.26%	2.11%	7.58%	4.72%	3.69%	3.26%	7.82%	5.29%	6.47%	3.38%	4.17%	3.49%	4.27%	3.10%	8.42%	3.51%	11.76%	7.03%	6.40%	5.49%	5.29%	7.38%	4.96%	10.26%	4.29%	11.30%	7.85%	3.26%	5.13%	3.13%	9.89%	3.81%	8.19%	2.31%	6.24%	1.04%	6.11%	13.03%	8.98%	5.75%	5.01%	2.88%	3.14%	4.47%	6.49%	5.60%	1.10%	2.09%	1.34%	2.97%	3.98%	9.61%	5.97%	5.69%	7.14%	10.20%	4.31%	2.17%	2.79%	5.53%	10.87%	14.30%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	920	8	8	13	10	9	15	9	3	6	14	25	13	12	17	12	6	11	8	12	7	7	15	21	0	15	10	8	3	14	4	22	5	15	15	1	14	9	15	17	20	9	3	10	18	32	4	8	2	15	22	16	18	10	15	16	10	7	11	50	13	10	16	11	12	6	25	9	16	37	8	15	2	1	15					
		0.89%	0.61%	0.75%	1.07%	0.78%	0.62%	1.06%	0.88%	0.29%	0.51%	1.15%	2.01%	0.98%	0.87%	1.28%	0.88%	0.46%	0.88%	0.53%	0.66%	0.38%	0.45%	0.83%	1.03%	0.00%	0.86%	0.59%	0.50%	0.21%	1.13%	0.28%	1.56%	0.28%	1.50%	1.13%	0.06%	1.18%	0.72%	1.07%	1.30%	1.25%	0.60%	0.20%	0.85%	1.23%	2.85%	0.28%	0.62%	0.17%	0.87%	1.38%	1.10%	1.11%	0.73%	0.94%	0.93%	0.66%	0.49%	0.62%	3.05%	0.85%	0.67%	1.25%	0.99%	0.73%	0.59%	1.82%	0.51%	1.30%	2.45%	0.48%	1.20%	0.53%	0.72%	1.47%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	17128	165	112	133	163	254	230	93	176	126	231	173	170	280	273	241	280	166	130	217	275	258	256	352	185	246	175	427	281	311	203	175	344	178	201	314	51	224	286	246	179	284	230	252	291	158	331	246	230	241	350	204	339	161	244	337	280	267	276	230	327	285	337	273	316	138	247	300	228	235	290	186	33	19	183					
		16.61%	12.59%	10.48%	10.97%	12.66%	17.51%	16.27%	9.06%	17.25%	10.62%	18.99%	13.93%	12.88%	20.20%	20.54%	17.73%	21.33%	13.31%	8.66%	11.87%	14.83%	16.54%	14.19%	17.28%	11.97%	14.18%	10.25%	26.44%	19.31%	25.06%	14.00%	12.44%	19.28%	17.76%	15.14%	18.99%	4.29%	17.81%	20.33%	18.75%	11.23%	18.91%	15.30%	21.30%	19.82%	14.06%	23.21%	18.94%	19.88%	14.03%	22.03%	14.09%	20.98%	11.69%	15.26%	19.62%	18.40%	18.84%	15.62%	14.05%	21.37%	19.03%	26.31%	24.68%	19.34%	13.50%	18.00%	17.01%	18.46%	15.58%	17.48%	14.82%	8.68%	13.77%	17.92%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2997	32	31	12	33	60	29	53	12	12	11	37	39	15	79	48	26	18	29	66	88	7	40	69	30	71	22	82	20	123	6	31	11	20	52	21	71	7	71	18	48	28	18	57	26	21	6	64	10	18	85	15	69	27	15	48	172	16	107	13	36	6	29	28	71	62	37	63	118	15	11	24	5	4	123					
		2.91%	2.44%	2.90%	0.99%	2.56%	4.14%	2.05%	5.17%	1.18%	1.01%	0.90%	2.98%	2.95%	1.08%	5.94%	3.53%	1.98%	1.44%	1.93%	3.61%	4.75%	0.45%	2.22%	3.39%	1.94%	4.09%	1.29%	5.08%	1.37%	9.91%	0.41%	2.20%	0.62%	1.99%	3.92%	1.27%	5.97%	0.56%	5.05%	1.37%	3.01%	1.86%	1.20%	4.82%	1.77%	1.87%	0.42%	4.93%	0.86%	1.05%	5.35%	1.04%	4.27%	1.96%	0.94%	2.79%	11.30%	1.13%	6.06%	0.79%	2.35%	0.40%	2.26%	2.53%	4.35%	6.07%	2.70%	3.57%	9.55%	0.99%	0.66%	1.91%	1.32%	2.90%	12.05%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	63778	989	695	897	787	945	896	663	671	806	856	868	921	902	640	761	732	787	1071	1158	1149	1053	1263	1376	1092	1043	1215	664	939	403	944	847	1081	601	830	1157	730	908	580	849	1123	905	1079	543	809	729	802	683	711	1198	630	885	841	858	1037	1118	706	836	1133	1211	955	1049	638	600	942	585	878	1140	544	1060	1135	923	284	75	364					
		61.84%	75.44%	65.01%	74.01%	61.10%	65.13%	63.37%	64.62%	65.78%	67.96%	70.39%	69.89%	69.77%	65.08%	48.16%	55.99%	55.75%	63.11%	71.30%	63.35%	61.97%	67.50%	70.01%	67.55%	70.63%	60.12%	71.14%	41.11%	64.54%	32.47%	65.10%	60.20%	60.59%	59.98%	62.50%	69.99%	61.40%	72.18%	41.22%	64.71%	70.45%	60.25%	71.79%	45.90%	55.11%	64.86%	56.24%	52.58%	61.45%	69.73%	39.65%	61.12%	52.04%	62.31%	64.85%	65.08%	46.39%	58.99%	64.12%	73.98%	62.42%	70.03%	49.80%	54.25%	57.65%	57.24%	63.99%	64.63%	44.05%	70.29%	68.41%	73.55%	74.74%	54.35%	35.65%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	888	20	8	11	7	9	16	7	0	6	9	7	9	10	19	7	9	12	8	16	4	8	20	16	0	14	10	11	8	9	4	22	9	7	11	4	17	6	23	12	18	8	2	15	12	31	1	11	2	8	15	11	13	31	15	25	10	7	18	26	18	7	26	11	18	9	21	9	25	22	6	20	2	1	9					
		0.86%	1.53%	0.75%	0.91%	0.54%	0.62%	1.13%	0.68%	0.00%	0.51%	0.74%	0.56%	0.68%	0.72%	1.43%	0.52%	0.69%	0.96%	0.53%	0.88%	0.22%	0.51%	1.11%	0.79%	0.00%	0.81%	0.59%	0.68%	0.55%	0.73%	0.28%	1.56%	0.50%	0.70%	0.83%	0.24%	1.43%	0.48%	1.63%	0.91%	1.13%	0.53%	0.13%	1.27%	0.82%	2.76%	0.07%	0.85%	0.17%	0.47%	0.94%	0.76%	0.80%	2.25%	0.94%	1.46%	0.66%	0.49%	1.02%	1.59%	1.18%	0.47%	2.03%	0.99%	1.10%	0.88%	1.53%	0.51%	2.02%	1.46%	0.36%	1.59%	0.53%	0.72%	0.88%					
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
