Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																
Дата голосования: 02.12.2007																																																																																
																																																																																
"Наименование Избирательной комиссии:    Казань, Ново-Савиновская"																																																																																
																																																																																
Сводная таблица результатов выборов																																																																																
																																																																																
		Сумма	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																
18	1.Политическая партия «Аграрная партия России»	699	0	16	3	18	17	2	7	7	16	6	15	3	10	7	11	9	0	23	20	4	4	2	17	7	19	7	10	0	2	13	3	7	5	7	6	21	16	11	3	17	5	0	9	9	10	13	9	0	14	8	12	32	5	22	7	9	12	3	3	34	6	23	21	4	7	9	10	9	2	16	4	1	0					
		0.51%	0.00%	1.03%	0.17%	0.99%	0.86%	0.09%	0.35%	0.44%	0.84%	0.33%	0.82%	0.14%	0.52%	0.36%	0.55%	0.54%	0.00%	1.20%	1.02%	0.22%	0.19%	0.10%	0.70%	0.33%	0.91%	0.30%	0.50%	0.00%	0.11%	0.57%	0.17%	0.30%	0.35%	0.36%	0.27%	1.04%	0.76%	0.50%	0.29%	0.95%	0.27%	0.00%	0.48%	0.44%	0.68%	0.61%	0.63%	0.00%	0.57%	0.34%	0.58%	1.23%	0.24%	1.25%	0.32%	0.83%	0.62%	0.15%	0.16%	1.35%	0.29%	1.38%	2.62%	0.22%	0.56%	0.49%	0.62%	0.58%	0.13%	0.76%	0.17%	0.27%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	843	0	12	17	8	13	6	6	20	11	16	15	2	10	5	16	15	6	25	29	10	2	1	16	24	23	3	3	0	3	27	1	4	9	12	5	15	10	20	7	15	9	20	9	6	6	9	8	0	29	7	15	51	11	10	11	5	9	1	18	23	9	35	19	7	8	18	8	13	3	12	10	1	1					
		0.62%	0.00%	0.77%	0.95%	0.44%	0.66%	0.26%	0.30%	1.25%	0.58%	0.87%	0.82%	0.09%	0.52%	0.25%	0.80%	0.90%	0.37%	1.30%	1.48%	0.55%	0.09%	0.05%	0.66%	1.14%	1.10%	0.13%	0.15%	0.00%	0.17%	1.18%	0.06%	0.17%	0.63%	0.62%	0.22%	0.74%	0.48%	0.90%	0.67%	0.83%	0.49%	0.98%	0.48%	0.30%	0.41%	0.42%	0.56%	0.00%	1.18%	0.30%	0.73%	1.96%	0.53%	0.57%	0.50%	0.46%	0.46%	0.05%	0.94%	0.91%	0.44%	2.11%	2.37%	0.38%	0.64%	0.97%	0.50%	0.83%	0.20%	0.57%	0.43%	0.27%	1.12%					
20	3.Политическая партия «Демократическая партия России»	222	0	2	1	0	0	3	2	4	2	2	7	0	3	7	2	1	0	2	4	4	5	2	3	0	7	6	3	0	0	4	1	2	0	0	3	32	1	11	3	5	3	4	2	1	6	3	2	0	6	1	3	5	3	5	1	1	6	0	3	0	0	6	2	4	3	0	1	5	3	3	5	1	0					
		0.16%	0.00%	0.13%	0.06%	0.00%	0.00%	0.13%	0.10%	0.25%	0.11%	0.11%	0.38%	0.00%	0.15%	0.36%	0.10%	0.06%	0.00%	0.10%	0.20%	0.22%	0.24%	0.10%	0.12%	0.00%	0.33%	0.26%	0.15%	0.00%	0.00%	0.18%	0.06%	0.08%	0.00%	0.00%	0.13%	1.58%	0.05%	0.50%	0.29%	0.28%	0.16%	0.20%	0.11%	0.05%	0.41%	0.14%	0.14%	0.00%	0.24%	0.04%	0.15%	0.19%	0.15%	0.28%	0.05%	0.09%	0.31%	0.00%	0.16%	0.00%	0.00%	0.36%	0.25%	0.22%	0.24%	0.00%	0.06%	0.32%	0.20%	0.14%	0.21%	0.27%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	6303	172	59	22	116	45	25	60	109	65	46	75	57	170	25	127	60	64	65	56	50	69	99	204	124	93	184	190	248	186	67	16	28	36	72	101	72	85	77	80	88	110	169	38	152	80	89	21	50	129	69	78	120	50	79	105	63	79	155	47	165	103	138	101	180	74	58	48	62	3	56	25	18	2					
		4.61%	9.58%	3.78%	1.23%	6.37%	2.28%	1.08%	3.01%	6.81%	3.43%	2.50%	4.08%	2.60%	8.76%	1.27%	6.33%	3.61%	3.94%	3.39%	2.87%	2.77%	3.25%	4.82%	8.43%	5.91%	4.43%	7.94%	9.58%	10.90%	10.52%	2.93%	0.92%	1.19%	2.51%	3.70%	4.46%	3.55%	4.06%	3.47%	7.65%	4.89%	5.98%	8.24%	2.03%	7.50%	5.46%	4.15%	1.47%	2.64%	5.23%	2.96%	3.79%	4.61%	2.42%	4.49%	4.75%	5.79%	4.07%	7.50%	2.47%	6.55%	5.01%	8.31%	12.58%	9.73%	5.92%	3.13%	2.98%	3.97%	0.20%	2.68%	1.07%	4.80%	2.25%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	1260	18	13	6	22	11	40	10	4	42	5	13	22	31	38	14	14	6	17	26	41	5	26	21	21	10	7	12	2	3	17	3	3	24	15	35	40	34	46	25	22	19	10	8	17	4	10	5	8	37	26	18	26	17	32	17	13	13	2	15	39	9	27	15	6	21	24	9	27	3	18	0	1	0					
		0.92%	1.00%	0.83%	0.33%	1.21%	0.56%	1.73%	0.50%	0.25%	2.22%	0.27%	0.71%	1.01%	1.60%	1.93%	0.70%	0.84%	0.37%	0.89%	1.33%	2.27%	0.24%	1.27%	0.87%	1.00%	0.48%	0.30%	0.60%	0.09%	0.17%	0.74%	0.17%	0.13%	1.67%	0.77%	1.55%	1.97%	1.62%	2.08%	2.39%	1.22%	1.03%	0.49%	0.43%	0.84%	0.27%	0.47%	0.35%	0.42%	1.50%	1.12%	0.88%	0.99%	0.82%	1.82%	0.77%	1.19%	0.67%	0.10%	0.79%	1.55%	0.44%	1.63%	1.87%	0.32%	1.68%	1.30%	0.56%	1.73%	0.20%	0.86%	0.00%	0.27%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	286	0	1	3	1	1	2	5	2	2	9	4	6	3	3	10	4	0	6	0	1	1	2	4	5	9	6	3	0	1	6	0	7	5	15	8	6	8	5	3	7	4	4	3	9	7	3	2	0	7	10	4	6	7	2	3	3	4	0	3	0	0	7	4	5	4	4	4	5	2	4	2	0	0					
		0.21%	0.00%	0.06%	0.17%	0.05%	0.05%	0.09%	0.25%	0.13%	0.11%	0.49%	0.22%	0.27%	0.15%	0.15%	0.50%	0.24%	0.00%	0.31%	0.00%	0.06%	0.05%	0.10%	0.17%	0.24%	0.43%	0.26%	0.15%	0.00%	0.06%	0.26%	0.00%	0.30%	0.35%	0.77%	0.35%	0.30%	0.38%	0.23%	0.29%	0.39%	0.22%	0.20%	0.16%	0.44%	0.48%	0.14%	0.14%	0.00%	0.28%	0.43%	0.19%	0.23%	0.34%	0.11%	0.14%	0.28%	0.21%	0.00%	0.16%	0.00%	0.00%	0.42%	0.50%	0.27%	0.32%	0.22%	0.25%	0.32%	0.13%	0.19%	0.09%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	8777	103	157	113	48	213	250	55	75	152	128	89	110	118	151	113	109	197	146	137	149	153	105	144	117	146	74	110	71	140	116	46	184	110	151	141	104	162	162	79	149	115	127	75	118	99	160	75	132	199	140	136	135	81	121	78	61	110	134	146	130	128	140	52	154	76	117	98	108	130	121	200	2	2					
		6.42%	5.73%	10.06%	6.30%	2.64%	10.80%	10.80%	2.76%	4.69%	8.03%	6.95%	4.84%	5.03%	6.08%	7.68%	5.63%	6.55%	12.13%	7.61%	7.01%	8.25%	7.21%	5.11%	5.95%	5.58%	6.96%	3.19%	5.54%	3.12%	7.92%	5.08%	2.64%	7.81%	7.65%	7.77%	6.23%	5.13%	7.74%	7.31%	7.55%	8.29%	6.25%	6.20%	3.99%	5.82%	6.75%	7.45%	5.26%	6.97%	8.07%	6.01%	6.61%	5.19%	3.92%	6.88%	3.53%	5.61%	5.66%	6.48%	7.66%	5.16%	6.23%	8.43%	6.48%	8.32%	6.08%	6.32%	6.08%	6.91%	8.59%	5.78%	8.55%	0.53%	2.25%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	3940	64	22	52	90	47	38	37	57	59	40	43	36	20	126	52	51	20	40	51	18	163	101	34	36	40	19	111	128	10	116	38	60	43	32	52	54	53	85	7	84	79	34	41	38	42	90	14	43	30	162	69	41	67	44	15	59	91	29	60	4	72	141	80	3	21	67	91	98	2	55	27	1	1					
		2.88%	3.56%	1.41%	2.90%	4.95%	2.38%	1.64%	1.86%	3.56%	3.12%	2.17%	2.34%	1.64%	1.03%	6.41%	2.59%	3.07%	1.23%	2.09%	2.61%	0.99%	7.68%	4.92%	1.40%	1.72%	1.91%	0.82%	5.59%	5.62%	0.57%	5.08%	2.18%	2.55%	2.99%	1.65%	2.30%	2.66%	2.53%	3.84%	0.67%	4.67%	4.30%	1.66%	2.19%	1.87%	2.86%	4.19%	0.98%	2.27%	1.22%	6.95%	3.36%	1.58%	3.24%	2.50%	0.68%	5.42%	4.68%	1.40%	3.15%	0.16%	3.50%	8.49%	9.96%	0.16%	1.68%	3.62%	5.64%	6.27%	0.13%	2.63%	1.15%	0.27%	1.12%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	557	0	8	3	5	6	7	3	2	8	3	8	14	7	4	10	16	3	25	10	12	1	6	15	5	22	11	8	0	2	7	3	12	5	6	4	4	12	21	9	11	11	3	4	15	9	10	9	0	15	10	10	13	7	17	12	2	11	4	8	0	6	6	6	2	6	8	6	6	0	9	12	2	0					
		0.41%	0.00%	0.51%	0.17%	0.27%	0.30%	0.30%	0.15%	0.13%	0.42%	0.16%	0.44%	0.64%	0.36%	0.20%	0.50%	0.96%	0.18%	1.30%	0.51%	0.66%	0.05%	0.29%	0.62%	0.24%	1.05%	0.47%	0.40%	0.00%	0.11%	0.31%	0.17%	0.51%	0.35%	0.31%	0.18%	0.20%	0.57%	0.95%	0.86%	0.61%	0.60%	0.15%	0.21%	0.74%	0.61%	0.47%	0.63%	0.00%	0.61%	0.43%	0.49%	0.50%	0.34%	0.97%	0.54%	0.18%	0.57%	0.19%	0.42%	0.00%	0.29%	0.36%	0.75%	0.11%	0.48%	0.43%	0.37%	0.38%	0.00%	0.43%	0.51%	0.53%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	111320	1437	1252	1542	1456	1608	1924	1780	1301	1516	1563	1535	1904	1558	1575	1614	1331	1315	1534	1582	1505	1705	1658	1928	1699	1677	1993	1490	1827	1399	1860	1622	2045	1175	1602	1878	1610	1663	1662	816	1356	1415	1668	1662	1623	1180	1708	1252	1644	1974	1837	1661	2092	1788	1379	1942	854	1558	1693	1579	2050	1689	1059	464	1482	1000	1505	1312	1180	1362	1743	2038	347	83					
		81.48%	80.01%	80.26%	86.00%	80.00%	81.54%	83.11%	89.27%	81.31%	80.04%	84.85%	83.47%	86.98%	80.27%	80.11%	80.42%	80.04%	80.97%	79.98%	80.96%	83.38%	80.31%	80.76%	79.64%	80.98%	79.97%	85.98%	75.10%	80.27%	79.13%	81.40%	93.06%	86.84%	81.77%	82.41%	82.95%	79.39%	79.46%	75.00%	78.01%	75.42%	76.94%	81.37%	88.59%	80.07%	80.49%	79.55%	87.74%	86.85%	80.02%	78.84%	80.79%	80.37%	86.59%	78.44%	87.83%	78.49%	80.19%	81.91%	82.89%	81.41%	82.19%	63.76%	57.78%	80.11%	80.00%	81.31%	81.34%	75.50%	90.02%	83.32%	87.17%	92.53%	93.26%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1508	0	15	21	35	11	18	18	10	21	12	25	30	10	7	18	42	3	32	26	10	5	35	20	42	23	8	25	0	4	37	3	3	16	17	16	30	25	87	11	36	37	6	16	16	14	34	15	5	13	8	42	37	25	20	3	8	35	16	12	55	15	63	32	3	21	31	26	32	3	42	15	1	0					
		1.10%	0.00%	0.96%	1.17%	1.92%	0.56%	0.78%	0.90%	0.63%	1.11%	0.65%	1.36%	1.37%	0.52%	0.36%	0.90%	2.53%	0.18%	1.67%	1.33%	0.55%	0.24%	1.70%	0.83%	2.00%	1.10%	0.35%	1.26%	0.00%	0.23%	1.62%	0.17%	0.13%	1.11%	0.87%	0.71%	1.48%	1.19%	3.93%	1.05%	2.00%	2.01%	0.29%	0.85%	0.79%	0.95%	1.58%	1.05%	0.26%	0.53%	0.34%	2.04%	1.42%	1.21%	1.14%	0.14%	0.74%	1.80%	0.77%	0.63%	2.18%	0.73%	3.79%	3.99%	0.16%	1.68%	1.67%	1.61%	2.05%	0.20%	2.01%	0.64%	0.27%	0.00%					
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
