Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Долинская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	0	0	3	0	1	1	3	0	0	0	0	0	1	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	118	8	0	10	13	1	15	8	12	1	5	11	4	6	6	5	13									
		1.52%	3.98%	0.00%	1.42%	1.80%	0.27%	2.15%	0.90%	1.32%	1.43%	3.82%	2.18%	0.91%	2.01%	1.27%	1.27%	1.83%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	277	4	8	26	21	13	17	38	35	3	12	6	11	12	22	15	34									
		3.57%	1.99%	3.45%	3.69%	2.91%	3.47%	2.43%	4.26%	3.84%	4.29%	9.16%	1.19%	2.50%	4.03%	4.64%	3.80%	4.79%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	223	8	6	23	28	14	18	24	27	0	2	13	9	9	12	10	20									
		2.87%	3.98%	2.59%	3.27%	3.88%	3.73%	2.58%	2.69%	2.96%	0.00%	1.53%	2.58%	2.05%	3.02%	2.53%	2.53%	2.82%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3606	109	120	299	337	177	318	414	398	36	59	223	201	151	229	204	331									
		46.48%	54.23%	51.72%	42.47%	46.68%	47.20%	45.49%	46.36%	43.69%	51.43%	45.04%	44.25%	45.68%	50.67%	48.31%	51.65%	46.62%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	50	1	1	3	10	1	3	10	3	1	0	3	4	3	2	2	3									
		0.64%	0.50%	0.43%	0.43%	1.39%	0.27%	0.43%	1.12%	0.33%	1.43%	0.00%	0.60%	0.91%	1.01%	0.42%	0.51%	0.42%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	0	0	0	1	0	2	1	0	1	0	0	0	0	1	0	0									
		0.08%	0.00%	0.00%	0.00%	0.14%	0.00%	0.29%	0.11%	0.00%	1.43%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1627	31	51	172	120	78	151	194	205	12	25	132	96	54	114	60	132									
		20.97%	15.42%	21.98%	24.43%	16.62%	20.80%	21.60%	21.72%	22.50%	17.14%	19.08%	26.19%	21.82%	18.12%	24.05%	15.19%	18.59%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	28	1	0	4	5	3	3	2	4	0	0	1	0	0	0	1	4									
		0.36%	0.50%	0.00%	0.57%	0.69%	0.80%	0.43%	0.22%	0.44%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.25%	0.56%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	63	1	5	8	5	1	9	9	12	1	2	3	2	2	1	2	0									
		0.81%	0.50%	2.16%	1.14%	0.69%	0.27%	1.29%	1.01%	1.32%	1.43%	1.53%	0.60%	0.45%	0.67%	0.21%	0.51%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	9	0	0	0	1	0	0	0	2	1	0	2	0	0	1	1	1									
		0.12%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.22%	1.43%	0.00%	0.40%	0.00%	0.00%	0.21%	0.25%	0.14%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	63	0	1	5	11	2	5	12	5	1	1	3	1	1	3	6	6									
		0.81%	0.00%	0.43%	0.71%	1.52%	0.53%	0.72%	1.34%	0.55%	1.43%	0.76%	0.60%	0.23%	0.34%	0.63%	1.52%	0.85%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1217	32	30	111	116	62	119	127	155	8	15	73	78	42	57	61	131									
		15.69%	15.92%	12.93%	15.77%	16.07%	16.53%	17.02%	14.22%	17.01%	11.43%	11.45%	14.48%	17.73%	14.09%	12.03%	15.44%	18.45%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	32	2	1	3	1	1	3	3	6	0	0	5	1	1	2	1	2									
		0.41%	0.99%	0.43%	0.43%	0.14%	0.27%	0.43%	0.34%	0.66%	0.00%	0.00%	0.99%	0.23%	0.34%	0.42%	0.25%	0.28%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	217	2	5	18	28	13	20	28	22	4	7	17	9	6	10	10	18									
		2.80%	0.99%	2.16%	2.56%	3.88%	3.47%	2.86%	3.14%	2.41%	5.71%	5.34%	3.37%	2.05%	2.01%	2.11%	2.53%	2.54%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
