Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																											
Дата голосования: 04.12.2011																																																																																																											
																																																																																																											
"Наименование Избирательной комиссии:    Самара, Промышленная"																																																																																																											
																																																																																																											
Сводная таблица результатов выборов																																																																																																											
																																																																																																											
		Сумма	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2587	37	25	30	25	25	25	25	28	28	25	30	30	25	30	30	25	25	32	25	25	25	28	25	25	25	25	20	20	15	15	20	20	15	15	30	17	20	20	25	30	25	28	25	25	35	25	35	25	25	25	25	25	25	25	25	25	25	25	30	25	30	25	25	30	30	30	25	25	25	25	25	25	25	25	25	30	30	25	30	30	30	25	25	25	25	25	33	25	25	30	25	25	30	26	25	25	35	25	25	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2451	37	24	29	24	24	25	17	28	28	14	30	29	25	28	30	22	15	31	23	25	25	28	24	25	25	20	17	20	13	7	20	17	14	15	30	16	19	20	25	30	22	28	23	25	35	23	35	25	25	21	25	24	23	24	22	24	25	25	29	25	30	25	25	27	27	26	25	23	25	25	25	25	25	25	19	30	29	20	30	30	30	24	20	25	23	25	30	25	18	30	23	25	30	26	25	24	32	25	25	24					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1348	32	9	15	7	4	30	40	12	5	13	16	11	20	17	22	18	13	20	7	8	0	13	77	16	14	17	8	12	8	9	21	13	26	5	13	8	14	9	10	24	8	12	10	3	4	9	7	27	24	30	6	3	11	11	9	9	13	9	12	7	7	7	64	13	13	5	8	8	10	6	11	19	3	0	5	6	13	7	8	4	18	6	7	7	28	4	11	17	31	14	14	5	10	15	12	5	21	20	10	16					
14	Число погашенных неиспользованных открепительных удостоверений	136	0	1	1	1	1	0	8	0	0	11	0	1	0	2	0	3	10	1	2	0	0	0	1	0	0	5	3	0	2	8	0	3	1	0	0	1	1	0	0	0	3	0	2	0	0	2	0	0	0	4	0	1	2	1	3	1	0	0	1	0	0	0	0	3	3	4	0	2	0	0	0	0	0	0	6	0	1	5	0	0	0	1	5	0	2	0	3	0	7	0	2	0	0	0	0	1	3	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	505	11	4	3	6	11	4	2	6	5	6	2	4	5	4	6	4	3	7	7	8	3	10	1	6	4	6	7	4	6	3	8	5	4	4	5	4	7	0	5	6	2	2	5	6	3	7	9	2	3	9	5	2	2	4	3	5	3	3	10	2	2	3	5	9	4	3	0	6	8	7	2	4	3	7	7	6	7	10	7	7	2	4	10	1	4	8	8	10	7	3	5	4	8	1	1	4	8	3	7	7					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	13052	140	78	102	61	84	68	94	95	94	118	121	95	134	78	105	107	132	146	71	81	113	106	127	151	103	111	127	144	97	47	111	112	122	119	145	110	168	157	113	101	130	110	143	77	117	115	150	117	132	115	114	129	142	150	104	186	177	163	177	140	133	173	173	172	104	220	212	156	131	121	103	136	129	176	111	115	180	93	116	134	158	142	127	129	135	159	165	147	154	153	159	134	170	130	130	208	164	241	153	130					
		12.95%	11.42%	10.91%	12.91%	9.82%	10.12%	9.87%	12.29%	11.40%	10.69%	10.66%	12.28%	12.87%	13.65%	10.08%	10.81%	11.59%	13.27%	10.99%	11.23%	10.73%	13.44%	13.91%	12.49%	15.22%	11.96%	11.87%	11.77%	13.90%	11.49%	8.94%	10.43%	10.93%	14.84%	13.82%	12.51%	12.50%	12.30%	13.41%	12.23%	11.76%	12.86%	12.63%	14.02%	8.82%	10.67%	12.50%	12.01%	13.22%	12.68%	11.89%	11.59%	14.01%	12.04%	16.70%	12.01%	15.45%	14.54%	13.53%	15.10%	13.65%	13.45%	16.41%	14.55%	16.86%	7.83%	16.72%	16.11%	14.51%	10.81%	10.54%	10.90%	12.93%	11.72%	15.34%	14.96%	13.04%	16.41%	12.09%	12.89%	14.02%	14.38%	13.83%	13.07%	13.23%	13.41%	12.69%	13.51%	14.57%	16.52%	15.12%	14.53%	14.63%	15.14%	9.65%	9.89%	15.96%	13.97%	15.02%	13.42%	15.72%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	19669	321	170	175	124	209	171	159	164	187	229	201	184	180	128	226	220	185	329	125	144	191	149	154	190	195	180	199	221	159	104	209	189	157	159	190	158	245	215	170	159	149	157	172	154	191	178	243	159	214	157	185	157	240	189	167	232	214	200	230	214	186	198	231	179	240	220	231	189	221	217	175	186	203	238	135	174	222	146	174	180	224	206	212	225	181	247	250	222	204	193	247	195	243	213	246	244	254	284	241	167					
		19.52%	26.18%	23.78%	22.15%	19.97%	25.18%	24.82%	20.78%	19.69%	21.27%	20.69%	20.41%	24.93%	18.33%	16.54%	23.27%	23.84%	18.59%	24.77%	19.78%	19.07%	22.71%	19.55%	15.14%	19.15%	22.65%	19.25%	18.44%	21.33%	18.84%	19.77%	19.64%	18.44%	19.10%	18.47%	16.39%	17.95%	17.94%	18.36%	18.40%	18.51%	14.74%	18.03%	16.86%	17.64%	17.41%	19.35%	19.46%	17.97%	20.56%	16.24%	18.80%	17.05%	20.36%	21.05%	19.28%	19.27%	17.58%	16.60%	19.62%	20.86%	18.81%	18.79%	19.43%	17.55%	18.06%	16.72%	17.55%	17.58%	18.23%	18.90%	18.52%	17.68%	18.44%	20.75%	18.19%	19.73%	20.24%	18.99%	19.33%	18.83%	20.38%	20.06%	21.81%	23.08%	17.97%	19.71%	20.48%	22.00%	21.89%	19.07%	22.58%	21.29%	21.64%	15.81%	18.72%	18.73%	21.64%	17.71%	21.14%	20.19%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1403	16	4	13	14	13	13	8	17	19	12	16	0	5	9	10	15	12	18	8	4	11	11	15	9	15	12	9	11	10	6	12	15	3	11	8	11	31	20	10	8	11	7	17	5	21	8	19	14	18	10	17	14	9	11	11	18	15	19	14	10	16	21	19	11	41	19	20	17	27	15	15	6	19	11	9	10	11	16	13	19	14	13	13	19	13	14	14	16	22	23	11	15	18	16	31	15	15	24	19	11					
		1.39%	1.31%	0.56%	1.65%	2.25%	1.57%	1.89%	1.05%	2.04%	2.16%	1.08%	1.62%	0.00%	0.51%	1.16%	1.03%	1.63%	1.21%	1.36%	1.27%	0.53%	1.31%	1.44%	1.47%	0.91%	1.74%	1.28%	0.83%	1.06%	1.18%	1.14%	1.13%	1.46%	0.36%	1.28%	0.69%	1.25%	2.27%	1.71%	1.08%	0.93%	1.09%	0.80%	1.67%	0.57%	1.91%	0.87%	1.52%	1.58%	1.73%	1.03%	1.73%	1.52%	0.76%	1.22%	1.27%	1.50%	1.23%	1.58%	1.19%	0.97%	1.62%	1.99%	1.60%	1.08%	3.09%	1.44%	1.52%	1.58%	2.23%	1.31%	1.59%	0.57%	1.73%	0.96%	1.21%	1.13%	1.00%	2.08%	1.44%	1.99%	1.27%	1.27%	1.34%	1.95%	1.29%	1.12%	1.15%	1.59%	2.36%	2.27%	1.01%	1.64%	1.60%	1.19%	2.36%	1.15%	1.28%	1.50%	1.67%	1.33%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	28640	291	197	232	97	278	218	268	243	284	314	318	256	320	122	320	292	335	372	195	230	238	240	314	300	293	312	338	339	287	190	298	351	276	259	373	319	438	356	306	295	321	317	301	295	401	322	393	296	356	303	324	281	368	233	135	363	360	337	316	259	264	281	345	300	245	414	397	312	235	218	139	197	184	343	201	281	291	214	230	267	302	269	308	258	286	364	329	220	222	271	290	244	241	305	254	338	298	400	274	224					
		28.43%	23.74%	27.55%	29.37%	15.62%	33.49%	31.64%	35.03%	29.17%	32.31%	28.36%	32.28%	34.69%	32.59%	15.76%	32.96%	31.64%	33.67%	28.01%	30.85%	30.46%	28.30%	31.50%	30.88%	30.24%	34.03%	33.37%	31.33%	32.72%	34.00%	36.12%	28.01%	34.24%	33.58%	30.08%	32.18%	36.25%	32.06%	30.40%	33.12%	34.34%	31.75%	36.39%	29.51%	33.79%	36.55%	35.00%	31.47%	33.45%	34.20%	31.33%	32.93%	30.51%	31.21%	25.95%	15.59%	30.15%	29.58%	27.97%	26.96%	25.24%	26.69%	26.66%	29.02%	29.41%	18.43%	31.46%	30.17%	29.02%	19.39%	18.99%	14.71%	18.73%	16.71%	29.90%	27.09%	31.86%	26.53%	27.83%	25.56%	27.93%	27.48%	26.19%	31.69%	26.46%	28.40%	29.05%	26.95%	21.80%	23.82%	26.78%	26.51%	26.64%	21.46%	22.64%	19.33%	25.94%	25.38%	24.94%	24.04%	27.09%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	6661	46	17	26	17	33	21	27	44	57	32	60	0	63	52	56	56	67	66	30	36	40	46	41	45	38	33	62	65	35	33	56	73	57	66	75	45	111	65	49	41	62	38	57	51	69	57	84	51	73	47	70	57	94	63	71	77	101	113	84	81	84	93	89	70	104	105	102	76	46	84	82	70	67	82	47	55	69	64	62	77	81	64	63	64	87	99	84	79	92	70	104	62	151	95	86	114	94	142	128	92					
		6.61%	3.75%	2.38%	3.29%	2.74%	3.98%	3.05%	3.53%	5.28%	6.48%	2.89%	6.09%	0.00%	6.42%	6.72%	5.77%	6.07%	6.73%	4.97%	4.75%	4.77%	4.76%	6.04%	4.03%	4.54%	4.41%	3.53%	5.75%	6.27%	4.15%	6.27%	5.26%	7.12%	6.93%	7.67%	6.47%	5.11%	8.13%	5.55%	5.30%	4.77%	6.13%	4.36%	5.59%	5.84%	6.29%	6.20%	6.73%	5.76%	7.01%	4.86%	7.11%	6.19%	7.97%	7.02%	8.20%	6.40%	8.30%	9.38%	7.17%	7.89%	8.49%	8.82%	7.49%	6.86%	7.83%	7.98%	7.75%	7.07%	3.80%	7.32%	8.68%	6.65%	6.09%	7.15%	6.33%	6.24%	6.29%	8.32%	6.89%	8.05%	7.37%	6.23%	6.48%	6.56%	8.64%	7.90%	6.88%	7.83%	9.87%	6.92%	9.51%	6.77%	13.45%	7.05%	6.54%	8.75%	8.01%	8.85%	11.23%	11.12%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	28558	365	230	215	287	198	185	175	245	215	371	249	184	247	357	235	207	230	368	187	233	232	181	339	276	197	265	319	232	233	131	259	262	191	214	327	213	346	336	250	229	310	218	297	251	279	213	323	220	232	312	241	264	301	233	363	304	301	337	324	296	283	254	305	255	556	309	321	289	519	461	417	432	465	274	214	230	299	211	282	260	289	310	223	263	277	325	352	284	214	274	247	241	267	548	537	346	317	476	305	193					
		28.34%	29.77%	32.17%	27.22%	46.22%	23.86%	26.85%	22.88%	29.41%	24.46%	33.51%	25.28%	24.93%	25.15%	46.12%	24.20%	22.43%	23.12%	27.71%	29.59%	30.86%	27.59%	23.75%	33.33%	27.82%	22.88%	28.34%	29.56%	22.39%	27.61%	24.90%	24.34%	25.56%	23.24%	24.85%	28.21%	24.20%	25.33%	28.69%	27.06%	26.66%	30.66%	25.03%	29.12%	28.75%	25.43%	23.15%	25.86%	24.86%	22.29%	32.26%	24.49%	28.66%	25.53%	25.95%	41.92%	25.25%	24.73%	27.97%	27.65%	28.85%	28.61%	24.10%	25.65%	25.00%	41.84%	23.48%	24.39%	26.88%	42.82%	40.16%	44.13%	41.06%	42.23%	23.89%	28.84%	26.08%	27.26%	27.44%	31.33%	27.20%	26.30%	30.19%	22.94%	26.97%	27.51%	25.94%	28.83%	28.15%	22.96%	27.08%	22.58%	26.31%	23.78%	40.68%	40.87%	26.55%	27.00%	29.68%	26.75%	23.34%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	567	8	2	3	4	4	3	2	3	4	4	6	0	4	6	6	2	6	7	1	5	3	2	6	8	4	5	5	7	5	2	6	5	4	7	5	4	6	11	5	3	6	6	2	3	2	6	7	4	2	4	4	6	8	7	5	4	14	6	6	5	6	8	5	4	15	7	5	9	9	6	3	5	17	7	5	3	7	9	1	3	7	7	6	2	6	6	11	10	10	5	8	8	10	6	8	11	4	11	3	4					
		0.56%	0.65%	0.28%	0.38%	0.64%	0.48%	0.44%	0.26%	0.36%	0.46%	0.36%	0.61%	0.00%	0.41%	0.78%	0.62%	0.22%	0.60%	0.53%	0.16%	0.66%	0.36%	0.26%	0.59%	0.81%	0.46%	0.53%	0.46%	0.68%	0.59%	0.38%	0.56%	0.49%	0.49%	0.81%	0.43%	0.45%	0.44%	0.94%	0.54%	0.35%	0.59%	0.69%	0.20%	0.34%	0.18%	0.65%	0.56%	0.45%	0.19%	0.41%	0.41%	0.65%	0.68%	0.78%	0.58%	0.33%	1.15%	0.50%	0.51%	0.49%	0.61%	0.76%	0.42%	0.39%	1.13%	0.53%	0.38%	0.84%	0.74%	0.52%	0.32%	0.48%	1.54%	0.61%	0.67%	0.34%	0.64%	1.17%	0.11%	0.31%	0.64%	0.68%	0.62%	0.21%	0.60%	0.48%	0.90%	0.99%	1.07%	0.49%	0.73%	0.87%	0.89%	0.45%	0.61%	0.84%	0.34%	0.69%	0.26%	0.48%					
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
