Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																									
Дата голосования: 07.12.2003 0:00:00																																									
																																									
Наименование Избирательной комиссии:    Район Нагатинский Затон																																									
																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																									
																																									
		Сумма	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК  3153	УИК  3154					
		2.11%	1.86%	2.49%	1.67%	2.61%	2.58%	1.68%	2.34%	1.69%	2.87%	1.75%	2.70%	1.71%	1.52%	1.51%	2.18%	2.04%	2.74%	2.25%	2.41%	1.93%	1.97%	1.48%	2.70%	0.49%	2.63%	2.49%	1.80%	2.01%	2.40%	1.86%	2.51%	1.54%	4.34%	3.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3798	127	135	151	112	108	124	113	143	108	132	142	100	65	74	116	136	126	95	97	110	154	149	108	111	186	123	108	81	98	136	117	106	0	7					
		9.05%	11.27%	10.86%	9.05%	8.12%	8.22%	8.04%	8.27%	10.53%	8.62%	8.91%	10.65%	10.10%	6.59%	8.62%	7.04%	8.70%	8.42%	6.11%	7.54%	8.51%	10.51%	10.53%	8.12%	9.19%	11.38%	7.31%	10.27%	7.10%	9.06%	11.03%	9.47%	16.40%	0.0%	7.0%					
22	"5. ""За Русь Святую"""	228	8	11	4	10	12	9	5	6	6	8	12	1	6	3	16	12	8	5	9	5	9	3	2	6	9	9	4	7	8	12	3	0	0	0					
		0.54%	0.71%	0.88%	0.23%	0.72%	0.91%	0.58%	0.36%	0.44%	0.47%	0.54%	0.90%	0.10%	0.60%	0.34%	0.97%	0.76%	0.53%	0.32%	0.69%	0.38%	0.61%	0.21%	0.15%	0.49%	0.55%	0.53%	0.38%	0.61%	0.74%	0.97%	0.24%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	87	1	1	1	4	4	2	0	2	5	5	1	1	4	2	5	3	1	6	4	1	4	6	3	1	5	5	1	0	3	3	1	2	0	0					
		0.20%	0.08%	0.08%	0.05%	0.29%	0.30%	0.12%	0.0%	0.14%	0.39%	0.33%	0.07%	0.10%	0.40%	0.23%	0.30%	0.19%	0.06%	0.38%	0.31%	0.07%	0.27%	0.42%	0.22%	0.08%	0.30%	0.29%	0.09%	0.0%	0.27%	0.24%	0.08%	0.30%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	724	12	22	22	16	19	28	26	18	31	24	25	16	13	13	28	34	26	28	18	21	30	26	18	37	23	36	18	17	16	21	26	13	0	3					
		1.72%	1.06%	1.76%	1.31%	1.16%	1.44%	1.81%	1.90%	1.32%	2.47%	1.62%	1.87%	1.61%	1.31%	1.51%	1.70%	2.17%	1.73%	1.80%	1.39%	1.62%	2.04%	1.83%	1.35%	3.06%	1.40%	2.14%	1.71%	1.49%	1.48%	1.70%	2.10%	2.01%	0.0%	3.0%					
25	"8. ""Народно-республиканская партия России"""	22	1	1	0	1	0	0	0	3	0	0	0	1	0	0	3	1	1	0	1	0	2	2	0	1	1	3	0	0	0	0	0	0	0	0					
		0.05%	0.08%	0.08%	0.0%	0.07%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.18%	0.06%	0.06%	0.0%	0.07%	0.0%	0.13%	0.14%	0.0%	0.08%	0.06%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	311	4	8	13	14	16	12	11	9	7	10	7	11	5	5	17	16	8	14	10	4	12	10	8	9	13	11	5	14	9	9	9	1	0	0					
		0.74%	0.35%	0.64%	0.77%	1.01%	1.21%	0.77%	0.80%	0.66%	0.55%	0.67%	0.52%	1.11%	0.50%	0.58%	1.03%	1.02%	0.53%	0.90%	0.77%	0.30%	0.81%	0.70%	0.60%	0.74%	0.79%	0.65%	0.47%	1.22%	0.83%	0.72%	0.72%	0.15%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	725	17	18	47	16	26	26	38	19	23	29	24	18	14	21	33	26	17	22	19	16	22	18	17	29	26	31	21	18	23	16	24	9	1	1					
		1.72%	1.50%	1.44%	2.81%	1.16%	1.98%	1.68%	2.78%	1.40%	1.83%	1.95%	1.80%	1.81%	1.42%	2.44%	2.00%	1.66%	1.13%	1.41%	1.47%	1.23%	1.50%	1.27%	1.27%	2.40%	1.59%	1.84%	1.99%	1.57%	2.12%	1.29%	1.94%	1.39%	4.34%	1.0%					
28	"11. ""Истинные патриоты России"""	38	2	1	0	1	2	3	1	2	1	0	1	1	0	2	0	0	2	2	4	1	1	1	0	5	1	0	0	1	0	1	2	0	0	0					
		0.09%	0.17%	0.08%	0.0%	0.07%	0.15%	0.19%	0.07%	0.14%	0.07%	0.0%	0.07%	0.10%	0.0%	0.23%	0.0%	0.0%	0.13%	0.12%	0.31%	0.07%	0.06%	0.07%	0.0%	0.41%	0.06%	0.0%	0.0%	0.08%	0.0%	0.08%	0.16%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	486	11	15	17	17	14	15	10	22	16	9	18	14	7	14	21	17	22	15	11	24	12	15	13	12	19	17	17	21	14	15	16	5	0	1					
		1.15%	0.97%	1.20%	1.01%	1.23%	1.06%	0.97%	0.73%	1.62%	1.27%	0.60%	1.35%	1.41%	0.71%	1.63%	1.27%	1.08%	1.47%	0.96%	0.85%	1.85%	0.81%	1.06%	0.97%	0.99%	1.16%	1.01%	1.61%	1.84%	1.29%	1.21%	1.29%	0.77%	0.0%	1.0%					
30	"13. ""Демократическая партия России"""	52	2	1	3	3	3	3	0	0	2	2	4	0	2	3	0	3	2	3	2	1	0	1	3	2	1	1	1	0	0	1	1	0	0	2					
		0.12%	0.17%	0.08%	0.17%	0.21%	0.22%	0.19%	0.0%	0.0%	0.15%	0.13%	0.30%	0.0%	0.20%	0.34%	0.0%	0.19%	0.13%	0.19%	0.15%	0.07%	0.0%	0.07%	0.22%	0.16%	0.06%	0.05%	0.09%	0.0%	0.0%	0.08%	0.08%	0.0%	0.0%	2.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	65	1	0	4	1	1	2	3	2	5	2	3	1	1	1	2	1	1	4	1	6	3	0	3	1	2	3	1	1	0	2	4	2	0	1					
		0.15%	0.08%	0.0%	0.23%	0.07%	0.07%	0.12%	0.21%	0.14%	0.39%	0.13%	0.22%	0.10%	0.10%	0.11%	0.12%	0.06%	0.06%	0.25%	0.07%	0.46%	0.20%	0.0%	0.22%	0.08%	0.12%	0.17%	0.09%	0.08%	0.0%	0.16%	0.32%	0.30%	0.0%	1.0%					
32	"15. ""Партия СЛОН"""	85	1	2	6	0	0	7	1	2	1	6	2	2	0	8	7	8	2	0	2	1	5	2	0	2	2	0	5	2	2	1	3	3	0	0					
		0.20%	0.08%	0.16%	0.35%	0.0%	0.0%	0.45%	0.07%	0.14%	0.07%	0.40%	0.15%	0.20%	0.0%	0.93%	0.42%	0.51%	0.13%	0.0%	0.15%	0.07%	0.34%	0.14%	0.0%	0.16%	0.12%	0.0%	0.47%	0.17%	0.18%	0.08%	0.24%	0.46%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	6737	187	192	267	200	194	320	218	218	228	222	240	152	134	133	233	263	287	262	181	196	223	240	214	182	250	279	153	225	139	202	194	95	5	9					
		16.05%	16.60%	15.44%	16.01%	14.51%	14.77%	20.76%	15.97%	16.06%	18.21%	15.0%	18.00%	15.35%	13.60%	15.50%	14.15%	16.83%	19.18%	16.85%	14.07%	15.17%	15.22%	16.96%	16.10%	15.07%	15.29%	16.58%	14.55%	19.73%	12.85%	16.38%	15.70%	14.70%	21.73%	9.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	42	3	0	2	0	0	0	3	1	1	2	2	2	1	4	2	3	1	4	2	0	0	1	1	1	2	0	1	1	0	0	0	0	0	2					
		0.10%	0.26%	0.0%	0.11%	0.0%	0.0%	0.0%	0.21%	0.07%	0.07%	0.13%	0.15%	0.20%	0.10%	0.46%	0.12%	0.19%	0.06%	0.25%	0.15%	0.0%	0.0%	0.07%	0.07%	0.08%	0.12%	0.0%	0.09%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	2.0%					
35	"18. ""ЛДПР"""	2624	62	73	125	82	76	108	111	85	74	96	64	44	81	44	132	81	96	138	81	75	98	92	86	70	76	107	69	74	45	68	72	32	1	6					
		6.25%	5.50%	5.87%	7.49%	5.95%	5.78%	7.00%	8.13%	6.26%	5.91%	6.48%	4.80%	4.44%	8.22%	5.12%	8.01%	5.18%	6.41%	8.88%	6.29%	5.80%	6.68%	6.50%	6.47%	5.79%	4.65%	6.36%	6.56%	6.49%	4.16%	5.51%	5.82%	4.95%	4.34%	6.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	424	14	11	15	16	12	12	9	18	12	18	19	9	11	8	18	22	15	16	27	13	10	16	15	7	6	17	11	9	15	5	13	5	0	0					
		1.01%	1.24%	0.88%	0.89%	1.16%	0.91%	0.77%	0.65%	1.32%	0.95%	1.21%	1.42%	0.90%	1.11%	0.93%	1.09%	1.40%	1.00%	1.02%	2.09%	1.00%	0.68%	1.13%	1.12%	0.57%	0.36%	1.01%	1.04%	0.78%	1.38%	0.40%	1.05%	0.77%	0.0%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	14901	344	451	567	504	487	461	459	474	424	567	420	345	373	315	611	549	525	531	529	490	508	528	515	471	569	610	388	401	418	430	429	165	7	36					
		35.50%	30.55%	36.28%	34.01%	36.57%	37.09%	29.91%	33.62%	34.92%	33.86%	38.31%	31.50%	34.84%	37.86%	36.71%	37.12%	35.14%	35.09%	34.16%	41.13%	37.92%	34.67%	37.31%	38.75%	39.02%	34.82%	36.26%	36.91%	35.17%	38.66%	34.87%	34.73%	25.54%	30.43%	36.0%					
38	"21. ""Российская Конституционно-демократическая партия"""	61	1	3	3	0	1	2	2	0	2	0	3	4	0	2	1	2	0	6	2	1	7	1	2	0	6	3	0	3	1	1	0	2	0	0					
		0.14%	0.08%	0.24%	0.17%	0.0%	0.07%	0.12%	0.14%	0.0%	0.15%	0.0%	0.22%	0.40%	0.0%	0.23%	0.06%	0.12%	0.0%	0.38%	0.15%	0.07%	0.47%	0.07%	0.15%	0.0%	0.36%	0.17%	0.0%	0.26%	0.09%	0.08%	0.0%	0.30%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	110	2	4	8	4	9	2	1	0	5	3	3	1	2	0	0	2	2	7	2	5	7	1	4	3	5	4	5	3	1	8	6	1	0	0					
		0.26%	0.17%	0.32%	0.47%	0.29%	0.68%	0.12%	0.07%	0.0%	0.39%	0.20%	0.22%	0.10%	0.20%	0.0%	0.0%	0.12%	0.13%	0.45%	0.15%	0.38%	0.47%	0.07%	0.30%	0.24%	0.30%	0.23%	0.47%	0.26%	0.09%	0.64%	0.48%	0.15%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3276	100	86	127	121	96	124	113	102	88	104	118	77	88	76	119	127	115	122	100	110	108	115	89	125	98	135	73	67	78	103	122	43	1	6					
		7.80%	8.88%	6.91%	7.61%	8.78%	7.31%	8.04%	8.27%	7.51%	7.02%	7.02%	8.85%	7.77%	8.93%	8.85%	7.22%	8.13%	7.68%	7.85%	7.77%	8.51%	7.37%	8.12%	6.69%	10.35%	5.99%	8.02%	6.94%	5.87%	7.21%	8.35%	9.87%	6.65%	4.34%	6.0%					
																																									
41	Против всех	2764	69	72	107	87	90	97	100	108	68	87	58	68	89	60	125	94	89	111	68	86	102	81	83	82	116	136	77	84	71	74	64	48	0	13					
		6.58%	6.12%	5.79%	6.41%	6.31%	6.85%	6.29%	7.32%	7.95%	5.43%	5.87%	4.35%	6.86%	9.03%	6.99%	7.59%	6.01%	5.94%	7.14%	5.28%	6.65%	6.96%	5.72%	6.24%	6.79%	7.09%	8.08%	7.32%	7.36%	6.56%	6.00%	5.18%	7.43%	0.0%	13.0%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
