Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																									
Дата голосования: 02.12.2007																																																																									
																																																																									
"Наименование Избирательной комиссии:    Новосибирск, Заельцовская"																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
		Сумма	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2080	30	40	30	30	30	30	30	30	30	30	40	40	40	30	40	30	40	40	40	30	20	30	40	40	50	30	30	40	40	40	30	30	30	30	30	30	30	30	30	40	0	30	30	30	30	30	30	30	0	40	30	30	30	30	20	30	30	40	30	40	30	30	30	40	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1086	15	21	21	25	18	14	12	20	20	18	23	20	24	15	21	23	21	19	27	14	7	21	19	27	42	14	11	22	24	18	20	16	20	12	14	15	11	9	30	30	0	11	7	11	14	5	14	24	0	13	8	14	20	13	3	22	16	19	7	24	7	10	14	33	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1060	10	20	14	19	11	23	15	11	8	18	16	9	21	12	12	15	18	8	22	8	13	5	13	25	15	15	9	12	14	6	13	15	9	11	10	10	25	20	70	18	46	5	8	10	9	9	10	10	12	29	22	13	15	17	16	23	12	15	9	20	7	12	9	7	31	66					
14	Число погашенных неиспользованных открепительных удостоверений	994	15	19	9	5	12	16	18	10	10	12	17	20	16	15	19	7	19	21	13	16	13	9	21	13	8	16	19	18	16	22	10	14	10	18	16	15	19	21	0	10	0	19	23	19	16	25	16	6	0	27	22	16	10	17	17	8	14	21	23	16	23	20	16	7	16	20					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																									
18	1.Политическая партия «Аграрная партия России»	1415	16	35	12	22	29	11	24	25	32	24	52	25	23	34	24	20	19	21	37	23	7	24	18	38	35	30	10	36	25	22	11	17	21	29	18	22	20	25	36	27	3	17	7	14	10	15	24	20	7	28	15	30	12	21	6	26	22	39	14	27	13	10	11	34	4	7					
		2.39%	1.53%	3.02%	1.45%	1.91%	2.74%	1.59%	2.87%	2.42%	3.07%	2.42%	3.43%	1.90%	2.11%	3.90%	1.97%	1.84%	1.46%	2.00%	2.86%	2.98%	1.59%	3.51%	2.01%	3.02%	2.42%	2.84%	1.52%	3.00%	1.86%	1.89%	1.49%	2.26%	1.98%	2.79%	1.90%	2.01%	2.46%	4.15%	2.77%	2.17%	1.20%	2.68%	1.33%	2.60%	1.46%	2.81%	2.84%	2.53%	4.17%	2.15%	1.71%	3.47%	1.41%	2.95%	1.63%	3.14%	3.13%	3.16%	2.65%	2.23%	2.37%	1.50%	1.46%	2.72%	1.63%	2.46%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1033	19	16	16	18	13	18	9	22	27	18	42	21	17	17	26	13	28	19	40	26	9	12	11	28	31	22	12	22	18	22	14	10	24	14	18	28	18	19	28	22	2	6	8	6	12	6	10	9	2	22	16	18	6	12	3	10	7	22	7	11	4	6	9	11	1	0					
		1.74%	1.82%	1.38%	1.93%	1.56%	1.23%	2.60%	1.08%	2.13%	2.59%	1.81%	2.77%	1.59%	1.56%	1.95%	2.13%	1.20%	2.15%	1.81%	3.09%	3.37%	2.04%	1.76%	1.23%	2.22%	2.15%	2.09%	1.83%	1.83%	1.34%	1.89%	1.89%	1.33%	2.26%	1.35%	1.90%	2.55%	2.21%	3.15%	2.15%	1.77%	0.80%	0.95%	1.52%	1.11%	1.75%	1.12%	1.18%	1.14%	1.19%	1.69%	1.83%	2.08%	0.70%	1.68%	0.81%	1.21%	0.99%	1.78%	1.32%	0.91%	0.73%	0.90%	1.19%	0.88%	0.41%	0.00%					
20	3.Политическая партия «Демократическая партия России»	93	0	3	2	3	1	0	3	2	4	1	0	1	0	0	0	1	1	1	3	2	0	1	0	0	2	1	2	1	4	2	0	2	4	1	2	1	0	4	6	4	0	0	0	0	0	0	1	0	1	2	2	1	2	3	1	3	3	0	0	1	2	1	2	2	0	1					
		0.16%	0.00%	0.26%	0.24%	0.26%	0.09%	0.00%	0.36%	0.19%	0.38%	0.10%	0.00%	0.08%	0.00%	0.00%	0.00%	0.09%	0.08%	0.10%	0.23%	0.26%	0.00%	0.15%	0.00%	0.00%	0.14%	0.09%	0.30%	0.08%	0.30%	0.17%	0.00%	0.27%	0.38%	0.10%	0.21%	0.09%	0.00%	0.66%	0.46%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.60%	0.15%	0.23%	0.12%	0.23%	0.42%	0.27%	0.36%	0.43%	0.00%	0.00%	0.08%	0.36%	0.15%	0.26%	0.16%	0.00%	0.35%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	11250	182	184	196	200	201	176	237	225	234	252	280	255	253	208	248	240	225	234	256	160	48	120	119	214	281	230	121	236	271	254	124	183	244	227	199	212	202	109	144	131	56	78	78	78	75	81	187	180	9	236	155	187	116	130	69	128	132	184	79	190	92	102	139	247	45	82					
		18.97%	17.42%	15.89%	23.67%	17.38%	18.98%	25.47%	28.32%	21.76%	22.41%	25.40%	18.45%	19.36%	23.19%	23.88%	20.34%	22.12%	17.28%	22.29%	19.80%	20.73%	10.88%	17.57%	13.28%	16.99%	19.46%	21.80%	18.45%	19.67%	20.15%	21.88%	16.78%	24.37%	23.02%	21.83%	21.06%	19.33%	24.85%	18.08%	11.07%	10.52%	22.40%	12.30%	14.77%	14.47%	10.95%	15.17%	22.16%	22.73%	5.36%	18.11%	17.69%	21.64%	13.58%	18.23%	18.70%	15.48%	18.75%	14.91%	14.93%	15.72%	16.79%	15.29%	18.39%	19.76%	18.37%	28.77%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	1070	33	21	12	20	31	12	5	16	18	26	21	36	13	12	33	20	30	23	20	16	6	6	5	32	24	23	11	21	23	20	1	12	26	34	18	26	11	18	23	22	1	8	3	9	14	9	19	22	3	35	13	17	19	14	0	8	13	15	6	29	12	6	10	5	0	0					
		1.80%	3.16%	1.81%	1.45%	1.74%	2.93%	1.74%	0.60%	1.55%	1.72%	2.62%	1.38%	2.73%	1.19%	1.38%	2.71%	1.84%	2.30%	2.19%	1.55%	2.07%	1.36%	0.88%	0.56%	2.54%	1.66%	2.18%	1.68%	1.75%	1.71%	1.72%	0.14%	1.60%	2.45%	3.27%	1.90%	2.37%	1.35%	2.99%	1.77%	1.77%	0.40%	1.26%	0.57%	1.67%	2.04%	1.69%	2.25%	2.78%	1.79%	2.69%	1.48%	1.97%	2.22%	1.96%	0.00%	0.97%	1.85%	1.22%	1.13%	2.40%	2.19%	0.90%	1.32%	0.40%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	184	2	4	3	6	4	0	4	1	0	3	2	3	5	0	5	3	4	4	8	2	2	2	4	6	9	8	1	4	4	6	4	4	3	4	4	6	0	0	2	4	2	0	0	0	2	3	3	3	0	3	3	4	3	1	1	2	2	3	0	3	1	0	1	3	0	1					
		0.31%	0.19%	0.35%	0.36%	0.52%	0.38%	0.00%	0.48%	0.10%	0.00%	0.30%	0.13%	0.23%	0.46%	0.00%	0.41%	0.28%	0.31%	0.38%	0.62%	0.26%	0.45%	0.29%	0.45%	0.48%	0.62%	0.76%	0.15%	0.33%	0.30%	0.52%	0.54%	0.53%	0.28%	0.38%	0.42%	0.55%	0.00%	0.00%	0.15%	0.32%	0.80%	0.00%	0.00%	0.00%	0.29%	0.56%	0.36%	0.38%	0.00%	0.23%	0.34%	0.46%	0.35%	0.14%	0.27%	0.24%	0.28%	0.24%	0.00%	0.25%	0.18%	0.00%	0.13%	0.24%	0.00%	0.35%					
24	7.Политическая партия «Либерально-демократическая партия России»	4884	95	84	77	99	88	40	69	85	70	66	113	106	72	50	92	93	106	89	86	52	46	61	89	91	129	71	51	111	111	83	64	41	89	78	66	92	61	39	180	120	20	60	50	38	82	48	70	72	13	95	100	61	79	58	17	93	64	102	44	109	40	55	69	93	34	13					
		8.24%	9.09%	7.25%	9.30%	8.60%	8.31%	5.79%	8.24%	8.22%	6.70%	6.65%	7.44%	8.05%	6.60%	5.74%	7.55%	8.57%	8.14%	8.48%	6.65%	6.74%	10.43%	8.93%	9.93%	7.23%	8.93%	6.73%	7.77%	9.25%	8.25%	7.15%	8.66%	5.46%	8.40%	7.50%	6.98%	8.39%	7.50%	6.47%	13.84%	9.64%	8.00%	9.46%	9.47%	7.05%	11.97%	8.99%	8.29%	9.09%	7.74%	7.29%	11.42%	7.06%	9.25%	8.13%	4.61%	11.25%	9.09%	8.27%	8.32%	9.02%	7.30%	8.25%	9.13%	7.44%	13.88%	4.56%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	4718	101	111	64	87	84	52	68	85	77	75	109	113	104	79	106	75	104	78	141	54	21	64	46	124	119	112	54	97	103	87	68	74	88	81	78	85	68	43	93	58	23	51	31	36	30	43	96	68	2	99	67	80	77	58	20	65	50	121	24	107	38	39	34	86	21	22					
		7.96%	9.67%	9.59%	7.73%	7.56%	7.93%	7.53%	8.12%	8.22%	7.38%	7.56%	7.18%	8.58%	9.53%	9.07%	8.70%	6.91%	7.99%	7.43%	10.90%	6.99%	4.76%	9.37%	5.13%	9.85%	8.24%	10.62%	8.23%	8.08%	7.66%	7.49%	9.20%	9.85%	8.30%	7.79%	8.25%	7.75%	8.36%	7.13%	7.15%	4.66%	9.20%	8.04%	5.87%	6.68%	4.38%	8.05%	11.37%	8.59%	1.19%	7.60%	7.65%	9.26%	9.02%	8.13%	5.42%	7.86%	7.10%	9.81%	4.54%	8.85%	6.93%	5.85%	4.50%	6.88%	8.57%	7.72%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	783	9	14	12	8	15	9	19	19	16	11	19	23	19	11	15	17	18	16	17	8	8	6	17	15	24	17	3	12	26	16	9	3	9	16	10	11	14	16	29	14	1	9	2	1	9	2	9	9	1	20	22	12	5	8	3	13	10	13	7	21	9	3	8	10	3	3					
		1.32%	0.86%	1.21%	1.45%	0.70%	1.42%	1.30%	2.27%	1.84%	1.53%	1.11%	1.25%	1.75%	1.74%	1.26%	1.23%	1.57%	1.38%	1.52%	1.31%	1.04%	1.81%	0.88%	1.90%	1.19%	1.66%	1.61%	0.46%	1.00%	1.93%	1.38%	1.22%	0.40%	0.85%	1.54%	1.06%	1.00%	1.72%	2.65%	2.23%	1.12%	0.40%	1.42%	0.38%	0.19%	1.31%	0.37%	1.07%	1.14%	0.60%	1.53%	2.51%	1.39%	0.59%	1.12%	0.81%	1.57%	1.42%	1.05%	1.32%	1.74%	1.64%	0.45%	1.06%	0.80%	1.22%	1.05%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	31507	548	633	400	620	528	347	367	502	510	470	816	673	539	412	599	551	700	525	645	392	271	359	563	650	744	503	369	614	711	602	424	385	503	504	494	563	384	301	730	799	134	384	326	350	433	315	393	386	128	704	442	408	501	370	239	448	371	703	329	668	330	434	449	724	135	153					
		53.13%	52.44%	54.66%	48.31%	53.87%	49.86%	50.22%	43.85%	48.55%	48.85%	47.38%	53.75%	51.10%	49.40%	47.30%	49.14%	50.78%	53.76%	50.00%	49.88%	50.78%	61.45%	52.56%	62.83%	51.63%	51.52%	47.68%	56.25%	51.17%	52.86%	51.85%	57.37%	51.26%	47.45%	48.46%	52.28%	51.32%	47.23%	49.92%	56.11%	64.18%	53.60%	60.57%	61.74%	64.94%	63.21%	58.99%	46.56%	48.74%	76.19%	54.03%	50.46%	47.22%	58.67%	51.89%	64.77%	54.17%	52.70%	56.97%	62.19%	55.25%	60.22%	65.07%	59.39%	57.92%	55.10%	53.68%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1744	30	38	29	60	54	22	24	39	47	35	52	50	36	38	57	39	47	30	33	30	17	11	13	50	39	33	13	37	33	32	16	12	32	45	28	42	28	23	21	31	7	12	7	5	12	4	25	14	2	39	30	37	28	25	4	19	25	22	10	24	4	7	10	22	1	3					
		2.94%	2.87%	3.28%	3.50%	5.21%	5.10%	3.18%	2.87%	3.77%	4.50%	3.53%	3.43%	3.80%	3.30%	4.36%	4.68%	3.59%	3.61%	2.86%	2.55%	3.89%	3.85%	1.61%	1.45%	3.97%	2.70%	3.13%	1.98%	3.08%	2.45%	2.76%	2.17%	1.60%	3.02%	4.33%	2.96%	3.83%	3.44%	3.81%	1.61%	2.49%	2.80%	1.89%	1.33%	0.93%	1.75%	0.75%	2.96%	1.77%	1.19%	2.99%	3.42%	4.28%	3.28%	3.51%	1.08%	2.30%	3.55%	1.78%	1.89%	1.99%	0.73%	1.05%	1.32%	1.76%	0.41%	1.05%					
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
