Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																													
Дата голосования: 07.12.2003 0:00:00																																																																													
																																																																													
Наименование Избирательной комиссии:    Арская																																																																													
																																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																													
																																																																													
		Сумма	УИК  923	УИК  924	УИК  925	УИК  926	УИК  927	УИК  928	УИК  929	УИК  930	УИК  931	УИК  932	УИК  933	УИК  934	УИК  935	УИК  936	УИК  937	УИК  938	УИК  939	УИК  940	УИК  941	УИК  942	УИК  943	УИК  944	УИК  945	УИК  946	УИК  947	УИК  948	УИК  949	УИК  950	УИК  951	УИК  952	УИК  953	УИК  954	УИК  955	УИК  956	УИК  957	УИК  958	УИК  959	УИК  960	УИК  961	УИК  962	УИК  963	УИК  964	УИК  965	УИК  966	УИК  967	УИК  968	УИК  969	УИК  970	УИК  971	УИК  972	УИК  973	УИК  974	УИК  975	УИК  976	УИК  977	УИК  978	УИК  979	УИК  980	УИК  981	УИК  982	УИК  983	УИК  984	УИК  985	УИК  986	УИК  987	УИК  988	УИК  989	УИК  990	УИК  991	УИК  992					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	598	30	22	22	30	25	22	15	8	16	4	6	4	8	4	9	4	5	4	4	5	5	4	11	4	4	11	4	11	5	8	4	4	4	3	16	10	3	8	9	4	4	4	4	4	4	4	4	9	8	7	50	4	13	4	4	3	7	3	8	10	14	7	7	4	4	7	5	5	4	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	422	24	6	10	19	23	7	12	2	16	0	2	4	5	1	9	1	2	1	1	0	5	3	8	0	0	11	4	8	2	3	1	4	4	0	15	10	2	5	9	2	4	3	3	3	2	4	2	7	6	7	49	4	13	4	4	3	7	1	4	10	12	5	4	3	1	7	3	3	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	175	13	8	53	12	9	2	7	3	5	0	1	0	2	0	2	2	0	1	2	0	0	2	1	0	0	0	0	0	4	2	0	2	0	0	2	2	0	3	0	1	0	2	1	1	0	0	0	1	0	1	8	0	4	3	0	0	1	0	3	1	0	4	1	0	2	0	0	1	0	0					
14	Число погашенных открепительных удостоверений	176	6	16	12	11	2	15	3	6	0	4	4	0	3	3	0	3	3	3	3	5	0	1	3	4	4	0	0	3	3	5	3	0	0	3	1	0	1	3	0	2	0	1	1	1	2	0	2	2	2	0	1	0	0	0	0	0	0	2	4	0	2	2	3	1	3	0	2	2	1	4					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																													
18	"1. ""ЕДИНЕНИЕ"""	137	20	12	0	34	7	0	0	0	0	0	3	1	0	0	2	0	0	0	0	0	0	0	10	5	1	0	5	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	14	0	0	0	3	3	5	1	0					
		0.38%	1.55%	1.09%	0.0%	1.78%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.57%	0.50%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.07%	2.01%	0.66%	0.0%	2.24%	0.17%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.81%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.02%	0.0%	0.0%	0.0%	0.57%	0.58%	1.16%	0.33%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	89	6	7	0	29	6	0	3	1	4	0	0	1	0	0	0	2	0	1	0	0	0	0	0	1	2	0	1	0	0	2	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0					
		0.25%	0.46%	0.63%	0.0%	1.52%	0.31%	0.0%	0.16%	0.16%	0.47%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.53%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	1.33%	0.0%	0.44%	0.0%	0.0%	0.35%	0.0%	0.27%	0.0%	0.0%	0.0%	0.17%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	95	15	7	0	38	4	0	3	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	12	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0					
		0.26%	1.16%	0.63%	0.0%	2.0%	0.21%	0.0%	0.16%	0.33%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.40%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.65%	0.0%	0.0%	0.0%	1.12%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.19%	0.0%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	113	20	4	0	17	8	0	5	5	5	1	4	1	0	0	0	1	0	1	0	0	0	0	1	4	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	3	1	0	0					
		0.32%	1.55%	0.36%	0.0%	0.89%	0.42%	0.0%	0.27%	0.83%	0.59%	0.51%	0.76%	0.50%	0.0%	0.0%	0.0%	0.26%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.20%	1.61%	0.66%	0.0%	0.0%	0.0%	0.96%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.25%	0.0%	0.0%	0.96%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.57%	0.0%	0.0%	0.0%	0.0%	0.58%	0.23%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	22	4	5	1	4	0	0	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
		0.06%	0.31%	0.45%	0.06%	0.21%	0.0%	0.0%	0.10%	0.50%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	27	3	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0					
		0.07%	0.23%	0.09%	0.06%	0.10%	0.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.33%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.23%	0.0%	0.16%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.19%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	54	7	6	1	9	3	0	4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	1	2	0	0	0	0	1	0	1	0	3	0	0	0	0	0	1	1	0					
		0.15%	0.54%	0.54%	0.06%	0.47%	0.15%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	1.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.49%	0.51%	0.0%	0.0%	0.0%	0.0%	0.68%	0.0%	0.18%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.33%	0.0%					
25	"8. ""Народно-республиканская партия России"""	16	0	2	0	3	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.04%	0.0%	0.18%	0.0%	0.15%	0.0%	0.0%	0.27%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	19	5	0	0	6	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.05%	0.38%	0.0%	0.0%	0.31%	0.15%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	177	13	5	1	32	8	0	5	5	5	0	3	1	0	0	2	3	0	1	3	0	0	1	7	3	0	4	1	2	1	1	1	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	2	3	0	0	7	3	6	2	0	8	2	0	2	3	1	16	0	0	0	0	3	2	0	5					
		0.50%	1.00%	0.45%	0.06%	1.68%	0.42%	0.0%	0.27%	0.83%	0.59%	0.0%	0.57%	0.50%	0.0%	0.0%	0.37%	0.80%	0.0%	0.32%	1.49%	0.0%	0.0%	0.62%	1.45%	1.20%	0.0%	0.69%	0.44%	0.34%	0.96%	0.17%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.46%	0.0%	0.0%	0.81%	0.0%	0.0%	0.0%	1.08%	1.01%	0.0%	0.0%	0.38%	1.47%	1.54%	0.96%	0.0%	5.19%	0.93%	0.0%	0.31%	0.54%	0.18%	2.30%	0.0%	0.0%	0.0%	0.0%	0.58%	0.46%	0.0%	2.36%					
28	"11. ""Истинные патриоты России"""	42	0	2	0	8	2	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	6	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1					
		0.11%	0.0%	0.18%	0.0%	0.42%	0.10%	0.0%	0.21%	0.83%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.80%	0.66%	0.0%	0.89%	0.0%	1.92%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.96%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	76	11	6	0	9	6	0	3	2	0	0	4	0	1	0	2	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	2	0	0	5	0	0	0	0	2	1	1	2					
		0.21%	0.85%	0.54%	0.0%	0.47%	0.31%	0.0%	0.16%	0.33%	0.0%	0.0%	0.76%	0.0%	0.15%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.82%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.42%	0.17%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.0%	0.39%	0.23%	0.33%	0.94%					
30	"13. ""Демократическая партия России"""	19	3	3	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
		0.05%	0.23%	0.27%	0.0%	0.15%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	20	1	1	0	3	0	0	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
		0.05%	0.07%	0.09%	0.0%	0.15%	0.0%	0.0%	0.21%	0.16%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	19	2	1	0	4	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0					
		0.05%	0.15%	0.09%	0.0%	0.21%	0.0%	0.0%	0.10%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	191	47	12	2	49	18	1	5	8	0	1	2	0	0	0	0	2	0	1	0	0	0	0	4	0	0	0	1	4	0	1	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	4	0	1	3	0	1	6	1	0	0	0	0	0	3	0	6	0	1	0	1	0	0	0	1					
		0.54%	3.64%	1.09%	0.12%	2.57%	0.95%	0.06%	0.27%	1.34%	0.0%	0.51%	0.38%	0.0%	0.0%	0.0%	0.0%	0.53%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.82%	0.0%	0.0%	0.0%	0.44%	0.69%	0.0%	0.17%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.81%	0.0%	0.0%	0.0%	2.17%	0.0%	0.32%	0.89%	0.0%	0.49%	1.54%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.86%	0.0%	0.30%	0.0%	0.19%	0.0%	0.0%	0.0%	0.47%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	37	7	3	2	6	3	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
		0.10%	0.54%	0.27%	0.12%	0.31%	0.15%	0.0%	0.10%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.62%	0.0%	0.40%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.49%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	414	47	24	3	79	74	2	14	20	5	1	8	1	6	0	1	0	0	0	2	1	0	0	0	4	1	3	3	0	2	2	0	2	3	5	0	2	0	12	0	5	1	0	2	0	0	0	0	0	2	2	9	6	5	0	2	2	2	0	2	1	3	24	0	1	0	3	6	7	1	1					
		1.17%	3.64%	2.18%	0.18%	4.15%	3.93%	0.12%	0.76%	3.35%	0.59%	0.51%	1.52%	0.50%	0.94%	0.0%	0.18%	0.0%	0.0%	0.0%	0.99%	0.31%	0.0%	0.0%	0.0%	1.61%	0.66%	0.51%	1.34%	0.0%	1.92%	0.35%	0.0%	0.54%	1.41%	3.20%	0.0%	0.35%	0.0%	1.38%	0.0%	2.30%	0.42%	0.0%	0.81%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.59%	0.49%	2.95%	1.28%	0.0%	0.75%	1.29%	0.93%	0.0%	0.31%	0.18%	0.54%	3.46%	0.0%	0.30%	0.0%	0.57%	1.17%	1.62%	0.33%	0.47%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	615	118	17	5	232	22	52	12	10	4	0	4	2	5	9	4	6	4	1	2	0	0	0	9	5	3	0	4	0	0	3	0	0	0	0	0	0	0	3	0	1	0	0	1	0	2	4	1	1	0	0	27	3	0	1	0	0	0	0	3	1	0	23	1	0	1	2	0	3	1	3					
