Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
Наименование Избирательной комиссии:    Родниковская 																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК  701	УИК  702	УИК  703	УИК  704	УИК  705	УИК  706	УИК  707	УИК  708	УИК  709	УИК  710	УИК  711	УИК  712	УИК  713	УИК  714	УИК  715	УИК  716	УИК  717	УИК  718	УИК  719	УИК  720	УИК  721	УИК  722	УИК  723	УИК  724	УИК  725	УИК  726	УИК  727	УИК  728	УИК  729	УИК  730					
18	"1. ""ЕДИНЕНИЕ"""	221	13	11	11	13	14	13	11	17	7	15	9	17	16	4	3	2	1	3	1	3	4	3	2	4	1	4	9	2	3	5					
		1.25%	0.99%	1.18%	1.05%	1.44%	1.75%	1.36%	1.08%	1.52%	0.47%	1.45%	0.70%	1.57%	2.02%	1.39%	1.25%	0.64%	0.84%	1.16%	1.25%	4.28%	0.96%	2.09%	1.66%	1.29%	0.24%	6.15%	2.47%	1.29%	1.18%	1.36%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	231	17	7	11	16	12	18	12	18	17	13	24	13	8	3	0	0	2	1	1	2	4	6	2	4	2	0	6	3	6	3					
		1.30%	1.30%	0.75%	1.05%	1.78%	1.50%	1.88%	1.18%	1.61%	1.15%	1.25%	1.88%	1.20%	1.01%	1.04%	0.0%	0.0%	1.68%	0.38%	1.25%	2.85%	0.96%	4.19%	1.66%	1.29%	0.49%	0.0%	1.64%	1.93%	2.37%	0.81%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	585	42	36	27	24	30	25	38	34	50	32	37	51	47	5	3	14	2	3	4	1	12	0	3	6	18	1	14	0	7	19					
		3.31%	3.22%	3.86%	2.60%	2.67%	3.75%	2.62%	3.75%	3.05%	3.40%	3.09%	2.90%	4.73%	5.93%	1.74%	1.25%	4.50%	1.68%	1.16%	5.0%	1.42%	2.90%	0.0%	2.5%	1.94%	4.48%	1.53%	3.84%	0.0%	2.76%	5.17%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	592	34	27	41	25	27	32	42	53	57	54	66	35	16	11	0	8	3	4	1	0	10	2	1	8	15	2	4	2	5	7					
		3.35%	2.60%	2.89%	3.94%	2.78%	3.37%	3.35%	4.14%	4.75%	3.88%	5.22%	5.18%	3.24%	2.02%	3.83%	0.0%	2.57%	2.52%	1.55%	1.25%	0.0%	2.42%	1.39%	0.83%	2.58%	3.74%	3.07%	1.09%	1.29%	1.97%	1.90%					
22	"5. ""За Русь Святую"""	68	3	3	5	0	4	5	5	0	8	3	1	2	3	1	0	4	0	3	0	0	1	2	0	1	6	0	1	0	3	4					
		0.38%	0.23%	0.32%	0.48%	0.0%	0.50%	0.52%	0.49%	0.0%	0.54%	0.29%	0.07%	0.18%	0.37%	0.34%	0.0%	1.28%	0.0%	1.16%	0.0%	0.0%	0.24%	1.39%	0.0%	0.32%	1.49%	0.0%	0.27%	0.0%	1.18%	1.08%					
23	"6. ""Объединенная Российская партия ""Русь"""	35	3	0	0	4	0	1	4	0	1	1	3	1	2	3	0	2	0	0	0	0	1	0	0	3	1	0	2	0	1	2					
		0.19%	0.23%	0.0%	0.0%	0.44%	0.0%	0.10%	0.39%	0.0%	0.06%	0.09%	0.23%	0.09%	0.25%	1.04%	0.0%	0.64%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.97%	0.24%	0.0%	0.54%	0.0%	0.39%	0.54%					
24	"7. ""Новый курс - Автомобильная Россия"""	102	3	6	10	3	3	8	3	3	12	6	8	8	6	1	2	1	0	0	0	1	0	0	1	2	7	0	2	0	3	3					
		0.57%	0.23%	0.64%	0.96%	0.33%	0.37%	0.83%	0.29%	0.26%	0.81%	0.58%	0.62%	0.74%	0.75%	0.34%	0.83%	0.32%	0.0%	0.0%	0.0%	1.42%	0.0%	0.0%	0.83%	0.64%	1.74%	0.0%	0.54%	0.0%	1.18%	0.81%					
25	"8. ""Народно-республиканская партия России"""	16	0	1	1	0	0	0	2	1	1	1	0	1	2	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	2					
		0.09%	0.0%	0.10%	0.09%	0.0%	0.0%	0.0%	0.19%	0.08%	0.06%	0.09%	0.0%	0.09%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.42%	0.24%	0.0%	0.0%	0.0%	0.0%	1.53%	0.27%	0.0%	0.0%	0.54%					
26	"9. ""Российская экологическая партия ""Зеленые"""	50	6	3	4	4	2	1	3	5	3	0	3	5	4	0	0	1	0	0	0	0	0	0	0	0	4	0	2	0	0	0					
		0.28%	0.46%	0.32%	0.38%	0.44%	0.25%	0.10%	0.29%	0.44%	0.20%	0.0%	0.23%	0.46%	0.50%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.99%	0.0%	0.54%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1373	71	52	41	50	54	45	57	28	35	25	33	50	42	50	80	83	10	59	8	4	81	38	12	119	62	5	36	35	64	44					
		7.77%	5.44%	5.57%	3.94%	5.56%	6.75%	4.71%	5.62%	2.51%	2.38%	2.42%	2.59%	4.64%	5.30%	17.42%	33.47%	26.68%	8.40%	22.95%	10.0%	5.71%	19.61%	26.57%	10.0%	38.51%	15.46%	7.69%	9.89%	22.58%	25.29%	11.98%					
28	"11. ""Истинные патриоты России"""	16	1	1	1	0	3	0	0	0	2	1	2	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0					
		0.09%	0.07%	0.10%	0.09%	0.0%	0.37%	0.0%	0.0%	0.0%	0.13%	0.09%	0.15%	0.18%	0.0%	0.0%	0.41%	0.0%	0.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	206	15	11	12	11	8	12	10	20	20	9	13	8	16	1	3	0	3	2	0	0	5	1	4	5	2	3	1	3	4	4					
		1.16%	1.15%	1.18%	1.15%	1.22%	1.00%	1.25%	0.98%	1.79%	1.36%	0.87%	1.02%	0.74%	2.02%	0.34%	1.25%	0.0%	2.52%	0.77%	0.0%	0.0%	1.21%	0.69%	3.33%	1.61%	0.49%	4.61%	0.27%	1.93%	1.58%	1.08%					
30	"13. ""Демократическая партия России"""	53	5	5	2	1	2	1	3	2	6	3	2	4	0	2	0	0	0	1	0	0	2	0	0	1	3	0	0	0	7	1					
		0.30%	0.38%	0.53%	0.19%	0.11%	0.25%	0.10%	0.29%	0.17%	0.40%	0.29%	0.15%	0.37%	0.0%	0.69%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.48%	0.0%	0.0%	0.32%	0.74%	0.0%	0.0%	0.0%	2.76%	0.27%					
31	"14. ""Великая Россия - Евразийский Союз"""	33	4	0	1	2	7	2	0	3	2	3	1	1	0	0	2	0	1	0	0	0	2	0	0	1	0	0	1	0	0	0					
		0.18%	0.30%	0.0%	0.09%	0.22%	0.87%	0.20%	0.0%	0.26%	0.13%	0.29%	0.07%	0.09%	0.0%	0.0%	0.83%	0.0%	0.84%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	0.32%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	48	7	3	2	2	2	5	6	1	6	2	5	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0					
		0.27%	0.53%	0.32%	0.19%	0.22%	0.25%	0.52%	0.59%	0.08%	0.40%	0.19%	0.39%	0.09%	0.0%	0.0%	0.0%	0.32%	0.0%	0.38%	0.0%	1.42%	0.24%	0.69%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1455	102	75	100	75	72	109	104	101	128	95	141	68	55	13	7	20	4	27	7	3	24	4	8	13	27	3	24	8	11	27					
		8.24%	7.82%	8.04%	9.63%	8.35%	9.01%	11.42%	10.26%	9.06%	8.71%	9.19%	11.06%	6.31%	6.94%	4.52%	2.92%	6.43%	3.36%	10.50%	8.75%	4.28%	5.81%	2.79%	6.66%	4.20%	6.73%	4.61%	6.59%	5.16%	4.34%	7.35%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	47	7	2	1	2	4	1	1	3	1	2	1	4	4	1	2	0	2	0	1	0	3	0	0	0	1	0	0	0	1	3					
		0.26%	0.53%	0.21%	0.09%	0.22%	0.50%	0.10%	0.09%	0.26%	0.06%	0.19%	0.07%	0.37%	0.50%	0.34%	0.83%	0.0%	1.68%	0.0%	1.25%	0.0%	0.72%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.39%	0.81%					
35	"18. ""ЛДПР"""	2850	204	134	202	200	129	152	179	186	301	211	192	158	82	26	43	51	5	49	13	7	42	18	16	31	49	11	37	37	34	51					
		16.14%	15.64%	14.37%	19.46%	22.27%	16.14%	15.93%	17.67%	16.69%	20.49%	20.42%	15.07%	14.67%	10.35%	9.05%	17.99%	16.39%	4.20%	19.06%	16.25%	9.99%	10.16%	12.58%	13.33%	10.03%	12.21%	16.92%	10.16%	23.87%	13.43%	13.89%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	382	25	20	21	29	14	18	23	44	20	18	36	18	23	3	3	13	2	1	0	1	5	1	3	6	12	3	6	3	4	7					
		2.16%	1.91%	2.14%	2.02%	3.22%	1.75%	1.88%	2.27%	3.94%	1.36%	1.74%	2.82%	1.67%	2.90%	1.04%	1.25%	4.18%	1.68%	0.38%	0.0%	1.42%	1.21%	0.69%	2.5%	1.94%	2.99%	4.61%	1.64%	1.93%	1.58%	1.90%					
37	"20. ""Политическая партия ""Единая Россия"""	6388	510	371	373	303	274	326	355	403	558	387	472	459	304	76	56	79	61	54	33	30	158	49	59	74	107	20	168	43	72	154					
		36.19%	39.11%	39.80%	35.93%	33.74%	34.29%	34.17%	35.04%	36.17%	37.98%	37.46%	37.04%	42.61%	38.38%	26.48%	23.43%	25.40%	51.26%	21.01%	41.25%	42.85%	38.25%	34.26%	49.16%	23.94%	26.68%	30.76%	46.15%	27.74%	28.45%	41.96%					
38	"21. ""Российская Конституционно-демократическая партия"""	24	5	0	0	0	1	0	1	0	1	0	1	3	5	1	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0					
		0.13%	0.38%	0.0%	0.0%	0.0%	0.12%	0.0%	0.09%	0.0%	0.06%	0.0%	0.07%	0.27%	0.63%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.69%	0.83%	0.0%	0.0%	1.53%	0.27%	0.0%	0.39%	0.0%					
39	"22. ""Развитие предпринимательства"""	40	1	1	4	4	1	5	3	3	1	1	6	0	3	1	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	2					
		0.22%	0.07%	0.10%	0.38%	0.44%	0.12%	0.52%	0.29%	0.26%	0.06%	0.09%	0.47%	0.0%	0.37%	0.34%	0.0%	0.32%	0.0%	0.0%	1.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.54%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1950	156	121	116	96	98	130	106	123	135	95	148	127	106	76	16	21	16	39	6	7	43	5	3	16	61	7	25	14	21	17					
		11.04%	11.96%	12.98%	11.17%	10.69%	12.26%	13.62%	10.46%	11.04%	9.18%	9.19%	11.61%	11.79%	13.38%	26.48%	6.69%	6.75%	13.44%	15.17%	7.5%	9.99%	10.41%	3.49%	2.5%	5.17%	15.21%	10.76%	6.86%	9.03%	8.30%	4.63%					
																																					
41	Против всех	651	52	33	41	25	24	30	35	40	83	45	64	28	21	8	16	8	4	10	1	6	6	7	4	10	13	4	15	3	6	9					
		3.68%	3.98%	3.54%	3.94%	2.78%	3.00%	3.14%	3.45%	3.59%	5.65%	4.35%	5.02%	2.59%	2.65%	2.78%	6.69%	2.57%	3.36%	3.89%	1.25%	8.57%	1.45%	4.89%	3.33%	3.23%	3.24%	6.15%	4.12%	1.93%	2.37%	2.45%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
