Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Саракташская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523									
24	"6. Политическая партия ""Гражданская Платформа"""	26	2	2	2	0	0	0	0	0	1	0	0	0	3	0	1	1	0	2	1	0	0	0	1	1	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	2	1	0	0									
		0.18%	0.28%	0.24%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	1.41%	0.00%	0.43%	0.69%	0.00%	0.88%	0.40%	0.00%	0.00%	0.00%	0.31%	0.43%	0.00%	0.00%	0.81%	0.00%	0.00%	0.45%	0.74%	0.00%	0.88%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.35%	0.37%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2894	143	168	252	179	194	150	70	138	40	17	17	20	31	60	28	20	43	62	57	9	38	155	54	48	9	23	16	25	41	60	23	57	35	91	23	40	32	55	29	73	34	9	19	7	87	57	16	40									
		20.28%	20.20%	20.10%	25.33%	27.97%	19.48%	21.65%	31.39%	25.23%	16.26%	10.18%	17.89%	19.23%	14.55%	22.90%	12.17%	13.89%	26.06%	27.31%	22.62%	5.26%	14.13%	18.17%	16.98%	20.87%	11.54%	29.87%	13.01%	26.60%	20.50%	27.15%	16.91%	30.98%	30.97%	25.56%	21.70%	22.60%	27.12%	17.97%	14.15%	15.90%	27.42%	9.47%	14.73%	13.46%	15.13%	21.11%	6.43%	16.74%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	47	3	4	1	4	2	4	1	3	0	1	0	0	0	1	1	1	0	1	0	3	0	2	1	0	0	0	1	1	0	2	0	0	0	0	0	1	0	2	1	1	0	0	1	0	1	0	0	3									
		0.33%	0.42%	0.48%	0.10%	0.63%	0.20%	0.58%	0.45%	0.55%	0.00%	0.60%	0.00%	0.00%	0.00%	0.38%	0.43%	0.69%	0.00%	0.44%	0.00%	1.75%	0.00%	0.23%	0.31%	0.00%	0.00%	0.00%	0.81%	1.06%	0.00%	0.90%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.65%	0.49%	0.22%	0.00%	0.00%	0.78%	0.00%	0.17%	0.00%	0.00%	1.26%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	133	4	19	15	9	10	12	3	6	2	13	4	0	1	0	1	0	4	1	1	1	3	3	1	3	0	0	0	1	0	1	0	0	1	2	0	0	0	3	0	3	2	0	0	0	1	1	0	2									
		0.93%	0.56%	2.27%	1.51%	1.41%	1.00%	1.73%	1.35%	1.10%	0.81%	7.78%	4.21%	0.00%	0.47%	0.00%	0.43%	0.00%	2.42%	0.44%	0.40%	0.58%	1.12%	0.35%	0.31%	1.30%	0.00%	0.00%	0.00%	1.06%	0.00%	0.45%	0.00%	0.00%	0.88%	0.56%	0.00%	0.00%	0.00%	0.98%	0.00%	0.65%	1.61%	0.00%	0.00%	0.00%	0.17%	0.37%	0.00%	0.84%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	26	2	0	1	1	4	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	1	1	0	0	0	1	0	0	0	1	0	0	1	1	0	1	2	0	0	0	0	0	1	0	1									
		0.18%	0.28%	0.00%	0.10%	0.16%	0.40%	0.29%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.43%	1.28%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.56%	0.85%	0.00%	0.49%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.42%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	94	12	5	4	5	5	6	0	5	1	0	2	0	4	1	0	0	2	1	0	0	1	5	5	1	1	0	0	0	0	0	0	0	0	3	1	1	0	2	4	2	0	0	0	12	1	0	0	2									
		0.66%	1.69%	0.60%	0.40%	0.78%	0.50%	0.87%	0.00%	0.91%	0.41%	0.00%	2.11%	0.00%	1.88%	0.38%	0.00%	0.00%	1.21%	0.44%	0.00%	0.00%	0.37%	0.59%	1.57%	0.43%	1.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.84%	0.94%	0.56%	0.00%	0.65%	1.95%	0.44%	0.00%	0.00%	0.00%	23.08%	0.17%	0.00%	0.00%	0.84%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2628	182	215	197	128	221	141	32	99	41	22	8	19	48	23	45	27	21	32	35	45	54	146	43	47	19	6	32	11	37	32	7	43	12	69	11	37	22	66	33	92	8	20	27	0	87	39	26	21									
		18.42%	25.71%	25.72%	19.80%	20.00%	22.19%	20.35%	14.35%	18.10%	16.67%	13.17%	8.42%	18.27%	22.54%	8.78%	19.57%	18.75%	12.73%	14.10%	13.89%	26.32%	20.07%	17.12%	13.52%	20.43%	24.36%	7.79%	26.02%	11.70%	18.50%	14.48%	5.15%	23.37%	10.62%	19.38%	10.38%	20.90%	18.64%	21.57%	16.10%	20.04%	6.45%	21.05%	20.93%	0.00%	15.13%	14.44%	10.44%	8.79%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	79	3	2	5	1	0	1	1	4	1	1	2	1	3	0	3	3	0	2	2	1	0	5	3	4	3	2	1	0	0	1	0	0	1	2	2	1	0	0	3	8	0	0	0	0	6	0	1	0									
		0.55%	0.42%	0.24%	0.50%	0.16%	0.00%	0.14%	0.45%	0.73%	0.41%	0.60%	2.11%	0.96%	1.41%	0.00%	1.30%	2.08%	0.00%	0.88%	0.79%	0.58%	0.00%	0.59%	0.94%	1.74%	3.85%	2.60%	0.81%	0.00%	0.00%	0.45%	0.00%	0.00%	0.88%	0.56%	1.89%	0.56%	0.00%	0.00%	1.46%	1.74%	0.00%	0.00%	0.00%	0.00%	1.04%	0.00%	0.40%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	748	40	50	57	35	65	53	8	15	18	8	3	2	7	15	15	8	11	14	24	24	14	33	10	12	3	6	6	7	24	4	3	7	3	21	7	5	10	10	14	24	4	3	1	1	10	23	4	7									
		5.24%	5.65%	5.98%	5.73%	5.47%	6.53%	7.65%	3.59%	2.74%	7.32%	4.79%	3.16%	1.92%	3.29%	5.73%	6.52%	5.56%	6.67%	6.17%	9.52%	14.04%	5.20%	3.87%	3.14%	5.22%	3.85%	7.79%	4.88%	7.45%	12.00%	1.81%	2.21%	3.80%	2.65%	5.90%	6.60%	2.82%	8.47%	3.27%	6.83%	5.23%	3.23%	3.16%	0.78%	1.92%	1.74%	8.52%	1.61%	2.93%									
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
