Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																														
Дата голосования: 02.12.2007																																																																																														
																																																																																														
"Наименование Избирательной комиссии:    Казань, Приволжская"																																																																																														
																																																																																														
Сводная таблица результатов выборов																																																																																														
																																																																																														
		Сумма	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	3867	50	1	21	28	29	19	35	57	35	25	15	10	0	30	28	23	35	26	60	43	18	37	25	105	18	30	17	15	53	35	29	14	19	9	23	8	14	1324	50	35	24	21	23	24	18	29	16	20	37	46	33	35	11	14	22	22	21	20	13	48	8	26	15	16	17	23	20	32	28	28	30	18	23	35	27	39	41	20	15	86	69	61	28	15	21	2	179					
14	Число погашенных неиспользованных открепительных удостоверений	183	0	0	19	0	0	0	0	0	0	0	0	0	0	0	19	20	0	0	0	0	0	6	0	0	39	0	0	0	4	0	0	0	0	0	2	0	13	0	0	0	0	0	0	1	0	0	0	15	16	0	2	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																														
18	1.Политическая партия «Аграрная партия России»	1221	6	17	1	9	14	19	29	13	31	8	7	0	17	5	13	8	28	23	17	16	16	15	15	5	10	2	13	13	6	17	36	11	21	15	15	2	5	2	17	3	0	16	25	35	37	18	38	35	17	37	46	33	2	26	17	12	21	23	3	1	20	20	15	8	2	4	0	24	30	4	15	15	13	14	13	19	0	8	10	12	4	1	2	0	1	0	5					
		0.97%	0.84%	1.26%	0.15%	1.22%	0.65%	0.95%	1.62%	1.93%	1.78%	0.52%	0.55%	0.00%	1.14%	0.51%	0.87%	0.85%	1.85%	1.56%	1.69%	1.37%	1.38%	1.62%	1.01%	0.37%	1.16%	0.19%	0.72%	1.04%	0.43%	0.96%	2.24%	0.99%	1.79%	0.80%	0.67%	0.10%	0.21%	0.10%	0.92%	0.18%	0.00%	1.17%	1.70%	2.04%	2.22%	0.96%	2.13%	1.93%	1.42%	2.03%	2.21%	1.81%	0.11%	1.30%	0.79%	1.01%	1.21%	1.26%	0.17%	0.05%	1.17%	1.27%	0.86%	0.58%	0.12%	0.24%	0.00%	1.39%	1.67%	0.26%	1.08%	0.73%	0.81%	0.65%	0.94%	1.02%	0.00%	0.43%	1.32%	0.86%	1.39%	0.36%	0.80%	0.00%	1.04%	0.00%	1.15%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1165	10	13	0	4	4	6	9	3	19	3	7	0	11	8	15	5	27	17	12	29	7	12	22	3	13	2	10	13	7	28	29	10	13	15	8	5	3	10	21	0	0	13	35	27	31	26	28	28	22	28	39	32	7	33	32	9	36	24	8	2	22	23	17	9	1	5	0	22	38	6	26	12	28	30	8	10	0	3	3	3	0	1	1	1	0	0	3					
		0.93%	1.40%	0.96%	0.00%	0.54%	0.19%	0.30%	0.50%	0.45%	1.09%	0.20%	0.55%	0.00%	0.74%	0.82%	1.00%	0.53%	1.79%	1.15%	1.19%	2.47%	0.60%	1.29%	1.48%	0.22%	1.51%	0.19%	0.56%	1.04%	0.50%	1.58%	1.81%	0.91%	1.11%	0.80%	0.36%	0.25%	0.12%	0.50%	1.13%	0.00%	0.00%	0.95%	2.38%	1.57%	1.86%	1.39%	1.57%	1.55%	1.83%	1.53%	1.87%	1.76%	0.40%	1.65%	1.49%	0.75%	2.08%	1.32%	0.44%	0.10%	1.29%	1.45%	0.97%	0.65%	0.06%	0.29%	0.00%	1.28%	2.11%	0.39%	1.87%	0.59%	1.75%	1.39%	0.58%	0.54%	0.00%	0.16%	0.39%	0.22%	0.00%	0.36%	0.40%	1.04%	0.00%	0.00%	0.69%					
20	3.Политическая партия «Демократическая партия России»	277	4	2	0	2	1	3	5	2	12	1	1	0	0	0	3	2	4	6	4	1	1	3	5	1	2	4	11	2	0	4	6	3	2	4	5	4	4	7	3	1	3	5	4	3	6	2	3	13	4	5	3	5	8	6	6	3	6	2	7	1	5	2	1	2	3	2	4	2	5	1	3	3	3	4	0	4	9	0	0	2	1	0	0	0	0	1	0					
		0.22%	0.56%	0.15%	0.00%	0.27%	0.05%	0.15%	0.28%	0.30%	0.69%	0.07%	0.08%	0.00%	0.00%	0.00%	0.20%	0.21%	0.26%	0.41%	0.40%	0.09%	0.09%	0.32%	0.34%	0.07%	0.23%	0.39%	0.61%	0.16%	0.00%	0.23%	0.37%	0.27%	0.17%	0.21%	0.22%	0.20%	0.17%	0.35%	0.16%	0.06%	0.24%	0.36%	0.27%	0.17%	0.36%	0.11%	0.17%	0.72%	0.33%	0.27%	0.14%	0.27%	0.45%	0.30%	0.28%	0.25%	0.35%	0.11%	0.39%	0.05%	0.29%	0.13%	0.06%	0.15%	0.17%	0.12%	0.21%	0.12%	0.28%	0.06%	0.22%	0.15%	0.19%	0.19%	0.00%	0.21%	0.53%	0.00%	0.00%	0.14%	0.35%	0.00%	0.00%	0.00%	0.00%	2.86%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	10209	45	114	10	47	83	179	216	39	163	62	106	2	109	69	124	42	174	154	123	153	100	112	135	114	78	90	132	127	43	183	161	153	153	202	132	177	112	148	162	107	137	128	143	184	205	177	153	212	122	218	101	166	23	173	309	95	157	123	156	207	117	155	199	95	119	25	188	169	194	62	58	168	127	155	66	107	146	55	41	66	24	10	6	18	2	0	13					
		8.14%	6.32%	8.44%	1.47%	6.39%	3.85%	8.99%	12.05%	5.79%	9.37%	4.03%	8.39%	0.19%	7.32%	7.09%	8.27%	4.46%	11.52%	10.43%	12.20%	13.05%	8.62%	12.07%	9.08%	8.34%	9.05%	8.71%	7.35%	10.14%	3.07%	10.32%	10.02%	13.90%	13.04%	10.78%	5.87%	8.92%	4.65%	7.41%	8.73%	6.25%	10.81%	9.32%	9.71%	10.70%	12.33%	9.43%	8.59%	11.71%	10.17%	11.94%	4.85%	9.13%	1.30%	8.65%	14.35%	7.96%	9.08%	6.74%	8.62%	10.53%	6.87%	9.80%	11.36%	6.90%	6.84%	1.47%	10.09%	9.82%	10.78%	4.01%	4.16%	8.21%	7.94%	7.17%	4.78%	5.73%	8.63%	2.97%	5.39%	4.76%	8.33%	3.64%	2.40%	18.75%	2.08%	0.00%	3.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	1763	10	10	0	21	17	30	24	8	30	16	7	3	16	6	21	4	23	28	19	17	13	21	24	12	18	8	14	11	9	28	33	11	12	27	6	7	5	8	31	12	23	19	21	40	41	22	35	80	21	36	31	35	33	16	32	18	23	22	25	26	46	37	7	14	34	35	34	38	57	28	28	24	30	28	11	26	39	3	7	9	3	0	2	1	0	0	3					
		1.40%	1.40%	0.74%	0.00%	2.86%	0.79%	1.51%	1.34%	1.19%	1.72%	1.04%	0.55%	0.29%	1.07%	0.62%	1.40%	0.43%	1.52%	1.90%	1.88%	1.45%	1.12%	2.26%	1.62%	0.88%	2.09%	0.77%	0.78%	0.88%	0.64%	1.58%	2.05%	0.99%	1.02%	1.44%	0.27%	0.35%	0.21%	0.40%	1.67%	0.70%	1.82%	1.38%	1.43%	2.33%	2.47%	1.17%	1.97%	4.42%	1.75%	1.97%	1.49%	1.92%	1.87%	0.80%	1.49%	1.51%	1.33%	1.21%	1.38%	1.32%	2.70%	2.34%	0.40%	1.02%	1.96%	2.06%	1.82%	2.21%	3.17%	1.81%	2.01%	1.17%	1.88%	1.30%	0.80%	1.39%	2.30%	0.16%	0.92%	0.65%	1.04%	0.00%	0.80%	1.04%	0.00%	0.00%	0.69%					
23	6.Политическая партия «Партия социальной справедливости»	380	5	6	0	2	0	7	6	1	6	4	3	0	2	0	3	3	4	9	2	6	2	6	1	1	4	2	15	2	0	10	12	6	3	8	5	8	0	1	3	8	3	2	7	2	5	5	7	1	7	6	7	10	5	2	12	1	10	5	3	1	7	2	7	2	1	7	12	9	9	7	5	10	6	7	0	6	5	2	0	4	2	0	0	0	0	1	2					
		0.30%	0.70%	0.44%	0.00%	0.27%	0.00%	0.35%	0.33%	0.15%	0.34%	0.26%	0.24%	0.00%	0.13%	0.00%	0.20%	0.32%	0.26%	0.61%	0.20%	0.51%	0.17%	0.65%	0.07%	0.07%	0.46%	0.19%	0.84%	0.16%	0.00%	0.56%	0.75%	0.54%	0.26%	0.43%	0.22%	0.40%	0.00%	0.05%	0.16%	0.47%	0.24%	0.15%	0.48%	0.12%	0.30%	0.27%	0.39%	0.06%	0.58%	0.33%	0.34%	0.55%	0.28%	0.10%	0.56%	0.08%	0.58%	0.27%	0.17%	0.05%	0.41%	0.13%	0.40%	0.15%	0.06%	0.41%	0.64%	0.52%	0.50%	0.45%	0.36%	0.49%	0.38%	0.32%	0.00%	0.32%	0.30%	0.11%	0.00%	0.29%	0.69%	0.00%	0.00%	0.00%	0.00%	2.86%	0.46%					
24	7.Политическая партия «Либерально-демократическая партия России»	9002	41	95	50	49	90	137	123	35	113	114	106	102	78	77	84	50	121	88	78	98	74	66	112	74	64	79	108	100	123	122	98	90	91	120	158	128	240	151	134	132	113	109	90	135	112	146	125	132	107	123	140	120	115	157	126	98	142	143	124	161	144	130	122	91	154	110	159	147	128	118	94	119	114	113	103	163	169	186	49	33	19	4	8	3	1	0	10					
		7.17%	5.76%	7.03%	7.36%	6.67%	4.17%	6.88%	6.86%	5.19%	6.49%	7.42%	8.39%	9.81%	5.23%	7.91%	5.60%	5.31%	8.01%	5.96%	7.74%	8.36%	6.38%	7.11%	7.54%	5.41%	7.42%	7.65%	6.02%	7.98%	8.79%	6.88%	6.10%	8.17%	7.76%	6.41%	7.03%	6.45%	9.97%	7.57%	7.22%	7.71%	8.92%	7.94%	6.11%	7.85%	6.73%	7.78%	7.02%	7.29%	8.92%	6.74%	6.73%	6.60%	6.51%	7.85%	5.85%	8.21%	8.21%	7.84%	6.85%	8.19%	8.46%	8.22%	6.97%	6.61%	8.86%	6.48%	8.53%	8.54%	7.12%	7.64%	6.75%	5.82%	7.13%	5.23%	7.46%	8.73%	9.99%	10.05%	6.45%	2.38%	6.60%	1.45%	3.20%	3.13%	1.04%	0.00%	2.31%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	7049	44	82	6	44	35	134	97	40	18	80	83	61	104	36	89	57	19	132	84	106	83	93	104	50	76	22	13	91	19	28	136	112	105	101	53	50	9	50	105	59	62	149	127	162	176	171	99	82	99	173	151	114	153	131	115	19	141	150	40	161	53	130	164	44	30	138	45	164	147	110	127	115	35	187	0	94	106	32	28	45	28	6	2	11	3	1	19					
		5.62%	6.18%	6.07%	0.88%	5.99%	1.62%	6.73%	5.41%	5.93%	1.03%	5.20%	6.57%	5.87%	6.98%	3.70%	5.93%	6.06%	1.26%	8.94%	8.33%	9.04%	7.16%	10.02%	6.99%	3.66%	8.82%	2.13%	0.72%	7.26%	1.36%	1.58%	8.47%	10.17%	8.95%	5.39%	2.36%	2.52%	0.37%	2.51%	5.66%	3.45%	4.89%	10.85%	8.62%	9.42%	10.58%	9.11%	5.56%	4.53%	8.25%	9.47%	7.26%	6.27%	8.66%	6.55%	5.34%	1.59%	8.15%	8.22%	2.21%	8.19%	3.11%	8.22%	9.37%	3.20%	1.73%	8.13%	2.41%	9.53%	8.17%	7.12%	9.12%	5.62%	2.19%	8.65%	0.00%	5.03%	6.26%	1.73%	3.68%	3.24%	9.72%	2.18%	0.80%	11.46%	3.13%	2.86%	4.39%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	949	4	12	1	6	4	9	16	1	11	5	9	0	17	1	7	6	13	10	4	10	6	8	28	0	4	6	12	24	2	14	20	14	10	22	9	13	5	9	10	6	0	7	8	22	22	34	14	35	24	34	25	31	25	40	15	6	11	11	8	1	7	13	10	3	2	8	0	26	17	22	13	15	13	16	1	5	0	17	9	5	1	2	2	0	0	0	1					
		0.76%	0.56%	0.89%	0.15%	0.82%	0.19%	0.45%	0.89%	0.15%	0.63%	0.33%	0.71%	0.00%	1.14%	0.10%	0.47%	0.64%	0.86%	0.68%	0.40%	0.85%	0.52%	0.86%	1.88%	0.00%	0.46%	0.58%	0.67%	1.92%	0.14%	0.79%	1.25%	1.27%	0.85%	1.17%	0.40%	0.66%	0.21%	0.45%	0.54%	0.35%	0.00%	0.51%	0.54%	1.28%	1.32%	1.81%	0.79%	1.93%	2.00%	1.86%	1.20%	1.70%	1.41%	1.99%	0.70%	0.50%	0.64%	0.60%	0.44%	0.05%	0.41%	0.82%	0.57%	0.22%	0.12%	0.47%	0.00%	1.51%	0.94%	1.42%	0.93%	0.73%	0.81%	0.74%	0.07%	0.27%	0.00%	0.92%	1.18%	0.36%	0.35%	0.73%	0.80%	0.00%	0.00%	0.00%	0.23%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	89238	523	972	607	532	1890	1441	1222	515	1289	1202	898	870	1080	757	1103	731	1035	932	611	697	826	550	980	1092	533	797	1436	819	1182	1244	993	613	728	1280	1833	1560	2018	1579	1302	1352	883	876	962	1011	928	1189	1229	1086	706	1051	1454	1165	1307	1325	1402	897	1085	1246	1356	1337	1232	983	1200	1072	1368	1285	1316	1065	1072	1123	969	1519	1166	1497	1135	1402	1166	1536	608	1189	198	245	222	60	88	30	373					
		71.11%	73.46%	71.95%	89.40%	72.38%	87.62%	72.34%	68.15%	76.41%	74.08%	78.20%	71.04%	83.65%	72.48%	77.80%	73.53%	77.68%	68.54%	63.10%	60.62%	59.47%	71.21%	59.27%	65.95%	79.88%	61.83%	77.15%	80.00%	65.36%	84.43%	70.12%	61.83%	55.68%	62.06%	68.34%	81.50%	78.63%	83.84%	79.11%	70.19%	78.97%	69.69%	63.80%	65.31%	58.81%	55.80%	63.35%	69.01%	60.00%	58.83%	57.56%	69.87%	64.05%	73.97%	66.22%	65.09%	75.13%	62.72%	68.27%	74.92%	68.01%	72.34%	62.18%	68.53%	77.85%	78.67%	75.72%	70.60%	61.88%	59.59%	72.69%	69.56%	74.24%	72.88%	69.24%	82.19%	75.05%	68.91%	82.98%	80.00%	85.66%	68.75%	89.09%	88.80%	62.50%	91.67%	85.71%	86.14%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	2998	11	18	2	6	4	20	31	9	34	24	19	1	30	8	14	13	42	50	27	30	21	36	37	14	33	9	18	44	1	62	53	62	22	62	15	20	6	6	52	28	23	42	33	90	82	67	42	86	53	93	76	80	61	75	69	33	82	63	60	67	43	69	4	22	5	74	83	37	66	57	40	34	28	45	28	21	43	5	0	10	2	6	2	0	1	0	2					
		2.39%	1.54%	1.33%	0.29%	0.82%	0.19%	1.00%	1.73%	1.34%	1.95%	1.56%	1.50%	0.10%	2.01%	0.82%	0.93%	1.38%	2.78%	3.39%	2.68%	2.56%	1.81%	3.88%	2.49%	1.02%	3.83%	0.87%	1.00%	3.51%	0.07%	3.49%	3.30%	5.63%	1.88%	3.31%	0.67%	1.01%	0.25%	0.30%	2.80%	1.64%	1.82%	3.06%	2.24%	5.24%	4.93%	3.57%	2.36%	4.75%	4.42%	5.09%	3.65%	4.40%	3.45%	3.75%	3.20%	2.76%	4.74%	3.45%	3.31%	3.41%	2.52%	4.36%	0.23%	1.60%	0.29%	4.36%	4.45%	2.15%	3.67%	3.69%	2.87%	1.66%	1.75%	2.08%	2.03%	1.12%	2.54%	0.27%	0.00%	0.72%	0.69%	2.18%	0.80%	0.00%	1.04%	0.00%	0.46%					
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
