Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																													
Дата голосования: 04.12.2011																																																																																													
																																																																																													
"Наименование Избирательной комиссии:    Казань, Приволжская"																																																																																													
																																																																																													
Сводная таблица результатов выборов																																																																																													
																																																																																													
		Сумма	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3973	50	50	50	50	50	50	50	50	50	50	50	53	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	70	50	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2142	14	27	6	18	23	22	29	15	8	13	3	51	47	40	16	16	31	13	12	30	20	15	25	17	31	25	24	17	42	40	24	28	30	20	35	23	27	45	43	24	19	21	28	23	34	45	20	22	26	32	39	37	47	33	41	16	36	22	13	37	23	50	30	23	24	27	29	17	32	22	25	21	14	27	33	32	37	65	31	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1447	14	15	18	18	12	0	22	10	10	17	12	10	18	20	16	23	20	5	17	29	34	24	22	11	8	6	7	12	62	23	17	11	24	10	10	9	24	10	23	16	6	10	7	15	21	15	12	13	28	12	12	20	21	10	22	22	16	13	18	8	3	4	8	12	17	19	25	6	7	9	21	25	20	31	23	30	24	7	13	40	37	18	12	13	9	44					
14	Число погашенных неиспользованных открепительных удостоверений	1831	36	23	44	32	27	28	21	35	42	37	47	2	3	10	34	34	19	37	38	20	30	35	25	33	19	25	26	33	8	10	26	22	20	30	15	27	23	5	7	26	31	29	22	27	16	5	30	28	24	18	11	13	3	17	9	34	14	28	37	13	27	0	20	27	26	23	21	33	18	28	25	29	36	23	17	18	13	5	19	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	11632	71	172	41	87	139	149	161	91	234	104	59	221	236	94	147	126	127	160	94	105	92	117	136	64	107	110	155	132	289	221	97	65	158	98	105	105	138	124	134	236	145	102	142	71	132	182	192	82	91	86	106	184	260	127	134	256	146	174	168	178	174	206	111	56	159	212	217	156	167	133	159	147	186	128	285	272	181	48	117	100	37	40	3	22	9	48					
		11.02%	16.78%	11.95%	7.72%	10.85%	8.90%	10.07%	9.84%	12.87%	13.93%	9.75%	8.54%	14.99%	16.99%	11.91%	10.22%	14.79%	10.01%	14.01%	10.40%	12.04%	14.09%	14.90%	10.58%	6.52%	11.29%	12.60%	10.67%	6.63%	16.60%	15.87%	7.44%	6.72%	16.06%	7.04%	6.97%	7.11%	7.88%	8.89%	9.64%	14.89%	14.31%	9.04%	11.95%	4.87%	9.90%	10.67%	12.79%	6.56%	6.87%	5.94%	7.59%	12.79%	13.83%	8.70%	9.28%	15.78%	9.65%	11.17%	11.44%	9.92%	13.44%	14.28%	8.18%	6.14%	12.91%	10.33%	15.22%	11.93%	12.11%	11.17%	14.17%	10.43%	9.84%	8.62%	17.60%	17.89%	12.70%	6.69%	11.85%	6.27%	11.38%	15.87%	9.09%	10.53%	20.00%	11.14%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	7955	16	54	32	15	144	147	152	34	118	96	62	15	53	65	143	59	96	78	40	70	71	70	101	43	92	79	148	32	85	53	126	58	42	21	35	70	129	154	121	146	83	83	85	140	142	130	128	97	87	138	165	60	101	134	130	186	56	148	129	202	102	101	109	92	98	216	104	124	106	123	74	135	134	188	177	87	116	51	71	85	49	5	2	13	4	0					
		7.53%	3.78%	3.75%	6.03%	1.87%	9.22%	9.93%	9.29%	4.81%	7.02%	8.99%	8.97%	1.02%	3.82%	8.24%	9.94%	6.92%	7.57%	6.83%	4.42%	8.03%	10.87%	8.92%	7.86%	4.38%	9.70%	9.05%	10.19%	1.61%	4.88%	3.80%	9.67%	5.99%	4.27%	1.51%	2.32%	4.74%	7.37%	11.04%	8.71%	9.21%	8.19%	7.36%	7.15%	9.60%	10.64%	7.62%	8.53%	7.76%	6.57%	9.53%	11.82%	4.17%	5.37%	9.18%	9.00%	11.47%	3.70%	9.50%	8.78%	11.25%	7.88%	6.99%	8.03%	10.09%	7.95%	10.52%	7.29%	9.48%	7.69%	10.33%	6.60%	9.57%	7.09%	12.66%	10.93%	5.72%	8.14%	7.11%	7.19%	5.33%	15.08%	1.98%	6.06%	6.22%	8.89%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	575	1	1	5	3	9	15	12	3	7	8	2	5	0	4	3	3	3	13	5	2	4	2	3	7	3	8	7	3	23	10	7	4	2	20	3	8	4	5	10	15	5	3	2	7	13	5	13	8	4	4	3	1	21	10	8	22	15	9	2	3	9	8	6	3	4	7	7	4	10	12	7	4	8	19	6	11	13	6	4	14	1	0	0	0	0	2					
		0.54%	0.24%	0.07%	0.94%	0.37%	0.58%	1.01%	0.73%	0.42%	0.42%	0.75%	0.29%	0.34%	0.00%	0.51%	0.21%	0.35%	0.24%	1.14%	0.55%	0.23%	0.61%	0.25%	0.23%	0.71%	0.32%	0.92%	0.48%	0.15%	1.32%	0.72%	0.54%	0.41%	0.20%	1.44%	0.20%	0.54%	0.23%	0.36%	0.72%	0.95%	0.49%	0.27%	0.17%	0.48%	0.97%	0.29%	0.87%	0.64%	0.30%	0.28%	0.21%	0.07%	1.12%	0.68%	0.55%	1.36%	0.99%	0.58%	0.14%	0.17%	0.69%	0.55%	0.44%	0.33%	0.32%	0.34%	0.49%	0.31%	0.73%	1.01%	0.62%	0.28%	0.42%	1.28%	0.37%	0.72%	0.91%	0.84%	0.41%	0.88%	0.31%	0.00%	0.00%	0.00%	0.00%	0.46%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	14405	71	252	79	132	232	168	255	107	202	128	74	250	201	108	162	102	190	117	163	135	148	78	160	194	113	110	182	122	279	158	163	165	61	168	227	192	227	180	161	284	213	140	178	242	189	247	261	218	195	250	197	169	235	222	189	189	298	177	185	249	154	171	192	156	147	280	206	146	146	178	184	202	289	198	257	148	165	71	109	75	68	38	2	45	4	31					
		13.64%	16.78%	17.51%	14.88%	16.46%	14.85%	11.35%	15.59%	15.13%	12.02%	11.99%	10.71%	16.96%	14.47%	13.69%	11.26%	11.97%	14.97%	10.25%	18.03%	15.48%	22.66%	9.94%	12.45%	19.76%	11.92%	12.60%	12.53%	6.13%	16.03%	11.34%	12.51%	17.06%	6.20%	12.07%	15.07%	12.99%	12.96%	12.90%	11.58%	17.92%	21.03%	12.41%	14.98%	16.60%	14.17%	14.48%	17.39%	17.44%	14.72%	17.27%	14.11%	11.74%	12.50%	15.21%	13.09%	11.65%	19.70%	11.36%	12.59%	13.87%	11.89%	11.85%	14.15%	17.11%	11.93%	13.64%	14.45%	11.16%	10.59%	14.95%	16.40%	14.33%	15.29%	13.33%	15.87%	9.74%	11.58%	9.90%	11.04%	4.71%	20.92%	15.08%	6.06%	21.53%	8.89%	7.19%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1406	4	1	6	3	11	31	14	12	11	14	14	49	26	5	5	3	10	10	26	6	52	6	17	25	3	6	11	5	39	29	9	39	10	12	4	10	7	4	11	61	5	15	4	20	61	6	21	9	4	6	6	54	56	6	13	160	39	10	3	3	4	7	5	4	5	9	11	10	12	16	18	7	18	17	18	8	11	3	47	27	13	3	1	3	1	6					
		1.33%	0.95%	0.07%	1.13%	0.37%	0.70%	2.09%	0.86%	1.70%	0.65%	1.31%	2.03%	3.32%	1.87%	0.63%	0.35%	0.35%	0.79%	0.88%	2.88%	0.69%	7.96%	0.76%	1.32%	2.55%	0.32%	0.69%	0.76%	0.25%	2.24%	2.08%	0.69%	4.03%	1.02%	0.86%	0.27%	0.68%	0.40%	0.29%	0.79%	3.85%	0.49%	1.33%	0.34%	1.37%	4.57%	0.35%	1.40%	0.72%	0.30%	0.41%	0.43%	3.75%	2.98%	0.41%	0.90%	9.86%	2.58%	0.64%	0.20%	0.17%	0.31%	0.49%	0.37%	0.44%	0.41%	0.44%	0.77%	0.76%	0.87%	1.34%	1.60%	0.50%	0.95%	1.14%	1.11%	0.53%	0.77%	0.42%	4.76%	1.69%	4.00%	1.19%	3.03%	1.44%	2.22%	1.39%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	68006	254	914	359	540	1005	958	1022	446	1092	697	472	926	861	509	971	548	825	743	567	543	265	510	791	641	596	536	933	1690	973	906	874	634	699	1039	1127	1082	1238	918	933	808	550	782	772	949	784	1118	850	792	915	956	898	939	1186	949	946	758	904	1013	973	1152	834	937	920	595	811	1264	862	853	916	717	661	910	1211	906	849	983	908	531	621	1269	143	164	25	121	23	341					
		64.41%	60.05%	63.52%	67.61%	67.33%	64.34%	64.73%	62.47%	63.08%	65.00%	65.32%	68.31%	62.82%	61.99%	64.51%	67.48%	64.32%	65.01%	65.06%	62.72%	62.27%	40.58%	64.97%	61.56%	65.27%	62.87%	61.40%	64.26%	84.92%	55.89%	65.04%	67.08%	65.56%	71.04%	74.64%	74.83%	73.26%	70.70%	65.81%	67.12%	50.98%	54.29%	69.33%	64.98%	65.09%	58.77%	65.53%	56.63%	63.36%	69.06%	66.02%	64.33%	65.25%	63.09%	65.00%	65.51%	46.73%	59.75%	65.02%	66.24%	64.18%	64.40%	64.93%	67.80%	65.24%	65.83%	61.57%	60.45%	65.21%	66.42%	60.20%	58.91%	64.54%	64.07%	61.01%	52.44%	64.67%	63.72%	74.06%	62.92%	79.61%	44.00%	65.08%	75.76%	57.89%	51.11%	79.12%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	551	2	1	0	3	6	12	10	4	9	5	1	3	10	1	4	2	6	11	3	2	11	0	4	8	9	7	9	3	24	6	1	2	5	27	2	7	6	2	7	9	6	3	5	9	6	8	10	8	4	5	4	10	21	7	8	30	20	7	3	4	7	3	3	3	6	2	9	3	8	8	4	3	6	17	5	4	8	3	13	10	2	0	0	0	1	1					
		0.52%	0.47%	0.07%	0.00%	0.37%	0.38%	0.81%	0.61%	0.57%	0.54%	0.47%	0.14%	0.20%	0.72%	0.13%	0.28%	0.23%	0.47%	0.96%	0.33%	0.23%	1.68%	0.00%	0.31%	0.81%	0.95%	0.80%	0.62%	0.15%	1.38%	0.43%	0.08%	0.21%	0.51%	1.94%	0.13%	0.47%	0.34%	0.14%	0.50%	0.57%	0.59%	0.27%	0.42%	0.62%	0.45%	0.47%	0.67%	0.64%	0.30%	0.35%	0.29%	0.69%	1.12%	0.48%	0.55%	1.85%	1.32%	0.45%	0.20%	0.22%	0.54%	0.21%	0.22%	0.33%	0.49%	0.10%	0.63%	0.23%	0.58%	0.67%	0.36%	0.21%	0.32%	1.14%	0.31%	0.26%	0.56%	0.42%	1.32%	0.63%	0.62%	0.00%	0.00%	0.00%	2.22%	0.23%					
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
