Выборы Президента Российской Федерации																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Томский район																																																																																												
																																																																																												
Итоги голосования 																																																																																												
																																																																																												
		Сумма	УИК №369	УИК №370	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755					
11	Число полученных открепительных  удостоверений	1390	10	15	20	10	10	10	10	10	10	40	20	10	15	10	20	45	20	25	27	25	13	15	15	10	15	10	25	10	10	10	15	15	15	10	15	10	10	25	15	10	25	30	20	10	20	15	25	10	20	10	10	30	10	10	10	20	10	10	30	20	20	15	15	15	15	20	15	10	20	15	10	25	15	25	15	10	10	10	10	35	10	20	20	25	10					
12	Число выданных открепительных удостоверений	748	2	15	16	0	0	4	4	4	0	39	13	0	12	0	15	45	13	13	16	12	4	7	10	4	14	0	16	1	1	4	5	0	2	0	15	8	1	13	2	2	6	16	15	0	17	9	13	3	15	0	10	30	7	1	0	11	0	6	22	15	14	8	5	6	10	11	7	4	17	15	4	3	10	13	6	0	7	0	2	35	7	8	7	17	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	515	4	3	8	3	1	4	48	4	7	8	5	3	1	2	10	9	2	7	1	11	2	7	6	4	0	2	8	1	1	4	5	4	4	0	10	5	4	7	2	3	8	12	16	4	12	5	10	4	8	2	9	8	7	5	1	4	0	5	5	10	8	8	4	2	6	0	3	3	1	5	9	2	10	8	5	32	2	4	3	7	5	4	4	2	23					
14	Число неиспользованных открепительных удостоверений	642	8	0	4	10	10	6	6	6	10	1	7	10	3	10	5	0	7	12	11	13	9	8	5	6	1	10	9	9	9	6	10	15	13	10	0	2	9	12	13	8	19	14	5	10	3	6	12	7	5	10	0	0	3	9	10	9	10	4	8	5	6	7	10	9	5	9	8	6	3	0	6	22	5	12	9	10	3	10	8	0	3	12	13	8	6					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																												
18	. Глазьев Сергей Юрьевич	1272	1	43	31	3	0	8	12	7	7	15	21	1	6	12	24	29	31	33	57	61	9	22	6	2	9	0	12	5	4	4	8	2	9	4	21	11	4	41	7	16	26	20	16	6	29	7	10	6	3	6	13	28	3	4	0	14	5	8	19	22	19	0	4	15	14	20	3	4	6	40	13	22	16	52	33	1	8	9	3	34	0	17	37	51	8					
		3.11%	0.87%	5.62%	3.59%	4.92%	0.00%	3.81%	3.60%	3.59%	6.73%	2.86%	2.95%	0.96%	1.28%	4.65%	2.56%	3.11%	2.86%	2.96%	6.55%	6.43%	2.76%	2.53%	1.55%	1.82%	2.31%	0.00%	2.15%	2.89%	2.60%	3.08%	1.27%	1.90%	2.51%	1.72%	2.46%	1.80%	1.25%	3.26%	1.58%	3.35%	3.66%	2.74%	2.29%	5.36%	3.25%	1.34%	2.42%	2.11%	1.42%	3.00%	5.99%	3.20%	3.16%	3.36%	0.00%	2.48%	1.60%	4.65%	3.59%	2.84%	2.39%	0.00%	0.95%	2.45%	4.08%	3.19%	1.41%	2.47%	2.23%	5.02%	2.80%	6.38%	2.79%	3.19%	4.52%	0.65%	2.38%	1.85%	1.51%	3.36%	0.00%	2.76%	4.32%	5.41%	2.29%					
19	. Малышкин Олег Александрович	1307	3	26	19	1	8	6	5	10	7	8	33	0	14	3	26	45	67	75	35	32	9	24	6	2	14	9	19	3	2	15	48	10	22	12	20	10	7	27	14	12	29	13	14	7	25	13	14	7	16	2	9	34	1	5	4	12	5	3	21	23	39	1	7	24	7	20	10	4	6	25	13	9	14	26	12	2	5	10	4	30	0	13	23	31	7					
		3.19%	2.61%	3.40%	2.20%	1.64%	5.84%	2.86%	1.50%	5.13%	6.73%	1.53%	4.63%	0.00%	2.99%	1.16%	2.77%	4.83%	6.19%	6.73%	4.02%	3.38%	2.76%	2.76%	1.55%	1.82%	3.60%	6.34%	3.41%	1.73%	1.30%	11.54%	7.63%	9.52%	6.15%	5.15%	2.34%	1.63%	2.19%	2.15%	3.15%	2.52%	4.08%	1.78%	2.00%	6.25%	2.80%	2.48%	3.39%	2.46%	7.55%	1.00%	4.15%	3.88%	1.05%	4.20%	2.47%	2.13%	1.60%	1.74%	3.97%	2.96%	4.90%	1.37%	1.66%	3.92%	2.04%	3.19%	4.69%	2.47%	2.23%	3.14%	2.80%	2.61%	2.44%	1.59%	1.64%	1.30%	1.49%	2.05%	2.01%	2.96%	0.00%	2.11%	2.68%	3.29%	2.00%					
20	. Миронов Сергей Михайлович	360	1	7	8	0	5	1	4	0	2	4	10	0	5	1	4	6	15	8	7	4	1	23	8	0	1	3	5	2	2	1	5	2	1	3	10	6	4	12	3	10	9	5	5	1	7	18	3	0	3	2	1	1	2	0	0	2	5	1	1	6	5	0	4	9	2	5	0	1	2	7	1	7	2	9	4	0	1	4	2	11	0	1	8	8	1					
		0.88%	0.87%	0.92%	0.93%	0.00%	3.65%	0.48%	1.20%	0.00%	1.92%	0.76%	1.40%	0.00%	1.07%	0.39%	0.43%	0.64%	1.39%	0.72%	0.80%	0.42%	0.31%	2.64%	2.06%	0.00%	0.26%	2.11%	0.90%	1.16%	1.30%	0.77%	0.79%	1.90%	0.28%	1.29%	1.17%	0.98%	1.25%	0.96%	0.68%	2.10%	1.27%	0.69%	0.71%	0.89%	0.78%	3.44%	0.73%	0.00%	1.42%	1.00%	0.46%	0.11%	2.11%	0.00%	0.00%	0.35%	1.60%	0.58%	0.19%	0.77%	0.63%	0.00%	0.95%	1.47%	0.58%	0.80%	0.00%	0.62%	0.74%	0.88%	0.22%	2.03%	0.35%	0.55%	0.55%	0.00%	0.30%	0.82%	1.01%	1.09%	0.00%	0.16%	0.93%	0.85%	0.29%					
21	. Путин Владимир Владимирович	27695	94	525	553	41	76	140	220	140	70	392	468	82	349	189	705	612	768	704	544	624	255	584	249	84	282	88	348	136	119	93	473	44	238	100	567	460	232	856	313	331	415	517	477	83	643	351	285	162	116	123	147	579	59	80	148	377	242	136	301	449	472	45	337	441	228	456	159	87	180	450	315	229	469	1109	496	121	216	374	153	636	56	406	537	623	262					
		67.65%	81.74%	68.63%	64.08%	67.21%	55.47%	66.67%	66.07%	71.79%	67.31%	74.81%	65.73%	78.85%	74.57%	73.26%	75.08%	65.74%	70.91%	63.14%	62.53%	65.82%	78.22%	67.13%	64.18%	76.36%	72.49%	61.97%	62.37%	78.61%	77.27%	71.54%	75.20%	41.90%	66.48%	42.92%	66.32%	75.16%	72.50%	68.15%	70.50%	69.39%	58.45%	70.92%	68.14%	74.11%	72.09%	66.98%	69.01%	56.84%	54.72%	61.50%	67.74%	66.10%	62.11%	67.23%	91.36%	66.84%	77.32%	79.07%	56.90%	57.86%	59.30%	61.64%	79.86%	72.06%	66.47%	72.73%	74.65%	53.70%	66.91%	56.46%	67.74%	66.38%	81.71%	68.00%	67.95%	78.57%	64.29%	76.80%	76.88%	62.85%	88.89%	65.80%	62.66%	66.07%	74.86%					
22	. Хакамада Ирина Муцуовна	1925	0	48	65	0	0	11	18	7	4	17	10	9	14	8	26	42	28	37	40	56	12	31	24	2	21	9	22	3	1	2	8	1	4	5	44	23	11	95	16	18	29	50	55	4	34	49	18	9	13	3	8	19	0	5	0	21	21	7	28	36	27	0	21	20	6	34	3	6	10	48	20	24	20	160	53	7	17	17	3	50	2	42	45	66	23					
		4.70%	0.00%	6.27%	7.53%	0.00%	0.00%	5.24%	5.41%	3.59%	3.85%	3.24%	1.40%	8.65%	2.99%	3.10%	2.77%	4.51%	2.59%	3.32%	4.60%	5.91%	3.68%	3.56%	6.19%	1.82%	5.40%	6.34%	3.94%	1.73%	0.65%	1.54%	1.27%	0.95%	1.12%	2.15%	5.15%	3.76%	3.44%	7.56%	3.60%	3.77%	4.08%	6.86%	7.86%	3.57%	3.81%	9.35%	4.36%	3.16%	6.13%	1.50%	3.69%	2.17%	0.00%	4.20%	0.00%	3.72%	6.71%	4.07%	5.29%	4.64%	3.39%	0.00%	4.98%	3.27%	1.75%	5.42%	1.41%	3.70%	3.72%	6.02%	4.30%	6.96%	3.48%	9.81%	7.26%	4.55%	5.06%	3.49%	1.51%	4.94%	3.17%	6.81%	5.25%	7.00%	6.57%					
23	. Харитонов Николай Михайлович	6111	11	68	140	12	44	21	60	24	10	64	132	10	56	36	116	140	103	181	127	117	28	140	72	15	38	29	135	19	24	14	79	44	70	94	151	70	51	152	67	62	161	98	95	7	100	54	57	87	50	56	29	144	26	15	3	110	24	9	121	183	183	25	37	77	69	51	17	44	53	185	84	31	35	163	101	11	73	41	29	172	5	99	138	103	30					
		14.93%	9.57%	8.89%	16.22%	19.67%	32.12%	10.00%	18.02%	12.31%	9.62%	12.21%	18.54%	9.62%	11.97%	13.95%	12.35%	15.04%	9.51%	16.23%	14.60%	12.34%	8.59%	16.09%	18.56%	13.64%	9.77%	20.42%	24.19%	10.98%	15.58%	10.77%	12.56%	41.90%	19.55%	40.34%	17.66%	11.44%	15.94%	12.10%	15.09%	13.00%	22.68%	13.44%	13.57%	6.25%	11.21%	10.31%	13.80%	30.53%	23.58%	28.00%	13.36%	16.44%	27.37%	12.61%	1.85%	19.50%	7.67%	5.23%	22.87%	23.58%	22.99%	34.25%	8.77%	12.58%	20.12%	8.13%	7.98%	27.16%	19.70%	23.21%	18.06%	8.99%	6.10%	9.99%	13.84%	7.14%	21.73%	8.42%	14.57%	17.00%	7.94%	16.05%	16.10%	10.92%	8.57%					
																																																																																												
24	Против всех	1843	3	46	45	4	3	21	12	6	2	11	22	2	22	4	31	47	42	56	47	48	11	40	15	5	18	4	12	4	2	0	6	2	12	14	32	28	6	61	20	20	37	25	33	2	46	17	16	11	10	8	7	58	3	5	1	20	11	6	35	51	43	2	7	24	12	30	20	12	9	36	15	23	11	103	23	6	13	28	4	73	0	32	57	54	18					
		4.50%	2.61%	6.01%	5.21%	6.56%	2.19%	10.00%	3.60%	3.08%	1.92%	2.10%	3.09%	1.92%	4.70%	1.55%	3.30%	5.05%	3.88%	5.02%	5.40%	5.06%	3.37%	4.60%	3.87%	4.55%	4.63%	2.82%	2.15%	2.31%	1.30%	0.00%	0.95%	1.90%	3.35%	6.01%	3.74%	4.58%	1.88%	4.86%	4.50%	4.19%	5.21%	3.43%	4.71%	1.79%	5.16%	3.24%	3.87%	3.86%	4.72%	4.00%	3.23%	6.62%	3.16%	4.20%	0.62%	3.55%	3.51%	3.49%	6.62%	6.57%	5.40%	2.74%	1.66%	3.92%	3.50%	4.78%	9.39%	7.41%	3.35%	4.52%	3.23%	6.67%	1.92%	6.32%	3.15%	3.90%	3.87%	5.75%	2.01%	7.21%	0.00%	5.19%	6.65%	5.73%	5.14%					
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
