Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																							
Дата голосования: 07.12.2003 0:00:00																							
																							
Наименование Избирательной комиссии:    Уваровская городская																							
																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																							
																							
		Сумма	УИК  596	УИК  597	УИК  598	УИК  599	УИК  600	УИК  601	УИК  602	УИК  603	УИК  604	УИК  605	УИК  606	УИК  607	УИК  608	УИК  609	УИК  610	УИК  611					
25	"8. ""Народно-республиканская партия России"""	13	0	1	1	1	1	1	0	1	0	1	0	1	2	3	0	0					
		0.11%	0.0%	0.10%	0.11%	0.10%	0.15%	0.17%	0.0%	0.13%	0.0%	0.10%	0.0%	0.13%	0.26%	0.43%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	19	1	1	2	0	0	0	1	6	4	1	1	1	0	0	0	1					
		0.16%	0.17%	0.10%	0.23%	0.0%	0.0%	0.0%	0.27%	0.80%	0.36%	0.10%	0.08%	0.13%	0.0%	0.0%	0.0%	2.22%					
27	"10. ""Аграрная партия России"""	359	11	27	27	23	20	21	6	21	35	32	37	24	47	25	3	0					
		3.17%	1.90%	2.91%	3.19%	2.37%	3.03%	3.69%	1.64%	2.83%	3.18%	3.26%	3.00%	3.17%	6.16%	3.62%	3.22%	0.0%					
28	"11. ""Истинные патриоты России"""	9	0	0	1	0	0	0	0	2	0	0	1	4	0	1	0	0					
		0.07%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.08%	0.52%	0.0%	0.14%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	73	2	8	2	5	3	4	5	4	7	6	10	6	7	4	0	0					
		0.64%	0.34%	0.86%	0.23%	0.51%	0.45%	0.70%	1.36%	0.53%	0.63%	0.61%	0.81%	0.79%	0.91%	0.58%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	13	1	2	1	1	0	0	1	1	0	1	0	0	3	2	0	0					
		0.11%	0.17%	0.21%	0.11%	0.10%	0.0%	0.0%	0.27%	0.13%	0.0%	0.10%	0.0%	0.0%	0.39%	0.29%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	11	0	2	0	2	0	0	0	2	0	0	3	1	0	1	0	0					
		0.09%	0.0%	0.21%	0.0%	0.20%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.24%	0.13%	0.0%	0.14%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	8	0	0	1	0	0	0	0	1	1	1	1	3	0	0	0	0					
		0.07%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.13%	0.09%	0.10%	0.08%	0.39%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	916	42	72	65	98	73	52	27	50	115	82	125	40	42	27	5	1					
		8.10%	7.27%	7.78%	7.68%	10.12%	11.09%	9.15%	7.39%	6.74%	10.45%	8.35%	10.14%	5.29%	5.51%	3.91%	5.37%	2.22%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	21	0	2	2	2	0	3	1	0	1	1	1	2	4	1	0	1					
		0.18%	0.0%	0.21%	0.23%	0.20%	0.0%	0.52%	0.27%	0.0%	0.09%	0.10%	0.08%	0.26%	0.52%	0.14%	0.0%	2.22%					
35	"18. ""ЛДПР"""	1179	71	87	73	104	60	55	41	79	106	119	125	79	94	75	7	4					
		10.42%	12.30%	9.40%	8.62%	10.74%	9.11%	9.68%	11.23%	10.66%	9.63%	12.13%	10.14%	10.44%	12.33%	10.88%	7.52%	8.88%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	160	7	13	5	12	4	9	4	13	29	16	19	12	8	5	1	3					
		1.41%	1.21%	1.40%	0.59%	1.23%	0.60%	1.58%	1.09%	1.75%	2.63%	1.63%	1.54%	1.58%	1.04%	0.72%	1.07%	6.66%					
37	"20. ""Политическая партия ""Единая Россия"""	3475	185	248	207	277	185	206	118	238	350	269	376	247	258	278	22	11					
		30.73%	32.06%	26.81%	24.46%	28.61%	28.11%	36.26%	32.32%	32.11%	31.81%	27.42%	30.51%	32.67%	33.85%	40.34%	23.65%	24.44%					
38	"21. ""Российская Конституционно-демократическая партия"""	15	0	1	1	0	0	1	0	2	0	1	4	2	0	3	0	0					
		0.13%	0.0%	0.10%	0.11%	0.0%	0.0%	0.17%	0.0%	0.26%	0.0%	0.10%	0.32%	0.26%	0.0%	0.43%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	25	1	4	2	5	0	0	0	0	2	1	5	0	2	2	0	1					
		0.22%	0.17%	0.43%	0.23%	0.51%	0.0%	0.0%	0.0%	0.0%	0.18%	0.10%	0.40%	0.0%	0.26%	0.29%	0.0%	2.22%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2649	117	276	229	215	146	132	115	160	211	242	231	204	182	153	29	7					
		23.43%	20.27%	29.83%	27.06%	22.21%	22.18%	23.23%	31.50%	21.59%	19.18%	24.66%	18.75%	26.98%	23.88%	22.20%	31.18%	15.55%					
																							
41	Против всех	530	28	36	34	57	23	28	13	39	61	54	65	28	23	31	8	2					
		4.68%	4.85%	3.89%	4.01%	5.88%	3.49%	4.92%	3.56%	5.26%	5.54%	5.50%	5.27%	3.70%	3.01%	4.49%	8.60%	4.44%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
