Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																								
Дата голосования: 18.09.2016																																																																																								
																																																																																								
Наименование Избирательной комиссии:    Белореченская																																																																																								
																																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																								
																																																																																								
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №698	УИК №699	УИК №8348									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	666	7	12	15	8	17	11	9	6	15	13	25	9	14	11	9	14	6	13	9	5	12	9	3	15	10	10	0	4	10	7	15	5	5	10	3	11	10	10	10	0	5	10	7	10	5	5	10	6	6	5	6	15	15	15	5	0	15	20	15	5	10	15	5	1	5	5	5	5	10	0	5	15	7	1	0	0	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	356	5	11	14	0	5	5	9	9	8	9	3	2	6	4	2	7	5	10	8	3	3	0	4	2	3	4	6	1	2	5	0	1	2	0	0	5	5	0	5	1	1	0	6	11	0	2	1	2	2	1	3	2	5	6	4	28	1	3	2	0	1	0	4	0	2	0	1	2	3	2	1	0	3	0	3	80	0									
14	Число погашенных неиспользованных открепительных удостоверений	184	3	3	0	7	8	4	6	9	0	2	0	6	1	4	6	1	9	2	6	10	3	6	12	0	0	0	10	6	0	3	0	0	0	0	2	4	0	0	0	5	0	0	3	0	0	0	0	4	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	5	0	0	8	9	0	0	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	58	1	2	2	1	2	5	1	1	1	3	3	1	3	2	0	3	5	4	1	2	2	4	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	888	17	21	23	25	16	40	9	38	24	35	25	28	20	28	4	16	24	36	20	20	25	22	8	11	10	24	6	7	8	16	8	2	3	8	0	11	5	5	1	1	2	19	14	13	1	4	9	0	7	0	3	4	7	11	1	0	2	7	8	0	7	4	6	4	3	4	8	16	0	0	1	10	9	8	7	5	34									
		1.89%	3.32%	3.15%	3.75%	4.01%	2.72%	6.68%	2.50%	5.55%	1.88%	4.17%	1.73%	1.37%	2.39%	5.37%	0.62%	2.50%	2.00%	3.72%	5.14%	2.53%	3.69%	2.59%	4.08%	2.14%	2.75%	1.74%	2.15%	0.80%	1.54%	1.22%	0.80%	0.50%	0.86%	3.01%	0.00%	1.99%	0.89%	1.23%	0.73%	0.50%	2.33%	1.92%	1.65%	1.48%	0.21%	1.94%	1.43%	0.00%	2.37%	0.00%	1.52%	0.50%	0.79%	1.43%	0.79%	0.00%	0.43%	1.21%	3.49%	0.00%	0.91%	0.43%	1.78%	1.04%	0.85%	1.11%	3.10%	3.63%	0.00%	0.00%	0.58%	0.57%	0.97%	1.52%	4.46%	2.21%	2.06%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1051	5	17	19	31	14	17	14	19	11	30	8	33	17	22	3	19	16	25	14	19	38	17	8	10	7	28	10	12	10	14	19	3	7	7	0	27	22	13	5	2	1	23	12	24	6	1	20	0	4	0	7	21	23	26	9	4	16	15	7	0	30	25	3	8	8	9	4	14	23	0	1	17	19	9	8	9	33									
		2.24%	0.98%	2.55%	3.10%	4.97%	2.38%	2.84%	3.89%	2.77%	0.86%	3.58%	0.55%	1.61%	2.03%	4.22%	0.47%	2.97%	1.33%	2.59%	3.60%	2.40%	5.61%	2.00%	4.08%	1.95%	1.92%	2.03%	3.58%	1.37%	1.92%	1.06%	1.91%	0.76%	2.01%	2.63%	0.00%	4.89%	3.92%	3.20%	3.65%	0.99%	1.16%	2.33%	1.41%	2.73%	1.27%	0.49%	3.18%	0.00%	1.36%	0.00%	3.54%	2.60%	2.58%	3.39%	7.09%	4.00%	3.46%	2.60%	3.06%	0.00%	3.90%	2.69%	0.89%	2.08%	2.27%	2.49%	1.55%	3.17%	2.19%	0.00%	0.58%	0.98%	2.04%	1.71%	5.10%	3.98%	1.99%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	837	8	20	23	20	23	9	12	26	12	23	24	19	23	14	1	23	23	16	7	24	25	28	4	1	11	15	6	11	4	17	18	10	2	7	0	9	8	5	4	1	1	12	9	22	4	0	7	0	3	0	3	11	11	9	3	0	11	10	5	0	74	4	4	6	8	6	2	10	30	0	0	7	7	0	0	5	17									
		1.78%	1.56%	3.00%	3.75%	3.21%	3.90%	1.50%	3.33%	3.80%	0.94%	2.74%	1.66%	0.93%	2.75%	2.69%	0.16%	3.59%	1.92%	1.65%	1.80%	3.03%	3.69%	3.29%	2.04%	0.19%	3.02%	1.09%	2.15%	1.26%	0.77%	1.29%	1.81%	2.52%	0.57%	2.63%	0.00%	1.63%	1.43%	1.23%	2.92%	0.50%	1.16%	1.21%	1.06%	2.50%	0.84%	0.00%	1.11%	0.00%	1.02%	0.00%	1.52%	1.36%	1.24%	1.17%	2.36%	0.00%	2.38%	1.73%	2.18%	0.00%	9.61%	0.43%	1.19%	1.56%	2.27%	1.66%	0.78%	2.27%	2.86%	0.00%	0.00%	0.40%	0.75%	0.00%	0.00%	2.21%	1.03%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	29421	298	309	223	247	267	249	146	253	970	328	1015	963	432	209	561	296	816	471	164	431	367	467	75	328	158	874	128	609	356	704	749	272	174	143	340	316	272	271	79	146	54	629	552	542	399	155	455	136	206	72	125	552	566	464	87	81	304	449	153	94	527	753	223	307	246	267	164	301	846	151	131	1404	755	416	65	106	1208									
		62.72%	58.20%	46.40%	36.38%	39.58%	45.33%	41.57%	40.56%	36.93%	76.08%	39.09%	70.05%	47.11%	51.67%	40.12%	86.98%	46.25%	68.06%	48.71%	42.16%	54.42%	54.21%	54.94%	38.27%	63.94%	43.41%	63.43%	45.88%	69.60%	68.33%	53.54%	75.28%	68.51%	49.86%	53.76%	78.70%	57.25%	48.48%	66.75%	57.66%	72.64%	62.79%	63.66%	64.94%	61.66%	84.18%	75.24%	72.34%	82.93%	69.83%	83.72%	63.13%	68.32%	63.60%	60.50%	68.50%	81.00%	65.66%	77.82%	66.81%	81.03%	68.44%	81.14%	66.17%	79.95%	69.69%	73.96%	63.57%	68.25%	80.73%	82.51%	76.61%	80.60%	81.10%	78.94%	41.40%	46.90%	73.04%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	276	9	5	9	3	6	6	5	5	5	8	13	6	5	4	0	4	11	8	3	5	7	12	2	0	2	4	0	4	3	11	6	3	1	2	0	4	1	2	0	0	0	5	6	7	4	0	3	0	6	0	1	2	2	13	2	0	4	1	4	0	0	3	3	3	3	0	0	2	0	0	1	4	5	0	2	2	4									
		0.59%	1.76%	0.75%	1.47%	0.48%	1.02%	1.00%	1.39%	0.73%	0.39%	0.95%	0.90%	0.29%	0.60%	0.77%	0.00%	0.63%	0.92%	0.83%	0.77%	0.63%	1.03%	1.41%	1.02%	0.00%	0.55%	0.29%	0.00%	0.46%	0.58%	0.84%	0.60%	0.76%	0.29%	0.75%	0.00%	0.72%	0.18%	0.49%	0.00%	0.00%	0.00%	0.51%	0.71%	0.80%	0.84%	0.00%	0.48%	0.00%	2.03%	0.00%	0.51%	0.25%	0.22%	1.69%	1.57%	0.00%	0.86%	0.17%	1.75%	0.00%	0.00%	0.32%	0.89%	0.78%	0.85%	0.00%	0.00%	0.45%	0.00%	0.00%	0.58%	0.23%	0.54%	0.00%	1.27%	0.88%	0.24%									
24	"6. Политическая партия ""Гражданская Платформа"""	73	0	0	1	0	0	2	0	1	0	2	2	4	1	2	0	0	0	3	0	2	2	3	1	0	1	0	1	6	3	7	4	0	0	1	0	0	1	0	0	0	1	3	0	4	0	0	0	0	0	0	0	0	0	1	1	1	3	0	0	0	0	0	1	2	1	2	1	1	0	0	0	0	0	0	0	0	1									
		0.16%	0.00%	0.00%	0.16%	0.00%	0.00%	0.33%	0.00%	0.15%	0.00%	0.24%	0.14%	0.20%	0.12%	0.38%	0.00%	0.00%	0.00%	0.31%	0.00%	0.25%	0.30%	0.35%	0.51%	0.00%	0.27%	0.00%	0.36%	0.69%	0.58%	0.53%	0.40%	0.00%	0.00%	0.38%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	1.16%	0.30%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.79%	1.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.52%	0.28%	0.55%	0.39%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6042	74	123	102	128	111	96	66	113	103	161	75	469	159	99	36	118	119	205	66	134	96	130	40	69	100	186	73	104	72	118	73	42	91	50	5	96	105	64	32	32	13	139	114	98	23	6	34	7	33	13	29	71	81	101	14	8	57	31	14	12	65	55	47	21	41	36	45	46	82	19	19	199	69	31	43	45	146									
		12.88%	14.45%	18.47%	16.64%	20.51%	18.85%	16.03%	18.33%	16.50%	8.08%	19.19%	5.18%	22.95%	19.02%	19.00%	5.58%	18.44%	9.92%	21.20%	16.97%	16.92%	14.18%	15.29%	20.41%	13.45%	27.47%	13.50%	26.16%	11.89%	13.82%	8.97%	7.34%	10.58%	26.07%	18.80%	1.16%	17.39%	18.72%	15.76%	23.36%	15.92%	15.12%	14.07%	13.41%	11.15%	4.85%	2.91%	5.41%	4.27%	11.19%	15.12%	14.65%	8.79%	9.10%	13.17%	11.02%	8.00%	12.31%	5.37%	6.11%	10.34%	8.44%	5.93%	13.95%	5.47%	11.61%	9.97%	17.44%	10.43%	7.82%	10.38%	11.11%	11.42%	7.41%	5.88%	27.39%	19.91%	8.83%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	180	2	10	8	6	6	0	5	5	2	4	12	5	3	2	3	9	6	12	6	3	1	0	0	1	2	4	1	2	0	5	1	0	1	0	0	0	0	0	0	0	2	4	1	4	4	0	3	0	1	0	2	1	2	4	0	0	0	1	0	0	1	3	0	1	0	1	0	3	0	0	0	2	2	0	0	1	10									
		0.38%	0.39%	1.50%	1.31%	0.96%	1.02%	0.00%	1.39%	0.73%	0.16%	0.48%	0.83%	0.24%	0.36%	0.38%	0.47%	1.41%	0.50%	1.24%	1.54%	0.38%	0.15%	0.00%	0.00%	0.19%	0.55%	0.29%	0.36%	0.23%	0.00%	0.38%	0.10%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.33%	0.40%	0.12%	0.46%	0.84%	0.00%	0.48%	0.00%	0.34%	0.00%	1.01%	0.12%	0.22%	0.52%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.13%	0.32%	0.00%	0.26%	0.00%	0.28%	0.00%	0.68%	0.00%	0.00%	0.00%	0.11%	0.21%	0.00%	0.00%	0.44%	0.60%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	366	11	11	10	5	6	11	3	7	12	16	10	10	9	9	2	5	5	13	8	9	3	5	2	3	2	3	0	9	4	99	2	1	0	2	0	1	1	0	0	0	1	0	9	2	4	2	4	0	0	0	0	2	3	3	0	1	0	3	0	0	1	1	4	1	0	0	0	3	0	0	0	2	3	0	0	1	7									
		0.78%	2.15%	1.65%	1.63%	0.80%	1.02%	1.84%	0.83%	1.02%	0.94%	1.91%	0.69%	0.49%	1.08%	1.73%	0.31%	0.78%	0.42%	1.34%	2.06%	1.14%	0.44%	0.59%	1.02%	0.58%	0.55%	0.22%	0.00%	1.03%	0.77%	7.53%	0.20%	0.25%	0.00%	0.75%	0.00%	0.18%	0.18%	0.00%	0.00%	0.00%	1.16%	0.00%	1.06%	0.23%	0.84%	0.97%	0.64%	0.00%	0.00%	0.00%	0.00%	0.25%	0.34%	0.39%	0.00%	1.00%	0.00%	0.52%	0.00%	0.00%	0.13%	0.11%	1.19%	0.26%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.11%	0.32%	0.00%	0.00%	0.44%	0.42%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	52	1	0	1	3	0	1	0	0	0	2	2	2	1	0	0	0	0	6	2	2	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	1	0	0	0	0	2	1	1	0	0	2	3	0	0	4	0	0	1	2	0	0	1	0	0	0	0	1	0	0	0	1									
		0.11%	0.20%	0.00%	0.16%	0.48%	0.00%	0.17%	0.00%	0.00%	0.00%	0.24%	0.14%	0.10%	0.12%	0.00%	0.00%	0.00%	0.00%	0.62%	0.51%	0.25%	0.15%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.12%	0.11%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.25%	0.11%	0.13%	0.00%	0.00%	0.43%	0.52%	0.00%	0.00%	0.52%	0.00%	0.00%	0.26%	0.57%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.06%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	273	5	9	8	10	6	7	6	9	5	11	8	8	7	3	2	6	10	11	1	10	5	5	2	3	2	2	1	2	4	16	8	2	0	0	0	3	6	0	0	1	1	3	4	6	0	0	4	0	0	0	3	3	3	8	0	1	0	1	0	0	3	1	1	0	3	2	3	2	0	0	0	0	1	0	1	3	12									
		0.58%	0.98%	1.35%	1.31%	1.60%	1.02%	1.17%	1.67%	1.31%	0.39%	1.31%	0.55%	0.39%	0.84%	0.58%	0.31%	0.94%	0.83%	1.14%	0.26%	1.26%	0.74%	0.59%	1.02%	0.58%	0.55%	0.15%	0.36%	0.23%	0.77%	1.22%	0.80%	0.50%	0.00%	0.00%	0.00%	0.54%	1.07%	0.00%	0.00%	0.50%	1.16%	0.30%	0.47%	0.68%	0.00%	0.00%	0.64%	0.00%	0.00%	0.00%	1.52%	0.37%	0.34%	1.04%	0.00%	1.00%	0.00%	0.17%	0.00%	0.00%	0.39%	0.11%	0.30%	0.00%	0.85%	0.55%	1.16%	0.45%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.64%	1.33%	0.73%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5875	55	105	128	111	89	104	59	146	94	161	216	463	118	100	25	112	133	121	72	99	88	116	42	73	55	165	41	86	47	281	89	52	62	39	87	73	129	34	7	11	8	123	96	100	23	35	67	21	26	0	24	118	164	112	7	1	46	33	31	9	43	57	34	17	34	28	19	32	57	13	17	80	50	63	22	38	139									
		12.52%	10.74%	15.77%	20.88%	17.79%	15.11%	17.36%	16.39%	21.31%	7.37%	19.19%	14.91%	22.65%	14.11%	19.19%	3.88%	17.50%	11.09%	12.51%	18.51%	12.50%	12.99%	13.65%	21.43%	14.23%	15.11%	11.97%	14.70%	9.83%	9.02%	21.37%	8.94%	13.10%	17.77%	14.66%	20.14%	13.22%	22.99%	8.37%	5.11%	5.47%	9.30%	12.45%	11.29%	11.38%	4.85%	16.99%	10.65%	12.80%	8.81%	0.00%	12.12%	14.60%	18.43%	14.60%	5.51%	1.00%	9.94%	5.72%	13.54%	7.76%	5.58%	6.14%	10.09%	4.43%	9.63%	7.76%	7.36%	7.26%	5.44%	7.10%	9.94%	4.59%	5.37%	11.95%	14.01%	16.81%	8.40%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	131	1	5	2	3	5	2	0	7	2	6	2	5	3	3	0	1	0	5	0	2	1	2	1	1	2	3	1	2	0	1	3	1	1	0	0	2	2	3	0	1	0	3	2	4	1	2	6	0	0	0	1	3	13	1	2	0	1	1	0	0	1	1	0	0	0	0	0	3	0	0	0	0	1	0	0	1	3									
		0.28%	0.20%	0.75%	0.33%	0.48%	0.85%	0.33%	0.00%	1.02%	0.16%	0.72%	0.14%	0.24%	0.36%	0.58%	0.00%	0.16%	0.00%	0.52%	0.00%	0.25%	0.15%	0.24%	0.51%	0.19%	0.55%	0.22%	0.36%	0.23%	0.00%	0.08%	0.30%	0.25%	0.29%	0.00%	0.00%	0.36%	0.36%	0.74%	0.00%	0.50%	0.00%	0.30%	0.24%	0.46%	0.21%	0.97%	0.95%	0.00%	0.00%	0.00%	0.51%	0.37%	1.46%	0.13%	1.57%	0.00%	0.22%	0.17%	0.00%	0.00%	0.13%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.44%	0.18%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	896	20	29	40	20	32	41	28	35	24	30	32	18	21	17	5	20	18	18	12	23	9	24	5	12	6	65	3	8	4	16	15	1	7	3	0	7	5	4	1	3	1	11	13	20	0	1	6	0	3	0	0	11	7	8	1	2	7	14	4	0	14	11	7	3	3	4	3	6	0	0	1	12	6	0	3	7	26									
		1.91%	3.91%	4.35%	6.53%	3.21%	5.43%	6.84%	7.78%	5.11%	1.88%	3.58%	2.21%	0.88%	2.51%	3.26%	0.78%	3.13%	1.50%	1.86%	3.08%	2.90%	1.33%	2.82%	2.55%	2.34%	1.65%	4.72%	1.08%	0.91%	0.77%	1.22%	1.51%	0.25%	2.01%	1.13%	0.00%	1.27%	0.89%	0.99%	0.73%	1.49%	1.16%	1.11%	1.53%	2.28%	0.00%	0.49%	0.95%	0.00%	1.02%	0.00%	0.00%	1.36%	0.79%	1.04%	0.79%	2.00%	1.51%	2.43%	1.75%	0.00%	1.82%	1.19%	2.08%	0.78%	0.85%	1.11%	1.16%	1.36%	0.00%	0.00%	0.58%	0.69%	0.64%	0.00%	1.91%	3.10%	1.57%									
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
