Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																													
Дата голосования: 18.09.2016																																																																													
																																																																													
Наименование Избирательной комиссии:    Гатчинская 112																																																																													
																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																													
																																																																													
		Сумма	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №959									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	533	6	36	17	13	4	12	6	9	1	4	6	18	5	7	8	16	3	6	8	10	6	8	6	5	6	2	10	6	13	3	4	5	5	3	11	12	6	3	2	1	38	0	1	3	4	5	10	4	11	11	2	0	2	4	5	5	13	7	43	11	8	2	4	2	5	21									
14	Число погашенных неиспользованных открепительных удостоверений	733	9	13	17	11	10	15	10	12	16	14	9	15	21	14	21	21	7	12	18	17	13	23	11	16	11	19	20	13	17	21	6	8	0	12	0	9	9	5	10	14	11	10	15	12	11	4	6	4	11	9	2	9	11	6	10	8	6	9	12	12	1	12	12	11	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	49	1	1	2	2	0	0	0	2	1	0	2	1	2	1	0	0	1	0	0	1	2	0	0	2	0	2	1	3	0	4	1	0	1	4	2	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1017	30	28	26	27	35	24	33	35	10	26	28	12	15	22	31	20	18	13	19	15	15	13	16	13	24	18	34	23	23	14	29	15	34	32	14	8	8	12	7	1	10	5	2	18	20	10	17	12	8	9	10	8	4	8	2	10	9	6	5	7	2	2	5	0	8	0									
		2.13%	2.89%	2.56%	2.80%	2.16%	3.79%	4.13%	2.98%	3.92%	1.86%	2.69%	2.85%	1.82%	1.98%	2.36%	4.64%	2.95%	2.43%	1.16%	2.82%	1.32%	2.89%	2.50%	1.83%	2.10%	3.38%	2.50%	4.64%	3.10%	2.99%	1.45%	2.46%	1.48%	3.08%	3.03%	1.22%	0.99%	3.17%	1.53%	1.46%	0.59%	1.24%	1.08%	0.88%	1.72%	2.33%	1.32%	2.78%	1.70%	1.39%	1.52%	0.79%	2.40%	0.76%	0.98%	0.42%	1.93%	1.15%	0.79%	2.02%	3.35%	0.35%	0.38%	1.08%	0.00%	1.62%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1101	27	25	27	27	17	9	29	16	9	27	24	20	9	16	14	22	23	34	15	25	16	14	21	17	12	17	22	21	21	17	25	34	16	26	22	17	6	19	6	7	13	4	4	24	28	19	14	21	13	11	30	9	10	22	9	20	14	11	6	3	18	5	6	1	9	6									
		2.30%	2.60%	2.29%	2.90%	2.16%	1.84%	1.55%	2.61%	1.79%	1.67%	2.79%	2.45%	3.03%	1.19%	1.71%	2.10%	3.25%	3.11%	3.03%	2.23%	2.20%	3.08%	2.69%	2.40%	2.75%	1.69%	2.36%	3.01%	2.83%	2.73%	1.76%	2.12%	3.36%	1.45%	2.46%	1.91%	2.11%	2.38%	2.43%	1.26%	4.14%	1.61%	0.86%	1.75%	2.30%	3.26%	2.51%	2.29%	2.97%	2.26%	1.86%	2.37%	2.69%	1.90%	2.68%	1.90%	3.86%	1.79%	1.46%	2.43%	1.44%	3.13%	0.94%	1.29%	0.67%	1.83%	3.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1047	21	29	23	24	30	7	32	16	13	18	26	12	19	26	20	17	18	18	18	20	8	17	12	10	19	9	21	24	13	29	35	26	29	22	19	16	6	14	7	11	20	7	5	16	13	18	19	10	13	18	11	9	11	15	15	16	22	9	10	4	4	7	4	1	10	6									
		2.19%	2.03%	2.66%	2.47%	1.92%	3.25%	1.20%	2.89%	1.79%	2.42%	1.86%	2.65%	1.82%	2.51%	2.78%	2.99%	2.51%	2.43%	1.60%	2.67%	1.76%	1.54%	3.26%	1.37%	1.62%	2.67%	1.25%	2.87%	3.23%	1.69%	3.00%	2.97%	2.57%	2.63%	2.08%	1.65%	1.99%	2.38%	1.79%	1.46%	6.51%	2.48%	1.51%	2.19%	1.53%	1.51%	2.37%	3.10%	1.42%	2.26%	3.05%	0.87%	2.69%	2.09%	1.83%	3.17%	3.09%	2.81%	1.19%	4.05%	1.91%	0.69%	1.32%	0.86%	0.67%	2.03%	3.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	23604	418	394	375	570	315	244	458	343	212	387	360	245	308	360	253	283	267	554	272	615	227	207	468	267	310	342	302	378	290	511	552	430	439	453	695	531	121	467	310	85	435	318	130	532	437	428	370	378	357	369	926	215	289	431	293	233	536	496	103	98	333	403	380	127	264	105									
		49.36%	40.31%	36.08%	40.32%	45.53%	34.09%	41.99%	41.30%	38.41%	39.41%	40.02%	36.70%	37.12%	40.74%	38.54%	37.87%	41.80%	36.08%	49.38%	40.36%	54.14%	43.74%	39.73%	53.55%	43.13%	43.60%	47.50%	41.26%	50.87%	37.71%	52.90%	46.86%	42.49%	39.76%	42.90%	60.49%	66.04%	48.02%	59.72%	64.85%	50.30%	53.90%	68.39%	57.02%	50.96%	50.87%	56.46%	60.46%	53.54%	62.09%	62.44%	73.14%	64.37%	54.84%	52.56%	61.95%	44.98%	68.45%	65.61%	41.70%	46.89%	57.81%	75.75%	81.90%	85.23%	53.55%	52.50%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	471	8	17	13	20	15	10	18	10	2	6	12	8	5	11	7	10	9	9	6	17	6	7	16	13	1	8	6	6	6	13	9	8	16	12	4	2	2	10	2	1	13	6	2	9	7	4	8	3	5	4	7	1	3	11	2	3	4	2	5	1	1	4	1	0	4	0									
		0.98%	0.77%	1.56%	1.40%	1.60%	1.62%	1.72%	1.62%	1.12%	0.37%	0.62%	1.22%	1.21%	0.66%	1.18%	1.05%	1.48%	1.22%	0.80%	0.89%	1.50%	1.16%	1.34%	1.83%	2.10%	0.14%	1.11%	0.82%	0.81%	0.78%	1.35%	0.76%	0.79%	1.45%	1.14%	0.35%	0.25%	0.79%	1.28%	0.42%	0.59%	1.61%	1.29%	0.88%	0.86%	0.81%	0.53%	1.31%	0.42%	0.87%	0.68%	0.55%	0.30%	0.57%	1.34%	0.42%	0.58%	0.51%	0.26%	2.02%	0.48%	0.17%	0.75%	0.22%	0.00%	0.81%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	122	6	2	1	5	2	4	1	0	3	6	1	5	1	1	0	3	4	0	0	3	3	1	3	4	1	3	1	0	4	6	1	4	3	4	2	0	1	2	0	0	2	1	0	2	4	0	1	1	1	1	2	3	1	1	2	2	1	4	0	0	1	0	0	0	1	0									
		0.26%	0.58%	0.18%	0.11%	0.40%	0.22%	0.69%	0.09%	0.00%	0.56%	0.62%	0.10%	0.76%	0.13%	0.11%	0.00%	0.44%	0.54%	0.00%	0.00%	0.26%	0.58%	0.19%	0.34%	0.65%	0.14%	0.42%	0.14%	0.00%	0.52%	0.62%	0.08%	0.40%	0.27%	0.38%	0.17%	0.00%	0.40%	0.26%	0.00%	0.00%	0.25%	0.22%	0.00%	0.19%	0.47%	0.00%	0.16%	0.14%	0.17%	0.17%	0.16%	0.90%	0.19%	0.12%	0.42%	0.39%	0.13%	0.53%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.20%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5794	142	110	102	138	108	75	144	103	91	119	120	85	95	119	91	89	103	121	93	87	79	64	110	81	77	81	86	89	97	89	128	135	133	113	129	79	45	104	51	24	121	49	26	173	136	90	64	134	62	61	97	25	98	110	56	75	65	70	46	33	55	42	38	13	100	26									
		12.12%	13.69%	10.07%	10.97%	11.02%	11.69%	12.91%	12.98%	11.53%	16.91%	12.31%	12.23%	12.88%	12.57%	12.74%	13.62%	13.15%	13.92%	10.78%	13.80%	7.66%	15.22%	12.28%	12.59%	13.09%	10.83%	11.25%	11.75%	11.98%	12.61%	9.21%	10.87%	13.34%	12.05%	10.70%	11.23%	9.83%	17.86%	13.30%	10.67%	14.20%	14.99%	10.54%	11.40%	16.57%	15.83%	11.87%	10.46%	18.98%	10.78%	10.32%	7.66%	7.49%	18.60%	13.41%	11.84%	14.48%	8.30%	9.26%	18.62%	15.79%	9.55%	7.89%	8.19%	8.72%	20.28%	13.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	583	19	20	12	9	24	10	19	17	3	12	19	12	10	16	10	8	12	11	12	12	15	4	14	8	14	9	7	12	12	8	21	16	17	19	14	6	5	2	1	1	13	1	3	9	14	4	11	6	4	1	4	5	3	9	2	4	0	6	5	0	1	2	0	0	2	2									
		1.22%	1.83%	1.83%	1.29%	0.72%	2.60%	1.72%	1.71%	1.90%	0.56%	1.24%	1.94%	1.82%	1.32%	1.71%	1.50%	1.18%	1.62%	0.98%	1.78%	1.06%	2.89%	0.77%	1.60%	1.29%	1.97%	1.25%	0.96%	1.62%	1.56%	0.83%	1.78%	1.58%	1.54%	1.80%	1.22%	0.75%	1.98%	0.26%	0.21%	0.59%	1.61%	0.22%	1.32%	0.86%	1.63%	0.53%	1.80%	0.85%	0.70%	0.17%	0.32%	1.50%	0.57%	1.10%	0.42%	0.77%	0.00%	0.79%	2.02%	0.00%	0.17%	0.38%	0.00%	0.00%	0.41%	1.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1480	41	63	51	84	49	24	52	32	16	54	43	31	31	41	29	34	39	37	23	31	15	15	24	15	31	18	24	22	31	33	32	28	57	29	30	14	6	9	9	1	19	11	2	24	16	11	15	10	13	9	6	9	9	19	7	9	7	10	2	3	6	5	1	1	6	2									
		3.09%	3.95%	5.77%	5.48%	6.71%	5.30%	4.13%	4.69%	3.58%	2.97%	5.58%	4.38%	4.70%	4.10%	4.39%	4.34%	5.02%	5.27%	3.30%	3.41%	2.73%	2.89%	2.88%	2.75%	2.42%	4.36%	2.50%	3.28%	2.96%	4.03%	3.42%	2.72%	2.77%	5.16%	2.75%	2.61%	1.74%	2.38%	1.15%	1.88%	0.59%	2.35%	2.37%	0.88%	2.30%	1.86%	1.45%	2.45%	1.42%	2.26%	1.52%	0.47%	2.69%	1.71%	2.32%	1.48%	1.74%	0.89%	1.32%	0.81%	1.44%	1.04%	0.94%	0.22%	0.67%	1.22%	1.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	81	5	4	0	1	2	1	3	1	1	1	3	0	0	3	3	1	0	1	1	3	1	2	2	3	0	0	1	0	0	1	1	3	3	1	2	2	0	0	1	1	0	0	1	1	0	2	1	0	2	0	4	0	0	1	1	2	1	3	1	0	0	0	0	0	3	0									
		0.17%	0.48%	0.37%	0.00%	0.08%	0.22%	0.17%	0.27%	0.11%	0.19%	0.10%	0.31%	0.00%	0.00%	0.32%	0.45%	0.15%	0.00%	0.09%	0.15%	0.26%	0.19%	0.38%	0.23%	0.48%	0.00%	0.00%	0.14%	0.00%	0.00%	0.10%	0.08%	0.30%	0.27%	0.09%	0.17%	0.25%	0.00%	0.00%	0.21%	0.59%	0.00%	0.00%	0.44%	0.10%	0.00%	0.26%	0.16%	0.00%	0.35%	0.00%	0.32%	0.00%	0.00%	0.12%	0.21%	0.39%	0.13%	0.40%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1782	79	97	64	70	83	30	54	53	28	60	33	31	41	46	33	28	20	35	31	42	31	28	27	28	30	23	20	23	27	34	36	33	56	42	39	19	14	11	14	3	18	6	13	30	13	13	16	10	16	10	13	1	12	26	6	19	10	8	5	8	5	0	0	1	24	3									
		3.73%	7.62%	8.88%	6.88%	5.59%	8.98%	5.16%	4.87%	5.94%	5.20%	6.20%	3.36%	4.70%	5.42%	4.93%	4.94%	4.14%	2.70%	3.12%	4.60%	3.70%	5.97%	5.37%	3.09%	4.52%	4.22%	3.19%	2.73%	3.10%	3.51%	3.52%	3.06%	3.26%	5.07%	3.98%	3.39%	2.36%	5.56%	1.41%	2.93%	1.78%	2.23%	1.29%	5.70%	2.87%	1.51%	1.72%	2.61%	1.42%	2.78%	1.69%	1.03%	0.30%	2.28%	3.17%	1.27%	3.67%	1.28%	1.06%	2.02%	3.83%	0.87%	0.00%	0.00%	0.67%	4.87%	1.50%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5255	118	144	116	133	113	58	123	117	56	104	123	98	96	107	80	85	95	123	105	121	60	62	63	72	119	104	106	73	101	107	163	118	148	148	118	65	24	68	45	15	79	35	18	102	76	77	40	68	45	61	73	38	49	108	43	70	65	83	31	39	55	36	13	2	29	26									
		10.99%	11.38%	13.19%	12.47%	10.62%	12.23%	9.98%	11.09%	13.10%	10.41%	10.75%	12.54%	14.85%	12.70%	11.46%	11.98%	12.56%	12.84%	10.96%	15.58%	10.65%	11.56%	11.90%	7.21%	11.63%	16.74%	14.44%	14.48%	9.83%	13.13%	11.08%	13.84%	11.66%	13.41%	14.02%	10.27%	8.08%	9.52%	8.70%	9.41%	8.88%	9.79%	7.53%	7.89%	9.77%	8.85%	10.16%	6.54%	9.63%	7.83%	10.32%	5.77%	11.38%	9.30%	13.17%	9.09%	13.51%	8.30%	10.98%	12.55%	18.66%	9.55%	6.77%	2.80%	1.34%	5.88%	13.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	187	5	8	3	2	4	1	5	3	3	4	5	5	3	5	3	0	1	5	3	3	1	5	3	3	0	7	5	2	4	3	4	4	6	5	1	1	0	5	1	0	4	1	1	3	5	4	1	2	3	0	8	0	1	3	4	0	3	2	2	1	1	1	0	1	3	2									
		0.39%	0.48%	0.73%	0.32%	0.16%	0.43%	0.17%	0.45%	0.34%	0.56%	0.41%	0.51%	0.76%	0.40%	0.54%	0.45%	0.00%	0.14%	0.45%	0.45%	0.26%	0.19%	0.96%	0.34%	0.48%	0.00%	0.97%	0.68%	0.27%	0.52%	0.31%	0.34%	0.40%	0.54%	0.47%	0.09%	0.12%	0.00%	0.64%	0.21%	0.00%	0.50%	0.22%	0.44%	0.29%	0.58%	0.53%	0.16%	0.28%	0.52%	0.00%	0.63%	0.00%	0.19%	0.37%	0.85%	0.00%	0.38%	0.26%	0.81%	0.48%	0.17%	0.19%	0.00%	0.67%	0.61%	1.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4107	100	126	100	120	114	69	117	120	83	112	150	71	102	135	80	65	112	120	56	107	26	63	77	77	65	63	81	53	124	88	126	124	125	123	29	18	8	38	22	14	48	19	20	66	67	36	25	38	23	24	52	8	23	46	21	33	27	29	19	5	10	15	7	1	21	21									
		8.59%	9.64%	11.54%	10.75%	9.58%	12.34%	11.88%	10.55%	13.44%	15.43%	11.58%	15.29%	10.76%	13.49%	14.45%	11.98%	9.60%	15.14%	10.70%	8.31%	9.42%	5.01%	12.09%	8.81%	12.44%	9.14%	8.75%	11.07%	7.13%	16.12%	9.11%	10.70%	12.25%	11.32%	11.65%	2.52%	2.24%	3.17%	4.86%	4.60%	8.28%	5.95%	4.09%	8.77%	6.32%	7.80%	4.75%	4.08%	5.38%	4.00%	4.06%	4.11%	2.40%	4.36%	5.61%	4.44%	6.37%	3.45%	3.84%	7.69%	2.39%	1.74%	2.82%	1.51%	0.67%	4.26%	10.50%									
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
