Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																											
Дата голосования: 02.12.2007																											
																											
Наименование Избирательной комиссии:    Опаpинская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890									
24	7.Политическая партия «Либерально-демократическая партия России»	1038	159	91	93	114	125	46	59	25	98	47	40	15	16	51	18	41									
		15.06%	13.71%	11.64%	13.58%	13.07%	18.12%	14.29%	14.11%	16.67%	16.07%	24.74%	16.67%	15.15%	11.85%	24.76%	14.52%	19.43%									
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	492	95	57	52	83	60	22	19	10	34	4	8	9	6	16	13	4									
		7.14%	8.19%	7.29%	7.59%	9.52%	8.70%	6.83%	4.55%	6.67%	5.57%	2.11%	3.33%	9.09%	4.44%	7.77%	10.48%	1.90%									
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	61	12	4	5	9	2	9	3	0	1	6	3	0	1	3	2	1									
		0.88%	1.03%	0.51%	0.73%	1.03%	0.29%	2.80%	0.72%	0.00%	0.16%	3.16%	1.25%	0.00%	0.74%	1.46%	1.61%	0.47%									
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	4195	687	512	441	484	386	203	262	81	374	106	166	69	97	121	68	138									
		60.85%	59.22%	65.47%	64.38%	55.50%	55.94%	63.04%	62.68%	54.00%	61.31%	55.79%	69.17%	69.70%	71.85%	58.74%	54.84%	65.40%									
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	36	8	3	2	10	4	0	2	0	3	1	0	0	0	3	0	0									
		0.52%	0.69%	0.38%	0.29%	1.15%	0.58%	0.00%	0.48%	0.00%	0.49%	0.53%	0.00%	0.00%	0.00%	1.46%	0.00%	0.00%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
