Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																																																		
Дата голосования: 04.12.2011																																																																																																																																																		
																																																																																																																																																		
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №3																																																																																																																																																		
																																																																																																																																																		
Сводная таблица результатов выборов																																																																																																																																																		
																																																																																																																																																		
		Сумма	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №1849	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1859	УИК №1860	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1874	УИК №1875	УИК №1876	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3015	65	40	40	40	40	40	40	40	70	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1476	30	15	17	38	19	17	8	13	68	15	6	14	25	18	14	18	16	11	12	31	16	13	28	21	30	12	18	9	14	24	14	19	21	10	29	13	13	17	18	16	23	24	23	16	20	12	14	16	16	26	17	38	22	13	21	23	17	26	19	25	32	14	15	20	25	21	29	22	24	23	19	21	28	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1313	119	86	14	11	37	3	20	15	11	16	10	22	11	16	13	23	23	27	20	22	14	13	11	39	32	17	19	31	18	12	19	8	22	17	5	9	9	10	9	9	20	13	16	7	20	12	10	8	10	14	23	23	16	15	15	12	12	7	14	6	16	7	10	15	11	13	18	7	9	21	19	12	16	13	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	1539	35	25	23	2	21	23	32	27	2	25	34	26	15	22	26	22	24	29	28	9	24	27	12	19	10	28	22	31	26	16	26	21	19	30	11	27	27	23	22	24	17	16	17	24	20	28	26	24	24	14	23	2	18	27	19	17	23	14	21	15	8	26	25	20	15	19	11	18	16	17	21	19	12	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																																																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	14945	180	38	183	243	50	273	75	178	28	295	46	46	103	193	276	59	188	314	231	303	333	372	401	101	131	309	132	223	232	365	258	336	344	164	80	51	49	270	118	118	186	82	240	72	372	280	311	223	311	112	351	394	126	270	318	158	154	113	257	229	224	94	25	355	314	316	234	11	301	120	287	28	40	22	21	49	0	68	0	2	32	6	7	2	3	0	5	8	1	4	1	1	1	0	0	2	6	0	1	0	4	1	2	0	5	2	1	3	1	0	1	3	3	3	6	4	6	4	2	4	1	2	0	1	3	3	1	4	3	0	5	4	2	2	0	8	3	6	3					
		16.81%	24.16%	5.90%	30.60%	27.99%	7.04%	25.83%	23.15%	28.76%	3.30%	29.95%	6.73%	6.65%	9.09%	29.11%	33.25%	6.73%	18.02%	31.37%	31.64%	31.08%	33.81%	37.88%	36.36%	9.76%	10.44%	35.56%	10.66%	29.69%	31.44%	30.70%	31.27%	36.44%	30.74%	28.42%	7.98%	5.80%	5.89%	25.16%	13.30%	12.09%	18.51%	8.47%	22.47%	7.68%	26.05%	18.24%	21.30%	22.30%	26.63%	8.50%	27.40%	16.55%	10.55%	14.10%	24.22%	14.48%	13.79%	7.00%	20.95%	16.18%	13.49%	7.12%	2.01%	28.54%	19.94%	24.73%	14.33%	0.70%	22.56%	6.43%	24.91%	1.74%	2.97%	1.39%	16.54%	8.33%	0.00%	14.35%	0.00%	0.10%	29.63%	0.81%	20.00%	20.00%	27.27%	0.00%	45.45%	66.67%	9.09%	40.00%	8.33%	8.33%	8.33%	0.00%	0.00%	16.67%	60.00%	0.00%	9.09%	0.00%	36.36%	9.09%	20.00%	0.00%	45.45%	18.18%	9.09%	30.00%	9.09%	0.00%	11.11%	30.00%	37.50%	30.00%	60.00%	36.36%	60.00%	36.36%	18.18%	36.36%	9.09%	18.18%	0.00%	14.29%	30.00%	27.27%	11.11%	33.33%	27.27%	0.00%	45.45%	36.36%	18.18%	20.00%	0.00%	32.00%	13.04%	24.00%	25.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	8332	116	83	78	95	83	153	35	83	185	118	113	114	175	88	94	125	58	118	96	100	109	75	101	161	190	92	99	85	83	121	102	86	153	60	141	143	123	91	56	122	51	152	100	149	132	119	106	70	123	211	105	165	103	146	89	113	91	177	86	85	169	31	23	91	138	203	86	78	126	30	84	34	172	31	7	26	0	41	43	49	19	23	7	1	1	8	1	1	3	3	5	0	5	3	0	2	2	4	2	7	1	1	1	3	3	3	2	1	2	3	2	2	2	3	2	2	0	1	5	5	2	5	7	3	0	2	2	3	0	0	2	1	5	2	3	6	5	5	0					
		9.37%	15.57%	12.89%	13.04%	10.94%	11.69%	14.47%	10.80%	13.41%	21.82%	11.98%	16.52%	16.47%	15.45%	13.27%	11.33%	14.25%	5.56%	11.79%	13.15%	10.26%	11.07%	7.64%	9.16%	15.56%	15.14%	10.59%	7.99%	11.32%	11.25%	10.18%	12.36%	9.33%	13.67%	10.40%	14.06%	16.25%	14.78%	8.48%	6.31%	12.50%	5.07%	15.70%	9.36%	15.90%	9.24%	7.75%	7.26%	7.00%	10.53%	16.01%	8.20%	6.93%	8.63%	7.62%	6.78%	10.36%	8.15%	10.97%	7.01%	6.01%	10.17%	2.35%	1.85%	7.32%	8.76%	15.88%	5.27%	4.99%	9.45%	1.61%	7.29%	2.12%	12.76%	1.96%	5.51%	4.42%	0.00%	8.65%	2.19%	2.53%	17.59%	3.11%	20.00%	10.00%	9.09%	72.73%	9.09%	8.33%	27.27%	30.00%	41.67%	0.00%	41.67%	27.27%	0.00%	16.67%	20.00%	40.00%	18.18%	53.85%	9.09%	9.09%	10.00%	30.00%	27.27%	27.27%	18.18%	10.00%	18.18%	33.33%	22.22%	20.00%	25.00%	30.00%	20.00%	18.18%	0.00%	9.09%	45.45%	45.45%	18.18%	45.45%	63.64%	42.86%	0.00%	18.18%	22.22%	25.00%	0.00%	0.00%	18.18%	9.09%	45.45%	20.00%	27.27%	24.00%	21.74%	20.00%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1146	8	17	9	8	17	17	7	5	15	9	12	23	9	9	8	34	12	14	4	14	13	19	15	16	25	3	29	10	6	24	7	14	11	2	26	19	14	12	22	11	14	24	12	19	8	9	10	11	12	33	6	17	13	19	24	10	6	21	9	19	68	16	4	16	14	21	15	15	18	15	12	17	15	11	1	5	0	2	10	8	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	1					
		1.29%	1.07%	2.64%	1.51%	0.92%	2.39%	1.61%	2.16%	0.81%	1.77%	0.91%	1.75%	3.32%	0.79%	1.36%	0.96%	3.88%	1.15%	1.40%	0.55%	1.44%	1.32%	1.93%	1.36%	1.55%	1.99%	0.35%	2.34%	1.33%	0.81%	2.02%	0.85%	1.52%	0.98%	0.35%	2.59%	2.16%	1.68%	1.12%	2.48%	1.13%	1.39%	2.48%	1.12%	2.03%	0.56%	0.59%	0.68%	1.10%	1.03%	2.50%	0.47%	0.71%	1.09%	0.99%	1.83%	0.92%	0.54%	1.30%	0.73%	1.34%	4.09%	1.21%	0.32%	1.29%	0.89%	1.64%	0.92%	0.96%	1.35%	0.80%	1.04%	1.06%	1.11%	0.70%	0.79%	0.85%	0.00%	0.42%	0.51%	0.41%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	18.18%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	8.33%	0.00%	0.00%	9.09%	7.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	27.27%	0.00%	0.00%	0.00%	0.00%	0.00%	16.67%	0.00%	0.00%	0.00%	18.18%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	8.33%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	10889	112	67	98	163	108	174	51	116	177	158	103	101	215	119	126	125	105	148	124	155	181	172	190	143	182	135	110	124	131	241	146	161	216	104	126	131	121	143	42	103	99	138	140	138	178	187	106	119	177	191	208	240	109	208	165	160	143	195	127	208	200	115	26	154	166	227	113	31	192	118	199	50	213	76	8	18	0	30	40	48	17	33	4	2	3	0	2	0	2	1	1	2	2	2	7	0	1	1	4	1	2	5	1	2	1	0	6	4	1	3	2	3	2	1	1	0	1	1	0	0	4	1	1	3	1	3	5	2	4	0	1	0	2	2	4	7	8	12	1					
		12.24%	15.03%	10.40%	16.39%	18.78%	15.21%	16.46%	15.74%	18.74%	20.87%	16.04%	15.06%	14.60%	18.98%	17.95%	15.18%	14.25%	10.07%	14.79%	16.99%	15.90%	18.38%	17.52%	17.23%	13.82%	14.50%	15.54%	8.89%	16.51%	17.75%	20.27%	17.70%	17.46%	19.30%	18.02%	12.56%	14.89%	14.54%	13.33%	4.74%	10.55%	9.85%	14.26%	13.11%	14.73%	12.46%	12.18%	7.26%	11.90%	15.15%	14.49%	16.24%	10.08%	9.13%	10.86%	12.57%	14.67%	12.80%	12.08%	10.35%	14.70%	12.04%	8.71%	2.09%	12.38%	10.54%	17.76%	6.92%	1.98%	14.39%	6.33%	17.27%	3.11%	15.80%	4.80%	6.30%	3.06%	0.00%	6.33%	2.04%	2.48%	15.74%	4.46%	11.43%	20.00%	27.27%	0.00%	18.18%	0.00%	18.18%	10.00%	8.33%	16.67%	16.67%	18.18%	63.64%	0.00%	10.00%	10.00%	36.36%	7.69%	18.18%	45.45%	10.00%	20.00%	9.09%	0.00%	54.55%	40.00%	9.09%	33.33%	22.22%	30.00%	25.00%	10.00%	10.00%	0.00%	10.00%	9.09%	0.00%	0.00%	36.36%	9.09%	9.09%	42.86%	10.00%	27.27%	55.56%	16.67%	36.36%	0.00%	9.09%	0.00%	18.18%	20.00%	36.36%	28.00%	34.78%	48.00%	8.33%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	7912	98	15	97	121	83	135	50	97	45	166	27	29	165	95	117	28	104	99	65	142	106	131	152	43	29	138	142	127	110	208	159	151	188	133	35	19	12	123	164	76	132	38	117	32	196	150	127	74	105	40	148	202	128	212	117	119	126	185	93	165	196	22	23	151	173	186	59	23	127	43	159	23	74	37	4	11	0	19	5	4	7	10	2	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	0	2	1	2	1	1	0	0	1	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0					
		8.90%	13.15%	2.33%	16.22%	13.94%	11.69%	12.77%	15.43%	15.67%	5.31%	16.85%	3.95%	4.19%	14.56%	14.33%	14.10%	3.19%	9.97%	9.89%	8.90%	14.56%	10.76%	13.34%	13.78%	4.15%	2.31%	15.88%	11.47%	16.91%	14.91%	17.49%	19.27%	16.38%	16.80%	23.05%	3.49%	2.16%	1.44%	11.46%	18.49%	7.79%	13.13%	3.93%	10.96%	3.42%	13.73%	9.77%	8.70%	7.40%	8.99%	3.03%	11.55%	8.49%	10.72%	11.07%	8.91%	10.91%	11.28%	11.46%	7.58%	11.66%	11.80%	1.67%	1.85%	12.14%	10.98%	14.55%	3.61%	1.47%	9.52%	2.31%	13.80%	1.43%	5.49%	2.34%	3.15%	1.87%	0.00%	4.01%	0.25%	0.21%	6.48%	1.35%	5.71%	10.00%	9.09%	0.00%	0.00%	0.00%	9.09%	0.00%	8.33%	0.00%	8.33%	9.09%	0.00%	0.00%	0.00%	10.00%	9.09%	0.00%	0.00%	0.00%	0.00%	20.00%	9.09%	18.18%	9.09%	10.00%	0.00%	0.00%	11.11%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	18.18%	0.00%	0.00%	0.00%	0.00%	18.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	4.00%	4.35%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	43568	210	392	127	218	351	271	94	124	383	209	359	361	440	139	167	461	549	264	188	237	215	199	210	539	649	176	635	161	152	200	134	155	177	104	517	491	497	422	458	510	495	505	430	495	502	756	763	484	418	677	436	1328	691	1020	576	514	578	837	636	694	771	1038	1132	450	742	300	1107	1355	523	1508	399	1436	799	1399	84	470	215	298	1867	1825	32	668	15	4	2	2	3	3	2	2	2	4	1	4	4	6	1	4	2	3	4	3	5	3	1	2	1	1	5	3	3	2	1	2	1	5	1	1	4	2	4	0	1	0	6	3	1	1	4	6	2	4	1	4	2	3	5	2	7					
