Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Гаврилово-Посадская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402									
		0.59%	0.42%	0.70%	0.32%	0.62%	1.52%	0.68%	0.00%	2.07%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	1.20%	0.00%	0.63%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	156	28	23	10	7	27	5	4	3	1	12	3	6	1	5	1	3	12	5									
		2.71%	3.88%	3.21%	1.06%	2.17%	3.74%	3.40%	3.48%	1.24%	0.71%	5.97%	1.71%	1.55%	0.93%	3.55%	0.78%	1.80%	5.36%	3.14%									
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
