Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																											
Дата голосования: 07.12.2003 0:00:00																											
																											
Наименование Избирательной комиссии:    Кондольская																											
																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																											
																											
		Сумма	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852	УИК  853	УИК  854	УИК  855	УИК  856	УИК  857	УИК  858	УИК  859	УИК  860	УИК  861					
		0.31%	0.14%	0.31%	1.03%	0.0%	0.68%	0.0%	0.88%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.89%	0.69%	0.0%	0.38%	0.0%					
35	"18. ""ЛДПР"""	474	49	90	38	40	20	14	40	5	20	24	2	24	18	12	26	9	9	5	20	9					
		8.70%	7.03%	14.01%	13.10%	14.92%	4.54%	11.02%	11.83%	2.87%	6.89%	7.94%	2.56%	7.45%	18.55%	7.40%	10.48%	8.03%	3.13%	4.76%	7.60%	4.45%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	86	20	16	13	3	5	1	3	3	2	7	0	3	1	1	2	0	1	0	4	1					
		1.57%	2.86%	2.49%	4.48%	1.11%	1.13%	0.78%	0.88%	1.72%	0.68%	2.31%	0.0%	0.93%	1.03%	0.61%	0.80%	0.0%	0.34%	0.0%	1.52%	0.49%					
37	"20. ""Политическая партия ""Единая Россия"""	2923	296	283	107	120	213	52	157	141	176	174	61	191	62	108	122	64	210	77	168	141					
		53.69%	42.46%	44.08%	36.89%	44.77%	48.40%	40.94%	46.44%	81.03%	60.68%	57.61%	78.20%	59.31%	63.91%	66.66%	49.19%	57.14%	73.17%	73.33%	63.87%	69.80%					
38	"21. ""Российская Конституционно-демократическая партия"""	24	1	0	0	1	3	1	6	0	0	6	1	1	1	0	1	1	0	0	0	1					
		0.44%	0.14%	0.0%	0.0%	0.37%	0.68%	0.78%	1.77%	0.0%	0.0%	1.98%	1.28%	0.31%	1.03%	0.0%	0.40%	0.89%	0.0%	0.0%	0.0%	0.49%					
39	"22. ""Развитие предпринимательства"""	10	5	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0					
		0.18%	0.71%	0.0%	0.0%	0.0%	0.0%	0.78%	0.29%	0.57%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.95%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	773	138	96	44	48	102	31	41	11	22	33	3	44	6	15	41	20	15	6	37	20					
		14.19%	19.79%	14.95%	15.17%	17.91%	23.18%	24.40%	12.13%	6.32%	7.58%	10.92%	3.84%	13.66%	6.18%	9.25%	16.53%	17.85%	5.22%	5.71%	14.06%	9.90%					
																											
41	Против всех	146	24	31	7	6	13	4	16	2	6	5	4	8	0	1	6	1	4	2	5	1					
		2.68%	3.44%	4.82%	2.41%	2.23%	2.95%	3.14%	4.73%	1.14%	2.06%	1.65%	5.12%	2.48%	0.0%	0.61%	2.41%	0.89%	1.39%	1.90%	1.90%	0.49%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
