Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																														
Дата голосования: 02.12.2007																																																																														
																																																																														
Наименование Избирательной комиссии:    ТИК Правобережной части г.Владикавказа																																																																														
																																																																														
Сводная таблица результатов выборов																																																																														
																																																																														
		Сумма	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316					
		0.59%	0.45%	1.56%	1.26%	0.57%	0.91%	0.50%	0.33%	0.99%	0.82%	0.57%	0.49%	0.98%	0.52%	1.02%	0.56%	1.34%	0.59%	0.00%	1.14%	1.35%	0.26%	0.00%	0.68%	0.49%	1.24%	0.24%	0.00%	0.88%	1.81%	0.00%	0.00%	0.55%	0.64%	0.53%	1.46%	0.43%	0.54%	0.00%	0.00%	0.00%	1.07%	0.71%	0.59%	0.69%	0.53%	1.83%	0.00%	0.50%	0.00%	0.42%	0.83%	0.00%	0.58%	0.78%	0.58%	1.48%	0.47%	0.97%	0.57%	0.58%	0.00%	4.29%	0.00%	1.51%	1.56%	0.26%	0.45%	0.85%	1.10%	0.46%	0.49%					
20	3.Политическая партия «Демократическая партия России»	54	0	0	0	0	1	0	2	0	1	1	4	1	0	2	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	2	4	1	0	3	0	0	0	1	0	3	0	2	1	0	1	0	0	1	0	2	3	0	3	2	0	0	1	0	0	1	2	2	0	0	0	0	0	1					
		0.11%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.17%	0.00%	0.12%	0.19%	0.33%	0.16%	0.00%	0.18%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.21%	0.43%	0.16%	0.00%	0.40%	0.00%	0.00%	0.00%	0.15%	0.00%	0.35%	0.00%	1.05%	0.23%	0.00%	0.13%	0.00%	0.00%	0.14%	0.00%	0.23%	0.33%	0.00%	0.49%	0.19%	0.00%	0.00%	0.06%	0.00%	0.00%	1.11%	0.33%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	6472	76	2	48	63	82	80	130	54	125	86	104	90	10	172	115	56	252	56	9	0	49	158	134	150	87	157	32	99	87	4	186	199	141	64	77	149	27	169	148	177	81	81	115	77	21	65	69	115	66	138	142	197	77	137	151	55	174	9	108	61	7	13	10	90	129	41	15	23	70	145	86					
		12.74%	11.41%	1.04%	10.06%	9.03%	12.44%	10.03%	10.73%	13.30%	14.69%	16.41%	8.52%	14.68%	5.18%	15.90%	9.27%	15.05%	14.77%	13.93%	10.23%	0.00%	12.96%	17.04%	15.23%	12.16%	15.43%	9.30%	8.27%	17.49%	19.64%	26.67%	16.65%	18.37%	15.02%	6.84%	12.46%	12.78%	3.62%	18.23%	15.23%	17.63%	12.33%	14.31%	13.55%	17.78%	11.05%	14.87%	19.94%	14.47%	10.63%	14.48%	19.53%	15.99%	8.89%	15.19%	14.70%	9.06%	16.34%	8.74%	15.45%	3.91%	7.95%	18.57%	11.11%	15.05%	15.43%	2.68%	6.79%	6.48%	10.95%	13.44%	13.96%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	419	10	2	1	21	47	9	11	4	6	4	7	1	0	11	9	4	0	7	0	0	3	0	5	8	6	2	0	4	4	0	0	6	8	6	6	0	8	0	0	0	11	2	4	1	0	3	3	7	0	9	4	0	7	3	4	6	12	0	1	2	0	0	1	3	8	20	40	33	9	2	4					
		0.82%	1.50%	1.04%	0.21%	3.01%	7.13%	1.13%	0.91%	0.99%	0.71%	0.76%	0.57%	0.16%	0.00%	1.02%	0.73%	1.08%	0.00%	1.74%	0.00%	0.00%	0.79%	0.00%	0.57%	0.65%	1.06%	0.12%	0.00%	0.71%	0.90%	0.00%	0.00%	0.55%	0.85%	0.64%	0.97%	0.00%	1.07%	0.00%	0.00%	0.00%	1.67%	0.35%	0.47%	0.23%	0.00%	0.69%	0.87%	0.88%	0.00%	0.94%	0.55%	0.00%	0.81%	0.33%	0.39%	0.99%	1.13%	0.00%	0.14%	0.13%	0.00%	0.00%	1.11%	0.50%	0.96%	1.31%	18.10%	9.30%	1.41%	0.19%	0.65%					
23	6.Политическая партия «Партия социальной справедливости»	224	1	0	1	3	5	1	2	0	2	3	5	5	0	20	6	5	6	3	1	0	1	7	3	6	3	8	0	3	1	1	0	3	1	7	4	1	1	0	0	0	5	0	5	2	0	3	3	6	7	5	4	4	0	8	3	3	6	0	4	4	0	0	1	6	3	7	2	3	2	6	3					
		0.44%	0.15%	0.00%	0.21%	0.43%	0.76%	0.13%	0.17%	0.00%	0.24%	0.57%	0.41%	0.82%	0.00%	1.85%	0.48%	1.34%	0.35%	0.75%	1.14%	0.00%	0.26%	0.76%	0.34%	0.49%	0.53%	0.47%	0.00%	0.53%	0.23%	6.67%	0.00%	0.28%	0.11%	0.75%	0.65%	0.09%	0.13%	0.00%	0.00%	0.00%	0.76%	0.00%	0.59%	0.46%	0.00%	0.69%	0.87%	0.75%	1.13%	0.52%	0.55%	0.32%	0.00%	0.89%	0.29%	0.49%	0.56%	0.00%	0.57%	0.26%	0.00%	0.00%	1.11%	1.00%	0.36%	0.46%	0.90%	0.85%	0.31%	0.56%	0.49%					
24	7.Политическая партия «Либерально-демократическая партия России»	2362	25	6	24	27	32	45	8	13	30	26	122	27	28	45	111	17	42	18	3	3	18	0	35	34	14	76	11	23	15	3	0	58	41	91	34	67	74	27	19	38	36	29	31	14	14	23	7	35	4	33	38	2	36	42	37	20	49	2	37	219	0	1	1	34	33	122	21	22	46	38	6					
		4.65%	3.75%	3.13%	5.03%	3.87%	4.86%	5.64%	0.66%	3.20%	3.53%	4.96%	10.00%	4.40%	14.51%	4.16%	8.95%	4.57%	2.46%	4.48%	3.41%	4.05%	4.76%	0.00%	3.98%	2.76%	2.48%	4.50%	2.84%	4.06%	3.39%	20.00%	0.00%	5.36%	4.37%	9.73%	5.50%	5.75%	9.93%	2.91%	1.95%	3.78%	5.48%	5.12%	3.65%	3.23%	7.37%	5.26%	2.02%	4.40%	0.64%	3.46%	5.23%	0.16%	4.16%	4.66%	3.60%	3.29%	4.60%	1.94%	5.29%	14.04%	0.00%	1.43%	1.11%	5.69%	3.95%	7.98%	9.50%	6.20%	7.20%	3.52%	0.97%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	3048	40	3	73	61	43	47	34	33	76	43	64	40	4	77	74	29	90	35	1	2	17	2	13	70	50	69	8	54	31	2	91	104	105	48	79	87	59	26	0	9	43	10	89	32	11	33	36	44	45	88	47	85	45	52	74	25	80	2	50	40	5	2	6	61	58	22	6	20	35	66	43					
		5.99%	6.01%	1.56%	15.30%	8.74%	6.53%	5.89%	2.81%	8.13%	8.93%	8.21%	5.25%	6.53%	2.07%	7.12%	5.97%	7.80%	5.28%	8.71%	1.14%	2.70%	4.50%	0.22%	1.48%	5.67%	8.87%	4.09%	2.07%	9.54%	6.99%	13.33%	8.15%	9.60%	11.18%	5.13%	12.78%	7.46%	7.92%	2.80%	0.00%	0.90%	6.54%	1.77%	10.48%	7.39%	5.79%	7.55%	10.40%	5.53%	7.25%	9.23%	6.46%	6.90%	5.20%	5.76%	7.21%	4.12%	7.51%	1.94%	7.15%	2.56%	5.68%	2.86%	6.67%	10.20%	6.94%	1.44%	2.71%	5.63%	5.48%	6.12%	6.98%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	544	11	10	8	12	13	11	4	12	6	4	12	3	0	22	17	10	0	8	0	0	6	0	4	20	10	18	0	11	9	0	0	12	12	15	12	13	12	0	0	0	7	12	15	2	3	6	3	11	3	12	11	2	13	10	19	1	13	0	5	11	2	1	2	11	11	6	4	7	12	4	8					
		1.07%	1.65%	5.21%	1.68%	1.72%	1.97%	1.38%	0.33%	2.96%	0.71%	0.76%	0.98%	0.49%	0.00%	2.03%	1.37%	2.69%	0.00%	1.99%	0.00%	0.00%	1.59%	0.00%	0.45%	1.62%	1.77%	1.07%	0.00%	1.94%	2.03%	0.00%	0.00%	1.11%	1.28%	1.60%	1.94%	1.11%	1.61%	0.00%	0.00%	0.00%	1.07%	2.12%	1.77%	0.46%	1.58%	1.37%	0.87%	1.38%	0.48%	1.26%	1.51%	0.16%	1.50%	1.11%	1.85%	0.16%	1.22%	0.00%	0.72%	0.71%	2.27%	1.43%	2.22%	1.84%	1.32%	0.39%	1.81%	1.97%	1.88%	0.37%	1.30%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	34783	478	153	273	459	382	563	978	255	545	334	843	387	143	653	848	223	1296	238	64	66	253	760	660	904	344	1286	333	323	242	4	838	629	549	677	377	786	519	695	755	761	418	382	521	278	128	272	205	518	465	604	421	939	651	586	621	436	645	79	450	1164	67	45	57	353	534	1248	89	165	431	749	386					
		68.45%	71.77%	79.69%	57.23%	65.76%	57.97%	70.55%	80.69%	62.81%	64.04%	63.74%	69.10%	63.13%	74.09%	60.35%	68.39%	59.95%	75.97%	59.20%	72.73%	89.19%	66.93%	81.98%	75.00%	73.26%	60.99%	76.18%	86.05%	57.07%	54.63%	26.67%	75.02%	58.08%	58.47%	72.41%	61.00%	67.41%	69.66%	74.97%	77.67%	75.80%	63.62%	67.49%	61.37%	64.20%	67.37%	62.24%	59.25%	65.16%	74.88%	63.38%	57.91%	76.22%	75.17%	64.97%	60.47%	71.83%	60.56%	76.70%	64.38%	74.62%	76.14%	64.29%	63.33%	59.03%	63.88%	81.68%	40.27%	46.48%	67.45%	69.42%	62.66%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	337	2	1	3	4	1	4	8	2	2	1	8	2	1	10	9	1	0	8	1	0	7	0	1	16	6	1	3	5	3	0	0	16	9	6	4	11	3	0	0	0	0	0	5	3	1	2	4	6	1	10	5	1	8	7	3	3	13	1	6	7	0	0	0	6	5	12	20	33	5	4	7					
		0.66%	0.30%	0.52%	0.63%	0.57%	0.15%	0.50%	0.66%	0.49%	0.24%	0.19%	0.66%	0.33%	0.52%	0.92%	0.73%	0.27%	0.00%	1.99%	1.14%	0.00%	1.85%	0.00%	0.11%	1.30%	1.06%	0.06%	0.78%	0.88%	0.68%	0.00%	0.00%	1.48%	0.96%	0.64%	0.65%	0.94%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.59%	0.69%	0.53%	0.46%	1.16%	0.75%	0.16%	1.05%	0.69%	0.08%	0.92%	0.78%	0.29%	0.49%	1.22%	0.97%	0.86%	0.45%	0.00%	0.00%	0.00%	1.00%	0.60%	0.79%	9.05%	9.30%	0.78%	0.37%	1.14%					
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
