Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																													
Дата голосования: 07.12.2003 0:00:00																																																																													
																																																																													
"Наименование Избирательной комиссии:    Курган, Восточная"																																																																													
																																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																													
																																																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2340	15	15	15	20	20	30	50	50	35	20	40	45	45	35	45	35	35	50	35	50	35	35	50	30	30	35	45	35	30	30	45	45	30	35	30	30	15	15	35	35	20	30	35	50	30	45	45	35	50	45	45	50	50	15	35	45	50	50	50	50	50	65	15	15	15	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1051	11	9	2	6	6	7	23	12	6	10	19	22	26	19	21	21	24	26	20	29	24	23	34	16	19	16	28	15	22	23	20	21	11	14	20	10	3	3	8	9	8	7	11	28	13	6	15	23	21	9	20	16	13	0	21	17	18	21	25	18	30	43	7	1	2	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	804	12	7	6	8	2	10	8	7	16	10	12	15	15	4	15	9	17	8	9	13	19	15	17	7	11	17	15	27	14	18	17	9	9	17	12	8	16	7	5	9	2	4	8	23	6	9	11	9	11	7	7	15	6	10	12	13	10	6	10	8	10	19	4	6	6	16	10	16	1	57					
14	Число погашенных открепительных удостоверений	1289	4	6	13	14	14	23	27	38	29	10	21	23	19	16	24	14	11	24	15	21	11	12	16	14	11	19	17	20	8	7	25	24	19	21	10	20	12	12	27	26	12	23	24	22	17	39	30	12	29	36	25	34	37	15	14	28	32	29	25	32	20	22	8	14	13	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	84	1	0	1	1	2	0	0	3	2	2	1	1	0	1	2	2	2	3	2	0	1	0	0	0	2	0	5	1	1	1	3	0	1	2	1	3	0	0	2	2	1	1	1	1	4	4	2	0	1	0	1	3	4	0	1	1	2	2	1	0	0	1	1	0	1	0	0	0	0	0					
16	Число утраченных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																													
18	"1. ""ЕДИНЕНИЕ"""	455	3	4	10	7	1	7	7	6	4	9	10	6	16	7	8	9	4	6	6	17	7	9	11	8	4	4	7	14	9	4	9	7	6	17	4	5	0	0	8	5	14	6	3	9	5	7	14	10	8	5	7	3	13	1	4	8	9	11	7	6	4	7	4	3	0	0	0	0	2	0					
		0.68%	0.64%	0.91%	2.53%	1.48%	0.16%	1.03%	0.55%	0.61%	0.50%	1.47%	0.80%	0.43%	1.34%	0.57%	0.72%	0.68%	0.30%	0.37%	0.50%	1.13%	0.55%	0.72%	0.72%	0.75%	0.38%	0.32%	0.50%	1.07%	0.78%	0.37%	0.73%	0.50%	0.73%	1.56%	0.47%	0.66%	0.0%	0.0%	1.04%	0.62%	1.93%	0.62%	0.35%	0.64%	0.69%	0.78%	1.16%	0.78%	0.53%	0.44%	0.77%	0.20%	1.00%	0.84%	0.35%	0.68%	0.70%	0.74%	0.44%	0.40%	0.28%	0.54%	0.62%	0.96%	0.0%	0.0%	0.0%	0.0%	1.25%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1423	9	4	4	5	10	10	18	10	12	9	23	25	15	23	19	40	37	71	24	39	34	41	53	38	34	47	34	54	46	41	24	35	14	15	21	18	3	14	16	11	12	14	21	13	13	11	10	18	17	13	19	24	20	2	13	21	18	39	11	36	25	24	8	7	3	0	0	0	9	2					
		2.13%	1.92%	0.91%	1.01%	1.06%	1.65%	1.47%	1.43%	1.02%	1.51%	1.47%	1.85%	1.83%	1.25%	1.89%	1.72%	3.05%	2.86%	4.46%	2.02%	2.60%	2.67%	3.28%	3.48%	3.58%	3.28%	3.76%	2.47%	4.12%	4.02%	3.80%	1.95%	2.50%	1.70%	1.38%	2.50%	2.39%	1.29%	9.27%	2.09%	1.38%	1.65%	1.46%	2.46%	0.92%	1.80%	1.22%	0.83%	1.41%	1.13%	1.14%	2.09%	1.65%	1.55%	1.68%	1.16%	1.80%	1.40%	2.63%	0.70%	2.44%	1.75%	1.88%	1.25%	2.25%	1.71%	0.0%	0.0%	0.0%	5.62%	1.72%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1750	12	12	7	16	17	6	34	8	32	15	27	49	37	33	19	34	50	43	38	42	49	41	37	38	34	36	33	35	33	21	29	38	27	40	16	14	2	1	20	15	17	23	24	32	10	30	26	35	38	26	27	40	42	3	26	17	21	42	53	37	30	26	13	5	5	0	3	1	4	4					
		2.62%	2.56%	2.74%	1.77%	3.40%	2.81%	0.88%	2.71%	0.82%	4.04%	2.45%	2.18%	3.59%	3.10%	2.71%	1.72%	2.59%	3.86%	2.70%	3.20%	2.80%	3.86%	3.28%	2.43%	3.58%	3.28%	2.88%	2.40%	2.67%	2.88%	1.94%	2.36%	2.72%	3.29%	3.68%	1.90%	1.86%	0.86%	0.66%	2.62%	1.88%	2.34%	2.41%	2.82%	2.28%	1.38%	3.35%	2.15%	2.75%	2.52%	2.29%	2.97%	2.75%	3.26%	2.52%	2.32%	1.45%	1.63%	2.83%	3.37%	2.51%	2.10%	2.04%	2.04%	1.61%	2.85%	0.0%	4.41%	3.57%	2.5%	3.44%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3102	11	17	13	8	21	18	50	19	15	15	52	69	47	58	51	99	69	110	60	94	65	84	113	66	70	66	101	102	75	84	81	69	30	51	34	16	10	11	21	26	24	39	28	46	17	30	43	59	66	44	19	48	45	2	45	50	59	47	90	58	81	47	17	4	11	1	0	0	8	3					
		4.64%	2.35%	3.89%	3.29%	1.70%	3.48%	2.65%	3.99%	1.95%	1.89%	2.45%	4.20%	5.05%	3.94%	4.77%	4.63%	7.55%	5.33%	6.92%	5.06%	6.28%	5.12%	6.72%	7.42%	6.22%	6.76%	5.28%	7.35%	7.79%	6.55%	7.79%	6.60%	4.94%	3.66%	4.69%	4.05%	2.13%	4.32%	7.28%	2.75%	3.27%	3.31%	4.09%	3.29%	3.28%	2.35%	3.35%	3.57%	4.64%	4.39%	3.88%	2.09%	3.30%	3.49%	1.68%	4.02%	4.29%	4.59%	3.17%	5.72%	3.94%	5.68%	3.69%	2.66%	1.29%	6.28%	6.25%	0.0%	0.0%	5.0%	2.58%					
22	"5. ""За Русь Святую"""	178	6	1	3	0	2	4	2	1	6	0	2	9	0	2	3	7	3	5	4	4	4	3	2	1	2	1	3	1	2	2	5	3	5	2	4	1	2	0	2	2	3	3	1	1	4	2	3	3	7	0	3	3	4	0	1	3	0	6	6	1	6	3	2	0	0	0	0	0	0	2					
		0.26%	1.28%	0.22%	0.75%	0.0%	0.33%	0.58%	0.15%	0.10%	0.75%	0.0%	0.16%	0.65%	0.0%	0.16%	0.27%	0.53%	0.23%	0.31%	0.33%	0.26%	0.31%	0.24%	0.13%	0.09%	0.19%	0.08%	0.21%	0.07%	0.17%	0.18%	0.40%	0.21%	0.61%	0.18%	0.47%	0.13%	0.86%	0.0%	0.26%	0.25%	0.41%	0.31%	0.11%	0.07%	0.55%	0.22%	0.24%	0.23%	0.46%	0.0%	0.33%	0.20%	0.31%	0.0%	0.08%	0.25%	0.0%	0.40%	0.38%	0.06%	0.42%	0.23%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.72%					
23	"6. ""Объединенная Российская партия ""Русь"""	163	2	2	3	0	3	4	3	4	0	2	1	6	3	2	1	3	1	3	4	4	3	3	2	2	2	2	7	6	4	1	1	4	3	3	1	2	0	1	2	0	1	0	1	5	5	3	3	4	2	1	1	3	3	0	2	4	2	4	4	4	4	5	0	0	0	0	0	0	1	1					
		0.24%	0.42%	0.45%	0.75%	0.0%	0.49%	0.58%	0.23%	0.41%	0.0%	0.32%	0.08%	0.43%	0.25%	0.16%	0.09%	0.22%	0.07%	0.18%	0.33%	0.26%	0.23%	0.24%	0.13%	0.18%	0.19%	0.16%	0.50%	0.45%	0.34%	0.09%	0.08%	0.28%	0.36%	0.27%	0.11%	0.26%	0.0%	0.66%	0.26%	0.0%	0.13%	0.0%	0.11%	0.35%	0.69%	0.33%	0.24%	0.31%	0.13%	0.08%	0.11%	0.20%	0.23%	0.0%	0.17%	0.34%	0.15%	0.27%	0.25%	0.27%	0.28%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.62%	0.86%					
24	"7. ""Новый курс - Автомобильная Россия"""	450	4	2	0	2	5	2	10	10	9	6	3	13	4	9	5	11	5	12	5	6	6	9	14	3	8	4	9	4	9	7	3	10	10	9	1	8	0	1	5	3	5	8	10	9	4	2	9	6	14	6	7	9	3	2	6	9	8	7	22	16	10	16	8	4	0	0	0	1	3	0					
		0.67%	0.85%	0.45%	0.0%	0.42%	0.82%	0.29%	0.79%	1.02%	1.13%	0.98%	0.24%	0.95%	0.33%	0.74%	0.45%	0.83%	0.38%	0.75%	0.42%	0.40%	0.47%	0.72%	0.91%	0.28%	0.77%	0.32%	0.65%	0.30%	0.78%	0.64%	0.24%	0.71%	1.22%	0.82%	0.11%	1.06%	0.0%	0.66%	0.65%	0.37%	0.69%	0.83%	1.17%	0.64%	0.55%	0.22%	0.74%	0.47%	0.93%	0.52%	0.77%	0.61%	0.23%	1.68%	0.53%	0.77%	0.62%	0.47%	1.40%	1.08%	0.70%	1.25%	1.25%	1.29%	0.0%	0.0%	0.0%	3.57%	1.87%	0.0%					
25	"8. ""Народно-республиканская партия России"""	50	1	0	3	1	0	0	1	0	0	0	1	1	2	0	1	1	0	3	0	1	1	2	0	1	0	0	0	2	3	0	0	0	0	0	0	0	0	0	3	0	1	0	3	2	1	0	2	1	2	0	0	1	1	0	0	0	0	1	1	2	2	0	0	0	0	0	0	0	1	1					
		0.07%	0.21%	0.0%	0.75%	0.21%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.08%	0.07%	0.16%	0.0%	0.09%	0.07%	0.0%	0.18%	0.0%	0.06%	0.07%	0.16%	0.0%	0.09%	0.0%	0.0%	0.0%	0.15%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.13%	0.0%	0.35%	0.14%	0.13%	0.0%	0.16%	0.07%	0.13%	0.0%	0.0%	0.06%	0.07%	0.0%	0.0%	0.0%	0.0%	0.06%	0.06%	0.13%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.62%	0.86%					
26	"9. ""Российская экологическая партия ""Зеленые"""	240	5	1	0	1	0	0	5	2	2	0	7	3	6	5	6	5	3	0	6	8	4	4	5	6	3	4	6	6	7	5	4	5	3	3	7	2	1	1	2	1	1	2	5	4	2	2	0	5	10	2	8	2	2	0	5	6	2	8	9	4	5	7	2	2	0	0	0	0	1	0					
		0.35%	1.07%	0.22%	0.0%	0.21%	0.0%	0.0%	0.39%	0.20%	0.25%	0.0%	0.56%	0.21%	0.50%	0.41%	0.54%	0.38%	0.23%	0.0%	0.50%	0.53%	0.31%	0.32%	0.32%	0.56%	0.28%	0.32%	0.43%	0.45%	0.61%	0.46%	0.32%	0.35%	0.36%	0.27%	0.83%	0.26%	0.43%	0.66%	0.26%	0.12%	0.13%	0.20%	0.58%	0.28%	0.27%	0.22%	0.0%	0.39%	0.66%	0.17%	0.88%	0.13%	0.15%	0.0%	0.44%	0.51%	0.15%	0.54%	0.57%	0.27%	0.35%	0.54%	0.31%	0.64%	0.0%	0.0%	0.0%	0.0%	0.62%	0.0%					
27	"10. ""Аграрная партия России"""	1940	20	8	18	19	17	21	28	27	19	17	43	57	35	52	27	41	33	61	34	47	25	22	36	30	24	44	37	36	32	34	42	32	23	39	28	24	6	2	22	28	7	34	22	44	14	21	29	45	65	34	24	29	26	2	22	36	28	40	38	55	40	35	25	9	5	0	8	0	4	9					
		2.90%	4.28%	1.83%	4.55%	4.04%	2.81%	3.09%	2.23%	2.77%	2.39%	2.78%	3.47%	4.17%	2.93%	4.27%	2.45%	3.12%	2.55%	3.83%	2.87%	3.14%	1.97%	1.76%	2.36%	2.83%	2.31%	3.52%	2.69%	2.75%	2.79%	3.15%	3.42%	2.29%	2.80%	3.59%	3.34%	3.19%	2.59%	1.32%	2.88%	3.52%	0.96%	3.56%	2.58%	3.14%	1.93%	2.34%	2.40%	3.54%	4.32%	2.99%	2.64%	1.99%	2.01%	1.68%	1.96%	3.09%	2.17%	2.70%	2.41%	3.73%	2.80%	2.74%	3.92%	2.90%	2.85%	0.0%	11.76%	0.0%	2.5%	7.75%					
28	"11. ""Истинные патриоты России"""	42	0	1	0	0	0	0	2	0	0	1	1	0	0	4	0	1	2	2	1	0	4	0	4	0	0	0	1	0	2	2	0	0	0	1	0	1	0	0	0	2	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	3	0	1	0	0	0	0	0	0	0	0					
		0.06%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.16%	0.08%	0.0%	0.0%	0.32%	0.0%	0.07%	0.15%	0.12%	0.08%	0.0%	0.31%	0.0%	0.26%	0.0%	0.0%	0.0%	0.07%	0.0%	0.17%	0.18%	0.0%	0.0%	0.0%	0.09%	0.0%	0.13%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.11%	0.07%	0.0%	0.0%	0.08%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.07%	0.0%	0.0%	0.20%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	949	8	2	5	3	10	7	16	6	3	10	19	19	19	16	18	28	19	16	21	30	20	23	22	11	21	16	15	20	17	19	29	14	12	14	9	8	1	0	5	10	8	7	20	20	11	11	14	12	12	16	15	22	19	1	7	14	34	21	36	30	20	20	5	4	1	0	1	1	2	4					
		1.42%	1.71%	0.45%	1.26%	0.63%	1.65%	1.03%	1.27%	0.61%	0.37%	1.63%	1.53%	1.39%	1.59%	1.31%	1.63%	2.13%	1.46%	1.00%	1.77%	2.00%	1.57%	1.84%	1.44%	1.03%	2.02%	1.28%	1.09%	1.52%	1.48%	1.76%	2.36%	1.00%	1.46%	1.28%	1.07%	1.06%	0.43%	0.0%	0.65%	1.25%	1.10%	0.73%	2.35%	1.42%	1.52%	1.22%	1.16%	0.94%	0.79%	1.41%	1.65%	1.51%	1.47%	0.84%	0.62%	1.20%	2.64%	1.41%	2.29%	2.03%	1.40%	1.57%	0.78%	1.29%	0.57%	0.0%	1.47%	3.57%	1.25%	3.44%					
30	"13. ""Демократическая партия России"""	143	0	2	2	0	0	3	4	2	1	2	3	6	3	1	2	5	4	0	2	3	1	1	7	4	5	1	5	1	1	3	1	4	0	2	1	3	1	0	2	0	2	1	0	2	1	1	7	4	5	1	2	4	1	1	3	4	1	2	0	4	7	0	1	0	0	0	0	0	0	1					
		0.21%	0.0%	0.45%	0.50%	0.0%	0.0%	0.44%	0.31%	0.20%	0.12%	0.32%	0.24%	0.43%	0.25%	0.08%	0.18%	0.38%	0.30%	0.0%	0.16%	0.20%	0.07%	0.08%	0.45%	0.37%	0.48%	0.08%	0.36%	0.07%	0.08%	0.27%	0.08%	0.28%	0.0%	0.18%	0.11%	0.39%	0.43%	0.0%	0.26%	0.0%	0.27%	0.10%	0.0%	0.14%	0.13%	0.11%	0.58%	0.31%	0.33%	0.08%	0.22%	0.27%	0.07%	0.84%	0.26%	0.34%	0.07%	0.13%	0.0%	0.27%	0.49%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.86%					
31	"14. ""Великая Россия - Евразийский Союз"""	122	2	1	0	0	0	1	3	1	2	0	6	3	2	3	0	1	2	1	1	3	3	7	2	4	4	1	4	3	1	1	2	3	1	0	0	1	0	0	2	3	1	0	3	5	1	1	5	2	0	4	1	1	1	0	5	2	2	1	5	0	2	1	1	0	3	0	0	0	1	0					
		0.18%	0.42%	0.22%	0.0%	0.0%	0.0%	0.14%	0.23%	0.10%	0.25%	0.0%	0.48%	0.21%	0.16%	0.24%	0.0%	0.07%	0.15%	0.06%	0.08%	0.20%	0.23%	0.56%	0.13%	0.37%	0.38%	0.08%	0.29%	0.22%	0.08%	0.09%	0.16%	0.21%	0.12%	0.0%	0.0%	0.13%	0.0%	0.0%	0.26%	0.37%	0.13%	0.0%	0.35%	0.35%	0.13%	0.11%	0.41%	0.15%	0.0%	0.35%	0.11%	0.06%	0.07%	0.0%	0.44%	0.17%	0.15%	0.06%	0.31%	0.0%	0.14%	0.07%	0.15%	0.0%	1.71%	0.0%	0.0%	0.0%	0.62%	0.0%					
32	"15. ""Партия СЛОН"""	78	1	2	1	0	2	1	1	0	0	1	3	2	1	0	0	0	2	0	0	1	1	2	4	0	3	2	0	2	1	2	1	4	0	4	1	1	0	0	0	0	1	2	0	3	2	1	2	4	1	1	1	1	1	0	2	2	0	0	0	2	1	5	0	0	0	0	0	0	0	0					
		0.11%	0.21%	0.45%	0.25%	0.0%	0.33%	0.14%	0.07%	0.0%	0.0%	0.16%	0.24%	0.14%	0.08%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.06%	0.07%	0.16%	0.26%	0.0%	0.28%	0.16%	0.0%	0.15%	0.08%	0.18%	0.08%	0.28%	0.0%	0.36%	0.11%	0.13%	0.0%	0.0%	0.0%	0.0%	0.13%	0.20%	0.0%	0.21%	0.27%	0.11%	0.16%	0.31%	0.06%	0.08%	0.11%	0.06%	0.07%	0.0%	0.17%	0.17%	0.0%	0.0%	0.0%	0.13%	0.07%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	4558	23	27	24	33	37	22	63	44	41	35	56	129	84	76	79	93	112	125	92	122	109	110	126	83	93	120	117	117	92	88	92	92	54	68	51	49	10	3	29	47	37	82	54	122	47	41	64	91	85	58	57	70	78	2	69	71	88	123	124	94	84	81	35	18	5	0	3	1	6	1					
		6.83%	4.92%	6.17%	6.07%	7.02%	6.13%	3.24%	5.03%	4.52%	5.17%	5.73%	4.52%	9.45%	7.05%	6.25%	7.17%	7.09%	8.66%	7.86%	7.77%	8.15%	8.58%	8.80%	8.27%	7.83%	8.98%	9.60%	8.51%	8.94%	8.04%	8.17%	7.50%	6.59%	6.59%	6.26%	6.08%	6.52%	4.32%	1.98%	3.80%	5.91%	5.11%	8.60%	6.34%	8.70%	6.50%	4.58%	5.31%	7.15%	5.65%	5.11%	6.27%	4.81%	6.05%	1.68%	6.17%	6.09%	6.84%	8.30%	7.89%	6.39%	5.89%	6.36%	5.49%	5.80%	2.85%	0.0%	4.41%	3.57%	3.75%	0.86%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	107	1	1	0	0	2	0	1	1	0	2	1	2	1	2	0	3	3	0	2	2	1	2	5	1	0	1	4	1	1	2	5	1	1	0	1	1	0	0	0	2	2	2	2	2	0	2	7	2	7	0	2	1	0	0	0	2	0	6	2	1	6	3	2	0	2	0	0	0	1	0					
		0.16%	0.21%	0.22%	0.0%	0.0%	0.33%	0.0%	0.07%	0.10%	0.0%	0.32%	0.08%	0.14%	0.08%	0.16%	0.0%	0.22%	0.23%	0.0%	0.16%	0.13%	0.07%	0.16%	0.32%	0.09%	0.0%	0.08%	0.29%	0.07%	0.08%	0.18%	0.40%	0.07%	0.12%	0.0%	0.11%	0.13%	0.0%	0.0%	0.0%	0.25%	0.27%	0.20%	0.23%	0.14%	0.0%	0.22%	0.58%	0.15%	0.46%	0.0%	0.22%	0.06%	0.0%	0.0%	0.0%	0.17%	0.0%	0.40%	0.12%	0.06%	0.42%	0.23%	0.31%	0.0%	1.14%	0.0%	0.0%	0.0%	0.62%	0.0%					
35	"18. ""ЛДПР"""	14251	120	103	103	128	172	207	336	299	227	165	261	212	279	277	208	235	224	296	220	293	199	215	276	207	163	163	247	169	167	149	222	237	169	230	215	195	74	37	229	187	156	234	177	323	160	234	305	283	289	258	192	342	294	42	304	243	315	364	344	327	328	295	168	71	38	5	8	2	26	9					
		21.35%	25.69%	23.56%	26.07%	27.23%	28.52%	30.48%	26.85%	30.76%	28.66%	27.04%	21.08%	15.54%	23.42%	22.79%	18.89%	17.92%	17.32%	18.62%	18.58%	19.58%	15.68%	17.21%	18.13%	19.52%	15.74%	13.05%	17.97%	12.92%	14.59%	13.83%	18.10%	16.98%	20.63%	21.17%	25.65%	25.96%	32.03%	24.50%	30.05%	23.55%	21.54%	24.55%	20.79%	23.05%	22.16%	26.14%	25.33%	22.26%	19.24%	22.75%	21.14%	23.52%	22.82%	35.29%	27.21%	20.85%	24.51%	24.57%	21.89%	22.22%	23.03%	23.17%	26.37%	22.90%	21.71%	31.25%	11.76%	7.14%	16.25%	7.75%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1502	4	9	9	15	13	13	34	17	21	9	42	36	20	23	28	33	26	30	27	28	33	23	44	14	18	20	25	24	26	17	19	28	14	21	27	17	2	3	18	18	13	24	21	36	24	16	27	40	34	24	24	33	30	2	36	28	23	27	36	46	30	22	35	9	4	1	2	2	3	2					
