Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №9																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2652	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1089	15	25	21	8	18	23	15	14	15	14	21	16	45	20	22	39	15	37	32	27	22	19	25	20	20	17	16	39	22	19	25	30	12	22	23	14	11	25	18	12	18	23	25	27	26	16	30	14	9	25	23									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1093	12	22	4	1	7	12	12	10	19	3	20	17	8	11	24	9	14	6	16	16	14	17	20	47	37	73	25	9	16	13	22	9	11	25	7	13	8	60	88	13	28	9	5	3	14	8	48	65	104	15	24									
14	Число погашенных неиспользованных открепительных удостоверений	1563	37	27	31	44	34	29	37	38	37	38	31	36	7	32	30	13	37	15	20	25	30	33	27	32	32	35	36	13	30	33	27	22	40	30	29	38	41	27	34	40	34	29	27	25	26	36	22	38	43	27	29									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	199	5	0	5	2	8	1	1	2	3	3	3	3	2	5	2	3	2	6	5	6	5	5	4	2	4	8	7	3	5	3	3	3	4	0	3	3	3	10	5	2	2	5	3	3	7	8	1	4	3	7	7									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	914	16	34	22	13	20	17	15	8	10	24	20	17	23	17	37	17	10	19	21	19	10	15	17	19	18	24	14	23	12	19	23	20	13	16	14	15	6	13	19	14	25	17	16	17	26	14	17	15	21	31	12									
		2.65%	2.42%	4.55%	4.43%	2.88%	3.30%	2.49%	2.64%	1.15%	1.43%	3.13%	2.31%	2.50%	3.20%	2.54%	3.86%	2.10%	1.97%	2.52%	2.54%	2.31%	1.69%	2.78%	2.82%	2.78%	3.06%	2.93%	2.37%	3.21%	1.77%	2.65%	3.21%	3.04%	2.73%	1.99%	1.73%	3.16%	2.04%	1.78%	2.50%	2.99%	4.61%	2.31%	2.23%	2.31%	2.96%	1.72%	2.21%	2.22%	3.70%	5.04%	1.71%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	425	13	17	9	4	5	9	7	6	3	11	16	10	20	7	9	14	8	5	4	7	2	7	10	12	11	17	5	7	5	3	7	13	11	12	7	6	3	10	6	7	7	10	7	3	9	10	8	8	3	5	10									
		1.23%	1.97%	2.27%	1.81%	0.89%	0.83%	1.32%	1.23%	0.86%	0.43%	1.43%	1.85%	1.47%	2.78%	1.05%	0.94%	1.73%	1.57%	0.66%	0.48%	0.85%	0.34%	1.30%	1.66%	1.75%	1.87%	2.08%	0.85%	0.98%	0.74%	0.42%	0.98%	1.98%	2.31%	1.50%	0.86%	1.27%	1.02%	1.37%	0.79%	1.50%	1.29%	1.36%	0.97%	0.41%	1.03%	1.23%	1.04%	1.18%	0.53%	0.81%	1.43%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	745	8	18	13	6	14	5	12	10	5	10	14	13	11	15	27	17	12	15	22	18	13	9	15	8	11	26	22	16	19	19	13	14	8	17	14	6	7	22	15	14	12	15	23	18	25	26	18	12	10	18	15									
		2.16%	1.21%	2.41%	2.62%	1.33%	2.31%	0.73%	2.11%	1.43%	0.72%	1.30%	1.62%	1.91%	1.53%	2.25%	2.82%	2.10%	2.36%	1.99%	2.66%	2.19%	2.20%	1.67%	2.49%	1.17%	1.87%	3.18%	3.72%	2.23%	2.80%	2.65%	1.82%	2.13%	1.68%	2.12%	1.73%	1.27%	2.38%	3.01%	1.97%	2.99%	2.21%	2.04%	3.20%	2.45%	2.85%	3.20%	2.34%	1.77%	1.76%	2.93%	2.14%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12006	230	290	163	146	195	279	182	219	231	252	314	257	352	180	347	271	184	250	270	279	203	186	197	246	253	285	222	253	247	221	246	212	169	265	267	155	111	276	300	163	171	225	258	259	315	278	241	259	217	182	233									
		34.85%	34.80%	38.77%	32.80%	32.37%	32.18%	40.91%	32.04%	31.38%	33.14%	32.81%	36.34%	37.79%	48.96%	26.95%	36.22%	33.50%	36.22%	33.11%	32.65%	33.94%	34.29%	34.44%	32.72%	35.96%	43.03%	34.84%	37.56%	35.34%	36.38%	30.87%	34.36%	32.27%	35.50%	33.08%	32.96%	32.70%	37.76%	37.81%	39.42%	34.83%	31.55%	30.53%	35.88%	35.19%	35.88%	34.19%	31.38%	38.26%	38.20%	29.59%	33.29%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	623	12	15	16	11	13	5	14	16	19	17	26	12	8	12	14	16	5	12	13	14	14	5	14	11	12	23	10	10	9	12	16	7	8	15	19	10	5	7	12	6	7	14	13	13	12	13	8	6	6	18	18									
		1.81%	1.82%	2.01%	3.22%	2.44%	2.15%	0.73%	2.46%	2.29%	2.73%	2.21%	3.01%	1.76%	1.11%	1.80%	1.46%	1.98%	0.98%	1.59%	1.57%	1.70%	2.36%	0.93%	2.33%	1.61%	2.04%	2.81%	1.69%	1.40%	1.33%	1.68%	2.23%	1.07%	1.68%	1.87%	2.35%	2.11%	1.70%	0.96%	1.58%	1.28%	1.29%	1.90%	1.81%	1.77%	1.37%	1.60%	1.04%	0.89%	1.06%	2.93%	2.57%									
24	"6. Политическая партия ""Гражданская Платформа"""	124	4	1	1	2	1	0	3	2	0	2	5	3	27	3	2	2	0	4	1	0	2	2	5	4	1	1	2	3	2	2	2	3	1	3	3	0	0	1	4	2	2	2	1	3	2	3	1	3	1	0	0									
		0.36%	0.61%	0.13%	0.20%	0.44%	0.17%	0.00%	0.53%	0.29%	0.00%	0.26%	0.58%	0.44%	3.76%	0.45%	0.21%	0.25%	0.00%	0.53%	0.12%	0.00%	0.34%	0.37%	0.83%	0.58%	0.17%	0.12%	0.34%	0.42%	0.29%	0.28%	0.28%	0.46%	0.21%	0.37%	0.37%	0.00%	0.00%	0.14%	0.53%	0.43%	0.37%	0.27%	0.14%	0.41%	0.23%	0.37%	0.13%	0.44%	0.18%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3324	52	72	43	35	41	41	42	58	59	84	96	72	59	58	71	96	33	80	100	92	53	57	59	59	60	75	55	77	84	80	72	76	56	75	85	44	33	70	77	37	42	70	90	98	70	60	88	69	51	67	51									
		9.65%	7.87%	9.63%	8.65%	7.76%	6.77%	6.01%	7.39%	8.31%	8.46%	10.94%	11.11%	10.59%	8.21%	8.68%	7.41%	11.87%	6.50%	10.60%	12.09%	11.19%	8.95%	10.56%	9.80%	8.63%	10.20%	9.17%	9.31%	10.75%	12.37%	11.17%	10.06%	11.57%	11.76%	9.36%	10.49%	9.28%	11.22%	9.59%	10.12%	7.91%	7.75%	9.50%	12.52%	13.32%	7.97%	7.38%	11.46%	10.19%	8.98%	10.89%	7.29%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	894	17	21	19	12	11	33	17	21	23	20	23	13	32	26	30	22	9	22	17	26	17	9	18	20	9	27	24	12	19	13	22	15	14	21	12	9	9	10	10	13	15	21	6	5	25	24	25	11	4	19	22									
		2.59%	2.57%	2.81%	3.82%	2.66%	1.82%	4.84%	2.99%	3.01%	3.30%	2.60%	2.66%	1.91%	4.45%	3.89%	3.13%	2.72%	1.77%	2.91%	2.06%	3.16%	2.87%	1.67%	2.99%	2.92%	1.53%	3.30%	4.06%	1.68%	2.80%	1.82%	3.07%	2.28%	2.94%	2.62%	1.48%	1.90%	3.06%	1.37%	1.31%	2.78%	2.77%	2.85%	0.83%	0.68%	2.85%	2.95%	3.26%	1.62%	0.70%	3.09%	3.14%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	3210	62	67	46	57	66	65	78	75	70	91	77	54	34	75	103	88	55	70	77	73	38	63	43	65	56	64	48	72	64	53	76	51	46	67	67	52	28	56	63	39	57	66	52	59	94	70	70	43	53	81	71									
		9.32%	9.38%	8.96%	9.26%	12.64%	10.89%	9.53%	13.73%	10.74%	10.04%	11.85%	8.91%	7.94%	4.73%	11.23%	10.75%	10.88%	10.83%	9.27%	9.31%	8.88%	6.42%	11.67%	7.14%	9.50%	9.52%	7.82%	8.12%	10.06%	9.43%	7.40%	10.61%	7.76%	9.66%	8.36%	8.27%	10.97%	9.52%	7.67%	8.28%	8.33%	10.52%	8.96%	7.23%	8.02%	10.71%	8.61%	9.11%	6.35%	9.33%	13.17%	10.14%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	95	1	5	2	1	5	1	3	1	1	3	5	3	5	1	1	0	1	0	1	5	2	0	1	0	1	3	2	4	1	1	4	2	0	4	1	1	1	1	4	2	3	3	0	3	2	1	0	1	1	1	0									
		0.28%	0.15%	0.67%	0.40%	0.22%	0.83%	0.15%	0.53%	0.14%	0.14%	0.39%	0.58%	0.44%	0.70%	0.15%	0.10%	0.00%	0.20%	0.00%	0.12%	0.61%	0.34%	0.00%	0.17%	0.00%	0.17%	0.37%	0.34%	0.56%	0.15%	0.14%	0.56%	0.30%	0.00%	0.50%	0.12%	0.21%	0.34%	0.14%	0.53%	0.43%	0.55%	0.41%	0.00%	0.41%	0.23%	0.12%	0.00%	0.15%	0.18%	0.16%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3696	82	12	66	73	89	103	76	116	123	101	77	75	41	125	159	103	58	115	101	61	67	49	83	52	22	61	90	73	52	67	78	47	45	82	62	56	18	66	59	52	65	76	47	64	71	80	52	89	48	82	85									
		10.73%	12.41%	1.60%	13.28%	16.19%	14.69%	15.10%	13.38%	16.62%	17.65%	13.15%	8.91%	11.03%	5.70%	18.71%	16.60%	12.73%	11.42%	15.23%	12.21%	7.42%	11.32%	9.07%	13.79%	7.60%	3.74%	7.46%	15.23%	10.20%	7.66%	9.36%	10.89%	7.15%	9.45%	10.24%	7.65%	11.81%	6.12%	9.04%	7.75%	11.11%	11.99%	10.31%	6.54%	8.70%	8.09%	9.84%	6.77%	13.15%	8.45%	13.33%	12.14%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4272	106	131	40	58	87	74	77	85	91	89	125	76	51	93	91	85	83	94	97	127	84	71	62	91	80	120	66	93	68	105	66	94	51	89	100	59	26	91	67	60	61	83	89	92	115	93	118	87	79	60	92									
		12.40%	16.04%	17.51%	8.05%	12.86%	14.36%	10.85%	13.56%	12.18%	13.06%	11.59%	14.47%	11.18%	7.09%	13.92%	9.50%	10.51%	16.34%	12.45%	11.73%	15.45%	14.19%	13.15%	10.30%	13.30%	13.61%	14.67%	11.17%	12.99%	10.01%	14.66%	9.22%	14.31%	10.71%	11.11%	12.35%	12.45%	8.84%	12.47%	8.80%	12.82%	11.25%	11.26%	12.38%	12.50%	13.10%	11.44%	15.36%	12.85%	13.91%	9.76%	13.14%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	164	4	2	1	2	3	1	6	4	1	0	6	1	26	1	7	9	0	3	3	2	1	0	1	4	3	0	4	2	5	2	1	6	0	4	5	3	3	2	6	1	2	5	1	4	3	1	2	2	2	3	4									
		0.48%	0.61%	0.27%	0.20%	0.44%	0.50%	0.15%	1.06%	0.57%	0.14%	0.00%	0.69%	0.15%	3.62%	0.15%	0.73%	1.11%	0.00%	0.40%	0.36%	0.24%	0.17%	0.00%	0.17%	0.58%	0.51%	0.00%	0.68%	0.28%	0.74%	0.28%	0.14%	0.91%	0.00%	0.50%	0.62%	0.63%	1.02%	0.27%	0.79%	0.21%	0.37%	0.68%	0.14%	0.54%	0.34%	0.12%	0.26%	0.30%	0.35%	0.49%	0.57%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3197	38	46	42	13	46	40	29	41	36	47	60	56	30	41	46	42	35	55	88	87	74	60	69	84	40	75	23	58	78	88	78	80	40	116	111	46	32	78	103	50	56	103	98	94	96	123	102	61	58	37	68									
		9.28%	5.75%	6.15%	8.45%	2.88%	7.59%	5.87%	5.11%	5.87%	5.16%	6.12%	6.94%	8.24%	4.17%	6.14%	4.80%	5.19%	6.89%	7.28%	10.64%	10.58%	12.50%	11.11%	11.46%	12.28%	6.80%	9.17%	3.89%	8.10%	11.49%	12.29%	10.89%	12.18%	8.40%	14.48%	13.70%	9.70%	10.88%	10.68%	13.53%	10.68%	10.33%	13.98%	13.63%	12.77%	10.93%	15.13%	13.28%	9.01%	10.21%	6.02%	9.71%									
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
