Выборы Президента Российской Федерации																																																																			
																																																																			
Наименование Избирательной комиссии:    Талицкая																																																																			
																																																																			
Итоги голосования 																																																																			
																																																																			
		Сумма	УИК  927	УИК  928	УИК  929	УИК  930	УИК  931	УИК  932	УИК  933	УИК  934	УИК  935	УИК  936	УИК  937	УИК  938	УИК  939	УИК  940	УИК  941	УИК  942	УИК  943	УИК  944	УИК  945	УИК  946	УИК  947	УИК  948	УИК  949	УИК  950	УИК  951	УИК  952	УИК  953	УИК  954	УИК  955	УИК  956	УИК  957	УИК  958	УИК  959	УИК  960	УИК  961	УИК  962	УИК  963	УИК  964	УИК  965	УИК  966	УИК  967	УИК  968	УИК  969	УИК  970	УИК  971	УИК  972	УИК  973	УИК  974	УИК  975	УИК  976	УИК  977	УИК  978	УИК  979	УИК  980	УИК  981	УИК  982	УИК  983	УИК  984	УИК  985	УИК  986					
20	. Миронов Сергей Михайлович	126	1	10	8	5	3	1	4	0	0	4	2	0	7	5	3	4	0	1	1	1	5	1	2	3	1	4	3	2	0	1	1	5	2	2	1	2	0	1	1	2	4	2	0	1	2	0	2	1	3	0	0	2	1	3	0	1	0	0	1	4					
		0.54%	0.16%	0.92%	0.62%	0.54%	0.22%	0.28%	0.68%	0.00%	0.00%	0.78%	0.23%	0.00%	0.68%	0.62%	0.44%	0.41%	0.00%	0.39%	0.48%	0.95%	1.77%	0.51%	1.25%	0.81%	0.72%	2.80%	2.34%	0.74%	0.00%	0.69%	0.38%	1.09%	0.74%	1.94%	0.81%	0.49%	0.00%	1.18%	0.57%	0.69%	0.77%	0.91%	0.00%	0.23%	1.69%	0.00%	0.25%	0.88%	1.90%	0.00%	0.00%	0.71%	0.65%	0.43%	0.00%	0.31%	0.00%	0.00%	0.52%	0.69%					
21	. Путин Владимир Владимирович	18407	475	815	980	682	1054	287	443	92	358	394	705	712	833	643	540	793	71	201	161	86	204	160	125	294	110	113	98	231	132	105	205	358	224	87	95	326	118	63	135	235	376	147	119	368	100	59	635	106	138	91	327	226	125	581	280	264	49	35	155	483					
		78.85%	74.80%	75.18%	75.73%	73.89%	78.02%	80.39%	75.60%	77.97%	76.82%	76.95%	82.07%	80.18%	80.48%	79.38%	78.60%	80.75%	76.34%	78.52%	76.67%	81.90%	72.34%	80.81%	78.12%	79.25%	79.71%	79.02%	76.56%	84.93%	83.54%	72.41%	77.36%	78.00%	82.35%	84.47%	76.61%	80.10%	82.52%	74.12%	77.59%	81.31%	72.03%	66.82%	73.46%	83.26%	84.75%	88.06%	78.30%	92.98%	87.34%	77.12%	87.20%	80.43%	81.70%	83.12%	83.83%	81.73%	74.24%	77.78%	80.31%	83.71%					
22	. Хакамада Ирина Муцуовна	549	29	45	55	37	44	10	13	2	18	24	25	21	28	15	10	9	4	1	1	1	2	1	1	4	1	1	2	7	2	3	2	9	4	2	4	3	0	0	3	7	14	4	2	6	1	1	22	0	4	0	5	4	3	7	5	4	0	1	3	13					
		2.35%	4.57%	4.15%	4.25%	4.01%	3.26%	2.80%	2.22%	1.69%	3.86%	4.69%	2.91%	2.36%	2.71%	1.85%	1.46%	0.92%	4.30%	0.39%	0.48%	0.95%	0.71%	0.51%	0.62%	1.08%	0.72%	0.70%	1.56%	2.57%	1.27%	2.07%	0.75%	1.96%	1.47%	1.94%	3.23%	0.74%	0.00%	0.00%	1.72%	2.42%	2.68%	1.82%	1.23%	1.36%	0.85%	1.49%	2.71%	0.00%	2.53%	0.00%	1.33%	1.42%	1.96%	1.00%	1.50%	1.24%	0.00%	2.22%	1.55%	2.25%					
23	. Харитонов Николай Михайлович	2605	59	129	162	111	131	35	78	10	62	58	79	95	106	80	77	102	9	38	31	9	54	23	17	41	15	19	10	22	10	28	43	69	33	8	17	56	18	12	27	20	72	53	29	40	9	7	103	3	9	13	28	34	8	61	27	42	2	5	13	44					
		11.16%	9.29%	11.90%	12.52%	12.03%	9.70%	9.80%	13.31%	8.47%	13.30%	11.33%	9.20%	10.70%	10.24%	9.88%	11.21%	10.39%	9.68%	14.84%	14.76%	8.57%	19.15%	11.62%	10.62%	11.05%	10.87%	13.29%	7.81%	8.09%	6.33%	19.31%	16.23%	15.03%	12.13%	7.77%	13.71%	13.76%	12.59%	14.12%	15.52%	6.92%	13.79%	24.09%	17.90%	9.05%	7.63%	10.45%	12.70%	2.63%	5.70%	11.02%	7.47%	12.10%	5.23%	8.73%	8.08%	13.00%	3.03%	11.11%	6.74%	7.63%					
																																																																			
24	Против всех	335	16	11	20	24	26	2	15	0	8	9	11	12	13	17	15	13	1	3	5	2	1	4	1	7	1	0	1	0	1	1	3	4	0	0	0	3	0	2	2	7	17	5	3	5	1	0	14	1	0	1	3	2	2	8	3	1	1	0	1	6					
		1.43%	2.52%	1.01%	1.55%	2.60%	1.92%	0.56%	2.56%	0.00%	1.72%	1.76%	1.28%	1.35%	1.26%	2.10%	2.18%	1.32%	1.08%	1.17%	2.38%	1.90%	0.35%	2.02%	0.62%	1.89%	0.72%	0.00%	0.78%	0.00%	0.63%	0.69%	1.13%	0.87%	0.00%	0.00%	0.00%	0.74%	0.00%	2.35%	1.15%	2.42%	3.26%	2.27%	1.85%	1.13%	0.85%	0.00%	1.73%	0.88%	0.00%	0.85%	0.80%	0.71%	1.31%	1.14%	0.90%	0.31%	1.52%	0.00%	0.52%	1.04%					
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
