Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																									
Дата голосования: 18.09.2016																																																																									
																																																																									
Наименование Избирательной комиссии:    Татарская																																																																									
																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																									
																																																																									
		Сумма	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	492	15	16	34	30	13	58	26	21	29	27	21	17	22	32	22	19	21	3	2	0	2	1	0	0	3	6	0	2	0	2	0	1	4	0	1	0	2	0	3	1	1	3	0	0	5	5	0	0	6	1	0	3	1	2	0	2	0	1	1	2	0	3									
		4.25%	5.15%	6.81%	5.30%	5.87%	6.10%	7.99%	4.80%	4.86%	8.41%	5.35%	7.72%	6.12%	8.33%	12.08%	11.06%	5.96%	11.48%	1.08%	3.39%	0.00%	1.39%	0.66%	0.00%	0.00%	1.41%	2.37%	0.00%	1.61%	0.00%	3.13%	0.00%	1.92%	2.37%	0.00%	0.93%	0.00%	1.22%	0.00%	1.66%	0.69%	2.56%	1.84%	0.00%	0.00%	2.49%	1.27%	0.00%	0.00%	2.88%	1.79%	0.00%	2.21%	1.96%	1.94%	0.00%	0.73%	0.00%	1.67%	0.97%	0.82%	0.00%	1.64%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	432	5	10	25	21	1	22	16	10	12	19	13	12	8	11	11	10	5	12	7	6	12	8	3	5	12	9	2	2	0	2	7	1	9	1	1	1	11	3	4	10	3	7	3	3	12	6	5	0	7	1	4	4	6	3	1	3	2	2	5	12	0	4									
		3.73%	1.72%	4.26%	3.89%	4.11%	0.47%	3.03%	2.95%	2.31%	3.48%	3.76%	4.78%	4.32%	3.03%	4.15%	5.53%	3.13%	2.73%	4.32%	11.86%	6.67%	8.33%	5.30%	3.13%	4.50%	5.63%	3.56%	3.70%	1.61%	0.00%	3.13%	4.73%	1.92%	5.33%	2.56%	0.93%	1.75%	6.71%	5.00%	2.21%	6.90%	7.69%	4.29%	4.84%	5.88%	5.97%	1.52%	9.09%	0.00%	3.37%	1.79%	9.09%	2.94%	11.76%	2.91%	9.09%	1.09%	4.88%	3.33%	4.85%	4.90%	0.00%	2.19%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	158	4	3	10	12	2	7	8	7	5	12	3	4	3	5	2	3	2	3	1	2	2	4	0	0	2	3	0	2	0	1	1	0	2	0	2	2	0	0	2	0	0	3	1	1	4	6	0	1	3	0	0	2	0	1	0	2	0	0	2	4	1	6									
		1.37%	1.37%	1.28%	1.56%	2.35%	0.94%	0.96%	1.48%	1.62%	1.45%	2.38%	1.10%	1.44%	1.14%	1.89%	1.01%	0.94%	1.09%	1.08%	1.69%	2.22%	1.39%	2.65%	0.00%	0.00%	0.94%	1.19%	0.00%	1.61%	0.00%	1.56%	0.68%	0.00%	1.18%	0.00%	1.87%	3.51%	0.00%	0.00%	1.10%	0.00%	0.00%	1.84%	1.61%	1.96%	1.99%	1.52%	0.00%	1.92%	1.44%	0.00%	0.00%	1.47%	0.00%	0.97%	0.00%	0.73%	0.00%	0.00%	1.94%	1.63%	3.33%	3.28%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4710	109	80	199	157	97	265	200	156	126	187	107	107	103	97	71	120	50	99	24	47	62	63	62	52	65	114	28	66	23	43	81	23	81	21	59	32	71	28	107	77	17	82	30	18	80	126	17	27	90	26	14	53	14	44	3	124	22	40	64	150	12	98									
		40.69%	37.46%	34.04%	30.99%	30.72%	45.54%	36.50%	36.90%	36.11%	36.52%	37.03%	39.34%	38.49%	39.02%	36.60%	35.68%	37.62%	27.32%	35.61%	40.68%	52.22%	43.06%	41.72%	64.58%	46.85%	30.52%	45.06%	51.85%	53.23%	74.19%	67.19%	54.73%	44.23%	47.93%	53.85%	55.14%	56.14%	43.29%	46.67%	59.12%	53.10%	43.59%	50.31%	48.39%	35.29%	39.80%	31.98%	30.91%	51.92%	43.27%	46.43%	31.82%	38.97%	27.45%	42.72%	27.27%	45.26%	53.66%	66.67%	62.14%	61.22%	40.00%	53.55%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	60	0	0	4	1	1	5	1	3	1	4	1	3	2	1	0	1	0	0	1	1	0	3	2	0	1	2	1	0	0	1	0	0	0	0	1	0	1	1	0	0	1	1	2	0	1	2	0	1	1	0	0	2	0	1	0	0	0	0	2	1	0	2									
		0.52%	0.00%	0.00%	0.62%	0.20%	0.47%	0.69%	0.18%	0.69%	0.29%	0.79%	0.37%	1.08%	0.76%	0.38%	0.00%	0.31%	0.00%	0.00%	1.69%	1.11%	0.00%	1.99%	2.08%	0.00%	0.47%	0.79%	1.85%	0.00%	0.00%	1.56%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	0.61%	1.67%	0.00%	0.00%	2.56%	0.61%	3.23%	0.00%	0.50%	0.51%	0.00%	1.92%	0.48%	0.00%	0.00%	1.47%	0.00%	0.97%	0.00%	0.00%	0.00%	0.00%	1.94%	0.41%	0.00%	1.09%									
24	"6. Политическая партия ""Гражданская Платформа"""	18	1	0	0	0	0	2	0	0	3	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.16%	0.34%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.87%	0.40%	0.74%	0.00%	0.38%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.75%	0.61%	3.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2264	50	63	94	83	36	104	136	68	53	83	48	55	48	44	36	74	43	73	16	23	21	28	5	30	44	44	11	26	4	8	29	13	38	9	20	13	36	10	41	21	3	28	20	10	41	144	20	14	38	13	10	33	12	20	6	85	6	13	13	21	13	20									
		19.56%	17.18%	26.81%	14.64%	16.24%	16.90%	14.33%	25.09%	15.74%	15.36%	16.44%	17.65%	19.78%	18.18%	16.60%	18.09%	23.20%	23.50%	26.26%	27.12%	25.56%	14.58%	18.54%	5.21%	27.03%	20.66%	17.39%	20.37%	20.97%	12.90%	12.50%	19.59%	25.00%	22.49%	23.08%	18.69%	22.81%	21.95%	16.67%	22.65%	14.48%	7.69%	17.18%	32.26%	19.61%	20.40%	36.55%	36.36%	26.92%	18.27%	23.21%	22.73%	24.26%	23.53%	19.42%	54.55%	31.02%	14.63%	21.67%	12.62%	8.57%	43.33%	10.93%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	45	1	3	0	3	0	6	2	1	1	3	0	3	3	2	1	0	1	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0									
		0.39%	0.34%	1.28%	0.00%	0.59%	0.00%	0.83%	0.37%	0.23%	0.29%	0.59%	0.00%	1.08%	1.14%	0.75%	0.50%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.60%	0.00%	0.79%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.10%	0.69%	0.00%	0.00%	0.00%	1.96%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.73%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	41	1	0	6	2	2	4	0	2	0	3	1	0	2	2	1	1	1	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	2	0	0	0	1	0	0									
		0.35%	0.34%	0.00%	0.93%	0.39%	0.94%	0.55%	0.00%	0.46%	0.00%	0.59%	0.37%	0.00%	0.76%	0.75%	0.50%	0.31%	0.55%	0.00%	0.00%	0.00%	0.00%	0.66%	0.00%	0.90%	0.00%	0.79%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	1.96%	0.00%	0.00%	0.00%	0.00%	0.96%	0.00%	0.00%	0.74%	0.00%	0.00%	0.00%	0.73%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	13	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.11%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.00%	0.00%	0.63%	0.00%	0.36%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	0.00%	0.00%	0.68%	0.00%	0.59%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	1.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	70	2	0	6	9	1	5	9	1	1	5	1	4	1	5	0	2	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	5	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0									
		0.60%	0.69%	0.00%	0.93%	1.76%	0.47%	0.69%	1.66%	0.23%	0.29%	0.99%	0.37%	1.44%	0.38%	1.89%	0.00%	0.63%	0.55%	0.00%	1.69%	0.00%	0.00%	0.00%	1.04%	0.90%	0.47%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	1.92%	0.00%	0.00%	0.00%	1.75%	0.00%	0.00%	2.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.96%	0.00%	0.00%	0.74%	0.00%	0.00%	0.00%	0.00%	2.44%	0.00%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2299	84	40	191	138	45	184	98	108	75	110	49	47	51	47	37	67	36	71	6	5	42	33	20	13	58	50	5	15	3	5	14	12	25	5	12	6	25	12	8	21	9	30	6	12	17	69	10	6	44	8	14	26	15	19	1	44	9	2	7	40	3	35									
		19.86%	28.87%	17.02%	29.75%	27.01%	21.13%	25.34%	18.08%	25.00%	21.74%	21.78%	18.01%	16.91%	19.32%	17.74%	18.59%	21.00%	19.67%	25.54%	10.17%	5.56%	29.17%	21.85%	20.83%	11.71%	27.23%	19.76%	9.26%	12.10%	9.68%	7.81%	9.46%	23.08%	14.79%	12.82%	11.21%	10.53%	15.24%	20.00%	4.42%	14.48%	23.08%	18.40%	9.68%	23.53%	8.46%	17.51%	18.18%	11.54%	21.15%	14.29%	31.82%	19.12%	29.41%	18.45%	9.09%	16.06%	21.95%	3.33%	6.80%	16.33%	10.00%	19.13%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	32	1	0	0	3	0	2	1	3	1	1	0	1	0	0	0	0	1	1	1	0	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0									
		0.28%	0.34%	0.00%	0.00%	0.59%	0.00%	0.28%	0.18%	0.69%	0.29%	0.20%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.55%	0.36%	1.69%	0.00%	0.00%	0.66%	1.04%	0.00%	0.47%	0.40%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	1.96%	1.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.47%	0.00%	0.97%	0.00%	0.00%	0.00%	0.00%	1.94%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	506	7	6	41	32	6	39	24	30	29	27	14	10	4	5	5	10	11	8	0	1	1	6	0	2	9	10	4	7	0	1	13	1	4	1	2	1	12	4	6	7	2	3	0	1	29	15	2	2	7	3	0	4	1	9	0	3	0	1	3	9	0	12									
		4.37%	2.41%	2.55%	6.39%	6.26%	2.82%	5.37%	4.43%	6.94%	8.41%	5.35%	5.15%	3.60%	1.52%	1.89%	2.51%	3.13%	6.01%	2.88%	0.00%	1.11%	0.69%	3.97%	0.00%	1.80%	4.23%	3.95%	7.41%	5.65%	0.00%	1.56%	8.78%	1.92%	2.37%	2.56%	1.87%	1.75%	7.32%	6.67%	3.31%	4.83%	5.13%	1.84%	0.00%	1.96%	14.43%	3.81%	3.64%	3.85%	3.37%	5.36%	0.00%	2.94%	1.96%	8.74%	0.00%	1.09%	0.00%	1.67%	2.91%	3.67%	0.00%	6.56%									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
