Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																	
Дата голосования: 07.12.2003 0:00:00																																																	
																																																	
Наименование Избирательной комиссии:    Тбилисская																																																	
																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																	
																																																	
		Сумма	УИК  4801	УИК  4802	УИК  4803	УИК  4804	УИК  4805	УИК  4806	УИК  4807	УИК  4808	УИК  4809	УИК  4810	УИК  4811	УИК  4812	УИК  4813	УИК  4814	УИК  4815	УИК  4816	УИК  4817	УИК  4818	УИК  4819	УИК  4820	УИК  4821	УИК  4822	УИК  4823	УИК  4824	УИК  4825	УИК  4826	УИК  4827	УИК  4828	УИК  4829	УИК  4830	УИК  4831	УИК  4832	УИК  4833	УИК  4834	УИК  4835	УИК  4836	УИК  4837	УИК  4838	УИК  4839	УИК  4840	УИК  4841	УИК  4842					
		1.64%	2.60%	2.04%	1.49%	1.33%	1.58%	1.63%	2.18%	2.43%	1.45%	1.18%	3.16%	1.74%	2.56%	1.54%	0.0%	0.0%	0.48%	3.53%	0.61%	0.0%	0.0%	0.66%	3.09%	0.82%	1.58%	3.2%	0.78%	1.19%	1.89%	1.13%	0.0%	1.16%	0.27%	0.99%	1.62%	0.67%	0.82%	2.97%	0.87%	0.0%	0.53%	0.0%					
22	"5. ""За Русь Святую"""	88	10	6	2	2	2	3	6	4	8	1	1	3	0	6	0	1	2	2	0	0	1	1	0	2	2	1	1	0	1	0	0	8	3	1	0	0	0	4	1	0	2	1					
		0.40%	0.79%	1.02%	0.24%	0.22%	0.28%	0.61%	0.65%	0.54%	0.61%	0.09%	0.15%	0.30%	0.0%	0.66%	0.0%	0.90%	0.96%	0.30%	0.0%	0.0%	1.61%	0.66%	0.0%	0.33%	0.24%	0.4%	0.11%	0.0%	0.37%	0.0%	0.0%	0.93%	0.81%	0.19%	0.0%	0.0%	0.0%	0.39%	0.43%	0.0%	0.35%	0.32%					
23	"6. ""Объединенная Российская партия ""Русь"""	62	3	2	1	4	1	0	2	2	1	3	6	4	1	3	0	0	1	3	1	0	0	2	0	3	2	1	3	0	0	1	0	0	2	3	0	0	1	4	0	1	1	0					
		0.28%	0.23%	0.34%	0.12%	0.44%	0.14%	0.0%	0.21%	0.27%	0.07%	0.29%	0.90%	0.41%	0.64%	0.33%	0.0%	0.0%	0.48%	0.46%	0.61%	0.0%	0.0%	1.33%	0.0%	0.49%	0.24%	0.4%	0.33%	0.0%	0.0%	0.14%	0.0%	0.0%	0.54%	0.59%	0.0%	0.0%	0.82%	0.39%	0.0%	0.36%	0.17%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	165	26	6	8	8	6	4	6	6	12	6	4	6	1	4	0	1	1	7	1	0	0	1	3	6	8	2	3	0	0	4	0	5	5	6	2	1	1	4	1	0	0	0					
		0.75%	2.05%	1.02%	0.99%	0.89%	0.86%	0.81%	0.65%	0.81%	0.91%	0.59%	0.60%	0.61%	0.64%	0.44%	0.0%	0.90%	0.48%	1.07%	0.61%	0.0%	0.0%	0.66%	0.58%	0.99%	0.97%	0.8%	0.33%	0.0%	0.0%	0.56%	0.0%	0.58%	1.36%	1.18%	1.62%	0.33%	0.82%	0.39%	0.43%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	36	1	1	0	1	1	0	1	0	0	0	0	2	0	3	0	0	0	2	0	0	0	0	0	2	1	1	1	0	2	2	0	2	2	1	0	2	2	0	0	0	1	5					
		0.16%	0.07%	0.17%	0.0%	0.11%	0.14%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.33%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.12%	0.4%	0.11%	0.0%	0.75%	0.28%	0.0%	0.23%	0.54%	0.19%	0.0%	0.67%	1.65%	0.0%	0.0%	0.0%	0.17%	1.63%					
26	"9. ""Российская экологическая партия ""Зеленые"""	36	0	0	3	1	0	2	5	0	2	1	0	2	0	3	0	0	0	2	0	0	0	0	0	0	3	0	1	0	1	1	0	1	3	1	0	0	0	3	0	1	0	0					
		0.16%	0.0%	0.0%	0.37%	0.11%	0.0%	0.40%	0.54%	0.0%	0.15%	0.09%	0.0%	0.20%	0.0%	0.33%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.11%	0.0%	0.37%	0.14%	0.0%	0.11%	0.81%	0.19%	0.0%	0.0%	0.0%	0.29%	0.0%	0.36%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1192	35	39	28	54	21	21	40	47	50	48	22	23	2	36	2	3	10	24	2	5	3	8	46	53	42	10	48	4	20	47	1	91	32	24	8	13	4	118	29	27	34	18					
		5.46%	2.76%	6.63%	3.49%	6.02%	3.02%	4.29%	4.37%	6.35%	3.82%	4.75%	3.31%	2.35%	1.28%	3.96%	2.24%	2.72%	4.83%	3.68%	1.22%	4.27%	4.83%	5.33%	8.89%	8.78%	5.12%	4.0%	5.38%	4.76%	7.57%	6.69%	1.01%	10.58%	8.74%	4.75%	6.50%	4.39%	3.30%	11.70%	12.71%	9.96%	6.08%	5.88%					
28	"11. ""Истинные патриоты России"""	21	0	0	0	3	0	0	1	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	3	0	1	0	0	3	0	2	1	0	1	0	1	0	0	0	0	0					
		0.09%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.10%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	1.81%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.11%	0.0%	0.0%	0.42%	0.0%	0.23%	0.27%	0.0%	0.81%	0.0%	0.82%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	164	10	7	8	6	7	2	9	10	9	6	3	11	1	10	1	0	3	4	0	0	0	1	0	2	4	2	6	1	2	7	1	5	1	2	0	2	1	10	2	4	2	2					
		0.75%	0.79%	1.19%	0.99%	0.66%	1.00%	0.40%	0.98%	1.35%	0.68%	0.59%	0.45%	1.12%	0.64%	1.10%	1.12%	0.0%	1.44%	0.61%	0.0%	0.0%	0.0%	0.66%	0.0%	0.33%	0.48%	0.8%	0.67%	1.19%	0.75%	0.99%	1.01%	0.58%	0.27%	0.39%	0.0%	0.67%	0.82%	0.99%	0.87%	1.47%	0.35%	0.65%					
30	"13. ""Демократическая партия России"""	46	0	0	3	4	1	1	2	5	3	1	0	1	0	2	1	0	1	2	0	0	0	0	0	1	1	1	2	1	0	3	0	4	0	0	0	1	2	0	0	0	1	2					
		0.21%	0.0%	0.0%	0.37%	0.44%	0.14%	0.20%	0.21%	0.67%	0.22%	0.09%	0.0%	0.10%	0.0%	0.22%	1.12%	0.0%	0.48%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.12%	0.4%	0.22%	1.19%	0.0%	0.42%	0.0%	0.46%	0.0%	0.0%	0.0%	0.33%	1.65%	0.0%	0.0%	0.0%	0.17%	0.65%					
31	"14. ""Великая Россия - Евразийский Союз"""	26	1	0	0	2	0	1	4	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	2	1	1	0	0	3	1	0	0	0	0	2	0					
		0.11%	0.07%	0.0%	0.0%	0.22%	0.0%	0.20%	0.43%	0.13%	0.0%	0.0%	0.0%	0.10%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.24%	0.0%	0.11%	0.0%	0.0%	0.28%	1.01%	0.11%	0.0%	0.0%	2.43%	0.33%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%					
32	"15. ""Партия СЛОН"""	17	1	0	0	2	1	0	0	2	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0					
		0.07%	0.07%	0.0%	0.0%	0.22%	0.14%	0.0%	0.0%	0.27%	0.07%	0.09%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.53%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1619	124	42	80	63	47	29	78	55	102	80	61	80	7	74	5	4	17	64	23	5	5	6	37	41	57	14	79	0	19	48	7	62	22	26	1	17	3	60	6	15	35	19					
		7.41%	9.80%	7.14%	9.97%	7.03%	6.77%	5.93%	8.53%	7.44%	7.81%	7.92%	9.20%	8.20%	4.48%	8.14%	5.61%	3.63%	8.21%	9.83%	14.11%	4.27%	8.06%	4.0%	7.15%	6.79%	6.95%	5.6%	8.85%	0.0%	7.19%	6.83%	7.07%	7.20%	6.01%	5.14%	0.81%	5.74%	2.47%	5.95%	2.63%	5.53%	6.26%	6.20%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	48	1	4	1	4	0	1	2	2	2	0	1	2	0	2	0	1	2	1	1	0	1	1	1	3	1	0	3	1	1	2	0	1	0	2	0	1	0	0	0	0	0	3					
		0.21%	0.07%	0.68%	0.12%	0.44%	0.0%	0.20%	0.21%	0.27%	0.15%	0.0%	0.15%	0.20%	0.0%	0.22%	0.0%	0.90%	0.96%	0.15%	0.61%	0.0%	1.61%	0.66%	0.19%	0.49%	0.12%	0.0%	0.33%	1.19%	0.37%	0.28%	0.0%	0.11%	0.0%	0.39%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.98%					
35	"18. ""ЛДПР"""	3322	157	98	115	134	117	88	124	84	216	157	98	150	26	145	20	7	16	97	31	17	9	27	73	90	133	40	126	8	40	96	16	110	65	99	13	29	34	185	35	50	107	40					
		15.21%	12.41%	16.66%	14.33%	14.95%	16.85%	17.99%	13.56%	11.36%	16.53%	15.55%	14.78%	15.38%	16.66%	15.95%	22.47%	6.36%	7.72%	14.90%	19.01%	14.52%	14.51%	18.0%	14.11%	14.92%	16.21%	16.0%	14.12%	9.52%	15.15%	13.67%	16.16%	12.79%	17.75%	19.60%	10.56%	9.79%	28.09%	18.35%	15.35%	18.45%	19.14%	13.07%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	257	15	5	18	8	11	4	12	15	22	9	12	12	3	6	2	1	0	10	1	0	0	1	1	7	9	4	9	0	4	7	0	13	4	5	0	2	0	8	4	2	7	4					
		1.17%	1.18%	0.85%	2.24%	0.89%	1.58%	0.81%	1.31%	2.02%	1.68%	0.89%	1.80%	1.23%	1.92%	0.66%	2.24%	0.90%	0.0%	1.53%	0.61%	0.0%	0.0%	0.66%	0.19%	1.16%	1.09%	1.6%	1.00%	0.0%	1.51%	0.99%	0.0%	1.51%	1.09%	0.99%	0.0%	0.67%	0.0%	0.79%	1.75%	0.73%	1.25%	1.30%					
37	"20. ""Политическая партия ""Единая Россия"""	9471	505	246	348	412	307	180	362	339	586	408	301	460	83	412	40	73	76	235	79	72	26	76	221	233	348	127	434	60	99	285	59	354	147	232	80	200	52	296	84	111	243	180					
		43.38%	39.92%	41.83%	43.39%	45.98%	44.23%	36.80%	39.60%	45.87%	44.86%	40.43%	45.39%	47.17%	53.20%	45.32%	44.94%	66.36%	36.71%	36.09%	48.46%	61.53%	41.93%	50.66%	42.74%	38.64%	42.43%	50.8%	48.65%	71.42%	37.5%	40.59%	59.59%	41.16%	40.16%	45.94%	65.04%	67.56%	42.97%	29.36%	36.84%	40.95%	43.47%	58.82%					
38	"21. ""Российская Конституционно-демократическая партия"""	49	1	0	0	2	1	2	2	1	3	1	4	2	0	4	2	2	0	2	1	1	1	0	2	0	0	1	1	0	1	2	0	2	1	1	0	0	1	1	0	0	2	2					
		0.22%	0.07%	0.0%	0.0%	0.22%	0.14%	0.40%	0.21%	0.13%	0.22%	0.09%	0.60%	0.20%	0.0%	0.44%	2.24%	1.81%	0.0%	0.30%	0.61%	0.85%	1.61%	0.0%	0.38%	0.0%	0.0%	0.4%	0.11%	0.0%	0.37%	0.28%	0.0%	0.23%	0.27%	0.19%	0.0%	0.0%	0.82%	0.09%	0.0%	0.0%	0.35%	0.65%					
39	"22. ""Развитие предпринимательства"""	50	0	0	1	1	1	2	3	0	7	4	4	1	0	3	0	0	0	1	0	1	0	0	2	0	0	1	3	0	1	1	0	1	4	2	0	1	0	2	1	0	2	0					
		0.22%	0.0%	0.0%	0.12%	0.11%	0.14%	0.40%	0.32%	0.0%	0.53%	0.39%	0.60%	0.10%	0.0%	0.33%	0.0%	0.0%	0.0%	0.15%	0.0%	0.85%	0.0%	0.0%	0.38%	0.0%	0.0%	0.4%	0.33%	0.0%	0.37%	0.14%	0.0%	0.11%	1.09%	0.39%	0.0%	0.33%	0.0%	0.19%	0.43%	0.0%	0.35%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3220	244	90	86	126	104	100	164	104	159	155	72	139	11	112	7	7	71	107	10	10	5	21	86	115	133	13	103	7	57	122	4	138	54	69	7	13	5	210	43	37	80	20					
		14.75%	19.28%	15.30%	10.72%	14.06%	14.98%	20.44%	17.94%	14.07%	12.17%	15.36%	10.85%	14.25%	7.05%	12.32%	7.86%	6.36%	34.29%	16.43%	6.13%	8.54%	8.06%	14.0%	16.63%	19.07%	16.21%	5.2%	11.54%	8.33%	21.59%	17.37%	4.04%	16.04%	14.75%	13.66%	5.69%	4.39%	4.13%	20.83%	18.85%	13.65%	14.31%	6.53%					
																																																	
41	Против всех	619	42	15	34	20	24	17	29	12	49	19	25	22	6	29	4	6	2	28	3	1	1	0	6	9	16	11	9	0	5	26	3	24	5	12	4	5	6	45	13	15	13	4					
		2.83%	3.32%	2.55%	4.23%	2.23%	3.45%	3.47%	3.17%	1.62%	3.75%	1.88%	3.77%	2.25%	3.84%	3.19%	4.49%	5.45%	0.96%	4.30%	1.84%	0.85%	1.61%	0.0%	1.16%	1.49%	1.95%	4.4%	1.00%	0.0%	1.89%	3.70%	3.03%	2.79%	1.36%	2.37%	3.25%	1.68%	4.95%	4.46%	5.70%	5.53%	2.32%	1.30%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
