Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																												
Дата голосования: 18.09.2016																																																																												
																																																																												
Наименование Избирательной комиссии:    Ковровская городская																																																																												
																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																												
																																																																												
		Сумма	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2183	10	30	30	30	33	20	30	40	40	40	10	30	20	20	40	40	30	30	30	40	40	40	40	40	20	50	40	40	50	40	40	30	50	30	40	40	60	40	30	60	50	40	50	30	30	40	30	40	40	40	40	40	40	40	20	30	40	30	20	10	20	10	20	20	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	450	1	10	10	14	21	0	4	11	8	10	1	1	3	3	7	7	2	4	7	5	6	6	8	1	3	7	13	14	12	3	3	3	9	8	14	5	10	6	9	16	11	9	12	5	5	10	6	4	3	11	4	5	7	6	4	17	13	2	3	5	8	4	8	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	304	18	3	4	8	3	0	1	4	4	7	3	7	3	19	3	3	0	4	5	6	7	4	2	1	2	7	4	4	1	2	8	6	9	7	1	8	8	8	3	8	13	7	11	1	3	3	6	3	5	4	13	0	3	0	1	5	2	3	3	2	2	2	4	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	1733	9	20	20	16	12	20	26	29	32	30	9	29	17	17	33	33	28	26	23	35	34	34	32	39	17	43	27	26	38	37	37	27	41	22	26	35	50	34	21	44	39	31	38	25	25	30	24	36	37	29	36	35	33	34	16	13	27	28	17	5	12	6	12	17	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	67	0	1	0	5	4	0	1	1	2	1	1	1	0	2	1	1	0	1	0	4	0	3	1	1	0	1	0	0	1	3	0	2	0	0	0	0	1	0	1	1	6	1	3	0	0	0	0	0	0	0	0	1	1	0	1	1	3	0	2	2	1	0	1	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	879	12	6	7	16	12	7	11	15	16	17	4	6	3	11	8	5	16	11	20	17	17	9	14	16	6	18	12	10	15	13	23	8	11	4	15	11	14	18	13	35	18	14	24	5	20	23	6	9	28	21	22	25	19	30	11	19	30	10	8	7	8	5	6	9	0									
		1.97%	2.53%	1.56%	1.20%	1.46%	0.99%	2.63%	2.07%	2.09%	2.56%	2.59%	1.81%	1.07%	0.69%	2.78%	1.16%	0.81%	2.71%	2.36%	3.27%	1.66%	2.06%	1.29%	1.71%	2.25%	1.32%	1.45%	1.33%	1.23%	1.41%	1.65%	3.21%	1.25%	1.16%	0.66%	1.64%	1.39%	1.42%	1.98%	1.85%	2.92%	2.24%	2.04%	2.35%	1.37%	3.31%	2.97%	0.86%	1.28%	3.50%	2.26%	2.39%	3.21%	2.13%	3.43%	3.12%	2.09%	3.02%	2.04%	2.14%	1.98%	2.55%	2.45%	1.31%	2.10%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1553	16	11	20	33	16	20	20	29	26	20	8	19	19	17	19	30	25	15	80	31	15	38	24	35	14	58	33	30	27	25	23	18	35	15	25	27	29	33	19	35	18	17	36	8	16	27	30	26	22	32	32	35	27	26	4	38	30	19	15	12	10	8	15	14	4									
		3.47%	3.37%	2.86%	3.42%	3.01%	1.32%	7.52%	3.76%	4.04%	4.15%	3.05%	3.62%	3.39%	4.37%	4.29%	2.75%	4.85%	4.24%	3.22%	13.07%	3.03%	1.81%	5.43%	2.93%	4.93%	3.07%	4.68%	3.67%	3.69%	2.54%	3.17%	3.21%	2.81%	3.68%	2.48%	2.73%	3.42%	2.94%	3.64%	2.71%	2.92%	2.24%	2.48%	3.52%	2.20%	2.64%	3.49%	4.30%	3.70%	2.75%	3.44%	3.48%	4.50%	3.02%	2.97%	1.13%	4.18%	3.02%	3.87%	4.02%	3.39%	3.18%	3.92%	3.27%	3.27%	4.71%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1244	26	9	26	10	12	8	14	16	16	18	5	12	5	10	14	14	16	17	22	30	32	23	24	21	11	38	22	20	31	20	26	20	27	15	29	20	27	23	16	28	20	11	42	14	21	16	22	21	23	27	30	34	20	28	11	23	28	12	12	18	7	6	10	11	4									
		2.78%	5.47%	2.34%	4.44%	0.91%	0.99%	3.01%	2.63%	2.23%	2.56%	2.74%	2.26%	2.14%	1.15%	2.53%	2.03%	2.27%	2.71%	3.65%	3.59%	2.94%	3.87%	3.29%	2.93%	2.96%	2.41%	3.07%	2.44%	2.46%	2.92%	2.54%	3.63%	3.13%	2.84%	2.48%	3.17%	2.53%	2.74%	2.54%	2.28%	2.34%	2.48%	1.60%	4.11%	3.85%	3.47%	2.07%	3.16%	2.99%	2.88%	2.90%	3.26%	4.37%	2.24%	3.20%	3.12%	2.53%	2.82%	2.44%	3.22%	5.08%	2.23%	2.94%	2.18%	2.57%	4.71%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18644	249	180	241	742	915	111	246	319	252	274	97	237	184	154	310	250	246	192	243	381	350	262	308	267	188	519	364	343	435	320	251	261	381	218	351	324	413	358	284	477	338	279	397	154	232	287	256	282	310	356	359	294	340	333	134	340	381	210	120	152	127	77	190	167	32									
		41.71%	52.42%	46.88%	41.20%	67.58%	75.50%	41.73%	46.24%	44.49%	40.26%	41.77%	43.89%	42.25%	42.30%	38.89%	44.93%	40.45%	41.69%	41.20%	39.71%	37.28%	42.32%	37.43%	37.61%	37.61%	41.23%	41.92%	40.44%	42.24%	40.96%	40.61%	35.01%	40.78%	40.02%	36.03%	38.36%	41.06%	41.93%	39.47%	40.51%	39.78%	41.99%	40.67%	38.85%	42.31%	38.35%	37.08%	36.73%	40.17%	38.75%	38.28%	39.02%	37.79%	38.03%	38.06%	37.96%	37.36%	38.33%	42.77%	32.17%	42.94%	40.45%	37.75%	41.39%	39.02%	37.65%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	503	8	3	11	9	2	1	1	3	6	7	5	3	9	4	8	11	3	3	9	16	14	7	12	5	3	12	15	6	12	8	6	7	5	7	15	6	10	10	5	12	9	5	12	3	8	4	13	10	13	5	9	13	11	15	5	16	10	4	9	4	5	1	8	12	0									
		1.13%	1.68%	0.78%	1.88%	0.82%	0.17%	0.38%	0.19%	0.42%	0.96%	1.07%	2.26%	0.53%	2.07%	1.01%	1.16%	1.78%	0.51%	0.64%	1.47%	1.57%	1.69%	1.00%	1.47%	0.70%	0.66%	0.97%	1.67%	0.74%	1.13%	1.02%	0.84%	1.09%	0.53%	1.16%	1.64%	0.76%	1.02%	1.10%	0.71%	1.00%	1.12%	0.73%	1.17%	0.82%	1.32%	0.52%	1.87%	1.42%	1.63%	0.54%	0.98%	1.67%	1.23%	1.71%	1.42%	1.76%	1.01%	0.81%	2.41%	1.13%	1.59%	0.49%	1.74%	2.80%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	151	0	2	0	2	2	0	1	2	0	2	1	0	0	1	1	1	3	0	1	2	3	5	4	0	4	9	2	3	2	4	4	5	1	1	2	3	2	10	5	3	2	1	3	1	3	2	0	2	3	7	2	1	6	3	2	4	2	1	1	2	2	3	3	2	0									
		0.34%	0.00%	0.52%	0.00%	0.18%	0.17%	0.00%	0.19%	0.28%	0.00%	0.30%	0.45%	0.00%	0.00%	0.25%	0.14%	0.16%	0.51%	0.00%	0.16%	0.20%	0.36%	0.71%	0.49%	0.00%	0.88%	0.73%	0.22%	0.37%	0.19%	0.51%	0.56%	0.78%	0.11%	0.17%	0.22%	0.38%	0.20%	1.10%	0.71%	0.25%	0.25%	0.15%	0.29%	0.27%	0.50%	0.26%	0.00%	0.28%	0.38%	0.75%	0.22%	0.13%	0.67%	0.34%	0.57%	0.44%	0.20%	0.20%	0.27%	0.56%	0.64%	1.47%	0.65%	0.47%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	7850	73	69	128	121	124	65	94	133	125	131	49	123	77	66	122	120	99	98	97	218	162	125	138	112	83	173	168	151	186	144	124	101	195	131	149	120	163	149	131	202	164	99	198	78	102	150	135	126	145	160	167	130	155	172	64	161	142	71	54	67	67	40	76	72	16									
		17.56%	15.37%	17.97%	21.88%	11.02%	10.23%	24.44%	17.67%	18.55%	19.97%	19.97%	22.17%	21.93%	17.70%	16.67%	17.68%	19.42%	16.78%	21.03%	15.85%	21.33%	19.59%	17.86%	16.85%	15.77%	18.20%	13.97%	18.67%	18.60%	17.51%	18.27%	17.29%	15.78%	20.48%	21.65%	16.28%	15.21%	16.55%	16.43%	18.69%	16.85%	20.37%	14.43%	19.37%	21.43%	16.86%	19.38%	19.37%	17.95%	18.13%	17.20%	18.15%	16.71%	17.34%	19.66%	18.13%	17.69%	14.29%	14.46%	14.48%	18.93%	21.34%	19.61%	16.56%	16.82%	18.82%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	417	2	2	3	9	5	3	1	1	5	12	0	7	9	4	8	2	3	3	3	3	5	8	11	9	6	5	7	9	4	4	7	5	10	6	10	11	6	6	7	16	11	13	11	5	7	7	6	5	19	9	4	9	11	8	5	10	12	6	6	5	4	0	2	5	0									
		0.93%	0.42%	0.52%	0.51%	0.82%	0.41%	1.13%	0.19%	0.14%	0.80%	1.83%	0.00%	1.25%	2.07%	1.01%	1.16%	0.32%	0.51%	0.64%	0.49%	0.29%	0.60%	1.14%	1.34%	1.27%	1.32%	0.40%	0.78%	1.11%	0.38%	0.51%	0.98%	0.78%	1.05%	0.99%	1.09%	1.39%	0.61%	0.66%	0.99%	1.33%	1.37%	1.90%	1.08%	1.37%	1.16%	0.90%	0.86%	0.71%	2.38%	0.97%	0.43%	1.16%	1.23%	0.91%	1.42%	1.10%	1.21%	1.22%	1.61%	1.41%	1.27%	0.00%	0.44%	1.17%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	655	7	1	6	6	7	1	6	8	8	12	4	9	3	2	6	6	8	3	5	11	7	7	9	12	15	28	16	10	21	10	24	9	21	10	12	10	14	8	12	25	8	14	25	2	11	10	7	8	13	18	16	12	12	10	6	12	13	6	10	4	10	1	11	17	0									
		1.47%	1.47%	0.26%	1.03%	0.55%	0.58%	0.38%	1.13%	1.12%	1.28%	1.83%	1.81%	1.60%	0.69%	0.51%	0.87%	0.97%	1.36%	0.64%	0.82%	1.08%	0.85%	1.00%	1.10%	1.69%	3.29%	2.26%	1.78%	1.23%	1.98%	1.27%	3.35%	1.41%	2.21%	1.65%	1.31%	1.27%	1.42%	0.88%	1.71%	2.09%	0.99%	2.04%	2.45%	0.55%	1.82%	1.29%	1.00%	1.14%	1.63%	1.94%	1.74%	1.54%	1.34%	1.14%	1.70%	1.32%	1.31%	1.22%	2.68%	1.13%	3.18%	0.49%	2.40%	3.97%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	59	2	0	1	1	2	0	0	1	1	0	1	0	1	1	0	2	0	1	3	2	0	2	1	3	0	3	1	1	1	0	1	0	2	0	1	1	2	0	1	0	2	0	1	2	0	0	1	1	1	0	4	2	0	0	0	1	0	0	2	0	0	0	1	2	0									
		0.13%	0.42%	0.00%	0.17%	0.09%	0.17%	0.00%	0.00%	0.14%	0.16%	0.00%	0.45%	0.00%	0.23%	0.25%	0.00%	0.32%	0.00%	0.21%	0.49%	0.20%	0.00%	0.29%	0.12%	0.42%	0.00%	0.24%	0.11%	0.12%	0.09%	0.00%	0.14%	0.00%	0.21%	0.00%	0.11%	0.13%	0.20%	0.00%	0.14%	0.00%	0.25%	0.00%	0.10%	0.55%	0.00%	0.00%	0.14%	0.14%	0.13%	0.00%	0.43%	0.26%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.22%	0.47%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	790	7	1	10	6	5	1	3	18	10	9	3	19	8	13	18	13	5	13	8	17	16	11	13	16	8	36	13	18	22	6	14	12	15	12	13	12	14	16	13	21	15	24	13	5	16	19	6	4	13	23	16	16	15	16	7	23	25	6	8	7	3	2	12	8	0									
		1.77%	1.47%	0.26%	1.71%	0.55%	0.41%	0.38%	0.56%	2.51%	1.60%	1.37%	1.36%	3.39%	1.84%	3.28%	2.61%	2.10%	0.85%	2.79%	1.31%	1.66%	1.93%	1.57%	1.59%	2.25%	1.75%	2.91%	1.44%	2.22%	2.07%	0.76%	1.95%	1.88%	1.58%	1.98%	1.42%	1.52%	1.42%	1.76%	1.85%	1.75%	1.86%	3.50%	1.27%	1.37%	2.64%	2.45%	0.86%	0.57%	1.63%	2.47%	1.74%	2.06%	1.68%	1.83%	1.98%	2.53%	2.52%	1.22%	2.14%	1.98%	0.96%	0.98%	2.61%	1.87%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5730	31	51	69	62	63	34	77	94	98	76	27	79	62	63	104	66	75	50	21	127	95	97	105	82	56	173	120	92	161	109	106	76	127	88	105	109	139	119	101	164	92	127	149	33	90	111	105	91	98	111	118	81	125	118	61	140	152	72	63	39	39	28	60	61	13									
		12.82%	6.53%	13.28%	11.79%	5.65%	5.20%	12.78%	14.47%	13.11%	15.65%	11.59%	12.22%	14.08%	14.25%	15.91%	15.07%	10.68%	12.71%	10.73%	3.43%	12.43%	11.49%	13.86%	12.82%	11.55%	12.28%	13.97%	13.33%	11.33%	15.16%	13.83%	14.78%	11.88%	13.34%	14.55%	11.48%	13.81%	14.11%	13.12%	14.41%	13.68%	11.43%	18.51%	14.58%	9.07%	14.88%	14.34%	15.06%	12.96%	12.25%	11.94%	12.83%	10.41%	13.98%	13.49%	17.28%	15.38%	15.29%	14.66%	16.89%	11.02%	12.42%	13.73%	13.07%	14.25%	15.29%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	189	1	6	0	1	2	2	2	3	4	8	1	0	1	0	3	2	3	3	2	10	2	1	2	5	0	4	4	4	0	2	10	2	2	2	3	5	6	2	5	3	3	7	4	1	5	2	6	4	1	5	2	4	2	3	1	4	3	1	1	1	4	1	1	5	0									
		0.42%	0.21%	1.56%	0.00%	0.09%	0.17%	0.75%	0.38%	0.42%	0.64%	1.22%	0.45%	0.00%	0.23%	0.00%	0.43%	0.32%	0.51%	0.64%	0.33%	0.98%	0.24%	0.14%	0.24%	0.70%	0.00%	0.32%	0.44%	0.49%	0.00%	0.25%	1.39%	0.31%	0.21%	0.33%	0.33%	0.63%	0.61%	0.22%	0.71%	0.25%	0.37%	1.02%	0.39%	0.27%	0.83%	0.26%	0.86%	0.57%	0.13%	0.54%	0.22%	0.51%	0.22%	0.34%	0.28%	0.44%	0.30%	0.20%	0.27%	0.28%	1.27%	0.49%	0.22%	1.17%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5076	16	31	47	54	32	9	50	62	52	50	9	38	41	44	55	76	82	46	85	131	99	85	139	111	55	139	96	92	129	103	88	94	108	87	168	110	123	134	81	158	95	61	93	45	65	102	92	92	98	133	111	101	121	78	32	99	147	60	56	32	21	25	55	38	15									
		11.36%	3.37%	8.07%	8.03%	4.92%	2.64%	3.38%	9.40%	8.65%	8.31%	7.62%	4.07%	6.77%	9.43%	11.11%	7.97%	12.30%	13.90%	9.87%	13.89%	12.82%	11.97%	12.14%	16.97%	15.63%	12.06%	11.23%	10.67%	11.33%	12.15%	13.07%	12.27%	14.69%	11.34%	14.38%	18.36%	13.94%	12.49%	14.77%	11.55%	13.18%	11.80%	8.89%	9.10%	12.36%	10.74%	13.18%	13.20%	13.11%	12.25%	14.30%	12.07%	12.98%	13.53%	8.91%	9.07%	10.88%	14.79%	12.22%	15.01%	9.04%	6.69%	12.25%	11.98%	8.88%	17.65%									
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
