Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																													
Дата голосования: 04.12.2011																																																																																																													
																																																																																																													
"Наименование Избирательной комиссии:    Казань, Советская"																																																																																																													
																																																																																																													
Сводная таблица результатов выборов																																																																																																													
																																																																																																													
		Сумма	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2103	9	41	37	48	25	12	23	8	19	5	36	48	16	24	36	23	64	41	30	21	16	6	19	8	32	23	18	42	16	22	11	22	26	5	13	16	27	17	9	20	11	4	30	14	8	24	22	26	19	53	16	14	17	7	12	15	10	26	23	19	24	22	21	13	19	20	31	9	29	18	17	10	6	26	21	18	24	39	13	22	40	7	32	25	23	27	22	14	10	34	19	20	12	7	38	6	25	22	5	0	0	9					
14	Число погашенных неиспользованных открепительных удостоверений	1081	5	7	9	1	5	12	4	10	10	0	6	9	17	4	6	13	9	14	7	8	2	10	12	17	3	7	18	22	31	11	16	14	7	15	1	3	10	6	16	8	14	20	4	7	0	6	8	1	13	9	6	14	10	9	2	10	11	5	4	31	27	21	19	23	26	6	19	15	14	2	4	15	39	9	0	7	16	6	7	14	5	10	17	11	16	19	16	17	35	15	25	8	29	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	47	0	0	2	1	0	1	2	1	0	1	0	1	1	0	0	1	2	1	2	2	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	2	0	0	2	2	1	0	1	1	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	12255	73	136	101	150	99	127	147	55	145	141	188	160	118	202	117	229	181	137	158	77	20	72	52	168	163	105	115	118	190	169	197	147	167	135	81	101	99	59	123	76	59	170	164	197	110	101	114	109	28	132	173	180	179	102	125	104	106	188	191	132	143	215	42	221	244	106	188	230	97	94	112	174	56	208	104	64	155	106	140	90	130	48	241	62	165	172	75	46	15	150	99	98	145	12	21	25	49	26	13	81	26	5					
		9.59%	9.34%	7.67%	7.03%	8.79%	13.40%	9.88%	9.68%	8.15%	11.43%	8.03%	12.71%	9.32%	7.98%	18.58%	8.97%	14.15%	13.80%	8.17%	12.02%	5.99%	4.76%	7.05%	10.72%	12.23%	9.84%	9.11%	9.13%	8.85%	11.88%	11.87%	10.99%	11.99%	11.38%	11.43%	7.93%	8.13%	8.06%	5.79%	9.92%	10.97%	14.25%	10.62%	13.50%	14.91%	13.13%	7.17%	8.91%	8.45%	2.19%	9.50%	14.64%	13.43%	14.07%	8.72%	10.40%	7.36%	10.12%	12.56%	14.43%	9.30%	10.15%	16.06%	2.71%	13.77%	14.15%	6.78%	11.62%	16.23%	6.06%	5.64%	7.07%	11.61%	3.42%	13.71%	7.43%	4.40%	11.16%	7.98%	9.62%	6.30%	7.65%	3.71%	14.21%	4.69%	12.52%	11.12%	4.99%	3.19%	0.97%	11.82%	7.53%	7.78%	8.96%	7.32%	12.96%	16.56%	18.28%	6.50%	6.70%	14.67%	3.14%	7.25%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	7151	66	85	50	73	107	44	139	47	56	158	29	85	103	142	90	108	23	101	67	89	33	38	26	94	97	106	113	93	95	98	190	73	51	30	92	130	81	77	54	29	48	139	100	146	55	116	90	133	70	90	63	65	95	86	84	110	51	43	47	46	48	167	27	110	30	15	40	69	67	34	14	75	39	18	15	187	56	81	12	20	95	20	98	13	31	90	68	35	40	112	97	99	81	27	18	7	2	28	7	38	73	9					
		5.60%	8.44%	4.79%	3.48%	4.28%	14.48%	3.42%	9.16%	6.96%	4.41%	8.99%	1.96%	4.95%	6.97%	13.06%	6.90%	6.67%	1.75%	6.02%	5.10%	6.93%	7.86%	3.72%	5.36%	6.84%	5.86%	9.20%	8.98%	6.98%	5.94%	6.88%	10.60%	5.95%	3.48%	2.54%	9.00%	10.46%	6.60%	7.56%	4.35%	4.18%	11.59%	8.68%	8.23%	11.05%	6.56%	8.23%	7.03%	10.31%	5.49%	6.48%	5.33%	4.85%	7.47%	7.35%	6.99%	7.78%	4.87%	2.87%	3.55%	3.24%	3.41%	12.47%	1.75%	6.85%	1.74%	0.96%	2.47%	4.87%	4.19%	2.04%	0.88%	5.00%	2.38%	1.19%	1.07%	12.86%	4.03%	6.10%	0.82%	1.40%	5.59%	1.55%	5.78%	0.98%	2.35%	5.82%	4.53%	2.43%	2.59%	8.83%	7.38%	7.86%	5.01%	16.46%	11.11%	4.64%	0.75%	7.00%	3.61%	6.88%	8.81%	13.04%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1311	5	81	3	83	14	29	22	3	25	18	12	26	22	10	11	12	9	15	3	25	15	23	5	17	19	13	10	14	13	3	12	15	3	11	18	18	11	13	8	0	1	15	14	20	15	12	6	40	44	11	15	4	6	9	17	15	23	2	7	7	12	13	1	25	2	0	17	9	7	9	0	16	3	3	5	12	20	7	0	4	9	14	19	0	13	10	7	5	2	9	29	12	40	1	2	0	0	6	3	6	7	0					
		1.03%	0.64%	4.57%	0.21%	4.87%	1.89%	2.26%	1.45%	0.44%	1.97%	1.02%	0.81%	1.52%	1.49%	0.92%	0.84%	0.74%	0.69%	0.89%	0.23%	1.95%	3.57%	2.25%	1.03%	1.24%	1.15%	1.13%	0.79%	1.05%	0.81%	0.21%	0.67%	1.22%	0.20%	0.93%	1.76%	1.45%	0.90%	1.28%	0.65%	0.00%	0.24%	0.94%	1.15%	1.51%	1.79%	0.85%	0.47%	3.10%	3.45%	0.79%	1.27%	0.30%	0.47%	0.77%	1.41%	1.06%	2.20%	0.13%	0.53%	0.49%	0.85%	0.97%	0.06%	1.56%	0.12%	0.00%	1.05%	0.64%	0.44%	0.54%	0.00%	1.07%	0.18%	0.20%	0.36%	0.83%	1.44%	0.53%	0.00%	0.28%	0.53%	1.08%	1.12%	0.00%	0.99%	0.65%	0.47%	0.35%	0.13%	0.71%	2.21%	0.95%	2.47%	0.61%	1.23%	0.00%	0.00%	1.50%	1.55%	1.09%	0.84%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	15246	101	222	142	171	213	217	177	75	142	193	256	213	237	230	128	139	221	242	178	178	42	139	78	157	217	155	193	112	206	211	130	174	249	193	112	159	209	112	207	135	69	144	120	246	89	158	176	139	211	152	183	160	93	169	131	216	103	297	147	174	171	296	63	160	57	29	276	200	93	125	29	203	55	294	62	207	199	270	15	13	181	25	197	88	211	217	313	48	86	124	148	199	210	14	23	12	40	61	43	51	87	9					
		11.93%	12.92%	12.52%	9.88%	10.02%	28.82%	16.89%	11.66%	11.11%	11.19%	10.98%	17.31%	12.41%	16.04%	21.16%	9.81%	8.59%	16.84%	14.43%	13.55%	13.85%	10.00%	13.61%	16.08%	11.43%	13.10%	13.45%	15.33%	8.40%	12.88%	14.82%	7.25%	14.19%	16.97%	16.34%	10.96%	12.79%	17.02%	10.99%	16.69%	19.48%	16.67%	8.99%	9.88%	18.62%	10.62%	11.21%	13.75%	10.78%	16.54%	10.94%	15.48%	11.94%	7.31%	14.44%	10.90%	15.28%	9.84%	19.84%	11.10%	12.25%	12.14%	22.11%	4.07%	9.97%	3.31%	1.85%	17.06%	14.11%	5.81%	7.49%	1.83%	13.54%	3.36%	19.38%	4.43%	14.24%	14.33%	20.33%	1.03%	0.91%	10.65%	1.93%	11.62%	6.66%	16.01%	14.03%	20.85%	3.33%	5.57%	9.77%	11.25%	15.81%	12.98%	8.54%	14.20%	7.95%	14.93%	15.25%	22.16%	9.24%	10.49%	13.04%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3117	35	52	129	65	47	34	42	33	64	53	13	68	26	85	64	57	27	30	4	38	19	50	16	29	54	14	12	40	31	14	65	23	8	41	39	15	40	37	43	18	13	49	21	81	25	69	35	10	11	45	9	6	70	14	67	21	57	21	23	8	15	76	15	53	4	0	5	37	53	18	0	14	2	2	7	5	17	23	0	5	56	14	63	13	35	34	77	7	1	47	50	39	33	1	4	6	2	8	3	10	34	0					
		2.44%	4.48%	2.93%	8.98%	3.81%	6.36%	2.65%	2.77%	4.89%	5.04%	3.02%	0.88%	3.96%	1.76%	7.82%	4.90%	3.52%	2.06%	1.79%	0.30%	2.96%	4.52%	4.90%	3.30%	2.11%	3.26%	1.22%	0.95%	3.00%	1.94%	0.98%	3.63%	1.88%	0.55%	3.47%	3.82%	1.21%	3.26%	3.63%	3.47%	2.60%	3.14%	3.06%	1.73%	6.13%	2.98%	4.90%	2.73%	0.78%	0.86%	3.24%	0.76%	0.45%	5.50%	1.20%	5.57%	1.49%	5.44%	1.40%	1.74%	0.56%	1.06%	5.68%	0.97%	3.30%	0.23%	0.00%	0.31%	2.61%	3.31%	1.08%	0.00%	0.93%	0.12%	0.13%	0.50%	0.34%	1.22%	1.73%	0.00%	0.35%	3.29%	1.08%	3.71%	0.98%	2.66%	2.20%	5.13%	0.49%	0.06%	3.70%	3.80%	3.10%	2.04%	0.61%	2.47%	3.97%	0.75%	2.00%	1.55%	1.81%	4.10%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	85918	485	1097	963	1092	236	803	950	432	815	1160	953	1112	942	380	881	1038	826	1124	891	842	273	682	302	900	1076	733	794	893	1041	901	1122	773	985	763	664	787	768	683	781	432	212	1060	766	596	520	921	834	851	804	931	730	850	815	767	756	922	676	934	881	1039	1003	532	1395	999	1360	1353	1068	843	1261	1351	1426	975	1477	964	1185	944	882	810	1289	1281	1145	1140	1061	1136	823	990	951	1287	1398	792	852	787	1084	107	91	101	175	265	124	330	597	44					
		67.26%	62.02%	61.87%	67.01%	64.01%	31.94%	62.49%	62.58%	64.00%	64.22%	66.02%	64.44%	64.80%	63.73%	34.96%	67.51%	64.15%	62.96%	67.02%	67.81%	65.53%	65.00%	66.80%	62.27%	65.50%	64.98%	63.63%	63.07%	66.99%	65.06%	63.27%	62.58%	63.05%	67.14%	64.61%	64.97%	63.31%	62.54%	67.03%	62.98%	62.34%	51.21%	66.21%	63.05%	45.12%	62.05%	65.37%	65.16%	65.97%	63.01%	67.03%	61.76%	63.43%	64.07%	65.56%	62.90%	65.21%	64.57%	62.39%	66.54%	73.17%	71.19%	39.73%	90.17%	62.24%	78.89%	86.51%	66.01%	59.49%	78.81%	80.99%	89.97%	65.04%	90.12%	63.55%	84.70%	64.92%	63.50%	60.99%	88.53%	89.64%	67.35%	88.17%	62.56%	85.99%	62.44%	63.99%	63.36%	89.31%	90.49%	62.41%	64.79%	62.51%	66.99%	65.24%	56.17%	66.89%	65.30%	66.25%	63.92%	59.78%	72.01%	63.77%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	1088	17	39	14	69	10	21	29	8	17	17	10	21	24	15	5	14	6	12	5	26	13	13	4	9	11	8	2	11	10	11	11	14	4	5	7	10	8	13	15	0	2	8	11	7	10	9	10	4	28	12	9	5	10	14	12	18	13	3	9	6	8	10	2	10	1	0	15	6	15	5	0	17	2	3	3	15	15	9	0	6	46	6	17	4	9	11	5	5	1	4	18	24	17	2	2	0	0	4	1	5	5	2					
		0.85%	2.17%	2.20%	0.97%	4.04%	1.35%	1.63%	1.91%	1.19%	1.34%	0.97%	0.68%	1.22%	1.62%	1.38%	0.38%	0.87%	0.46%	0.72%	0.38%	2.02%	3.10%	1.27%	0.82%	0.66%	0.66%	0.69%	0.16%	0.83%	0.63%	0.77%	0.61%	1.14%	0.27%	0.42%	0.68%	0.80%	0.65%	1.28%	1.21%	0.00%	0.48%	0.50%	0.91%	0.53%	1.19%	0.64%	0.78%	0.31%	2.19%	0.86%	0.76%	0.37%	0.79%	1.20%	0.99%	1.27%	1.24%	0.20%	0.68%	0.42%	0.57%	0.75%	0.13%	0.62%	0.06%	0.00%	0.93%	0.42%	0.94%	0.30%	0.00%	1.13%	0.12%	0.20%	0.21%	1.03%	1.08%	0.68%	0.00%	0.42%	2.71%	0.46%	1.00%	0.30%	0.68%	0.71%	0.33%	0.35%	0.06%	0.32%	1.37%	1.91%	1.05%	1.22%	1.23%	0.00%	0.00%	1.00%	0.52%	0.91%	0.60%	2.90%					
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
