Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																													
Дата голосования: 02.12.2007																																																																																																													
																																																																																																													
"Наименование Избирательной комиссии:    Казань, Советская"																																																																																																													
																																																																																																													
Сводная таблица результатов выборов																																																																																																													
																																																																																																													
		Сумма	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	4790	69	64	35	40	40	35	35	35	35	55	55	55	40	30	30	30	60	60	99	61	120	20	35	15	60	60	50	50	40	56	60	40	60	60	40	45	50	40	40	60	25	15	40	40	40	30	45	45	41	45	40	40	40	40	50	50	50	40	20	40	40	40	50	30	30	60	60	60	60	60	60	60	60	60	60	60	60	100	60	80	60	50	120	120	70	70	70	80	70	60	60	50	20	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	4704	61	62	33	40	39	33	35	33	35	55	54	55	40	30	28	30	55	60	97	60	120	20	35	10	58	56	50	50	40	52	60	40	55	60	40	45	50	40	40	54	21	15	40	40	40	30	45	45	40	45	40	40	40	40	50	50	49	40	20	40	37	40	50	28	30	59	60	59	60	60	60	60	48	60	60	60	60	100	60	80	60	50	120	120	70	70	70	80	70	60	60	43	20	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	4152	86	31	76	19	32	38	18	24	24	18	108	68	26	23	15	50	30	48	100	51	38	39	24	35	34	75	36	68	19	40	33	7	33	35	26	45	23	24	15	28	16	6	14	15	25	29	67	23	61	30	56	41	22	41	20	38	23	33	29	38	85	24	24	20	25	74	25	21	16	28	84	21	30	20	48	36	14	90	43	97	32	21	56	67	47	63	61	22	57	99	126	128	34	131	23	19	56	3	72	0	3	18					
14	Число погашенных неиспользованных открепительных удостоверений	86	8	2	2	0	1	2	0	2	0	0	1	0	0	0	2	0	5	0	2	1	0	0	0	5	2	4	0	0	0	4	0	0	5	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	2	0	1	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																													
18	1.Политическая партия «Аграрная партия России»	1370	26	25	11	8	37	12	6	16	14	20	24	8	5	8	14	13	17	18	29	20	7	19	17	4	5	29	12	11	5	9	6	17	7	3	18	25	20	6	11	20	15	25	25	12	2	10	6	5	23	3	12	25	17	11	19	9	28	2	27	2	10	14	31	0	11	5	20	15	34	6	21	23	22	7	18	20	17	7	20	21	30	6	17	8	5	20	15	14	8	20	15	5	9	2	4	0	5	0	1	0	0	4					
		0.89%	1.53%	1.55%	0.91%	0.37%	2.52%	1.15%	0.67%	1.75%	1.08%	1.00%	1.28%	0.34%	0.69%	0.69%	1.52%	1.37%	1.37%	0.87%	1.39%	0.95%	0.38%	2.82%	1.35%	0.70%	0.23%	1.82%	0.69%	0.67%	0.28%	0.52%	0.31%	1.34%	0.39%	0.15%	1.17%	1.50%	1.04%	0.43%	0.66%	0.99%	1.76%	5.17%	1.52%	0.75%	0.16%	1.39%	0.30%	0.24%	1.35%	0.15%	0.83%	1.79%	1.14%	0.85%	1.35%	0.54%	1.95%	0.12%	2.29%	0.14%	0.71%	1.05%	1.97%	0.00%	0.90%	0.24%	0.81%	0.79%	1.83%	0.31%	0.91%	1.37%	1.03%	0.37%	0.91%	1.04%	0.92%	0.35%	0.89%	1.05%	1.58%	0.33%	0.73%	0.36%	0.30%	1.08%	0.92%	1.07%	0.65%	0.95%	0.62%	0.27%	1.06%	0.84%	2.72%	0.00%	1.14%	0.00%	0.18%	0.00%	0.00%	2.96%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1287	40	43	24	16	27	8	5	21	12	0	31	5	4	13	16	14	12	34	38	10	9	3	6	2	8	14	12	6	7	6	10	12	4	3	15	26	14	8	16	29	3	2	10	18	4	6	9	9	19	7	18	25	0	13	15	11	26	5	39	4	10	38	21	1	9	4	19	20	15	12	12	13	28	11	5	20	25	10	21	25	14	17	22	3	14	15	11	10	4	7	14	0	4	0	3	0	1	0	2	0	1	0					
		0.84%	2.36%	2.67%	1.99%	0.74%	1.84%	0.77%	0.55%	2.30%	0.93%	0.00%	1.65%	0.21%	0.55%	1.12%	1.74%	1.47%	0.96%	1.64%	1.82%	0.48%	0.49%	0.45%	0.48%	0.35%	0.37%	0.88%	0.69%	0.36%	0.40%	0.34%	0.52%	0.95%	0.23%	0.15%	0.98%	1.56%	0.73%	0.58%	0.95%	1.45%	0.35%	0.41%	0.61%	1.12%	0.33%	0.83%	0.45%	0.44%	1.11%	0.34%	1.25%	1.79%	0.00%	1.00%	1.07%	0.66%	1.81%	0.30%	3.30%	0.27%	0.71%	2.85%	1.34%	0.09%	0.73%	0.19%	0.77%	1.06%	0.81%	0.62%	0.52%	0.78%	1.31%	0.58%	0.25%	1.04%	1.35%	0.50%	0.94%	1.25%	0.74%	0.95%	0.95%	0.13%	0.84%	0.81%	0.68%	0.76%	0.32%	0.33%	0.58%	0.00%	0.47%	0.00%	2.04%	0.00%	0.23%	0.00%	0.36%	0.00%	0.81%	0.00%					
20	3.Политическая партия «Демократическая партия России»	337	5	6	0	1	6	0	4	0	3	6	2	2	1	2	3	0	5	5	0	3	1	2	4	2	0	6	2	3	2	7	3	1	3	2	0	9	3	2	4	9	3	4	4	7	0	2	4	8	7	0	8	9	5	3	5	4	6	2	9	1	0	2	3	1	2	1	6	5	2	3	4	4	6	4	4	2	6	0	12	6	3	0	3	0	3	6	6	6	1	13	8	0	0	1	1	0	1	0	2	0	0	0					
		0.22%	0.29%	0.37%	0.00%	0.05%	0.41%	0.00%	0.44%	0.00%	0.23%	0.30%	0.11%	0.09%	0.14%	0.17%	0.33%	0.00%	0.40%	0.24%	0.00%	0.14%	0.05%	0.30%	0.32%	0.35%	0.00%	0.38%	0.12%	0.18%	0.11%	0.40%	0.16%	0.08%	0.17%	0.10%	0.00%	0.54%	0.16%	0.14%	0.24%	0.45%	0.35%	0.83%	0.24%	0.43%	0.00%	0.28%	0.20%	0.39%	0.41%	0.00%	0.55%	0.64%	0.33%	0.23%	0.36%	0.24%	0.42%	0.12%	0.76%	0.07%	0.00%	0.15%	0.19%	0.09%	0.16%	0.05%	0.24%	0.26%	0.11%	0.16%	0.17%	0.24%	0.28%	0.21%	0.20%	0.10%	0.32%	0.00%	0.54%	0.30%	0.16%	0.00%	0.13%	0.00%	0.18%	0.32%	0.37%	0.46%	0.08%	0.62%	0.33%	0.00%	0.00%	0.42%	0.68%	0.00%	0.23%	0.00%	0.36%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	8488	173	181	50	155	104	50	48	99	39	186	67	208	13	86	24	47	97	33	90	156	93	42	65	30	57	162	119	119	153	101	204	105	201	82	156	162	181	126	106	30	31	45	180	83	80	53	106	51	43	71	57	77	81	88	168	172	180	92	100	79	64	54	80	26	38	26	114	95	88	103	139	108	74	12	6	148	113	60	46	98	144	18	133	43	76	83	32	102	22	90	93	11	26	3	0	2	36	2	18	13	1	11					
		5.53%	10.20%	11.26%	4.15%	7.15%	7.08%	4.80%	5.32%	10.82%	3.02%	9.32%	3.57%	8.93%	1.80%	7.43%	2.61%	4.95%	7.79%	1.59%	4.31%	7.42%	5.08%	6.24%	5.18%	5.24%	2.63%	10.18%	6.87%	7.24%	8.71%	5.79%	10.66%	8.27%	11.34%	4.15%	10.15%	9.71%	9.44%	9.11%	6.32%	1.50%	3.63%	9.30%	10.96%	5.16%	6.53%	7.34%	5.33%	2.50%	2.52%	3.50%	3.94%	5.51%	5.42%	6.77%	11.93%	10.30%	12.56%	5.52%	8.47%	5.37%	4.53%	4.05%	5.09%	2.30%	3.09%	1.26%	4.63%	5.02%	4.74%	5.33%	6.01%	6.45%	3.45%	0.63%	0.30%	7.69%	6.10%	3.01%	2.05%	4.91%	7.57%	1.00%	5.75%	1.92%	4.54%	4.48%	1.96%	7.77%	1.78%	4.28%	3.87%	0.60%	3.05%	1.26%	0.00%	0.80%	8.18%	3.03%	3.21%	1.63%	0.81%	8.15%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	1759	43	30	26	23	53	15	8	18	4	0	27	5	8	12	22	15	9	30	28	33	18	6	12	3	5	20	12	19	4	7	11	21	7	25	31	35	11	10	11	32	3	9	15	25	16	8	11	21	23	15	16	25	6	5	39	7	24	22	41	11	9	16	28	14	12	5	28	17	24	18	17	34	48	16	12	26	31	36	38	26	26	13	29	11	19	31	17	18	16	26	16	11	11	0	1	0	3	0	3	0	1	1					
		1.15%	2.54%	1.87%	2.16%	1.06%	3.61%	1.44%	0.89%	1.97%	0.31%	0.00%	1.44%	0.21%	1.11%	1.04%	2.39%	1.58%	0.72%	1.44%	1.34%	1.57%	0.98%	0.89%	0.96%	0.52%	0.23%	1.26%	0.69%	1.16%	0.23%	0.40%	0.58%	1.65%	0.39%	1.27%	2.02%	2.10%	0.57%	0.72%	0.66%	1.60%	0.35%	1.86%	0.91%	1.55%	1.31%	1.11%	0.55%	1.03%	1.35%	0.74%	1.11%	1.79%	0.40%	0.38%	2.77%	0.42%	1.67%	1.32%	3.47%	0.75%	0.64%	1.20%	1.78%	1.24%	0.98%	0.24%	1.14%	0.90%	1.29%	0.93%	0.73%	2.03%	2.24%	0.85%	0.61%	1.35%	1.67%	1.81%	1.70%	1.30%	1.37%	0.72%	1.25%	0.49%	1.13%	1.67%	1.04%	1.37%	1.30%	1.24%	0.67%	0.60%	1.29%	0.00%	0.68%	0.00%	0.68%	0.00%	0.54%	0.00%	0.81%	0.74%					
23	6.Политическая партия «Партия социальной справедливости»	403	9	10	6	1	8	0	4	2	0	7	5	6	2	1	1	5	7	3	5	8	3	2	2	1	0	2	1	3	2	8	7	4	2	3	3	2	4	2	3	10	2	3	6	8	4	1	2	19	5	0	8	7	9	3	6	2	9	1	5	4	0	7	3	1	5	3	2	4	9	6	14	6	4	8	6	10	5	5	6	0	5	3	5	0	4	3	2	3	0	10	0	1	0	0	0	1	1	0	3	0	0	0					
		0.26%	0.53%	0.62%	0.50%	0.05%	0.54%	0.00%	0.44%	0.22%	0.00%	0.35%	0.27%	0.26%	0.28%	0.09%	0.11%	0.53%	0.56%	0.14%	0.24%	0.38%	0.16%	0.30%	0.16%	0.17%	0.00%	0.13%	0.06%	0.18%	0.11%	0.46%	0.37%	0.32%	0.11%	0.15%	0.20%	0.12%	0.21%	0.14%	0.18%	0.50%	0.23%	0.62%	0.37%	0.50%	0.33%	0.14%	0.10%	0.93%	0.29%	0.00%	0.55%	0.50%	0.60%	0.23%	0.43%	0.12%	0.63%	0.06%	0.42%	0.27%	0.00%	0.53%	0.19%	0.09%	0.41%	0.14%	0.08%	0.21%	0.48%	0.31%	0.61%	0.36%	0.19%	0.42%	0.30%	0.52%	0.27%	0.25%	0.27%	0.00%	0.26%	0.17%	0.22%	0.00%	0.24%	0.16%	0.12%	0.23%	0.00%	0.48%	0.00%	0.05%	0.00%	0.00%	0.00%	0.40%	0.23%	0.00%	0.54%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	10312	122	154	128	212	121	67	81	80	85	133	118	127	57	87	54	53	109	120	127	150	96	18	55	34	198	111	98	122	103	149	161	63	135	188	119	135	131	79	123	123	37	40	105	143	103	44	148	124	101	133	124	107	153	85	81	112	108	86	111	122	80	129	134	79	66	127	131	112	144	131	111	156	78	126	105	132	110	173	157	111	130	103	140	82	126	101	104	98	88	114	95	135	40	1	0	2	15	0	21	20	3	9					
		6.72%	7.19%	9.58%	10.63%	9.78%	8.24%	6.44%	8.98%	8.74%	6.58%	6.66%	6.29%	5.45%	7.91%	7.51%	5.88%	5.58%	8.76%	5.77%	6.09%	7.13%	5.24%	2.67%	4.38%	5.93%	9.12%	6.97%	5.66%	7.42%	5.87%	8.55%	8.42%	4.96%	7.61%	9.52%	7.74%	8.09%	6.83%	5.71%	7.34%	6.14%	4.34%	8.26%	6.39%	8.88%	8.41%	6.09%	7.44%	6.07%	5.91%	6.55%	8.58%	7.66%	10.23%	6.54%	5.75%	6.71%	7.54%	5.16%	9.40%	8.29%	5.66%	9.68%	8.53%	7.00%	5.37%	6.14%	5.32%	5.92%	7.75%	6.78%	4.80%	9.32%	3.64%	6.66%	5.31%	6.86%	5.94%	8.68%	7.01%	5.57%	6.84%	5.74%	6.05%	3.66%	7.52%	5.45%	6.38%	7.46%	7.13%	5.42%	3.96%	7.42%	4.69%	0.42%	0.00%	0.80%	3.41%	0.00%	3.75%	2.50%	2.44%	6.67%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	7015	151	169	57	62	60	27	99	114	78	112	57	177	60	90	38	30	134	108	90	157	74	22	46	27	71	114	43	29	18	32	40	17	17	63	77	147	109	93	65	60	38	54	56	90	56	42	0	77	50	130	52	87	36	110	145	128	121	12	81	38	16	109	37	82	78	22	107	90	166	85	17	135	103	112	12	130	76	63	63	118	134	19	153	46	91	52	96	123	17	24	67	12	10	1	15	3	27	1	47	7	0	12					
		4.57%	8.90%	10.51%	4.73%	2.86%	4.08%	2.59%	10.98%	12.46%	6.04%	5.61%	3.04%	7.60%	8.32%	7.77%	4.13%	3.16%	10.76%	5.20%	4.31%	7.47%	4.04%	3.27%	3.67%	4.71%	3.27%	7.16%	2.48%	1.76%	1.03%	1.84%	2.09%	1.34%	0.96%	3.19%	5.01%	8.81%	5.69%	6.72%	3.88%	2.99%	4.45%	11.16%	3.41%	5.59%	4.57%	5.82%	0.00%	3.77%	2.93%	6.40%	3.60%	6.23%	2.41%	8.47%	10.30%	7.66%	8.44%	0.72%	6.86%	2.58%	1.13%	8.18%	2.36%	7.27%	6.35%	1.06%	4.34%	4.76%	8.93%	4.40%	0.73%	8.06%	4.81%	5.92%	0.61%	6.76%	4.10%	3.16%	2.81%	5.92%	7.05%	1.06%	6.61%	2.05%	5.43%	2.81%	5.89%	9.37%	1.38%	1.14%	2.79%	0.66%	1.17%	0.42%	10.20%	1.20%	6.14%	1.52%	8.39%	0.88%	0.00%	8.89%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	873	18	15	9	6	12	3	5	8	13	0	11	10	1	12	9	0	10	8	24	15	4	2	5	3	6	10	7	4	3	10	9	4	6	3	12	22	4	8	9	20	3	1	7	12	5	8	11	10	18	9	20	16	3	6	24	6	17	9	14	7	5	28	28	3	7	3	13	10	4	4	16	22	20	9	13	5	15	5	8	10	9	6	14	2	6	9	16	14	3	7	5	0	3	0	0	0	1	0	3	0	0	1					
		0.57%	1.06%	0.93%	0.75%	0.28%	0.82%	0.29%	0.55%	0.87%	1.01%	0.00%	0.59%	0.43%	0.14%	1.04%	0.98%	0.00%	0.80%	0.38%	1.15%	0.71%	0.22%	0.30%	0.40%	0.52%	0.28%	0.63%	0.40%	0.24%	0.17%	0.57%	0.47%	0.32%	0.34%	0.15%	0.78%	1.32%	0.21%	0.58%	0.54%	0.99%	0.35%	0.21%	0.43%	0.75%	0.41%	1.11%	0.55%	0.49%	1.05%	0.44%	1.38%	1.15%	0.20%	0.46%	1.70%	0.36%	1.19%	0.54%	1.19%	0.48%	0.35%	2.10%	1.78%	0.27%	0.57%	0.14%	0.53%	0.53%	0.22%	0.21%	0.69%	1.31%	0.93%	0.48%	0.66%	0.26%	0.81%	0.25%	0.36%	0.50%	0.47%	0.33%	0.60%	0.09%	0.36%	0.49%	0.98%	1.07%	0.24%	0.33%	0.21%	0.00%	0.35%	0.00%	0.00%	0.00%	0.23%	0.00%	0.54%	0.00%	0.00%	0.74%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	117602	1024	892	851	1644	1029	833	621	499	1027	1527	1473	1736	551	804	694	750	801	1684	1565	1503	1468	541	951	454	1809	1074	1389	1318	1445	1395	1441	1007	1377	1563	1044	1021	1383	1038	1268	1609	683	284	1209	1189	920	519	1652	1659	1374	1617	1086	971	1160	961	831	1215	842	1418	660	1176	1201	705	1146	917	972	1851	1984	1493	1315	1532	1891	1094	1730	1551	1785	1344	1399	1601	1824	1489	1352	1591	1737	2028	1289	1491	1273	878	1061	1737	2070	1635	733	194	115	241	345	63	444	760	117	95					
