Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Лысьвенская городская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049									
		1.32%	2.51%	0.63%	0.54%	1.23%	0.00%	0.75%	1.51%	1.86%	0.91%	1.63%	1.61%	1.98%	0.75%	1.28%	0.91%	1.04%	0.50%	0.82%	1.89%	1.61%	1.64%	2.24%	1.70%	0.63%	2.69%	2.13%	0.57%	0.71%	0.77%	1.24%	6.74%	3.48%	1.32%	0.00%	2.29%	1.79%	2.04%	0.55%	1.22%	1.74%	0.96%	0.00%	3.70%	0.00%	0.00%	0.00%	0.00%	1.96%	1.91%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	673	10	13	14	4	7	8	18	6	28	32	24	21	26	33	37	15	13	21	11	28	12	22	19	20	10	25	21	17	26	9	1	6	6	2	6	3	18	21	5	11	5	4	3	2	2	12	5	4	7									
		3.32%	2.09%	2.73%	2.54%	1.64%	3.02%	2.99%	3.89%	2.23%	5.12%	4.02%	3.87%	3.20%	3.87%	3.53%	4.23%	3.11%	2.16%	2.46%	2.97%	3.76%	1.97%	2.90%	3.59%	3.17%	1.80%	4.84%	3.01%	4.02%	3.33%	1.86%	1.12%	2.99%	2.64%	2.15%	4.58%	2.68%	7.35%	11.48%	6.10%	2.40%	2.39%	5.26%	2.78%	2.08%	2.33%	4.20%	2.99%	2.61%	4.46%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	378	5	6	4	2	3	1	10	9	11	12	16	11	21	24	14	15	14	14	7	15	10	15	6	11	15	7	10	11	12	11	5	3	3	1	3	4	0	0	2	9	1	1	3	1	0	11	3	2	4									
		1.86%	1.05%	1.26%	0.72%	0.82%	1.29%	0.37%	2.16%	3.35%	2.01%	1.51%	2.58%	1.67%	3.13%	2.57%	1.60%	3.11%	2.33%	1.64%	1.89%	2.01%	1.64%	1.98%	1.13%	1.74%	2.69%	1.36%	1.43%	2.60%	1.54%	2.27%	5.62%	1.49%	1.32%	1.08%	2.29%	3.57%	0.00%	0.00%	2.44%	1.96%	0.48%	1.32%	2.78%	1.04%	0.00%	3.85%	1.80%	1.31%	2.55%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8275	183	193	261	102	110	118	198	101	208	287	257	294	271	363	349	205	207	290	140	300	236	269	197	253	220	209	287	134	337	180	39	82	113	51	64	47	132	107	34	225	76	43	56	55	50	122	86	65	69									
		40.80%	38.28%	40.55%	47.28%	41.80%	47.41%	44.19%	42.76%	37.55%	38.03%	36.01%	41.45%	44.75%	40.39%	38.82%	39.89%	42.53%	34.39%	33.96%	37.84%	40.27%	38.69%	35.49%	37.24%	40.10%	39.50%	40.50%	41.12%	31.68%	43.15%	37.11%	43.82%	40.80%	49.78%	54.84%	48.85%	41.96%	53.88%	58.47%	41.46%	49.02%	36.36%	56.58%	51.85%	57.29%	58.14%	42.66%	51.50%	42.48%	43.95%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	111	1	0	2	2	2	1	5	2	1	6	3	2	4	0	5	1	7	7	3	4	8	6	4	3	0	4	4	4	4	7	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	2									
		0.55%	0.21%	0.00%	0.36%	0.82%	0.86%	0.37%	1.08%	0.74%	0.18%	0.75%	0.48%	0.30%	0.60%	0.00%	0.57%	0.21%	1.16%	0.82%	0.81%	0.54%	1.31%	0.79%	0.76%	0.48%	0.00%	0.78%	0.57%	0.95%	0.51%	1.44%	1.12%	0.50%	0.00%	0.00%	0.76%	0.00%	0.41%	0.00%	1.22%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	1.27%									
24	"6. Политическая партия ""Гражданская Платформа"""	44	0	0	2	2	0	0	1	3	0	1	2	3	0	2	3	0	1	1	0	0	0	3	1	0	0	1	4	2	2	0	1	0	0	0	0	0	0	4	1	0	0	1	1	0	1	0	1	0	0									
		0.22%	0.00%	0.00%	0.36%	0.82%	0.00%	0.00%	0.22%	1.12%	0.00%	0.13%	0.32%	0.46%	0.00%	0.21%	0.34%	0.00%	0.17%	0.12%	0.00%	0.00%	0.00%	0.40%	0.19%	0.00%	0.00%	0.19%	0.57%	0.47%	0.26%	0.00%	1.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.19%	1.22%	0.00%	0.00%	1.32%	0.93%	0.00%	1.16%	0.00%	0.60%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4563	141	131	142	63	64	67	99	70	120	163	128	139	132	208	198	83	132	205	86	158	125	168	138	157	122	128	143	103	190	109	20	46	60	16	24	27	17	4	8	116	47	6	20	20	18	71	40	55	36									
		22.50%	29.50%	27.52%	25.72%	25.82%	27.59%	25.09%	21.38%	26.02%	21.94%	20.45%	20.65%	21.16%	19.67%	22.25%	22.63%	17.22%	21.93%	24.00%	23.24%	21.21%	20.49%	22.16%	26.09%	24.88%	21.90%	24.81%	20.49%	24.35%	24.33%	22.47%	22.47%	22.89%	26.43%	17.20%	18.32%	24.11%	6.94%	2.19%	9.76%	25.27%	22.49%	7.89%	18.52%	20.83%	20.93%	24.83%	23.95%	35.95%	22.93%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	112	1	2	1	1	2	1	1	2	2	3	2	7	3	6	2	7	5	7	2	8	8	5	3	2	1	3	5	3	2	7	1	0	4	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0									
		0.55%	0.21%	0.42%	0.18%	0.41%	0.86%	0.37%	0.22%	0.74%	0.37%	0.38%	0.32%	1.07%	0.45%	0.64%	0.23%	1.45%	0.83%	0.82%	0.54%	1.07%	1.31%	0.66%	0.57%	0.32%	0.18%	0.58%	0.72%	0.71%	0.26%	1.44%	1.12%	0.00%	1.76%	0.00%	0.00%	0.00%	0.41%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	203	5	6	5	2	0	2	6	2	9	5	3	8	3	12	7	2	10	18	1	8	15	7	7	5	8	4	7	6	5	5	1	0	0	1	0	0	0	0	2	0	2	0	1	0	2	3	3	2	3									
		1.00%	1.05%	1.26%	0.91%	0.82%	0.00%	0.75%	1.30%	0.74%	1.65%	0.63%	0.48%	1.22%	0.45%	1.28%	0.80%	0.41%	1.66%	2.11%	0.27%	1.07%	2.46%	0.92%	1.32%	0.79%	1.44%	0.78%	1.00%	1.42%	0.64%	1.03%	1.12%	0.00%	0.00%	1.08%	0.00%	0.00%	0.00%	0.00%	2.44%	0.00%	0.96%	0.00%	0.93%	0.00%	2.33%	1.05%	1.80%	1.31%	1.91%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	17	1	0	0	0	0	1	0	0	0	2	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1									
		0.08%	0.21%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.15%	0.11%	0.00%	0.21%	0.17%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.89%	0.00%	0.00%	1.22%	0.22%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	267	5	3	12	1	7	2	6	3	15	9	11	8	9	21	9	4	6	13	3	16	7	16	4	8	8	8	8	7	4	15	1	3	2	1	0	0	4	1	0	2	2	0	0	1	0	2	0	0	0									
		1.32%	1.05%	0.63%	2.17%	0.41%	3.02%	0.75%	1.30%	1.12%	2.74%	1.13%	1.77%	1.22%	1.34%	2.25%	1.03%	0.83%	0.99%	1.52%	0.81%	2.15%	1.15%	2.11%	0.76%	1.27%	1.44%	1.55%	1.15%	1.65%	0.51%	3.09%	1.12%	1.49%	0.88%	1.08%	0.00%	0.00%	1.63%	0.55%	0.00%	0.44%	0.96%	0.00%	0.00%	1.04%	0.00%	0.70%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3080	76	72	64	44	24	27	55	35	86	141	91	83	116	134	139	70	108	160	60	109	91	147	80	112	86	49	114	70	109	72	7	31	30	12	22	12	52	25	19	61	39	14	11	12	12	41	21	13	22									
		15.18%	15.90%	15.13%	11.59%	18.03%	10.34%	10.11%	11.88%	13.01%	15.72%	17.69%	14.68%	12.63%	17.29%	14.33%	15.89%	14.52%	17.94%	18.74%	16.22%	14.63%	14.92%	19.39%	15.12%	17.75%	15.44%	9.50%	16.33%	16.55%	13.96%	14.85%	7.87%	15.42%	13.22%	12.90%	16.79%	10.71%	21.22%	13.66%	23.17%	13.29%	18.66%	18.42%	10.19%	12.50%	13.95%	14.34%	12.57%	8.50%	14.01%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	58	0	1	0	2	0	1	1	0	1	3	5	4	1	2	2	1	0	2	1	5	2	4	2	1	4	1	1	2	0	0	0	1	0	1	0	2	0	0	1	0	0	1	0	1	0	2	0	0	0									
		0.29%	0.00%	0.21%	0.00%	0.82%	0.00%	0.37%	0.22%	0.00%	0.18%	0.38%	0.81%	0.61%	0.15%	0.21%	0.23%	0.21%	0.00%	0.23%	0.27%	0.67%	0.33%	0.53%	0.38%	0.16%	0.72%	0.19%	0.14%	0.47%	0.00%	0.00%	0.00%	0.50%	0.00%	1.08%	0.00%	1.79%	0.00%	0.00%	1.22%	0.00%	0.00%	1.32%	0.00%	1.04%	0.00%	0.70%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1506	24	21	26	9	8	18	40	18	42	92	52	40	70	82	78	54	69	63	30	52	51	57	49	33	54	52	68	42	61	35	5	12	4	2	3	11	3	7	1	16	14	2	4	3	1	14	3	5	6									
		7.42%	5.02%	4.41%	4.71%	3.69%	3.45%	6.74%	8.64%	6.69%	7.68%	11.54%	8.39%	6.09%	10.43%	8.77%	8.91%	11.20%	11.46%	7.38%	8.11%	6.98%	8.36%	7.52%	9.26%	5.23%	9.69%	10.08%	9.74%	9.93%	7.81%	7.22%	5.62%	5.97%	1.76%	2.15%	2.29%	9.82%	1.22%	3.83%	1.22%	3.49%	6.70%	2.63%	3.70%	3.13%	1.16%	4.90%	1.80%	3.27%	3.82%									
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
