Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Немская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1444	252	79	102	118	35	43	119	278	288	75	55									
		40.89%	42.71%	38.35%	48.57%	41.40%	37.63%	31.16%	53.36%	36.72%	40.39%	44.12%	37.67%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	21	1	0	3	0	1	0	0	10	4	0	2									
		0.59%	0.17%	0.00%	1.43%	0.00%	1.08%	0.00%	0.00%	1.32%	0.56%	0.00%	1.37%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	1	0	1	0	0	0	0	0	1	0	0									
		0.08%	0.17%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1017	189	82	53	109	17	51	57	180	196	37	46									
		28.80%	32.03%	39.81%	25.24%	38.25%	18.28%	36.96%	25.56%	23.78%	27.49%	21.76%	31.51%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	12	0	0	0	1	1	0	0	6	2	2	0									
		0.34%	0.00%	0.00%	0.00%	0.35%	1.08%	0.00%	0.00%	0.79%	0.28%	1.18%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	18	6	0	0	1	0	2	1	3	4	1	0									
		0.51%	1.02%	0.00%	0.00%	0.35%	0.00%	1.45%	0.45%	0.40%	0.56%	0.59%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	2	0	0	0	0	1	0	0	0	0	0									
		0.08%	0.34%	0.00%	0.00%	0.00%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	26	7	0	1	3	2	2	4	4	2	0	1									
		0.74%	1.19%	0.00%	0.48%	1.05%	2.15%	1.45%	1.79%	0.53%	0.28%	0.00%	0.68%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	452	55	17	29	22	28	18	20	117	99	24	23									
		12.80%	9.32%	8.25%	13.81%	7.72%	30.11%	13.04%	8.97%	15.46%	13.88%	14.12%	15.75%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	8	0	0	0	1	0	1	0	1	2	2	1									
		0.23%	0.00%	0.00%	0.00%	0.35%	0.00%	0.72%	0.00%	0.13%	0.28%	1.18%	0.68%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	209	33	11	3	13	3	4	6	69	50	14	3									
		5.92%	5.59%	5.34%	1.43%	4.56%	3.23%	2.90%	2.69%	9.11%	7.01%	8.24%	2.05%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
