Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																								
Дата голосования: 07.12.2003 0:00:00																																																																								
																																																																								
Наименование Избирательной комиссии:    Магаданская																																																																								
																																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																								
																																																																								
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31	УИК  32	УИК  33	УИК  34	УИК  35	УИК  36	УИК  37	УИК  38	УИК  39	УИК  40	УИК  41	УИК  42	УИК  43	УИК  44	УИК  45	УИК  46	УИК  159	УИК  160	УИК  161	УИК  163	УИК  164	УИК  165	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  177	УИК  179	УИК  180	УИК  181					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1175	37	31	31	27	27	27	16	31	31	31	31	27	31	31	31	31	31	27	16	21	31	31	27	21	31	31	16	27	31	31	31	31	31	31	15	16	16	22	16	27	31	27	0	27	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	113	4	5	5	4	5	3	2	2	2	3	2	3	2	4	1	2	1	1	3	0	0	2	2	0	8	0	0	1	0	2	2	2	3	12	0	0	3	0	0	8	7	2	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	88	0	26	0	2	12	7	2	8	4	0	2	3	0	2	2	1	0	0	0	0	1	0	0	1	0	0	1	3	1	0	0	1	0	0	0	0	1	0	0	2	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	1062	33	26	26	23	22	24	14	29	29	28	29	24	29	27	30	29	30	26	13	21	31	29	25	21	23	31	16	26	31	29	29	29	28	19	15	16	13	22	16	19	24	25	0	25	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	5	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																								
18	"1. ""ЕДИНЕНИЕ"""	440	12	5	6	12	10	8	3	8	23	7	12	15	10	13	14	4	15	8	7	6	7	11	6	9	17	15	6	4	11	14	14	11	13	11	12	3	7	7	3	12	10	6	6	4	5	4	0	0	0	2	1	0	2	0	0	0	1	0	0	0	0	4	0	3	1					
		1.03%	0.97%	0.42%	0.52%	1.43%	1.00%	0.73%	0.89%	0.69%	1.70%	0.76%	0.86%	1.77%	0.80%	0.89%	1.02%	0.29%	1.27%	1.00%	1.79%	1.44%	0.69%	0.87%	0.60%	1.95%	1.15%	1.34%	1.81%	0.46%	0.86%	1.17%	1.19%	0.98%	1.04%	0.91%	5.06%	1.84%	2.24%	1.15%	1.41%	1.82%	0.89%	0.65%	1.91%	0.49%	0.45%	3.25%	0.0%	0.0%	0.0%	2.40%	3.57%	0.0%	8.69%	0.0%	0.0%	0.0%	3.70%	0.0%	0.0%	0.0%	0.0%	6.77%	0.0%	20.0%	5.88%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2005	68	86	58	43	60	88	12	65	88	41	74	39	72	68	52	63	54	28	10	23	48	78	43	21	93	48	11	32	64	40	60	58	57	39	6	4	11	11	4	9	24	26	3	47	58	2	0	0	3	3	0	0	0	3	0	2	0	0	3	2	0	0	0	0	0					
		4.72%	5.54%	7.35%	5.09%	5.13%	6.04%	8.07%	3.57%	5.68%	6.50%	4.46%	5.32%	4.60%	5.77%	4.67%	3.81%	4.66%	4.60%	3.51%	2.56%	5.55%	4.76%	6.18%	4.30%	4.56%	6.33%	4.30%	3.33%	3.75%	5.00%	3.36%	5.11%	5.18%	4.56%	3.25%	2.53%	2.45%	3.52%	1.82%	1.88%	1.36%	2.13%	2.85%	0.95%	5.86%	5.33%	1.62%	0.0%	0.0%	11.11%	3.61%	0.0%	0.0%	0.0%	11.53%	0.0%	5.0%	0.0%	0.0%	12.5%	10.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1226	31	33	38	29	14	22	11	32	41	25	36	17	37	46	30	32	34	30	20	6	32	27	38	11	40	23	5	27	42	38	35	26	31	19	37	8	7	15	4	19	37	44	16	19	23	11	1	0	4	9	3	0	1	0	0	2	0	1	1	1	1	4	0	0	0					
		2.89%	2.52%	2.82%	3.33%	3.46%	1.41%	2.01%	3.27%	2.79%	3.03%	2.72%	2.59%	2.00%	2.96%	3.16%	2.20%	2.36%	2.89%	3.76%	5.12%	1.44%	3.17%	2.14%	3.80%	2.39%	2.72%	2.06%	1.51%	3.16%	3.28%	3.19%	2.98%	2.32%	2.48%	1.58%	15.61%	4.90%	2.24%	2.48%	1.88%	2.89%	3.29%	4.82%	5.09%	2.37%	2.11%	8.94%	3.12%	0.0%	14.81%	10.84%	10.71%	0.0%	4.34%	0.0%	0.0%	5.0%	0.0%	3.33%	4.16%	5.0%	3.57%	6.77%	0.0%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2247	89	96	70	46	60	75	16	82	103	51	76	48	60	81	67	58	45	39	19	24	65	72	55	27	80	29	11	47	61	70	55	50	65	49	8	4	14	9	7	28	66	28	10	57	55	3	1	0	3	4	0	0	0	1	0	0	0	2	2	1	1	2	0	0	0					
		5.30%	7.25%	8.21%	6.15%	5.48%	6.04%	6.88%	4.76%	7.17%	7.61%	5.54%	5.47%	5.66%	4.81%	5.56%	4.91%	4.29%	3.83%	4.89%	4.87%	5.79%	6.45%	5.70%	5.50%	5.86%	5.44%	2.59%	3.33%	5.50%	4.77%	5.89%	4.69%	4.46%	5.2%	4.08%	3.37%	2.45%	4.48%	1.49%	3.30%	4.26%	5.88%	3.07%	3.18%	7.11%	5.05%	2.43%	3.12%	0.0%	11.11%	4.81%	0.0%	0.0%	0.0%	3.84%	0.0%	0.0%	0.0%	6.66%	8.33%	5.0%	3.57%	3.38%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	176	11	1	5	2	6	8	0	4	4	5	6	2	4	4	6	5	1	2	2	0	3	2	3	1	3	5	5	2	7	9	5	9	5	6	2	0	2	5	2	1	5	4	1	1	6	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
		0.41%	0.89%	0.08%	0.43%	0.23%	0.60%	0.73%	0.0%	0.34%	0.29%	0.54%	0.43%	0.23%	0.32%	0.27%	0.44%	0.37%	0.08%	0.25%	0.51%	0.0%	0.29%	0.15%	0.30%	0.21%	0.20%	0.44%	1.51%	0.23%	0.54%	0.75%	0.42%	0.80%	0.4%	0.5%	0.84%	0.0%	0.64%	0.82%	0.94%	0.15%	0.44%	0.43%	0.31%	0.12%	0.55%	0.81%	0.0%	0.0%	3.70%	1.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.69%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	110	2	1	2	0	0	2	1	0	3	2	9	5	1	3	3	4	3	2	3	0	3	7	3	0	5	0	0	1	3	5	3	1	4	7	4	0	2	1	0	1	3	4	1	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
		0.25%	0.16%	0.08%	0.17%	0.0%	0.0%	0.18%	0.29%	0.0%	0.22%	0.21%	0.64%	0.59%	0.08%	0.20%	0.22%	0.29%	0.25%	0.25%	0.76%	0.0%	0.29%	0.55%	0.30%	0.0%	0.34%	0.0%	0.0%	0.11%	0.23%	0.42%	0.25%	0.08%	0.32%	0.58%	1.68%	0.0%	0.64%	0.16%	0.0%	0.15%	0.26%	0.43%	0.31%	0.24%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.5%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	338	10	5	12	3	8	10	3	11	17	6	12	8	14	7	12	7	9	4	3	2	8	13	10	4	11	6	2	1	12	5	8	10	7	17	1	2	1	1	1	5	7	10	1	12	6	1	0	0	1	3	3	0	0	1	0	0	0	3	0	0	0	2	0	0	0					
		0.79%	0.81%	0.42%	1.05%	0.35%	0.80%	0.91%	0.89%	0.96%	1.25%	0.65%	0.86%	0.94%	1.12%	0.48%	0.88%	0.51%	0.76%	0.50%	0.76%	0.48%	0.79%	1.03%	1.00%	0.86%	0.74%	0.53%	0.60%	0.11%	0.93%	0.42%	0.68%	0.89%	0.56%	1.41%	0.42%	1.22%	0.32%	0.16%	0.47%	0.76%	0.62%	1.09%	0.31%	1.49%	0.55%	0.81%	0.0%	0.0%	3.70%	3.61%	10.71%	0.0%	0.0%	3.84%	0.0%	0.0%	0.0%	10.0%	0.0%	0.0%	0.0%	3.38%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	34	0	1	0	0	0	0	0	0	0	6	1	0	1	1	0	2	2	0	0	1	2	0	0	0	2	1	2	0	1	0	1	1	0	0	0	0	1	0	1	0	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
		0.08%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.65%	0.07%	0.0%	0.08%	0.06%	0.0%	0.14%	0.17%	0.0%	0.0%	0.24%	0.19%	0.0%	0.0%	0.0%	0.13%	0.08%	0.60%	0.0%	0.07%	0.0%	0.08%	0.08%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.47%	0.0%	0.0%	0.21%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	2.40%	0.0%	0.0%	0.0%	0.0%	0.0%	2.5%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	213	10	8	10	6	4	9	2	9	3	2	12	5	11	7	5	7	5	2	0	0	2	5	7	4	5	1	2	1	3	7	10	2	7	4	3	1	1	2	0	2	8	1	0	0	3	1	0	1	1	2	4	0	0	2	0	0	1	3	0	0	0	0	0	0	0					
		0.50%	0.81%	0.68%	0.87%	0.71%	0.40%	0.82%	0.59%	0.78%	0.22%	0.21%	0.86%	0.59%	0.88%	0.48%	0.36%	0.51%	0.42%	0.25%	0.0%	0.0%	0.19%	0.39%	0.70%	0.86%	0.34%	0.08%	0.60%	0.11%	0.23%	0.58%	0.85%	0.17%	0.56%	0.33%	1.26%	0.61%	0.32%	0.33%	0.0%	0.30%	0.71%	0.10%	0.0%	0.0%	0.27%	0.81%	0.0%	14.28%	3.70%	2.40%	14.28%	0.0%	0.0%	7.69%	0.0%	0.0%	3.70%	10.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	561	27	14	19	5	5	14	4	21	17	13	14	19	17	14	17	8	15	8	4	6	7	11	9	5	20	16	4	15	23	15	14	14	18	8	11	5	9	17	5	7	26	14	3	8	8	0	0	1	0	4	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0					
		1.32%	2.20%	1.19%	1.66%	0.59%	0.50%	1.28%	1.19%	1.83%	1.25%	1.41%	1.00%	2.24%	1.36%	0.96%	1.24%	0.59%	1.27%	1.00%	1.02%	1.44%	0.69%	0.87%	0.90%	1.08%	1.36%	1.43%	1.21%	1.75%	1.79%	1.26%	1.19%	1.25%	1.44%	0.66%	4.64%	3.06%	2.88%	2.81%	2.35%	1.06%	2.31%	1.53%	0.95%	0.99%	0.73%	0.0%	0.0%	14.28%	0.0%	4.81%	0.0%	3.84%	0.0%	3.84%	0.0%	0.0%	3.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
28	"11. ""Истинные патриоты России"""	38	0	0	1	0	2	0	0	1	0	1	0	0	0	1	1	2	3	0	0	4	0	1	0	0	1	2	1	0	0	2	2	0	0	3	3	0	0	0	0	1	2	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.08%	0.0%	0.0%	0.08%	0.0%	0.20%	0.0%	0.0%	0.08%	0.0%	0.10%	0.0%	0.0%	0.0%	0.06%	0.07%	0.14%	0.25%	0.0%	0.0%	0.96%	0.0%	0.07%	0.0%	0.0%	0.06%	0.17%	0.30%	0.0%	0.0%	0.16%	0.17%	0.0%	0.0%	0.25%	1.26%	0.0%	0.0%	0.0%	0.0%	0.15%	0.17%	0.10%	0.0%	0.12%	0.09%	0.81%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	261	7	4	6	13	11	5	3	7	6	4	7	9	17	7	7	9	6	4	5	0	7	5	6	3	2	9	1	10	6	8	6	3	3	10	1	0	1	3	3	3	5	8	4	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
		0.61%	0.57%	0.34%	0.52%	1.55%	1.10%	0.45%	0.89%	0.61%	0.44%	0.43%	0.50%	1.06%	1.36%	0.48%	0.51%	0.66%	0.51%	0.50%	1.28%	0.0%	0.69%	0.39%	0.60%	0.65%	0.13%	0.80%	0.30%	1.17%	0.46%	0.67%	0.51%	0.26%	0.24%	0.83%	0.42%	0.0%	0.32%	0.49%	1.41%	0.45%	0.44%	0.87%	1.27%	1.49%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.57%	0.0%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	89	1	2	1	2	2	3	0	2	3	0	3	1	3	4	1	3	3	2	0	3	1	4	0	2	1	3	4	2	3	2	3	2	1	2	3	0	2	0	0	6	1	1	0	1	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0					
		0.20%	0.08%	0.17%	0.08%	0.23%	0.20%	0.27%	0.0%	0.17%	0.22%	0.0%	0.21%	0.11%	0.24%	0.27%	0.07%	0.22%	0.25%	0.25%	0.0%	0.72%	0.09%	0.31%	0.0%	0.43%	0.06%	0.26%	1.21%	0.23%	0.23%	0.16%	0.25%	0.17%	0.08%	0.16%	1.26%	0.0%	0.64%	0.0%	0.0%	0.91%	0.08%	0.10%	0.0%	0.12%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	7.14%	0.0%	0.0%	0.0%	0.0%	2.5%	0.0%	0.0%	0.0%	0.0%	0.0%	1.69%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	129	1	3	2	5	1	5	1	2	11	5	3	4	4	5	2	3	2	3	1	1	1	7	3	0	2	7	7	3	3	6	3	1	0	2	1	1	3	1	0	2	2	4	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1					
		0.30%	0.08%	0.25%	0.17%	0.59%	0.10%	0.45%	0.29%	0.17%	0.81%	0.54%	0.21%	0.47%	0.32%	0.34%	0.14%	0.22%	0.17%	0.37%	0.25%	0.24%	0.09%	0.55%	0.30%	0.0%	0.13%	0.62%	2.12%	0.35%	0.23%	0.50%	0.25%	0.08%	0.0%	0.16%	0.42%	0.61%	0.96%	0.16%	0.0%	0.30%	0.17%	0.43%	0.31%	0.12%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.5%	0.0%	3.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.88%					
32	"15. ""Партия СЛОН"""	110	3	3	2	2	3	3	2	5	4	3	3	5	2	5	1	2	2	1	2	1	1	4	0	0	2	1	1	5	5	5	3	3	4	4	0	0	0	3	0	0	4	2	1	5	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.25%	0.24%	0.25%	0.17%	0.23%	0.30%	0.27%	0.59%	0.43%	0.29%	0.32%	0.21%	0.59%	0.16%	0.34%	0.07%	0.14%	0.17%	0.12%	0.51%	0.24%	0.09%	0.31%	0.0%	0.0%	0.13%	0.08%	0.30%	0.58%	0.39%	0.42%	0.25%	0.26%	0.32%	0.33%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	0.35%	0.21%	0.31%	0.62%	0.18%	0.0%	0.0%	0.0%	0.0%	1.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	3543	138	104	94	79	95	117	20	96	106	92	113	58	99	142	118	92	95	96	29	23	87	132	74	39	109	80	10	86	111	96	86	99	125	69	1	7	11	45	7	44	128	87	15	76	100	1	0	0	1	1	0	2	0	0	0	1	0	1	1	0	3	0	1	0	1					
		8.35%	11.25%	8.89%	8.26%	9.42%	9.57%	10.73%	5.95%	8.39%	7.84%	10.01%	8.13%	6.84%	7.94%	9.75%	8.65%	6.80%	8.09%	12.06%	7.43%	5.55%	8.63%	10.46%	7.40%	8.47%	7.42%	7.16%	3.03%	10.08%	8.68%	8.08%	7.33%	8.84%	10.0%	5.75%	0.42%	4.29%	3.52%	7.45%	3.30%	6.69%	11.40%	9.54%	4.77%	9.48%	9.19%	0.81%	0.0%	0.0%	3.70%	1.20%	0.0%	7.69%	0.0%	0.0%	0.0%	2.5%	0.0%	3.33%	4.16%	0.0%	10.71%	0.0%	50.0%	0.0%	5.88%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	91	2	3	2	1	0	0	0	1	1	2	1	0	4	2	3	9	0	2	1	1	1	3	0	2	4	3	1	0	3	2	1	1	2	1	2	0	2	0	1	3	8	4	2	0	6	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.21%	0.16%	0.25%	0.17%	0.11%	0.0%	0.0%	0.0%	0.08%	0.07%	0.21%	0.07%	0.0%	0.32%	0.13%	0.22%	0.66%	0.0%	0.25%	0.25%	0.24%	0.09%	0.23%	0.0%	0.43%	0.27%	0.26%	0.30%	0.0%	0.23%	0.16%	0.08%	0.08%	0.16%	0.08%	0.84%	0.0%	0.64%	0.0%	0.47%	0.45%	0.71%	0.43%	0.63%	0.0%	0.55%	1.62%	0.0%	0.0%	3.70%	1.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	7690	147	203	199	131	168	126	71	188	205	158	239	152	236	254	260	276	230	138	64	69	195	185	178	104	269	236	75	134	234	210	202	219	248	262	21	26	73	173	55	149	223	182	54	121	196	59	2	2	0	18	1	3	8	2	2	10	9	8	5	6	8	0	1	2	6					
		18.14%	11.99%	17.36%	17.48%	15.63%	16.93%	11.55%	21.13%	16.44%	15.16%	17.19%	17.20%	17.94%	18.94%	17.45%	19.07%	20.42%	19.60%	17.33%	16.41%	16.66%	19.36%	14.67%	17.81%	22.60%	18.31%	21.14%	22.72%	15.70%	18.30%	17.67%	17.23%	19.57%	19.84%	21.83%	8.86%	15.95%	23.39%	28.64%	25.94%	22.67%	19.87%	19.97%	17.19%	15.10%	18.01%	47.96%	6.25%	28.57%	0.0%	21.68%	3.57%	11.53%	34.78%	7.69%	66.66%	25.0%	33.33%	26.66%	20.83%	30.0%	28.57%	0.0%	50.0%	13.33%	35.29%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	664	18	21	27	16	20	18	3	14	23	10	20	11	14	17	17	15	26	16	8	5	16	21	19	11	31	12	4	11	13	18	13	26	17	17	3	0	3	17	2	14	20	18	3	6	6	1	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	19	0	0	0					
		1.56%	1.46%	1.79%	2.37%	1.90%	2.01%	1.65%	0.89%	1.22%	1.70%	1.08%	1.43%	1.29%	1.12%	1.16%	1.24%	1.11%	2.21%	2.01%	2.05%	1.20%	1.58%	1.66%	1.90%	2.39%	2.11%	1.07%	1.21%	1.28%	1.01%	1.51%	1.10%	2.32%	1.36%	1.41%	1.26%	0.0%	0.96%	2.81%	0.94%	2.13%	1.78%	1.97%	0.95%	0.74%	0.55%	0.81%	3.12%	0.0%	0.0%	2.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.70%	0.0%	0.0%	0.0%	0.0%	32.20%	0.0%	0.0%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	13916	377	330	364	297	328	374	128	384	459	274	459	291	409	487	477	453	378	261	116	148	300	411	344	118	465	374	115	299	411	394	384	341	422	426	81	68	115	184	80	218	351	327	129	274	371	9	12	1	7	10	5	13	7	6	0	5	5	0	8	10	10	2	0	7	3					
		32.82%	30.75%	28.22%	31.98%	35.44%	33.06%	34.31%	38.09%	33.59%	33.94%	29.81%	33.04%	34.35%	32.82%	33.47%	34.99%	33.53%	32.22%	32.78%	29.74%	35.74%	29.79%	32.59%	34.43%	25.65%	31.65%	33.51%	34.84%	35.05%	32.15%	33.16%	32.76%	30.47%	33.76%	35.5%	34.17%	41.71%	36.85%	30.46%	37.73%	33.18%	31.28%	35.89%	41.08%	34.20%	34.09%	7.31%	37.5%	14.28%	25.92%	12.04%	17.85%	50.0%	30.43%	23.07%	0.0%	12.5%	18.51%	0.0%	33.33%	50.0%	35.71%	3.38%	0.0%	46.66%	17.64%					
38	"21. ""Российская Конституционно-демократическая партия"""	66	1	1	2	0	2	1	1	0	2	0	2	0	1	1	3	2	0	1	0	4	1	0	3	0	2	1	1	3	3	0	2	2	1	4	0	0	1	2	0	1	0	2	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	0	0					
