Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
Наименование Избирательной комиссии:    Советская																				
																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																				
																				
		Сумма	УИК  185	УИК  186	УИК  1149	УИК  1150	УИК  1151	УИК  1152	УИК  1153	УИК  1154	УИК  1155	УИК  1156	УИК  1157	УИК  1158	УИК  2592					
		85.65%	86.85%	81.72%	87.88%	81.11%	95.47%	83.92%	94.40%	80.89%	87.42%	73.21%	81.67%	55.88%	94.40%					
38	"21. ""Российская Конституционно-демократическая партия"""	3	0	0	0	0	0	0	0	0	0	0	2	1	0					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.45%	0.73%	0.0%					
39	"22. ""Развитие предпринимательства"""	1	0	0	0	0	0	0	0	0	0	0	0	1	0					
		0.02%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.73%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	443	8	15	149	27	4	23	2	91	7	30	66	19	2					
		9.05%	4.57%	16.12%	9.86%	18.88%	0.67%	5.86%	1.24%	16.88%	2.20%	13.39%	14.93%	13.97%	1.24%					
																				
41	Против всех	18	3	0	0	0	0	0	3	1	3	0	2	5	1					
		0.36%	1.71%	0.0%	0.0%	0.0%	0.0%	0.0%	1.86%	0.18%	0.94%	0.0%	0.45%	3.67%	0.62%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
