Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																	
Дата голосования: 18.09.2016																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Альметьевская городская																																																																																	
																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																	
																																																																																	
		Сумма	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №2829	УИК №2830	УИК №8015	УИК №8016	УИК №8064	УИК №8065	УИК №8304	УИК №8305	УИК №8306	УИК №8307									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	675	20	13	13	3	9	10	9	21	4	31	7	9	7	4	5	5	0	6	7	9	9	0	23	1	2	9	5	10	7	18	3	0	5	4	4	22	7	3	6	9	22	0	0	3	5	0	8	0	5	4	6	7	16	15	0	5	16	9	7	3	10	5	66	5	29	2	57	17	2	12									
		0.73%	0.99%	0.65%	0.80%	0.45%	0.62%	0.83%	0.47%	1.66%	0.30%	2.34%	0.61%	0.74%	0.44%	0.24%	0.35%	0.32%	0.00%	0.52%	0.87%	0.64%	0.85%	0.00%	1.21%	0.14%	0.32%	0.48%	0.29%	0.71%	0.45%	1.28%	0.18%	0.00%	0.38%	0.23%	0.30%	1.46%	0.51%	0.23%	0.45%	0.53%	1.18%	0.00%	0.00%	0.18%	0.30%	0.00%	0.61%	0.00%	0.35%	0.20%	0.28%	0.57%	2.21%	0.74%	0.00%	0.28%	0.65%	0.70%	1.50%	0.16%	0.99%	0.36%	6.41%	8.33%	4.08%	2.67%	4.96%	9.19%	7.69%	4.49%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1057	51	38	31	7	46	62	24	90	18	71	10	12	30	16	2	27	0	29	25	24	8	0	1	2	3	11	17	17	33	34	7	0	7	5	5	21	12	2	4	11	12	2	0	0	3	23	7	0	27	23	4	5	10	34	0	7	11	21	7	7	8	3	7	0	3	3	13	0	0	4									
		1.14%	2.51%	1.91%	1.90%	1.04%	3.15%	5.15%	1.25%	7.11%	1.33%	5.36%	0.87%	0.99%	1.90%	0.97%	0.14%	1.71%	0.00%	2.49%	3.10%	1.72%	0.76%	0.00%	0.05%	0.28%	0.48%	0.58%	0.98%	1.20%	2.14%	2.42%	0.42%	0.00%	0.54%	0.28%	0.38%	1.39%	0.88%	0.15%	0.30%	0.65%	0.64%	0.13%	0.00%	0.00%	0.18%	1.35%	0.53%	0.00%	1.89%	1.14%	0.19%	0.41%	1.38%	1.67%	0.00%	0.39%	0.44%	1.63%	1.50%	0.37%	0.79%	0.22%	0.68%	0.00%	0.42%	4.00%	1.13%	0.00%	0.00%	1.50%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	828	0	13	11	6	37	32	10	34	21	34	10	4	12	3	2	15	4	12	23	28	8	0	2	2	2	13	3	13	28	20	37	9	6	15	9	26	11	6	2	17	34	2	21	2	2	13	10	13	18	8	12	14	9	10	1	4	20	13	1	3	7	6	17	1	13	0	22	3	0	9									
		0.89%	0.00%	0.65%	0.68%	0.90%	2.53%	2.66%	0.52%	2.69%	1.55%	2.57%	0.87%	0.33%	0.76%	0.18%	0.14%	0.95%	0.28%	1.03%	2.85%	2.01%	0.76%	0.00%	0.11%	0.28%	0.32%	0.69%	0.17%	0.92%	1.81%	1.42%	2.19%	0.51%	0.46%	0.85%	0.68%	1.72%	0.80%	0.46%	0.15%	1.01%	1.82%	0.13%	1.21%	0.12%	0.12%	0.76%	0.76%	0.68%	1.26%	0.40%	0.57%	1.14%	1.24%	0.49%	0.48%	0.22%	0.81%	1.01%	0.21%	0.16%	0.69%	0.43%	1.65%	1.67%	1.83%	0.00%	1.91%	1.62%	0.00%	3.37%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	73079	1633	1614	1299	539	990	583	1559	641	1082	669	934	972	1268	1413	1262	1215	1209	955	624	1049	831	106	1513	615	514	1586	1418	1215	1160	1111	1399	1533	1046	1520	1086	1214	1113	1083	1114	1298	1479	1353	1426	1441	1477	1366	1114	1612	1169	1664	1798	1010	595	1668	187	1475	1978	1007	407	1620	871	1205	290	26	293	47	352	60	6	98									
		78.82%	80.44%	80.98%	79.79%	80.45%	67.81%	48.46%	81.45%	50.67%	79.97%	50.53%	81.64%	80.13%	80.51%	85.43%	87.15%	77.05%	84.02%	81.97%	77.32%	75.14%	78.62%	97.25%	79.72%	86.13%	82.64%	84.32%	82.16%	85.81%	75.13%	79.02%	82.98%	87.30%	80.03%	85.97%	82.40%	80.29%	81.18%	82.23%	83.38%	76.90%	79.18%	85.96%	81.95%	87.02%	87.76%	79.93%	84.91%	84.80%	81.98%	82.50%	84.97%	82.05%	82.07%	81.89%	90.34%	81.81%	79.98%	78.30%	86.97%	85.94%	86.15%	86.38%	28.16%	43.33%	41.21%	62.67%	30.64%	32.43%	23.08%	36.70%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	349	16	8	9	1	10	14	10	14	2	11	3	1	4	2	1	2	0	0	3	11	10	0	3	0	2	7	2	4	1	6	0	0	4	4	3	7	3	1	10	8	5	3	19	0	4	0	2	0	2	3	9	6	3	8	0	3	5	4	1	0	3	1	24	1	12	4	15	5	3	7									
		0.38%	0.79%	0.40%	0.55%	0.15%	0.68%	1.16%	0.52%	1.11%	0.15%	0.83%	0.26%	0.08%	0.25%	0.12%	0.07%	0.13%	0.00%	0.00%	0.37%	0.79%	0.95%	0.00%	0.16%	0.00%	0.32%	0.37%	0.12%	0.28%	0.06%	0.43%	0.00%	0.00%	0.31%	0.23%	0.23%	0.46%	0.22%	0.08%	0.75%	0.47%	0.27%	0.19%	1.09%	0.00%	0.24%	0.00%	0.15%	0.00%	0.14%	0.15%	0.43%	0.49%	0.41%	0.39%	0.00%	0.17%	0.20%	0.31%	0.21%	0.00%	0.30%	0.07%	2.33%	1.67%	1.69%	5.33%	1.31%	2.70%	11.54%	2.62%									
24	"6. Политическая партия ""Гражданская Платформа"""	160	0	3	2	2	4	8	0	6	5	5	0	3	0	6	0	9	0	0	0	2	8	0	5	0	2	3	7	6	2	3	0	0	0	5	2	2	4	2	0	0	8	2	0	0	1	0	3	0	5	0	3	4	0	0	0	2	0	5	0	0	2	3	6	0	3	0	6	1	0	0									
		0.17%	0.00%	0.15%	0.12%	0.30%	0.27%	0.67%	0.00%	0.47%	0.37%	0.38%	0.00%	0.25%	0.00%	0.36%	0.00%	0.57%	0.00%	0.00%	0.00%	0.14%	0.76%	0.00%	0.26%	0.00%	0.32%	0.16%	0.41%	0.42%	0.13%	0.21%	0.00%	0.00%	0.00%	0.28%	0.15%	0.13%	0.29%	0.15%	0.00%	0.00%	0.43%	0.13%	0.00%	0.00%	0.06%	0.00%	0.23%	0.00%	0.35%	0.00%	0.14%	0.32%	0.00%	0.00%	0.00%	0.11%	0.00%	0.39%	0.00%	0.00%	0.20%	0.22%	0.58%	0.00%	0.42%	0.00%	0.52%	0.54%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4054	90	87	36	30	102	157	76	149	45	173	43	37	88	55	25	76	32	41	24	65	54	3	80	36	27	73	69	17	120	53	54	41	37	49	52	36	65	67	60	84	88	63	81	47	27	73	42	79	44	71	68	44	27	70	5	91	143	62	10	71	28	29	79	3	58	4	89	15	3	32									
		4.37%	4.43%	4.37%	2.21%	4.48%	6.99%	13.05%	3.97%	11.78%	3.33%	13.07%	3.76%	3.05%	5.59%	3.33%	1.73%	4.82%	2.22%	3.52%	2.97%	4.66%	5.11%	2.75%	4.21%	5.04%	4.34%	3.88%	3.99%	1.20%	7.77%	3.77%	3.20%	2.33%	2.83%	2.77%	3.95%	2.38%	4.74%	5.09%	4.49%	4.98%	4.71%	4.00%	4.66%	2.84%	1.60%	4.27%	3.20%	4.16%	3.09%	3.52%	3.21%	3.57%	3.72%	3.44%	2.42%	5.05%	5.78%	4.82%	2.14%	3.77%	2.77%	2.08%	7.67%	5.00%	8.16%	5.33%	7.75%	8.11%	11.54%	11.99%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	431	0	2	7	4	12	12	0	8	9	14	2	1	0	4	3	3	1	0	4	7	0	0	1	1	5	0	9	8	6	9	0	0	2	5	2	8	2	1	0	6	3	0	0	0	2	0	0	0	3	9	4	5	3	5	0	1	0	1	2	0	6	4	50	2	35	1	104	12	1	20									
		0.46%	0.00%	0.10%	0.43%	0.60%	0.82%	0.99%	0.00%	0.63%	0.67%	1.06%	0.17%	0.08%	0.00%	0.24%	0.21%	0.19%	0.07%	0.00%	0.50%	0.50%	0.00%	0.00%	0.05%	0.14%	0.80%	0.00%	0.52%	0.56%	0.39%	0.64%	0.00%	0.00%	0.15%	0.28%	0.15%	0.53%	0.15%	0.08%	0.00%	0.36%	0.16%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.21%	0.45%	0.19%	0.41%	0.41%	0.25%	0.00%	0.06%	0.00%	0.08%	0.43%	0.00%	0.59%	0.29%	4.85%	3.33%	4.92%	1.33%	9.05%	6.49%	3.85%	7.49%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	387	3	3	9	2	8	11	2	15	6	13	3	4	1	3	2	2	0	0	8	7	3	0	1	0	0	5	3	7	9	4	0	0	1	3	6	7	4	3	0	5	5	0	0	0	5	0	6	0	10	0	2	3	0	1	0	1	7	3	0	0	4	7	62	6	26	1	51	8	2	14									
		0.42%	0.15%	0.15%	0.55%	0.30%	0.55%	0.91%	0.10%	1.19%	0.44%	0.98%	0.26%	0.33%	0.06%	0.18%	0.14%	0.13%	0.00%	0.00%	0.99%	0.50%	0.28%	0.00%	0.05%	0.00%	0.00%	0.27%	0.17%	0.49%	0.58%	0.28%	0.00%	0.00%	0.08%	0.17%	0.46%	0.46%	0.29%	0.23%	0.00%	0.30%	0.27%	0.00%	0.00%	0.00%	0.30%	0.00%	0.46%	0.00%	0.70%	0.00%	0.09%	0.24%	0.00%	0.05%	0.00%	0.06%	0.28%	0.23%	0.00%	0.00%	0.40%	0.50%	6.02%	10.00%	3.66%	1.33%	4.44%	4.32%	7.69%	5.24%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	115	0	5	4	1	2	2	3	0	4	0	0	1	2	2	2	1	0	0	2	0	2	0	1	0	0	5	2	4	0	1	0	0	1	3	5	2	5	3	1	0	2	3	0	0	3	0	4	0	2	0	3	7	0	3	0	1	0	1	1	0	2	7	5	0	1	0	3	0	0	1									
		0.12%	0.00%	0.25%	0.25%	0.15%	0.14%	0.17%	0.16%	0.00%	0.30%	0.00%	0.00%	0.08%	0.13%	0.12%	0.14%	0.06%	0.00%	0.00%	0.25%	0.00%	0.19%	0.00%	0.05%	0.00%	0.00%	0.27%	0.12%	0.28%	0.00%	0.07%	0.00%	0.00%	0.08%	0.17%	0.38%	0.13%	0.36%	0.23%	0.07%	0.00%	0.11%	0.19%	0.00%	0.00%	0.18%	0.00%	0.30%	0.00%	0.14%	0.00%	0.14%	0.57%	0.00%	0.15%	0.00%	0.06%	0.00%	0.08%	0.21%	0.00%	0.20%	0.50%	0.49%	0.00%	0.14%	0.00%	0.26%	0.00%	0.00%	0.37%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1508	17	8	19	5	30	42	35	33	16	17	11	16	20	9	5	16	15	17	15	11	10	0	1	7	4	0	10	11	14	14	22	0	8	5	15	17	10	4	11	8	11	11	13	7	1	27	12	9	15	22	9	12	2	12	0	10	12	7	0	4	6	9	230	10	133	4	306	40	6	40									
		1.63%	0.84%	0.40%	1.17%	0.75%	2.05%	3.49%	1.83%	2.61%	1.18%	1.28%	0.96%	1.32%	1.27%	0.54%	0.35%	1.01%	1.04%	1.46%	1.86%	0.79%	0.95%	0.00%	0.05%	0.98%	0.64%	0.00%	0.58%	0.78%	0.91%	0.99%	1.30%	0.00%	0.61%	0.28%	1.14%	1.12%	0.73%	0.30%	0.82%	0.47%	0.59%	0.70%	0.75%	0.42%	0.06%	1.58%	0.91%	0.47%	1.05%	1.09%	0.43%	0.97%	0.28%	0.59%	0.00%	0.55%	0.49%	0.54%	0.00%	0.21%	0.59%	0.65%	22.33%	16.67%	18.71%	5.33%	26.63%	21.62%	23.08%	14.98%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5881	160	103	128	36	144	184	103	181	71	202	68	62	109	81	97	132	173	58	49	90	60	0	102	37	32	98	95	75	127	69	91	124	107	88	65	105	71	72	69	86	97	88	91	86	82	83	62	99	71	109	110	63	30	101	12	103	138	73	21	98	51	73	142	4	68	7	87	13	1	14									
		6.34%	7.88%	5.17%	7.86%	5.37%	9.86%	15.30%	5.38%	14.31%	5.25%	15.26%	5.94%	5.11%	6.92%	4.90%	6.70%	8.37%	12.02%	4.98%	6.07%	6.45%	5.68%	0.00%	5.37%	5.18%	5.14%	5.21%	5.50%	5.30%	8.23%	4.91%	5.40%	7.06%	8.19%	4.98%	4.93%	6.94%	5.18%	5.47%	5.16%	5.09%	5.19%	5.59%	5.23%	5.19%	4.87%	4.86%	4.73%	5.21%	4.98%	5.40%	5.20%	5.12%	4.14%	4.96%	5.80%	5.71%	5.58%	5.68%	4.49%	5.20%	5.04%	5.23%	13.79%	6.67%	9.56%	9.33%	7.57%	7.03%	3.85%	5.24%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	343	0	1	3	3	7	3	36	4	13	3	5	21	3	5	1	1	0	0	1	0	6	0	10	4	0	2	5	6	0	8	2	0	2	6	7	4	2	3	4	2	4	0	0	7	4	23	4	6	3	23	2	12	0	9	0	8	15	3	1	9	5	4	11	0	4	0	1	1	0	1									
		0.37%	0.00%	0.05%	0.18%	0.45%	0.48%	0.25%	1.88%	0.32%	0.96%	0.23%	0.44%	1.73%	0.19%	0.30%	0.07%	0.06%	0.00%	0.00%	0.12%	0.00%	0.57%	0.00%	0.53%	0.56%	0.00%	0.11%	0.29%	0.42%	0.00%	0.57%	0.12%	0.00%	0.15%	0.34%	0.53%	0.26%	0.15%	0.23%	0.30%	0.12%	0.21%	0.00%	0.00%	0.42%	0.24%	1.35%	0.30%	0.32%	0.21%	1.14%	0.09%	0.97%	0.00%	0.44%	0.00%	0.44%	0.61%	0.23%	0.21%	0.48%	0.49%	0.29%	1.07%	0.00%	0.56%	0.00%	0.09%	0.54%	0.00%	0.37%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3173	40	91	43	31	35	39	47	42	57	34	48	53	19	43	32	66	5	47	18	25	42	0	89	9	29	69	78	23	19	56	71	49	81	56	48	30	57	67	55	26	98	47	81	59	59	58	36	83	52	78	80	39	26	81	2	92	128	64	10	70	8	39	34	2	26	2	30	9	1	10									
		3.42%	1.97%	4.57%	2.64%	4.63%	2.40%	3.24%	2.46%	3.32%	4.21%	2.57%	4.20%	4.37%	1.21%	2.60%	2.21%	4.19%	0.35%	4.03%	2.23%	1.79%	3.97%	0.00%	4.69%	1.26%	4.66%	3.67%	4.52%	1.62%	1.23%	3.98%	4.21%	2.79%	6.20%	3.17%	3.64%	1.98%	4.16%	5.09%	4.12%	1.54%	5.25%	2.99%	4.66%	3.56%	3.51%	3.39%	2.74%	4.37%	3.65%	3.87%	3.78%	3.17%	3.59%	3.98%	0.97%	5.10%	5.18%	4.98%	2.14%	3.71%	0.79%	2.80%	3.30%	3.33%	3.66%	2.67%	2.61%	4.86%	3.85%	3.75%									
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
