Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																											
Дата голосования: 07.12.2003 0:00:00																											
																											
Наименование Избирательной комиссии:    Газимуро-Заводская																											
																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																											
																											
		Сумма	УИК  510	УИК  511	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516	УИК  517	УИК  518	УИК  519	УИК  520	УИК  521	УИК  522	УИК  523	УИК  524	УИК  525	УИК  526	УИК  527	УИК  528	УИК  529					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	26	0	1	0	0	0	14	4	0	0	0	0	0	1	1	1	1	1	1	0	1					
14	Число погашенных открепительных удостоверений	49	2	1	2	2	1	2	13	2	0	4	2	4	2	1	2	1	2	2	2	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	"1. ""ЕДИНЕНИЕ"""	79	5	4	2	3	0	4	10	1	8	3	1	3	5	17	5	5	0	1	2	0					
		2.01%	6.17%	1.80%	3.07%	4.28%	0.0%	2.31%	1.31%	0.42%	2.13%	0.88%	1.49%	1.10%	7.35%	9.09%	4.34%	1.95%	0.0%	0.90%	1.36%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	41	0	1	2	0	0	0	8	1	11	2	0	1	1	4	2	3	0	1	4	0					
		1.04%	0.0%	0.45%	3.07%	0.0%	0.0%	0.0%	1.05%	0.42%	2.93%	0.58%	0.0%	0.36%	1.47%	2.13%	1.73%	1.17%	0.0%	0.90%	2.72%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	106	4	5	2	2	2	5	23	5	16	7	1	10	3	4	6	7	2	0	2	0					
		2.69%	4.93%	2.26%	3.07%	2.85%	1.66%	2.89%	3.03%	2.12%	4.26%	2.06%	1.49%	3.67%	4.41%	2.13%	5.21%	2.73%	3.12%	0.0%	1.36%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	31	0	0	0	2	0	3	8	2	5	4	2	1	0	3	0	0	0	0	1	0					
		0.78%	0.0%	0.0%	0.0%	2.85%	0.0%	1.73%	1.05%	0.85%	1.33%	1.17%	2.98%	0.36%	0.0%	1.60%	0.0%	0.0%	0.0%	0.0%	0.68%	0.0%					
22	"5. ""За Русь Святую"""	22	0	1	0	0	0	0	4	1	0	2	0	5	0	5	0	2	0	0	0	2					
		0.55%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.52%	0.42%	0.0%	0.58%	0.0%	1.83%	0.0%	2.67%	0.0%	0.78%	0.0%	0.0%	0.0%	0.97%					
23	"6. ""Объединенная Российская партия ""Русь"""	9	0	0	1	0	0	1	1	0	0	1	0	1	0	0	3	0	0	1	0	0					
		0.22%	0.0%	0.0%	1.53%	0.0%	0.0%	0.57%	0.13%	0.0%	0.0%	0.29%	0.0%	0.36%	0.0%	0.0%	2.60%	0.0%	0.0%	0.90%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	20	0	2	0	2	0	0	2	2	2	0	1	1	3	3	1	1	0	0	0	0					
		0.50%	0.0%	0.90%	0.0%	2.85%	0.0%	0.0%	0.26%	0.85%	0.53%	0.0%	1.49%	0.36%	4.41%	1.60%	0.86%	0.39%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	7	0	1	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1					
		0.17%	0.0%	0.45%	1.53%	0.0%	0.83%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	1.47%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%					
26	"9. ""Российская экологическая партия ""Зеленые"""	6	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0					
		0.15%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.53%	0.0%	0.39%	0.0%	0.0%	0.68%	0.0%					
27	"10. ""Аграрная партия России"""	447	23	91	8	3	9	21	35	39	18	4	10	46	9	21	9	19	5	6	3	68					
		11.37%	28.39%	41.17%	12.30%	4.28%	7.5%	12.13%	4.61%	16.59%	4.8%	1.17%	14.92%	16.91%	13.23%	11.22%	7.82%	7.42%	7.81%	5.45%	2.04%	33.00%					
28	"11. ""Истинные патриоты России"""	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.78%	0.0%	0.0%	0.68%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	42	4	1	1	0	0	0	5	0	7	5	0	8	2	0	5	2	0	0	1	1					
		1.06%	4.93%	0.45%	1.53%	0.0%	0.0%	0.0%	0.65%	0.0%	1.86%	1.47%	0.0%	2.94%	2.94%	0.0%	4.34%	0.78%	0.0%	0.0%	0.68%	0.48%					
30	"13. ""Демократическая партия России"""	7	1	1	0	0	1	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0					
		0.17%	1.23%	0.45%	0.0%	0.0%	0.83%	0.0%	0.0%	0.0%	0.53%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.56%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	14	0	2	0	0	1	2	3	0	1	5	0	0	0	0	0	0	0	0	0	0					
		0.35%	0.0%	0.90%	0.0%	0.0%	0.83%	1.15%	0.39%	0.0%	0.26%	1.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	3	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	193	2	7	0	3	12	20	59	3	21	29	0	6	1	0	3	9	3	3	2	10					
		4.91%	2.46%	3.16%	0.0%	4.28%	10.0%	11.56%	7.78%	1.27%	5.6%	8.55%	0.0%	2.20%	1.47%	0.0%	2.60%	3.51%	4.68%	2.72%	1.36%	4.85%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	14	0	1	1	0	0	0	2	1	0	0	0	1	0	0	1	5	0	0	2	0					
		0.35%	0.0%	0.45%	1.53%	0.0%	0.0%	0.0%	0.26%	0.42%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.86%	1.95%	0.0%	0.0%	1.36%	0.0%					
35	"18. ""ЛДПР"""	597	8	22	10	9	32	27	96	22	50	49	8	28	8	27	28	59	19	13	52	30					
		15.19%	9.87%	9.95%	15.38%	12.85%	26.66%	15.60%	12.66%	9.36%	13.33%	14.45%	11.94%	10.29%	11.76%	14.43%	24.34%	23.04%	29.68%	11.81%	35.37%	14.56%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	72	3	3	1	0	3	2	19	9	3	8	3	7	1	1	1	3	1	1	2	1					
		1.83%	3.70%	1.35%	1.53%	0.0%	2.5%	1.15%	2.50%	3.82%	0.8%	2.35%	4.47%	2.57%	1.47%	0.53%	0.86%	1.17%	1.56%	0.90%	1.36%	0.48%					
37	"20. ""Политическая партия ""Единая Россия"""	1524	25	58	31	40	24	60	317	104	180	94	26	108	24	87	34	103	21	77	54	57					
		38.78%	30.86%	26.24%	47.69%	57.14%	20.0%	34.68%	41.82%	44.25%	48.0%	27.72%	38.80%	39.70%	35.29%	46.52%	29.56%	40.23%	32.81%	70.0%	36.73%	27.66%					
38	"21. ""Российская Конституционно-демократическая партия"""	8	0	2	0	1	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0					
		0.20%	0.0%	0.90%	0.0%	1.42%	0.0%	1.73%	0.0%	0.42%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	7	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	2	0	1	0	0					
		0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.57%	0.13%	0.0%	0.26%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.78%	0.0%	0.90%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	492	4	7	4	3	27	20	119	30	38	94	12	31	6	11	12	18	12	6	6	32					
		12.52%	4.93%	3.16%	6.15%	4.28%	22.5%	11.56%	15.69%	12.76%	10.13%	27.72%	17.91%	11.39%	8.82%	5.88%	10.43%	7.03%	18.75%	5.45%	4.08%	15.53%					
																											
41	Против всех	117	0	7	1	1	2	4	37	5	9	13	1	11	1	0	4	7	0	0	14	0					
		2.97%	0.0%	3.16%	1.53%	1.42%	1.66%	2.31%	4.88%	2.12%	2.4%	3.83%	1.49%	4.04%	1.47%	0.0%	3.47%	2.73%	0.0%	0.0%	9.52%	0.0%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
