Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Эльбрусская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК  320	УИК  321	УИК  322	УИК  323	УИК  324	УИК  325	УИК  326	УИК  327	УИК  328	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	34	0	1	0	2	0	3	0	0	0	0	0	2	5	7	3	0	0	5	6					
14	Число погашенных открепительных удостоверений	79	5	1	3	2	3	3	2	3	8	6	0	6	7	5	6	3	5	9	2					
15	Число открепительных удостоверений выданных ТИК	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	"1. ""ЕДИНЕНИЕ"""	115	0	0	0	0	0	5	1	4	11	21	6	15	3	22	0	0	10	8	9					
		0.82%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.62%	0.90%	0.75%	2.04%	0.59%	3.20%	0.23%	2.10%	0.0%	0.0%	4.03%	0.82%	2.21%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	81	0	0	0	0	1	1	0	5	8	8	6	9	1	22	0	0	8	3	9					
		0.58%	0.0%	0.0%	0.0%	0.0%	0.38%	0.12%	0.0%	1.12%	0.55%	0.77%	0.59%	1.92%	0.07%	2.10%	0.0%	0.0%	3.22%	0.31%	2.21%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	151	5	0	0	0	2	0	0	6	35	0	13	3	10	45	0	0	7	15	10					
		1.08%	0.60%	0.0%	0.0%	0.0%	0.76%	0.0%	0.0%	1.35%	2.41%	0.0%	1.28%	0.64%	0.76%	4.29%	0.0%	0.0%	2.82%	1.55%	2.45%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	138	0	0	0	0	0	1	1	9	19	5	16	2	30	27	0	0	12	6	10					
		0.99%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.62%	2.02%	1.31%	0.48%	1.58%	0.42%	2.30%	2.57%	0.0%	0.0%	4.83%	0.62%	2.45%					
22	"5. ""За Русь Святую"""	13	0	0	0	0	0	0	0	0	2	0	1	1	5	2	0	0	0	1	1					
		0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.09%	0.21%	0.38%	0.19%	0.0%	0.0%	0.0%	0.10%	0.24%					
23	"6. ""Объединенная Российская партия ""Русь"""	12	0	0	0	0	0	0	0	1	1	0	0	1	1	3	0	0	1	3	1					
		0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.06%	0.0%	0.0%	0.21%	0.07%	0.28%	0.0%	0.0%	0.40%	0.31%	0.24%					
24	"7. ""Новый курс - Автомобильная Россия"""	56	0	0	0	0	0	0	0	9	7	0	2	10	4	4	0	0	4	4	12					
		0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.02%	0.48%	0.0%	0.19%	2.13%	0.30%	0.38%	0.0%	0.0%	1.61%	0.41%	2.94%					
25	"8. ""Народно-республиканская партия России"""	9	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	4					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.31%	0.98%					
26	"9. ""Российская экологическая партия ""Зеленые"""	18	0	0	0	0	0	0	0	1	1	0	1	0	4	3	0	0	1	3	4					
		0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.06%	0.0%	0.09%	0.0%	0.30%	0.28%	0.0%	0.0%	0.40%	0.31%	0.98%					
27	"10. ""Аграрная партия России"""	103	0	0	15	0	4	3	0	11	10	0	6	0	14	18	0	0	5	7	10					
		0.73%	0.0%	0.0%	1.55%	0.0%	1.53%	0.38%	0.0%	2.47%	0.68%	0.0%	0.59%	0.0%	1.07%	1.71%	0.0%	0.0%	2.01%	0.72%	2.45%					
28	"11. ""Истинные патриоты России"""	100	0	0	0	0	5	8	0	8	9	1	10	0	3	20	0	0	11	12	13					
		0.71%	0.0%	0.0%	0.0%	0.0%	1.91%	1.03%	0.0%	1.80%	0.62%	0.09%	0.98%	0.0%	0.23%	1.91%	0.0%	0.0%	4.43%	1.24%	3.19%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	43	0	0	0	0	0	4	0	0	11	0	5	0	8	3	0	0	4	4	4					
		0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	0.0%	0.75%	0.0%	0.49%	0.0%	0.61%	0.28%	0.0%	0.0%	1.61%	0.41%	0.98%					
30	"13. ""Демократическая партия России"""	6	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	2	0					
		0.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.09%	0.0%	0.07%	0.0%	0.0%	0.0%	0.40%	0.20%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	116	0	0	0	0	6	0	0	5	22	4	10	0	14	30	6	0	0	8	11					
		0.83%	0.0%	0.0%	0.0%	0.0%	2.29%	0.0%	0.0%	1.12%	1.51%	0.38%	0.98%	0.0%	1.07%	2.86%	0.55%	0.0%	0.0%	0.82%	2.70%					
32	"15. ""Партия СЛОН"""	14	0	0	0	0	0	2	0	1	1	0	0	0	1	1	0	0	2	4	2					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.22%	0.06%	0.0%	0.0%	0.0%	0.07%	0.09%	0.0%	0.0%	0.80%	0.41%	0.49%					
33	"16. ""Родина"" (народно-патриотический союз)"""	268	0	0	0	0	5	0	1	15	38	9	17	0	16	107	13	0	20	15	12					
		1.92%	0.0%	0.0%	0.0%	0.0%	1.91%	0.0%	0.62%	3.37%	2.62%	0.87%	1.67%	0.0%	1.22%	10.21%	1.20%	0.0%	8.06%	1.55%	2.94%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	24	0	0	0	0	0	0	0	2	1	0	1	0	5	3	0	0	2	8	2					
		0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.45%	0.06%	0.0%	0.09%	0.0%	0.38%	0.28%	0.0%	0.0%	0.80%	0.82%	0.49%					
35	"18. ""ЛДПР"""	270	0	0	0	0	0	5	0	21	18	0	12	7	78	52	29	7	2	10	29					
		1.93%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	4.72%	1.24%	0.0%	1.18%	1.49%	5.99%	4.96%	2.67%	2.41%	0.80%	1.03%	7.12%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	169	0	0	0	0	11	12	2	1	13	0	6	5	13	14	0	0	1	87	4					
		1.21%	0.0%	0.0%	0.0%	0.0%	4.21%	1.55%	1.25%	0.22%	0.89%	0.0%	0.59%	1.06%	0.99%	1.33%	0.0%	0.0%	0.40%	9.01%	0.98%					
37	"20. ""Политическая партия ""Единая Россия"""	10280	820	816	916	291	180	550	145	247	1039	870	722	305	998	402	973	270	113	462	161					
		73.78%	98.55%	98.07%	95.21%	78.22%	68.96%	71.33%	91.19%	55.63%	71.65%	84.63%	71.34%	65.17%	76.71%	38.39%	89.84%	93.10%	45.56%	47.87%	39.55%					
38	"21. ""Российская Конституционно-демократическая партия"""	119	0	0	0	0	0	2	0	0	1	0	1	77	1	3	29	0	0	4	1					
		0.85%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.06%	0.0%	0.09%	16.45%	0.07%	0.28%	2.67%	0.0%	0.0%	0.41%	0.24%					
39	"22. ""Развитие предпринимательства"""	12	0	0	0	0	0	1	0	1	0	0	1	0	2	0	0	0	0	5	2					
		0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.22%	0.0%	0.0%	0.09%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.51%	0.49%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1340	7	16	31	81	30	150	6	87	146	100	132	0	56	170	0	13	32	220	63					
		9.61%	0.84%	1.92%	3.22%	21.77%	11.49%	19.45%	3.77%	19.59%	10.06%	9.72%	13.04%	0.0%	4.30%	16.23%	0.0%	4.48%	12.90%	22.79%	15.47%					
																										
41	Против всех	229	0	0	0	0	0	2	3	9	44	2	24	5	11	57	11	0	12	32	17					
		1.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	1.88%	2.02%	3.03%	0.19%	2.37%	1.06%	0.84%	5.44%	1.01%	0.0%	4.83%	3.31%	4.17%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
