Выборы Президента Российской Федерации																																																																								
																																																																								
Наименование Избирательной комиссии:    Нижнеудинская																																																																								
																																																																								
Итоги голосования 																																																																								
																																																																								
		Сумма	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587					
20	. Миронов Сергей Михайлович	137	5	1	0	3	0	1	0	1	10	0	1	2	14	3	1	1	1	1	4	0	0	1	5	0	2	4	7	0	2	0	4	0	1	1	2	5	2	2	2	6	12	1	0	3	0	2	0	0	0	2	0	0	0	4	1	2	7	0	0	1	0	2	3	0	2					
		0.92%	0.72%	0.60%	0.00%	2.07%	0.00%	1.23%	0.00%	1.33%	1.68%	0.00%	0.66%	0.58%	1.17%	0.50%	0.59%	0.49%	0.27%	1.01%	2.78%	0.00%	0.00%	1.49%	1.85%	0.00%	1.89%	6.45%	1.88%	0.00%	0.75%	0.00%	1.29%	0.00%	1.00%	0.46%	1.49%	1.18%	1.04%	0.99%	0.56%	1.06%	2.15%	1.43%	0.00%	2.52%	0.00%	0.79%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	2.03%	1.05%	2.94%	1.46%	0.00%	0.00%	0.81%	0.00%	0.91%	1.12%	0.00%	1.00%					
21	. Путин Владимир Владимирович	10925	566	128	108	104	77	69	92	63	444	351	127	257	829	460	130	123	252	64	112	71	79	51	187	88	52	39	286	84	180	56	216	136	56	118	99	243	146	139	273	360	371	54	52	84	56	199	133	81	76	494	168	35	128	133	64	55	314	138	83	93	94	162	252	115	176					
		73.65%	81.91%	77.11%	77.70%	71.72%	78.57%	85.19%	87.62%	84.00%	74.37%	72.07%	84.11%	74.28%	69.08%	77.05%	76.47%	60.29%	67.74%	64.65%	77.78%	93.42%	87.78%	76.12%	69.00%	68.75%	49.06%	62.90%	76.68%	62.69%	67.67%	75.68%	69.68%	77.71%	56.00%	53.88%	73.88%	57.18%	76.04%	68.47%	76.69%	63.49%	66.49%	77.14%	65.00%	70.59%	87.50%	78.66%	85.26%	93.10%	72.38%	85.91%	81.16%	72.92%	78.05%	67.51%	67.37%	80.88%	65.28%	82.63%	86.46%	75.00%	82.46%	73.97%	93.68%	95.04%	87.56%					
22	. Хакамада Ирина Муцуовна	321	15	6	0	4	1	0	1	0	15	5	0	3	26	16	7	9	19	1	3	1	0	2	8	6	0	3	5	8	0	0	6	5	4	6	6	10	2	5	4	15	9	0	8	5	2	2	3	1	4	5	5	2	2	4	4	2	13	8	3	1	0	4	2	3	2					
		2.16%	2.17%	3.61%	0.00%	2.76%	1.02%	0.00%	0.95%	0.00%	2.51%	1.03%	0.00%	0.87%	2.17%	2.68%	4.12%	4.41%	5.11%	1.01%	2.08%	1.32%	0.00%	2.99%	2.95%	4.69%	0.00%	4.84%	1.34%	5.97%	0.00%	0.00%	1.94%	2.86%	4.00%	2.74%	4.48%	2.35%	1.04%	2.46%	1.12%	2.65%	1.61%	0.00%	10.00%	4.20%	3.12%	0.79%	1.92%	1.15%	3.81%	0.87%	2.42%	4.17%	1.22%	2.03%	4.21%	2.94%	2.70%	4.79%	3.12%	0.81%	0.00%	1.83%	0.74%	2.48%	1.00%					
23	. Харитонов Николай Михайлович	2198	61	18	17	19	15	5	7	5	77	72	13	67	213	56	11	47	45	21	19	3	9	7	51	27	32	11	47	29	50	14	59	17	33	50	21	131	22	41	48	134	127	13	16	14	5	28	11	1	20	44	20	10	21	35	17	3	92	21	4	21	8	34	3	0	6					
		14.82%	8.83%	10.84%	12.23%	13.10%	15.31%	6.17%	6.67%	6.67%	12.90%	14.78%	8.61%	19.36%	17.75%	9.38%	6.47%	23.04%	12.10%	21.21%	13.19%	3.95%	10.00%	10.45%	18.82%	21.09%	30.19%	17.74%	12.60%	21.64%	18.80%	18.92%	19.03%	9.71%	33.00%	22.83%	15.67%	30.82%	11.46%	20.20%	13.48%	23.63%	22.76%	18.57%	20.00%	11.76%	7.81%	11.07%	7.05%	1.15%	19.05%	7.65%	9.66%	20.83%	12.80%	17.77%	17.89%	4.41%	19.13%	12.57%	4.17%	16.94%	7.02%	15.53%	1.12%	0.00%	2.99%					
																																																																								
24	Против всех	214	5	5	2	1	0	0	2	0	6	6	3	1	18	16	3	2	10	0	1	1	0	0	4	0	2	0	4	1	5	4	7	0	0	13	2	14	4	5	4	4	5	1	1	1	0	3	1	2	1	5	1	0	2	3	0	2	17	0	3	4	0	4	1	0	2					
		1.44%	0.72%	3.01%	1.44%	0.69%	0.00%	0.00%	1.90%	0.00%	1.01%	1.23%	1.99%	0.29%	1.50%	2.68%	1.76%	0.98%	2.69%	0.00%	0.69%	1.32%	0.00%	0.00%	1.48%	0.00%	1.89%	0.00%	1.07%	0.75%	1.88%	5.41%	2.26%	0.00%	0.00%	5.94%	1.49%	3.29%	2.08%	2.46%	1.12%	0.71%	0.90%	1.43%	1.25%	0.84%	0.00%	1.19%	0.64%	2.30%	0.95%	0.87%	0.48%	0.00%	1.22%	1.52%	0.00%	2.94%	3.53%	0.00%	3.12%	3.23%	0.00%	1.83%	0.37%	0.00%	1.00%					
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
