Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																		
Дата голосования: 02.12.2007																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Пятигорская городская																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
		Сумма	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1565	25	25	20	25	25	14	10	35	20	20	20	20	45	28	20	14	14	25	25	14	20	20	20	25	25	28	25	25	30	25	20	25	14	20	25	28	25	0	0	0	0	0	25	14	20	29	20	28	28	28	20	25	28	10	10	10	14	25	20	20	20	25	25	35	14	25	28	35	20	25	25	20	25	25	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1057	15	16	18	4	14	3	8	27	15	19	16	12	44	20	20	9	14	12	25	8	10	13	20	20	23	23	16	16	22	11	5	18	12	20	10	11	16	0	0	0	0	0	23	7	16	21	18	21	13	13	8	7	11	3	5	1	10	13	14	15	19	13	16	33	12	24	24	29	9	20	9	15	19	11	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2196	14	91	14	8	1	4	4	19	78	21	46	70	286	17	13	30	11	19	23	19	17	9	19	10	26	19	6	7	15	14	8	9	11	19	4	5	11	268	128	82	74	62	13	4	10	19	12	15	13	17	9	8	9	6	2	5	12	10	8	6	7	4	13	11	16	121	52	7	3	105	3	9	29	18	9					
14	Число погашенных неиспользованных открепительных удостоверений	508	10	9	2	21	11	11	2	8	5	1	4	8	1	8	0	5	0	13	0	6	10	7	0	5	2	5	9	9	8	14	15	7	2	0	15	17	9	0	0	0	0	0	2	7	4	8	2	7	15	15	12	18	17	7	5	9	4	12	6	5	1	12	9	2	2	1	4	6	11	5	16	5	6	14	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																		
18	1.Политическая партия «Аграрная партия России»	1390	19	19	20	36	26	20	20	29	15	11	29	17	20	16	29	25	24	35	21	17	29	26	21	17	15	31	26	16	14	29	17	13	17	14	18	6	13	9	11	4	10	12	24	14	14	26	17	28	23	24	10	14	22	9	5	8	8	20	15	11	15	15	19	27	12	24	39	37	13	25	8	16	13	12	7					
		1.75%	2.10%	1.83%	2.28%	3.30%	2.19%	2.97%	4.33%	2.34%	1.27%	1.06%	2.31%	1.59%	1.03%	0.94%	2.61%	1.94%	1.81%	2.92%	1.69%	1.75%	2.98%	2.25%	1.91%	1.35%	1.46%	2.59%	2.27%	1.44%	1.68%	2.07%	2.11%	1.33%	2.70%	1.26%	1.73%	0.49%	0.97%	1.71%	4.85%	1.29%	5.24%	1.23%	2.04%	2.31%	1.44%	1.63%	1.89%	1.58%	1.59%	1.54%	0.99%	1.19%	1.95%	3.09%	2.33%	3.40%	1.05%	1.83%	2.03%	0.98%	1.60%	1.24%	1.61%	2.11%	1.55%	1.49%	2.66%	2.22%	1.68%	2.31%	0.50%	1.12%	0.79%	0.82%	2.08%					
19	2.Всероссийская политическая партия «Гражданская Сила»	999	13	21	4	10	4	5	4	20	22	19	9	14	34	38	18	24	20	15	30	21	16	25	17	19	8	15	12	7	8	8	2	13	7	7	15	11	10	4	2	4	1	9	21	4	13	33	12	16	12	23	15	12	9	0	1	0	12	7	3	12	9	17	16	19	6	18	18	17	9	29	17	14	18	20	2					
		1.25%	1.44%	2.02%	0.46%	0.92%	0.34%	0.74%	0.87%	1.61%	1.87%	1.84%	0.72%	1.31%	1.75%	2.24%	1.62%	1.86%	1.51%	1.25%	2.42%	2.17%	1.65%	2.16%	1.54%	1.50%	0.78%	1.26%	1.05%	0.63%	0.96%	0.57%	0.25%	1.33%	1.11%	0.63%	1.44%	0.89%	0.74%	0.76%	0.88%	1.29%	0.52%	0.92%	1.79%	0.66%	1.34%	2.06%	1.33%	0.90%	0.83%	1.47%	1.49%	1.02%	0.80%	0.00%	0.47%	0.00%	1.58%	0.64%	0.41%	1.07%	0.96%	1.40%	1.36%	1.49%	0.78%	1.12%	1.23%	1.02%	1.17%	2.68%	1.07%	0.98%	1.09%	1.36%	0.60%					
20	3.Политическая партия «Демократическая партия России»	146	1	1	0	1	1	0	0	0	0	3	2	7	3	4	5	2	2	1	3	2	2	1	3	1	1	3	1	0	2	8	1	0	1	0	3	2	3	1	0	1	0	7	1	0	4	0	4	2	1	1	2	2	1	1	0	0	0	3	3	1	1	5	1	5	4	3	0	1	0	1	2	8	10	0	0					
		0.18%	0.11%	0.10%	0.00%	0.09%	0.08%	0.00%	0.00%	0.00%	0.00%	0.29%	0.16%	0.65%	0.15%	0.24%	0.45%	0.16%	0.15%	0.08%	0.24%	0.21%	0.21%	0.09%	0.27%	0.08%	0.10%	0.25%	0.09%	0.00%	0.24%	0.57%	0.12%	0.00%	0.16%	0.00%	0.29%	0.16%	0.22%	0.19%	0.00%	0.32%	0.00%	0.72%	0.09%	0.00%	0.41%	0.00%	0.44%	0.11%	0.07%	0.06%	0.20%	0.17%	0.09%	0.34%	0.00%	0.00%	0.00%	0.27%	0.41%	0.09%	0.11%	0.41%	0.08%	0.39%	0.52%	0.19%	0.00%	0.06%	0.00%	0.09%	0.13%	0.56%	0.60%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	10125	76	124	101	166	163	82	70	200	171	111	132	156	226	190	192	136	152	220	254	123	217	167	203	234	142	170	129	141	141	115	77	135	94	111	136	134	144	79	49	48	94	23	142	77	125	176	129	181	223	155	108	148	132	33	22	25	53	140	102	77	88	145	128	202	111	182	198	201	96	196	254	152	150	120	26					
		12.72%	8.41%	11.93%	11.52%	15.20%	13.74%	12.18%	15.15%	16.14%	14.52%	10.72%	10.52%	14.59%	11.62%	11.18%	17.25%	10.57%	11.46%	18.33%	20.45%	12.69%	22.33%	14.43%	18.44%	18.53%	13.81%	14.23%	11.26%	12.68%	16.93%	8.20%	9.58%	13.82%	14.94%	10.02%	13.06%	10.88%	10.71%	15.05%	21.59%	15.43%	49.21%	2.36%	12.09%	12.73%	12.90%	11.00%	14.33%	10.21%	15.40%	9.92%	10.75%	12.53%	11.70%	11.34%	10.23%	10.64%	6.96%	12.81%	13.82%	6.88%	9.39%	11.94%	10.87%	15.79%	14.38%	11.28%	13.52%	12.07%	12.44%	18.08%	15.96%	10.68%	9.06%	8.15%	7.74%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	717	19	12	8	7	2	2	6	6	15	18	8	14	15	9	15	17	16	21	12	5	9	9	7	9	17	12	7	5	3	12	3	14	7	1	8	10	8	7	2	1	1	8	13	7	4	23	9	15	10	10	10	8	17	0	2	0	7	4	15	4	4	17	5	17	8	11	20	14	8	11	19	17	8	12	1					
		0.90%	2.10%	1.15%	0.91%	0.64%	0.17%	0.30%	1.30%	0.48%	1.27%	1.74%	0.64%	1.31%	0.77%	0.53%	1.35%	1.32%	1.21%	1.75%	0.97%	0.52%	0.93%	0.78%	0.64%	0.71%	1.65%	1.00%	0.61%	0.45%	0.36%	0.86%	0.37%	1.43%	1.11%	0.09%	0.77%	0.81%	0.60%	1.33%	0.88%	0.32%	0.52%	0.82%	1.11%	1.16%	0.41%	1.44%	1.00%	0.85%	0.69%	0.64%	0.99%	0.68%	1.51%	0.00%	0.93%	0.00%	0.92%	0.37%	2.03%	0.36%	0.43%	1.40%	0.42%	1.33%	1.04%	0.68%	1.37%	0.84%	1.04%	1.01%	1.19%	1.19%	0.48%	0.82%	0.30%					
23	6.Политическая партия «Партия социальной справедливости»	162	2	3	1	0	3	1	0	5	2	2	2	2	2	4	1	5	2	3	3	4	3	4	0	5	1	2	1	0	0	0	0	0	3	1	5	0	2	1	0	1	1	1	1	0	1	6	3	1	3	4	3	4	6	0	1	0	3	4	3	3	3	0	3	5	3	5	3	0	3	2	5	2	2	1	1					
		0.20%	0.22%	0.29%	0.11%	0.00%	0.25%	0.15%	0.00%	0.40%	0.17%	0.19%	0.16%	0.19%	0.10%	0.24%	0.09%	0.39%	0.15%	0.25%	0.24%	0.41%	0.31%	0.35%	0.00%	0.40%	0.10%	0.17%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.09%	0.48%	0.00%	0.15%	0.19%	0.00%	0.32%	0.52%	0.10%	0.09%	0.00%	0.10%	0.38%	0.33%	0.06%	0.21%	0.26%	0.30%	0.34%	0.53%	0.00%	0.47%	0.00%	0.39%	0.37%	0.41%	0.27%	0.32%	0.00%	0.25%	0.39%	0.39%	0.31%	0.20%	0.00%	0.39%	0.18%	0.31%	0.14%	0.12%	0.07%	0.30%					
24	7.Политическая партия «Либерально-демократическая партия России»	6229	115	123	117	97	86	55	28	108	110	124	82	89	136	140	93	67	109	92	105	51	73	75	56	86	75	148	114	106	80	94	70	87	72	52	103	82	70	10	12	13	6	293	97	61	58	135	64	113	130	125	80	91	132	20	17	19	63	97	54	60	62	118	84	95	73	111	69	84	63	79	56	52	72	78	13					
		7.82%	12.72%	11.84%	13.34%	8.88%	7.25%	8.17%	6.06%	8.72%	9.34%	11.98%	6.53%	8.33%	6.99%	8.24%	8.36%	5.21%	8.22%	7.67%	8.45%	5.26%	7.51%	6.48%	5.09%	6.81%	7.30%	12.38%	9.95%	9.53%	9.60%	6.70%	8.71%	8.90%	11.45%	4.69%	9.89%	6.66%	5.21%	1.90%	5.29%	4.18%	3.14%	30.02%	8.26%	10.08%	5.99%	8.44%	7.11%	6.37%	8.98%	7.99%	7.96%	7.71%	11.70%	6.87%	7.91%	8.09%	8.28%	8.87%	7.32%	5.36%	6.62%	9.72%	7.13%	7.43%	9.46%	6.88%	4.71%	5.05%	8.16%	7.29%	3.52%	3.65%	4.35%	5.30%	3.87%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	8271	103	117	97	155	187	77	82	122	138	90	109	138	210	205	162	95	130	145	157	108	129	147	139	142	110	159	102	98	120	91	70	120	68	100	158	112	124	31	24	41	19	30	136	74	106	185	115	112	148	129	75	157	137	28	10	19	66	150	94	119	88	165	131	124	105	148	126	156	109	119	73	16	116	147	27					
		10.39%	11.39%	11.26%	11.06%	14.19%	15.77%	11.44%	17.75%	9.85%	11.71%	8.70%	8.69%	12.91%	10.80%	12.06%	14.56%	7.38%	9.80%	12.08%	12.64%	11.15%	13.27%	12.71%	12.62%	11.24%	10.70%	13.31%	8.90%	8.81%	14.41%	6.49%	8.71%	12.28%	10.81%	9.03%	15.18%	9.09%	9.23%	5.90%	10.57%	13.18%	9.95%	3.07%	11.57%	12.23%	10.94%	11.56%	12.78%	6.32%	10.22%	8.25%	7.46%	13.29%	12.15%	9.62%	4.65%	8.09%	8.67%	13.72%	12.74%	10.63%	9.39%	13.59%	11.12%	9.70%	13.60%	9.18%	8.60%	9.37%	14.12%	10.98%	4.59%	1.12%	7.00%	9.99%	8.04%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	658	13	13	10	9	10	7	4	8	12	9	4	9	18	20	8	11	10	12	12	6	6	7	17	10	8	10	8	6	12	4	5	8	10	2	14	13	8	6	4	6	3	8	19	3	10	17	9	7	13	12	5	5	4	3	3	2	2	4	0	8	18	20	4	9	5	9	18	14	4	13	9	14	3	11	1					
		0.83%	1.44%	1.25%	1.14%	0.82%	0.84%	1.04%	0.87%	0.65%	1.02%	0.87%	0.32%	0.84%	0.93%	1.18%	0.72%	0.85%	0.75%	1.00%	0.97%	0.62%	0.62%	0.61%	1.54%	0.79%	0.78%	0.84%	0.70%	0.54%	1.44%	0.29%	0.62%	0.82%	1.59%	0.18%	1.34%	1.06%	0.60%	1.14%	1.76%	1.93%	1.57%	0.82%	1.62%	0.50%	1.03%	1.06%	1.00%	0.39%	0.90%	0.77%	0.50%	0.42%	0.35%	1.03%	1.40%	0.85%	0.26%	0.37%	0.00%	0.71%	1.92%	1.65%	0.34%	0.70%	0.65%	0.56%	1.23%	0.84%	0.52%	1.20%	0.57%	0.98%	0.18%	0.75%	0.30%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	48609	524	559	489	546	679	411	243	687	652	616	850	580	1238	1024	564	866	816	616	593	611	451	653	606	694	619	610	708	716	435	988	546	556	325	797	552	827	942	368	110	187	53	557	688	343	604	948	496	1251	853	1047	657	713	638	183	152	156	518	642	438	788	629	668	738	731	425	1059	939	1079	446	577	1096	1110	1244	1039	250					
		61.05%	57.96%	53.80%	55.76%	50.00%	57.25%	61.07%	52.60%	55.45%	55.35%	59.52%	67.73%	54.26%	63.65%	60.24%	50.67%	67.29%	61.54%	51.33%	47.75%	63.05%	46.40%	56.44%	55.04%	54.95%	60.21%	51.05%	61.78%	64.39%	52.22%	70.47%	67.91%	56.91%	51.67%	71.93%	53.03%	67.13%	70.09%	70.10%	48.46%	60.13%	27.75%	57.07%	58.55%	56.69%	62.33%	59.25%	55.11%	70.56%	58.91%	66.99%	65.37%	60.37%	56.56%	62.89%	70.70%	66.38%	68.07%	58.74%	59.35%	70.36%	67.13%	55.02%	62.65%	57.15%	55.05%	65.65%	64.10%	64.80%	57.77%	53.23%	68.89%	78.00%	75.12%	70.58%	74.40%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1483	16	41	19	10	13	4	0	37	33	21	15	38	20	32	16	23	33	25	39	18	31	20	27	30	27	19	24	12	10	18	3	17	20	8	21	10	12	7	8	4	2	8	22	13	25	35	32	32	17	21	32	22	11	4	1	3	19	7	7	18	12	34	42	32	16	27	23	43	16	29	39	19	20	17	2					
		1.86%	1.77%	3.95%	2.17%	0.92%	1.10%	0.59%	0.00%	2.99%	2.80%	2.03%	1.20%	3.55%	1.03%	1.88%	1.44%	1.79%	2.49%	2.08%	3.14%	1.86%	3.19%	1.73%	2.45%	2.38%	2.63%	1.59%	2.09%	1.08%	1.20%	1.28%	0.37%	1.74%	3.18%	0.72%	2.02%	0.81%	0.89%	1.33%	3.52%	1.29%	1.05%	0.82%	1.87%	2.15%	2.58%	2.19%	3.56%	1.80%	1.17%	1.34%	3.18%	1.86%	0.98%	1.37%	0.47%	1.28%	2.50%	0.64%	0.95%	1.61%	1.28%	2.80%	3.57%	2.50%	2.07%	1.67%	1.57%	2.58%	2.07%	2.68%	2.45%	1.34%	1.21%	1.15%	0.60%					
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
