Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Бердская городская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	259	5	1	10	8	1	10	11	4	6	0	7	11	5	9	4	4	7	9	2	8	7	6	0	0	9	9	6	7	10	2	4	4	8	5	2	11	5	1	6	8	8	2	5	4	2	2	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	301	14	42	22	13	2	7	4	3	10	7	10	8	4	3	3	4	6	4	5	3	4	1	4	2	4	4	3	7	4	6	0	5	6	3	3	3	25	2	7	2	4	3	4	6	3	3	9									
14	Число погашенных неиспользованных открепительных удостоверений	1381	15	9	30	47	19	25	34	11	44	20	33	34	20	21	21	16	13	36	13	22	38	39	25	20	41	21	19	48	45	18	26	51	47	20	23	44	20	19	49	42	52	28	15	46	28	23	51									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	129	2	0	0	0	1	3	1	1	2	2	4	1	1	2	2	5	1	6	2	2	2	4	3	3	4	4	2	8	8	2	3	6	4	0	2	2	2	2	3	4	6	7	2	1	1	0	6									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1001	10	8	15	41	13	22	34	11	25	21	37	28	16	19	37	11	11	28	12	7	39	26	12	9	17	25	11	14	29	7	28	24	26	14	9	28	23	8	34	42	38	24	23	25	20	17	23									
		3.04%	3.38%	1.59%	1.89%	3.99%	2.58%	2.92%	3.57%	3.24%	2.73%	5.20%	4.24%	3.15%	3.56%	3.02%	6.46%	2.10%	2.22%	3.19%	4.55%	1.12%	4.27%	3.04%	2.28%	2.36%	2.32%	5.01%	3.06%	1.77%	3.15%	1.79%	4.21%	2.74%	2.27%	2.99%	1.52%	2.45%	3.72%	1.45%	2.59%	3.78%	3.74%	3.60%	3.98%	2.43%	3.22%	3.31%	2.32%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1132	5	7	34	33	10	21	29	9	34	15	29	51	15	24	21	27	20	37	6	16	51	33	16	10	27	10	11	23	17	12	23	31	44	18	22	41	20	22	42	33	26	26	14	32	32	16	37									
		3.43%	1.69%	1.39%	4.28%	3.21%	1.99%	2.79%	3.04%	2.65%	3.71%	3.71%	3.32%	5.74%	3.33%	3.82%	3.66%	5.15%	4.03%	4.21%	2.27%	2.55%	5.59%	3.86%	3.04%	2.62%	3.69%	2.00%	3.06%	2.90%	1.85%	3.08%	3.46%	3.54%	3.85%	3.85%	3.72%	3.59%	3.23%	3.98%	3.20%	2.97%	2.56%	3.90%	2.42%	3.11%	5.14%	3.11%	3.73%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	783	5	6	23	28	9	25	3	9	30	14	21	18	15	17	15	15	19	19	6	17	18	6	25	10	17	14	3	19	27	9	16	19	31	14	12	25	17	16	30	16	19	9	11	30	14	13	29									
		2.38%	1.69%	1.19%	2.89%	2.72%	1.79%	3.32%	0.31%	2.65%	3.28%	3.47%	2.41%	2.02%	3.33%	2.70%	2.62%	2.86%	3.83%	2.16%	2.27%	2.71%	1.97%	0.70%	4.74%	2.62%	2.32%	2.81%	0.83%	2.40%	2.93%	2.31%	2.41%	2.17%	2.71%	2.99%	2.03%	2.19%	2.75%	2.89%	2.28%	1.44%	1.87%	1.35%	1.90%	2.92%	2.25%	2.53%	2.92%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12697	115	381	321	383	207	338	312	123	338	124	283	320	168	209	229	184	161	291	105	249	357	336	195	139	289	195	160	318	390	195	234	333	427	146	235	439	244	200	515	389	426	293	203	423	206	180	389									
		38.52%	38.85%	75.75%	40.38%	37.26%	41.15%	44.89%	32.74%	36.28%	36.90%	30.69%	32.42%	35.99%	37.33%	33.23%	39.97%	35.11%	32.46%	33.11%	39.77%	39.71%	39.10%	39.30%	37.00%	36.39%	39.48%	39.08%	44.44%	40.15%	42.35%	50.00%	35.19%	38.01%	37.36%	31.20%	39.76%	38.44%	39.42%	36.17%	39.19%	34.98%	41.89%	43.93%	35.12%	41.15%	33.12%	35.02%	39.21%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	355	2	3	8	26	7	9	14	8	7	5	10	11	6	8	7	5	9	12	0	8	8	11	11	5	7	7	1	6	14	3	11	11	9	1	0	14	8	2	11	10	10	2	6	5	6	1	10									
		1.08%	0.68%	0.60%	1.01%	2.53%	1.39%	1.20%	1.47%	2.36%	0.76%	1.24%	1.15%	1.24%	1.33%	1.27%	1.22%	0.95%	1.81%	1.37%	0.00%	1.28%	0.88%	1.29%	2.09%	1.31%	0.96%	1.40%	0.28%	0.76%	1.52%	0.77%	1.65%	1.26%	0.79%	0.21%	0.00%	1.23%	1.29%	0.36%	0.84%	0.90%	0.98%	0.30%	1.04%	0.49%	0.96%	0.19%	1.01%									
24	"6. Политическая партия ""Гражданская Платформа"""	88	1	1	6	4	3	4	2	0	2	2	4	4	0	4	3	3	2	2	0	0	3	3	0	0	4	1	0	0	1	1	0	0	2	1	1	4	3	3	1	3	2	1	1	1	0	1	4									
		0.27%	0.34%	0.20%	0.75%	0.39%	0.60%	0.53%	0.21%	0.00%	0.22%	0.50%	0.46%	0.45%	0.00%	0.64%	0.52%	0.57%	0.40%	0.23%	0.00%	0.00%	0.33%	0.35%	0.00%	0.00%	0.55%	0.20%	0.00%	0.00%	0.11%	0.26%	0.00%	0.00%	0.17%	0.21%	0.17%	0.35%	0.48%	0.54%	0.08%	0.27%	0.20%	0.15%	0.17%	0.10%	0.00%	0.19%	0.40%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5829	61	32	127	123	98	106	159	69	170	68	177	134	60	95	81	76	78	156	50	125	154	173	100	92	158	95	75	169	168	76	129	167	246	72	100	209	99	92	270	212	197	106	83	196	82	95	169									
		17.68%	20.61%	6.36%	15.97%	11.96%	19.48%	14.08%	16.68%	20.35%	18.56%	16.83%	20.27%	15.07%	13.33%	15.10%	14.14%	14.50%	15.73%	17.75%	18.94%	19.94%	16.87%	20.23%	18.98%	24.08%	21.58%	19.04%	20.83%	21.34%	18.24%	19.49%	19.40%	19.06%	21.52%	15.38%	16.92%	18.30%	15.99%	16.64%	20.55%	19.06%	19.37%	15.89%	14.36%	19.07%	13.18%	18.48%	17.04%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	498	8	1	20	17	14	9	17	12	10	10	22	5	6	13	5	5	11	6	4	6	11	5	5	4	13	7	2	20	14	4	13	16	25	5	4	14	11	11	13	21	15	7	12	7	12	4	22									
		1.51%	2.70%	0.20%	2.52%	1.65%	2.78%	1.20%	1.78%	3.54%	1.09%	2.48%	2.52%	0.56%	1.33%	2.07%	0.87%	0.95%	2.22%	0.68%	1.52%	0.96%	1.20%	0.58%	0.95%	1.05%	1.78%	1.40%	0.56%	2.53%	1.52%	1.03%	1.95%	1.83%	2.19%	1.07%	0.68%	1.23%	1.78%	1.99%	0.99%	1.89%	1.47%	1.05%	2.08%	0.68%	1.93%	0.78%	2.22%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	413	3	1	12	20	4	8	22	6	16	4	12	15	6	13	14	10	5	9	3	13	7	12	5	3	12	4	3	11	4	0	5	12	6	4	0	22	12	6	22	10	13	12	5	7	7	2	11									
		1.25%	1.01%	0.20%	1.51%	1.95%	0.80%	1.06%	2.31%	1.77%	1.75%	0.99%	1.37%	1.69%	1.33%	2.07%	2.44%	1.91%	1.01%	1.02%	1.14%	2.07%	0.77%	1.40%	0.95%	0.79%	1.64%	0.80%	0.83%	1.39%	0.43%	0.00%	0.75%	1.37%	0.52%	0.85%	0.00%	1.93%	1.94%	1.08%	1.67%	0.90%	1.28%	1.80%	0.87%	0.68%	1.13%	0.39%	1.11%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	42	0	2	0	3	2	2	1	0	1	0	0	0	2	3	2	0	1	1	0	0	0	4	1	2	0	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	1	0	1	1	2	0	2									
		0.13%	0.00%	0.40%	0.00%	0.29%	0.40%	0.27%	0.10%	0.00%	0.11%	0.00%	0.00%	0.00%	0.44%	0.48%	0.35%	0.00%	0.20%	0.11%	0.00%	0.00%	0.00%	0.47%	0.19%	0.52%	0.00%	0.20%	0.28%	0.00%	0.00%	0.26%	0.00%	0.11%	0.09%	0.00%	0.00%	0.00%	0.16%	0.00%	0.08%	0.09%	0.10%	0.00%	0.17%	0.10%	0.32%	0.00%	0.20%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	635	8	1	19	31	5	14	36	3	24	7	22	19	8	18	20	7	12	28	3	22	13	13	5	6	8	12	3	5	17	3	15	12	23	3	9	23	8	7	21	37	8	15	9	19	9	10	15									
		1.93%	2.70%	0.20%	2.39%	3.02%	0.99%	1.86%	3.78%	0.88%	2.62%	1.73%	2.52%	2.14%	1.78%	2.86%	3.49%	1.34%	2.42%	3.19%	1.14%	3.51%	1.42%	1.52%	0.95%	1.57%	1.09%	2.40%	0.83%	0.63%	1.85%	0.77%	2.26%	1.37%	2.01%	0.64%	1.52%	2.01%	1.29%	1.27%	1.60%	3.33%	0.79%	2.25%	1.56%	1.85%	1.45%	1.95%	1.51%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5413	45	17	122	189	63	102	157	53	150	77	148	172	82	126	75	123	95	155	46	101	150	142	67	51	99	74	42	115	131	47	103	143	168	120	124	213	90	89	197	194	155	91	132	163	148	90	177									
		16.42%	15.20%	3.38%	15.35%	18.39%	12.52%	13.55%	16.47%	15.63%	16.38%	19.06%	16.95%	19.35%	18.22%	20.03%	13.09%	23.47%	19.15%	17.63%	17.42%	16.11%	16.43%	16.61%	12.71%	13.35%	13.52%	14.83%	11.67%	14.52%	14.22%	12.05%	15.49%	16.32%	14.70%	25.64%	20.98%	18.65%	14.54%	16.09%	14.99%	17.45%	15.24%	13.64%	22.84%	15.86%	23.79%	17.51%	17.84%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	149	0	0	1	2	0	6	5	2	3	1	6	4	2	3	3	0	1	5	1	0	3	1	3	3	6	3	2	5	5	2	3	6	7	3	1	2	2	3	6	6	8	4	2	4	9	2	3									
		0.45%	0.00%	0.00%	0.13%	0.19%	0.00%	0.80%	0.52%	0.59%	0.33%	0.25%	0.69%	0.45%	0.44%	0.48%	0.52%	0.00%	0.20%	0.57%	0.38%	0.00%	0.33%	0.12%	0.57%	0.79%	0.82%	0.60%	0.56%	0.63%	0.54%	0.51%	0.45%	0.68%	0.61%	0.64%	0.17%	0.18%	0.32%	0.54%	0.46%	0.54%	0.79%	0.60%	0.35%	0.39%	1.45%	0.39%	0.30%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2903	24	6	62	101	46	61	116	26	82	45	67	87	50	67	50	43	54	97	14	50	77	60	67	34	60	35	41	67	73	12	62	63	93	49	50	82	66	82	111	106	69	63	61	58	64	63	87									
		8.81%	8.11%	1.19%	7.80%	9.82%	9.15%	8.10%	12.17%	7.67%	8.95%	11.14%	7.67%	9.79%	11.11%	10.65%	8.73%	8.21%	10.89%	11.04%	5.30%	7.97%	8.43%	7.02%	12.71%	8.90%	8.20%	7.01%	11.39%	8.46%	7.93%	3.08%	9.32%	7.19%	8.14%	10.47%	8.46%	7.18%	10.66%	14.83%	8.45%	9.53%	6.78%	9.45%	10.55%	5.64%	10.29%	12.26%	8.77%									
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
