Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																												
Дата голосования: 18.09.2016																																																																												
																																																																												
"Наименование Избирательной комиссии:    Барнаул, Центральная"																																																																												
																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																												
																																																																												
		Сумма	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №1913	УИК №1914	УИК №1915	УИК №8009	УИК №8010	УИК №8011	УИК №8012	УИК №8013	УИК №8014	УИК №8017	УИК №8165	УИК №8166	УИК №8167	УИК №8168	УИК №8169	УИК №8247	УИК №8248	УИК №8259									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1461	27	74	37	35	62	21	70	49	43	9	38	16	47	26	16	20	18	14	23	10	7	22	16	20	27	0	20	19	11	39	27	8	20	18	18	45	24	16	19	17	15	7	31	14	5	20	9	173	28	42	0	3	0	0	0	0	28	9	1	2	3	1	1	3	18									
14	Число погашенных неиспользованных открепительных удостоверений	546	9	8	3	5	6	8	7	13	13	7	14	10	15	6	5	0	18	14	19	7	10	22	14	18	16	18	11	9	11	21	13	17	5	4	9	14	9	3	2	4	7	12	16	8	4	7	5	0	0	0	8	7	3	3	2	2	3	10	5	5	5	5	3	4	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	165	5	6	3	11	5	5	3	5	4	2	6	6	6	4	3	2	6	2	3	0	6	1	6	5	4	3	6	1	5	8	3	3	1	2	2	2	0	1	2	2	2	4	1	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	811	25	16	13	22	16	9	14	26	23	8	29	21	34	6	4	7	8	9	11	2	14	15	4	11	5	15	12	10	4	22	7	15	7	6	12	17	6	13	23	13	18	15	12	10	1	13	2	3	6	7	2	16	2	2	3	7	12	39	9	3	8	9	20	40	18									
		1.94%	2.74%	1.62%	1.66%	2.53%	1.82%	1.32%	1.37%	1.99%	2.57%	1.88%	2.13%	1.72%	2.74%	0.99%	1.01%	1.83%	1.22%	1.54%	1.10%	0.35%	1.72%	1.55%	0.58%	1.66%	1.06%	2.86%	1.52%	1.83%	0.92%	1.86%	1.39%	2.38%	1.05%	1.44%	1.42%	1.56%	0.86%	1.50%	2.40%	1.77%	2.29%	1.77%	1.97%	1.31%	0.25%	1.49%	0.56%	0.33%	0.65%	1.84%	2.38%	4.91%	2.25%	3.39%	4.23%	7.61%	2.52%	6.28%	3.31%	3.33%	7.77%	7.56%	12.66%	6.97%	3.62%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1274	30	35	21	21	21	16	27	41	20	12	35	21	38	24	9	8	26	16	28	20	29	28	38	22	21	14	25	14	12	41	18	30	27	15	12	29	28	29	47	22	25	33	42	36	24	33	11	19	30	14	3	1	1	1	1	0	9	3	0	2	1	0	4	8	3									
		3.05%	3.29%	3.54%	2.69%	2.42%	2.38%	2.35%	2.63%	3.13%	2.23%	2.82%	2.57%	1.72%	3.06%	3.96%	2.27%	2.09%	3.98%	2.74%	2.81%	3.54%	3.57%	2.90%	5.55%	3.33%	4.44%	2.67%	3.16%	2.57%	2.75%	3.46%	3.59%	4.77%	4.04%	3.59%	1.42%	2.66%	3.99%	3.34%	4.90%	2.99%	3.18%	3.90%	6.89%	4.71%	5.88%	3.79%	3.06%	2.11%	3.23%	3.67%	3.57%	0.31%	1.12%	1.69%	1.41%	0.00%	1.89%	0.48%	0.00%	2.22%	0.97%	0.00%	2.53%	1.39%	0.60%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	804	22	19	11	21	13	16	19	31	15	11	23	20	28	18	4	2	14	13	21	15	9	13	14	10	7	12	24	9	2	29	8	5	8	6	19	22	15	15	20	8	20	18	15	13	7	15	4	9	25	12	1	5	2	4	2	1	10	12	6	1	1	4	6	6	14									
		1.93%	2.41%	1.92%	1.41%	2.42%	1.48%	2.35%	1.85%	2.37%	1.68%	2.58%	1.69%	1.64%	2.26%	2.97%	1.01%	0.52%	2.14%	2.23%	2.10%	2.65%	1.11%	1.35%	2.04%	1.51%	1.48%	2.29%	3.04%	1.65%	0.46%	2.45%	1.59%	0.79%	1.20%	1.44%	2.25%	2.02%	2.14%	1.73%	2.09%	1.09%	2.54%	2.13%	2.46%	1.70%	1.72%	1.72%	1.11%	1.00%	2.69%	3.15%	1.19%	1.53%	2.25%	6.78%	2.82%	1.09%	2.10%	1.93%	2.21%	1.11%	0.97%	3.36%	3.80%	1.05%	2.82%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14944	281	334	301	265	280	228	321	444	353	137	498	602	448	148	123	118	192	198	515	180	243	397	228	238	175	176	261	187	189	416	197	249	229	160	273	330	223	264	287	330	235	276	205	290	181	361	150	268	321	137	26	88	20	19	24	27	283	288	137	35	19	41	63	216	216									
		35.79%	30.81%	33.74%	38.49%	30.49%	31.78%	33.48%	31.32%	33.94%	39.44%	32.16%	36.51%	49.30%	36.10%	24.42%	31.06%	30.89%	29.36%	33.90%	51.60%	31.86%	29.93%	41.14%	33.28%	36.01%	36.99%	33.52%	33.04%	34.31%	43.35%	35.14%	39.24%	39.59%	34.23%	38.28%	32.35%	30.25%	31.81%	30.45%	29.93%	44.84%	29.86%	32.62%	33.61%	37.91%	44.36%	41.45%	41.67%	29.78%	34.59%	35.96%	30.95%	26.99%	22.47%	32.20%	33.80%	29.35%	59.45%	46.38%	50.37%	38.89%	18.45%	34.45%	39.87%	37.63%	43.46%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	526	13	16	12	10	15	11	19	20	14	7	34	14	14	14	2	8	8	6	10	3	6	9	3	4	3	3	13	6	3	14	2	5	6	4	10	11	7	5	13	6	9	6	6	7	4	14	2	5	6	1	5	6	2	0	3	1	6	18	9	4	3	2	3	10	11									
		1.26%	1.43%	1.62%	1.53%	1.15%	1.70%	1.62%	1.85%	1.53%	1.56%	1.64%	2.49%	1.15%	1.13%	2.31%	0.51%	2.09%	1.22%	1.03%	1.00%	0.53%	0.74%	0.93%	0.44%	0.61%	0.63%	0.57%	1.65%	1.10%	0.69%	1.18%	0.40%	0.79%	0.90%	0.96%	1.18%	1.01%	0.99%	0.58%	1.36%	0.82%	1.14%	0.71%	0.98%	0.92%	0.98%	1.61%	0.56%	0.56%	0.65%	0.26%	5.95%	1.84%	2.25%	0.00%	4.23%	1.09%	1.26%	2.90%	3.31%	4.44%	2.91%	1.68%	1.90%	1.74%	2.21%									
24	"6. Политическая партия ""Гражданская Платформа"""	113	0	2	2	4	3	0	3	3	3	2	3	3	2	2	0	0	2	0	1	1	2	1	3	0	0	0	1	3	1	2	2	2	2	0	1	1	0	1	2	3	1	3	3	3	0	1	0	8	7	0	1	2	3	0	0	0	1	6	0	0	3	0	0	6	2									
		0.27%	0.00%	0.20%	0.26%	0.46%	0.34%	0.00%	0.29%	0.23%	0.34%	0.47%	0.22%	0.25%	0.16%	0.33%	0.00%	0.00%	0.31%	0.00%	0.10%	0.18%	0.25%	0.10%	0.44%	0.00%	0.00%	0.00%	0.13%	0.55%	0.23%	0.17%	0.40%	0.32%	0.30%	0.00%	0.12%	0.09%	0.00%	0.12%	0.21%	0.41%	0.13%	0.35%	0.49%	0.39%	0.00%	0.11%	0.00%	0.89%	0.75%	0.00%	1.19%	0.61%	3.37%	0.00%	0.00%	0.00%	0.21%	0.97%	0.00%	0.00%	2.91%	0.00%	0.00%	1.05%	0.40%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6963	134	135	111	149	131	63	154	191	125	76	174	131	174	139	87	66	131	141	138	151	210	199	130	144	108	97	170	113	97	188	66	117	125	62	138	147	98	149	115	84	111	186	98	148	67	160	52	393	188	79	8	22	1	3	6	2	40	57	15	20	6	13	15	67	48									
		16.67%	14.69%	13.64%	14.19%	17.15%	14.87%	9.25%	15.02%	14.60%	13.97%	17.84%	12.76%	10.73%	14.02%	22.94%	21.97%	17.28%	20.03%	24.14%	13.83%	26.73%	25.86%	20.62%	18.98%	21.79%	22.83%	18.48%	21.52%	20.73%	22.25%	15.88%	13.15%	18.60%	18.68%	14.83%	16.35%	13.47%	13.98%	17.19%	11.99%	11.41%	14.10%	21.99%	16.07%	19.35%	16.42%	18.37%	14.44%	43.67%	20.26%	20.73%	9.52%	6.75%	1.12%	5.08%	8.45%	2.17%	8.40%	9.18%	5.51%	22.22%	5.83%	10.92%	9.49%	11.67%	9.66%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	558	12	11	14	12	11	13	10	16	13	5	11	14	9	7	3	3	9	4	4	1	5	9	3	7	9	3	11	9	0	10	9	1	1	2	10	6	0	12	3	4	3	13	4	7	0	5	11	4	3	2	2	35	20	5	7	11	8	14	14	4	6	11	3	38	32									
		1.34%	1.32%	1.11%	1.79%	1.38%	1.25%	1.91%	0.98%	1.22%	1.45%	1.17%	0.81%	1.15%	0.73%	1.16%	0.76%	0.79%	1.38%	0.68%	0.40%	0.18%	0.62%	0.93%	0.44%	1.06%	1.90%	0.57%	1.39%	1.65%	0.00%	0.84%	1.79%	0.16%	0.15%	0.48%	1.18%	0.55%	0.00%	1.38%	0.31%	0.54%	0.38%	1.54%	0.66%	0.92%	0.00%	0.57%	3.06%	0.44%	0.32%	0.52%	2.38%	10.74%	22.47%	8.47%	9.86%	11.96%	1.68%	2.25%	5.15%	4.44%	5.83%	9.24%	1.90%	6.62%	6.44%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	680	27	20	17	23	7	15	14	29	18	7	40	35	22	10	1	6	10	4	7	3	7	11	3	10	3	2	5	10	7	14	8	5	15	10	8	17	7	15	7	6	4	13	4	9	2	8	4	5	8	1	1	14	0	2	0	1	8	35	14	5	12	2	4	27	12									
		1.63%	2.96%	2.02%	2.17%	2.65%	0.79%	2.20%	1.37%	2.22%	2.01%	1.64%	2.93%	2.87%	1.77%	1.65%	0.25%	1.57%	1.53%	0.68%	0.70%	0.53%	0.86%	1.14%	0.44%	1.51%	0.63%	0.38%	0.63%	1.83%	1.61%	1.18%	1.59%	0.79%	2.24%	2.39%	0.95%	1.56%	0.99%	1.73%	0.73%	0.82%	0.51%	1.54%	0.66%	1.18%	0.49%	0.92%	1.11%	0.56%	0.86%	0.26%	1.19%	4.29%	0.00%	3.39%	0.00%	1.09%	1.68%	5.64%	5.15%	5.56%	11.65%	1.68%	2.53%	4.70%	2.41%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	69	2	2	1	2	0	2	0	0	1	0	3	0	1	1	1	0	0	0	2	0	1	3	0	1	0	0	0	1	0	4	0	1	1	1	1	5	2	2	1	0	0	1	4	1	1	2	0	2	3	0	0	0	0	0	0	0	2	2	0	0	0	0	1	1	7									
		0.17%	0.22%	0.20%	0.13%	0.23%	0.00%	0.29%	0.00%	0.00%	0.11%	0.00%	0.22%	0.00%	0.08%	0.17%	0.25%	0.00%	0.00%	0.00%	0.20%	0.00%	0.12%	0.31%	0.00%	0.15%	0.00%	0.00%	0.00%	0.18%	0.00%	0.34%	0.00%	0.16%	0.15%	0.24%	0.12%	0.46%	0.29%	0.23%	0.10%	0.00%	0.00%	0.12%	0.66%	0.13%	0.25%	0.23%	0.00%	0.22%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.32%	0.00%	0.00%	0.00%	0.00%	0.63%	0.17%	1.41%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2177	48	52	42	65	45	67	85	95	71	16	90	57	67	28	10	16	28	8	19	16	20	20	16	19	18	14	37	17	9	62	35	12	23	12	25	33	25	29	30	26	27	25	20	17	5	29	22	34	15	7	17	117	25	10	16	38	28	59	38	3	33	21	11	75	78									
		5.21%	5.26%	5.25%	5.37%	7.48%	5.11%	9.84%	8.29%	7.26%	7.93%	3.76%	6.60%	4.67%	5.40%	4.62%	2.53%	4.19%	4.28%	1.37%	1.90%	2.83%	2.46%	2.07%	2.34%	2.87%	3.81%	2.67%	4.68%	3.12%	2.06%	5.24%	6.97%	1.91%	3.44%	2.87%	2.96%	3.02%	3.57%	3.34%	3.13%	3.53%	3.43%	2.96%	3.28%	2.22%	1.23%	3.33%	6.11%	3.78%	1.62%	1.84%	20.24%	35.89%	28.09%	16.95%	22.54%	41.30%	5.88%	9.50%	13.97%	3.33%	32.04%	17.65%	6.96%	13.07%	15.69%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6552	193	168	120	147	180	119	166	232	118	71	236	160	210	106	77	81	106	82	103	64	136	128	154	99	67	93	106	82	56	195	88	110	127	63	128	194	144	135	203	101	172	150	118	145	74	129	52	41	152	53	10	17	12	7	5	1	58	67	19	4	3	11	20	48	36									
		15.69%	21.16%	16.97%	15.35%	16.92%	20.43%	17.47%	16.20%	17.74%	13.18%	16.67%	17.30%	13.10%	16.92%	17.49%	19.44%	21.20%	16.21%	14.04%	10.32%	11.33%	16.75%	13.26%	22.48%	14.98%	14.16%	17.71%	13.42%	15.05%	12.84%	16.47%	17.53%	17.49%	18.98%	15.07%	15.17%	17.78%	20.54%	15.57%	21.17%	13.72%	21.86%	17.73%	19.34%	18.95%	18.14%	14.81%	14.44%	4.56%	16.38%	13.91%	11.90%	5.21%	13.48%	11.86%	7.04%	1.09%	12.18%	10.79%	6.99%	4.44%	2.91%	9.24%	12.66%	8.36%	7.24%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	155	5	3	6	1	1	4	6	5	3	1	5	4	4	2	1	0	2	3	0	1	5	2	0	1	2	3	2	2	1	3	1	0	4	1	4	1	4	5	3	5	4	4	3	6	1	2	1	7	3	0	0	0	0	2	0	0	1	2	2	2	1	1	2	5	0									
		0.37%	0.55%	0.30%	0.77%	0.12%	0.11%	0.59%	0.59%	0.38%	0.34%	0.23%	0.37%	0.33%	0.32%	0.33%	0.25%	0.00%	0.31%	0.51%	0.00%	0.18%	0.62%	0.21%	0.00%	0.15%	0.42%	0.57%	0.25%	0.37%	0.23%	0.25%	0.20%	0.00%	0.60%	0.24%	0.47%	0.09%	0.57%	0.58%	0.31%	0.68%	0.51%	0.47%	0.49%	0.78%	0.25%	0.23%	0.28%	0.78%	0.32%	0.00%	0.00%	0.00%	0.00%	3.39%	0.00%	0.00%	0.21%	0.32%	0.74%	2.22%	0.97%	0.84%	1.27%	0.87%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5134	105	159	103	102	136	105	170	149	106	69	158	115	159	82	69	62	98	83	125	91	106	107	68	76	46	75	100	69	42	154	43	65	74	67	176	225	126	164	172	120	142	90	57	55	23	78	40	43	133	57	6	1	1	3	4	2	8	12	9	4	7	3	5	14	16									
		12.29%	11.51%	16.06%	13.17%	11.74%	15.44%	15.42%	16.59%	11.39%	11.84%	16.20%	11.58%	9.42%	12.81%	13.53%	17.42%	16.23%	14.98%	14.21%	12.53%	16.11%	13.05%	11.09%	9.93%	11.50%	9.73%	14.29%	12.66%	12.66%	9.63%	13.01%	8.57%	10.33%	11.06%	16.03%	20.85%	20.62%	17.97%	18.92%	17.94%	16.30%	18.04%	10.64%	9.34%	7.19%	5.64%	8.96%	11.11%	4.78%	14.33%	14.96%	7.14%	0.31%	1.12%	5.08%	5.63%	2.17%	1.68%	1.93%	3.31%	4.44%	6.80%	2.52%	3.16%	2.44%	3.22%									
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
