Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																						
Дата голосования: 07.12.2003 0:00:00																																																																						
																																																																						
"Наименование Избирательной комиссии:    Нижний Новгород, Ленинская"																																																																						
																																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																						
																																																																						
		Сумма	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																						
18	"1. ""ЕДИНЕНИЕ"""	548	4	10	7	4	11	6	14	9	5	9	14	7	18	13	5	8	4	25	12	5	5	14	3	8	10	4	9	9	11	6	12	8	7	6	8	4	4	6	19	6	3	12	12	16	7	3	7	9	11	10	6	8	14	11	9	6	4	7	13	11	7	8	5					
		1.08%	0.55%	1.00%	0.73%	1.43%	1.27%	1.26%	1.53%	0.95%	0.52%	0.90%	1.32%	0.86%	2.25%	1.39%	0.47%	0.79%	0.40%	1.98%	2.42%	1.28%	0.71%	1.40%	0.30%	1.08%	1.72%	0.55%	1.81%	1.28%	1.09%	0.57%	2.21%	1.09%	1.82%	1.03%	1.12%	0.84%	0.64%	0.80%	1.67%	0.98%	0.42%	1.10%	1.03%	1.98%	1.13%	0.41%	1.30%	1.22%	1.23%	1.27%	0.54%	0.91%	1.43%	1.26%	0.93%	0.83%	0.50%	0.79%	1.24%	1.15%	1.51%	1.40%	0.58%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	6152	121	179	131	56	93	61	92	96	140	132	168	106	70	121	162	129	105	166	43	47	63	73	107	81	69	93	48	87	162	133	100	106	50	60	107	47	84	70	117	80	66	136	130	89	66	82	51	95	101	101	130	67	107	84	111	94	102	85	130	128	67	79	96					
		12.19%	16.85%	17.93%	13.83%	20.14%	10.78%	12.89%	10.08%	10.19%	14.81%	13.26%	15.87%	13.15%	8.76%	13.02%	15.23%	12.75%	10.75%	13.18%	8.70%	12.05%	9.02%	7.32%	10.95%	10.97%	11.91%	12.84%	9.67%	12.46%	16.05%	12.76%	18.45%	14.56%	13.05%	10.36%	14.98%	9.89%	13.48%	9.44%	10.29%	13.09%	9.38%	12.49%	11.25%	11.05%	10.71%	11.21%	9.51%	12.96%	11.32%	12.91%	11.77%	7.68%	10.96%	9.62%	11.58%	13.03%	12.89%	9.65%	12.47%	13.47%	14.47%	13.85%	11.13%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1963	20	36	28	14	49	26	44	22	27	31	59	37	30	58	52	32	43	40	16	16	27	41	44	28	27	43	16	26	35	48	16	27	20	14	22	12	27	17	47	19	23	37	41	34	19	17	21	23	43	23	40	42	36	37	36	29	40	38	28	37	18	31	34					
		3.89%	2.78%	3.60%	2.95%	5.03%	5.68%	5.49%	4.82%	2.33%	2.85%	3.11%	5.57%	4.59%	3.75%	6.24%	4.89%	3.16%	4.40%	3.17%	3.23%	4.10%	3.86%	4.11%	4.50%	3.79%	4.66%	5.93%	3.22%	3.72%	3.46%	4.60%	2.95%	3.70%	5.22%	2.41%	3.08%	2.52%	4.33%	2.29%	4.13%	3.10%	3.27%	3.40%	3.54%	4.22%	3.08%	2.32%	3.91%	3.13%	4.82%	2.94%	3.62%	4.81%	3.68%	4.23%	3.75%	4.02%	5.05%	4.31%	2.68%	3.89%	3.88%	5.43%	3.94%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1953	39	48	25	8	24	12	24	50	47	35	36	35	19	32	46	38	26	31	12	13	21	37	50	25	18	31	21	31	47	43	25	13	16	26	24	11	18	35	43	25	24	56	64	37	30	39	18	24	34	22	52	33	34	37	33	24	36	34	29	47	14	30	42					
		3.87%	5.43%	4.80%	2.63%	2.87%	2.78%	2.53%	2.63%	5.30%	4.97%	3.51%	3.40%	4.34%	2.37%	3.44%	4.32%	3.75%	2.66%	2.46%	2.42%	3.33%	3.00%	3.71%	5.11%	3.38%	3.10%	4.28%	4.23%	4.44%	4.65%	4.12%	4.61%	1.78%	4.17%	4.49%	3.36%	2.31%	2.88%	4.72%	3.78%	4.09%	3.41%	5.14%	5.54%	4.59%	4.87%	5.33%	3.35%	3.27%	3.81%	2.81%	4.71%	3.78%	3.48%	4.23%	3.44%	3.32%	4.55%	3.86%	2.78%	4.94%	3.02%	5.26%	4.87%					
22	"5. ""За Русь Святую"""	332	3	6	7	3	6	7	3	6	5	4	12	7	4	6	12	7	5	7	7	9	3	8	7	8	0	7	4	5	7	10	4	6	2	3	3	1	2	2	6	1	5	8	10	2	0	2	5	7	5	9	1	3	8	7	7	3	3	5	9	6	5	5	2					
		0.65%	0.41%	0.60%	0.73%	1.07%	0.69%	1.47%	0.32%	0.63%	0.52%	0.40%	1.13%	0.86%	0.50%	0.64%	1.12%	0.69%	0.51%	0.55%	1.41%	2.30%	0.42%	0.80%	0.71%	1.08%	0.0%	0.96%	0.80%	0.71%	0.69%	0.95%	0.73%	0.82%	0.52%	0.51%	0.42%	0.21%	0.32%	0.26%	0.52%	0.16%	0.71%	0.73%	0.86%	0.24%	0.0%	0.27%	0.93%	0.95%	0.56%	1.15%	0.09%	0.34%	0.81%	0.80%	0.73%	0.41%	0.37%	0.56%	0.86%	0.63%	1.07%	0.87%	0.23%					
23	"6. ""Объединенная Российская партия ""Русь"""	82	0	3	1	0	2	3	2	4	0	3	2	1	0	1	0	1	0	3	1	0	0	0	0	2	1	0	1	3	1	2	0	2	2	1	0	0	2	1	1	2	2	3	0	1	1	0	2	1	2	1	2	1	2	0	5	0	0	0	4	1	3	0	3					
		0.16%	0.0%	0.30%	0.10%	0.0%	0.23%	0.63%	0.21%	0.42%	0.0%	0.30%	0.18%	0.12%	0.0%	0.10%	0.0%	0.09%	0.0%	0.23%	0.20%	0.0%	0.0%	0.0%	0.0%	0.27%	0.17%	0.0%	0.20%	0.42%	0.09%	0.19%	0.0%	0.27%	0.52%	0.17%	0.0%	0.0%	0.32%	0.13%	0.08%	0.32%	0.28%	0.27%	0.0%	0.12%	0.16%	0.0%	0.37%	0.13%	0.22%	0.12%	0.18%	0.11%	0.20%	0.0%	0.52%	0.0%	0.0%	0.0%	0.38%	0.10%	0.64%	0.0%	0.34%					
24	"7. ""Новый курс - Автомобильная Россия"""	427	2	13	5	2	4	9	9	6	4	1	10	4	10	6	13	12	6	11	7	3	11	5	8	9	3	9	2	7	12	5	2	4	5	5	5	1	7	11	11	5	4	5	9	9	6	6	7	8	6	5	7	7	6	13	8	6	6	3	8	9	6	9	10					
		0.84%	0.27%	1.30%	0.52%	0.71%	0.46%	1.90%	0.98%	0.63%	0.42%	0.10%	0.94%	0.49%	1.25%	0.64%	1.22%	1.18%	0.61%	0.87%	1.41%	0.76%	1.57%	0.50%	0.81%	1.21%	0.51%	1.24%	0.40%	1.00%	1.18%	0.47%	0.36%	0.54%	1.30%	0.86%	0.70%	0.21%	1.12%	1.48%	0.96%	0.81%	0.56%	0.45%	0.77%	1.11%	0.97%	0.82%	1.30%	1.09%	0.67%	0.63%	0.63%	0.80%	0.61%	1.48%	0.83%	0.83%	0.75%	0.34%	0.76%	0.94%	1.29%	1.57%	1.16%					
25	"8. ""Народно-республиканская партия России"""	78	0	2	2	1	3	1	3	2	0	0	1	0	2	4	4	3	2	0	0	0	1	2	2	0	0	0	1	1	1	1	0	0	2	1	0	1	2	1	0	0	0	4	3	3	4	0	1	0	2	1	5	0	0	3	0	1	0	1	0	2	0	1	1					
		0.15%	0.0%	0.20%	0.21%	0.35%	0.34%	0.21%	0.32%	0.21%	0.0%	0.0%	0.09%	0.0%	0.25%	0.43%	0.37%	0.29%	0.20%	0.0%	0.0%	0.0%	0.14%	0.20%	0.20%	0.0%	0.0%	0.0%	0.20%	0.14%	0.09%	0.09%	0.0%	0.0%	0.52%	0.17%	0.0%	0.21%	0.32%	0.13%	0.0%	0.0%	0.0%	0.36%	0.25%	0.37%	0.64%	0.0%	0.18%	0.0%	0.22%	0.12%	0.45%	0.0%	0.0%	0.34%	0.0%	0.13%	0.0%	0.11%	0.0%	0.21%	0.0%	0.17%	0.11%					
26	"9. ""Российская экологическая партия ""Зеленые"""	256	2	8	3	3	2	4	6	6	4	5	5	3	3	2	6	6	7	9	1	0	2	5	3	3	1	2	2	1	8	3	0	4	4	0	1	2	4	5	7	6	3	11	10	6	4	7	1	5	6	4	7	4	4	3	7	3	5	2	5	7	0	0	4					
		0.50%	0.27%	0.80%	0.31%	1.07%	0.23%	0.84%	0.65%	0.63%	0.42%	0.50%	0.47%	0.37%	0.37%	0.21%	0.56%	0.59%	0.71%	0.71%	0.20%	0.0%	0.28%	0.50%	0.30%	0.40%	0.17%	0.27%	0.40%	0.14%	0.79%	0.28%	0.0%	0.54%	1.04%	0.0%	0.14%	0.42%	0.64%	0.67%	0.61%	0.98%	0.42%	1.01%	0.86%	0.74%	0.64%	0.95%	0.18%	0.68%	0.67%	0.51%	0.63%	0.45%	0.40%	0.34%	0.73%	0.41%	0.63%	0.22%	0.47%	0.73%	0.0%	0.0%	0.46%					
27	"10. ""Аграрная партия России"""	1294	17	21	28	3	21	10	21	32	17	31	28	14	27	22	23	35	15	39	15	13	21	18	25	21	17	21	8	21	29	24	7	25	14	10	7	11	12	20	34	17	15	23	27	24	13	18	14	22	31	20	28	31	16	23	19	19	25	25	32	34	22	6	13					
		2.56%	2.36%	2.10%	2.95%	1.07%	2.43%	2.11%	2.30%	3.39%	1.79%	3.11%	2.64%	1.73%	3.37%	2.36%	2.16%	3.46%	1.53%	3.09%	3.03%	3.33%	3.00%	1.80%	2.55%	2.84%	2.93%	2.90%	1.61%	3.00%	2.87%	2.30%	1.29%	3.43%	3.65%	1.72%	0.98%	2.31%	1.92%	2.69%	2.99%	2.78%	2.13%	2.11%	2.33%	2.98%	2.11%	2.46%	2.61%	3.00%	3.47%	2.55%	2.53%	3.55%	1.63%	2.63%	1.98%	2.63%	3.16%	2.84%	3.07%	3.57%	4.75%	1.05%	1.50%					
28	"11. ""Истинные патриоты России"""	55	0	0	4	0	3	0	0	1	0	2	0	0	2	1	1	7	2	1	1	1	0	0	2	0	0	0	1	1	1	0	0	1	0	0	0	1	1	1	1	0	4	1	0	2	0	1	1	2	0	0	0	1	1	0	0	1	1	1	0	0	1	1	1					
		0.10%	0.0%	0.0%	0.42%	0.0%	0.34%	0.0%	0.0%	0.10%	0.0%	0.20%	0.0%	0.0%	0.25%	0.10%	0.09%	0.69%	0.20%	0.07%	0.20%	0.25%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.20%	0.14%	0.09%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.21%	0.16%	0.13%	0.08%	0.0%	0.56%	0.09%	0.0%	0.24%	0.0%	0.13%	0.18%	0.27%	0.0%	0.0%	0.0%	0.11%	0.10%	0.0%	0.0%	0.13%	0.12%	0.11%	0.0%	0.0%	0.21%	0.17%	0.11%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	618	15	16	21	4	12	5	3	8	20	19	6	7	6	14	10	16	7	7	8	4	3	19	9	5	5	5	2	11	5	13	6	13	4	8	9	12	14	14	12	8	9	14	10	12	9	12	4	14	10	4	16	12	10	9	11	10	15	10	14	10	1	3	14					
		1.22%	2.08%	1.60%	2.21%	1.43%	1.39%	1.05%	0.32%	0.84%	2.11%	1.90%	0.56%	0.86%	0.75%	1.50%	0.94%	1.58%	0.71%	0.55%	1.61%	1.02%	0.42%	1.90%	0.92%	0.67%	0.86%	0.69%	0.40%	1.57%	0.49%	1.24%	1.10%	1.78%	1.04%	1.38%	1.26%	2.52%	2.24%	1.88%	1.05%	1.30%	1.28%	1.28%	0.86%	1.49%	1.46%	1.64%	0.74%	1.90%	1.12%	0.51%	1.44%	1.37%	1.02%	1.03%	1.14%	1.38%	1.89%	1.13%	1.34%	1.05%	0.21%	0.52%	1.62%					
30	"13. ""Демократическая партия России"""	96	4	4	3	0	4	5	3	1	1	2	2	1	1	0	3	1	1	1	1	0	1	0	0	0	2	1	0	1	2	2	3	1	1	2	0	1	1	2	4	0	1	0	1	1	1	0	0	1	1	6	0	2	0	2	1	1	1	2	3	1	3	0	6					
		0.19%	0.55%	0.40%	0.31%	0.0%	0.46%	1.05%	0.32%	0.10%	0.10%	0.20%	0.18%	0.12%	0.12%	0.0%	0.28%	0.09%	0.10%	0.07%	0.20%	0.0%	0.14%	0.0%	0.0%	0.0%	0.34%	0.13%	0.0%	0.14%	0.19%	0.19%	0.55%	0.13%	0.26%	0.34%	0.0%	0.21%	0.16%	0.26%	0.35%	0.0%	0.14%	0.0%	0.08%	0.12%	0.16%	0.0%	0.0%	0.13%	0.11%	0.76%	0.0%	0.22%	0.0%	0.22%	0.10%	0.13%	0.12%	0.22%	0.28%	0.10%	0.64%	0.0%	0.69%					
31	"14. ""Великая Россия - Евразийский Союз"""	127	2	3	0	1	0	1	0	1	5	0	1	6	2	2	1	6	1	8	0	8	0	2	3	6	2	4	0	3	4	0	4	5	1	0	1	4	1	1	1	1	1	2	2	3	0	1	1	6	6	0	2	0	0	2	1	1	2	1	1	3	1	0	0					
		0.25%	0.27%	0.30%	0.0%	0.35%	0.0%	0.21%	0.0%	0.10%	0.52%	0.0%	0.09%	0.74%	0.25%	0.21%	0.09%	0.59%	0.10%	0.63%	0.0%	2.05%	0.0%	0.20%	0.30%	0.81%	0.34%	0.55%	0.0%	0.42%	0.39%	0.0%	0.73%	0.68%	0.26%	0.0%	0.14%	0.84%	0.16%	0.13%	0.08%	0.16%	0.14%	0.18%	0.17%	0.37%	0.0%	0.13%	0.18%	0.81%	0.67%	0.0%	0.18%	0.0%	0.0%	0.22%	0.10%	0.13%	0.25%	0.11%	0.09%	0.31%	0.21%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	135	1	4	5	1	4	2	1	6	5	6	2	3	3	1	1	4	0	1	2	0	2	4	1	3	0	1	1	0	2	4	0	0	0	5	5	2	4	4	3	3	1	6	0	1	0	3	2	0	1	0	3	4	2	3	0	2	2	1	1	1	3	1	2					
		0.26%	0.13%	0.40%	0.52%	0.35%	0.46%	0.42%	0.10%	0.63%	0.52%	0.60%	0.18%	0.37%	0.37%	0.10%	0.09%	0.39%	0.0%	0.07%	0.40%	0.0%	0.28%	0.40%	0.10%	0.40%	0.0%	0.13%	0.20%	0.0%	0.19%	0.38%	0.0%	0.0%	0.0%	0.86%	0.70%	0.42%	0.64%	0.53%	0.26%	0.49%	0.14%	0.55%	0.0%	0.12%	0.0%	0.41%	0.37%	0.0%	0.11%	0.0%	0.27%	0.45%	0.20%	0.34%	0.0%	0.27%	0.25%	0.11%	0.09%	0.10%	0.64%	0.17%	0.23%					
33	"16. ""Родина"" (народно-патриотический союз)"""	7211	93	151	127	28	109	61	139	144	162	171	159	124	121	136	144	171	125	169	70	49	69	121	117	104	77	79	40	87	135	145	62	89	50	92	94	52	82	91	176	75	109	128	186	116	88	108	78	111	166	118	206	148	150	127	158	117	112	153	138	119	59	86	140					
		14.29%	12.95%	15.13%	13.41%	10.07%	12.64%	12.89%	15.24%	15.28%	17.14%	17.18%	15.02%	15.38%	15.14%	14.63%	13.54%	16.91%	12.80%	13.42%	14.17%	12.56%	9.88%	12.13%	11.97%	14.09%	13.29%	10.91%	8.06%	12.46%	13.37%	13.91%	11.43%	12.22%	13.05%	15.88%	13.16%	10.94%	13.16%	12.28%	15.47%	12.27%	15.50%	11.76%	16.10%	14.40%	14.28%	14.77%	14.55%	15.14%	18.60%	15.08%	18.65%	16.97%	15.36%	14.54%	16.49%	16.22%	14.15%	17.38%	13.24%	12.52%	12.74%	15.08%	16.24%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	92	2	1	2	3	0	2	3	4	0	2	1	1	0	1	3	3	4	1	1	3	2	2	5	1	0	0	5	1	0	1	2	2	1	2	1	0	2	1	0	2	1	3	0	0	0	0	2	0	1	0	1	4	1	0	1	1	2	2	1	1	0	1	3					
		0.18%	0.27%	0.10%	0.21%	1.07%	0.0%	0.42%	0.32%	0.42%	0.0%	0.20%	0.09%	0.12%	0.0%	0.10%	0.28%	0.29%	0.40%	0.07%	0.20%	0.76%	0.28%	0.20%	0.51%	0.13%	0.0%	0.0%	1.00%	0.14%	0.0%	0.09%	0.36%	0.27%	0.26%	0.34%	0.14%	0.0%	0.32%	0.13%	0.0%	0.32%	0.14%	0.27%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.11%	0.0%	0.09%	0.45%	0.10%	0.0%	0.10%	0.13%	0.25%	0.22%	0.09%	0.10%	0.0%	0.17%	0.34%					
35	"18. ""ЛДПР"""	4254	46	94	101	33	62	25	78	74	80	73	71	67	64	69	81	69	93	130	50	43	82	104	78	56	47	60	47	49	85	68	31	49	28	60	50	71	53	68	105	64	86	105	89	68	59	57	44	43	49	55	85	64	89	74	70	65	78	74	130	86	24	31	71					
		8.43%	6.40%	9.41%	10.66%	11.87%	7.19%	5.28%	8.55%	7.85%	8.46%	7.33%	6.71%	8.31%	8.01%	7.42%	7.61%	6.82%	9.52%	10.32%	10.12%	11.02%	11.74%	10.43%	7.98%	7.58%	8.11%	8.28%	9.47%	7.02%	8.42%	6.52%	5.71%	6.73%	7.31%	10.36%	7.00%	14.94%	8.50%	9.17%	9.23%	10.47%	12.23%	9.65%	7.70%	8.44%	9.57%	7.79%	8.20%	5.86%	5.49%	7.03%	7.69%	7.33%	9.11%	8.47%	7.30%	9.01%	9.86%	8.40%	12.47%	9.05%	5.18%	5.43%	8.23%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	784	10	12	13	1	17	3	11	17	14	10	14	15	10	18	17	16	16	18	9	4	15	15	22	9	16	12	14	14	11	12	10	14	6	6	16	6	12	12	15	9	9	11	12	13	4	14	14	9	13	10	12	21	19	12	18	8	11	16	24	11	16	6	10					
		1.55%	1.39%	1.20%	1.37%	0.35%	1.97%	0.63%	1.20%	1.80%	1.48%	1.00%	1.32%	1.86%	1.25%	1.93%	1.59%	1.58%	1.63%	1.42%	1.82%	1.02%	2.14%	1.50%	2.25%	1.21%	2.76%	1.65%	2.82%	2.00%	1.09%	1.15%	1.84%	1.92%	1.56%	1.03%	2.24%	1.26%	1.92%	1.61%	1.31%	1.47%	1.28%	1.01%	1.03%	1.61%	0.64%	1.91%	2.61%	1.22%	1.45%	1.27%	1.08%	2.40%	1.94%	1.37%	1.87%	1.10%	1.39%	1.81%	2.30%	1.15%	3.45%	1.05%	1.16%					
37	"20. ""Политическая партия ""Единая Россия"""	12488	182	218	210	60	229	138	260	248	237	253	234	220	210	214	244	285	260	333	123	89	171	244	284	188	152	174	148	177	268	236	149	199	80	142	196	123	137	181	257	157	152	264	283	170	157	150	135	179	200	207	240	216	267	208	237	182	174	230	236	224	113	141	213					
		24.75%	25.34%	21.84%	22.17%	21.58%	26.56%	29.17%	28.50%	26.32%	25.07%	25.42%	22.11%	27.29%	26.28%	23.03%	22.95%	28.18%	26.63%	26.44%	24.89%	22.82%	24.49%	24.47%	29.06%	25.47%	26.25%	24.03%	29.83%	25.35%	26.56%	22.64%	27.49%	27.33%	20.88%	24.52%	27.45%	25.89%	21.99%	24.42%	22.60%	25.69%	21.62%	24.26%	24.50%	21.11%	25.48%	20.51%	25.18%	24.42%	22.42%	26.47%	21.73%	24.77%	27.35%	23.82%	24.73%	25.24%	21.99%	26.13%	22.64%	23.57%	24.40%	24.73%	24.70%					
38	"21. ""Российская Конституционно-демократическая партия"""	126	0	1	1	0	2	0	2	3	0	2	2	0	0	1	2	0	2	3	1	2	1	2	0	0	1	1	3	3	1	53	2	0	3	2	0	1	0	1	2	2	1	2	1	2	0	1	1	2	1	2	2	1	0	0	1	1	0	0	0	0	1	2	3					
