Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Феодосийская городская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473									
		0.52%	0.73%	0.29%	0.00%	0.80%	0.57%	0.72%	0.69%	0.43%	0.57%	0.24%	0.26%	0.62%	0.75%	0.25%	0.70%	0.35%	0.69%	0.00%	0.51%	0.53%	0.18%	0.38%	0.44%	0.49%	0.48%	0.34%	0.39%	0.62%	0.39%	0.42%	0.84%	0.31%	0.55%	0.26%	0.61%	1.02%	0.51%	1.06%	1.10%	0.00%	0.66%	0.00%	0.00%	0.00%	1.84%	1.07%	0.99%	1.72%	3.33%	2.38%	1.96%									
24	"6. Политическая партия ""Гражданская Платформа"""	50	1	1	0	0	3	3	0	0	1	0	0	0	0	1	1	0	2	1	3	2	1	3	1	0	0	0	1	2	1	1	2	3	1	1	1	3	2	0	0	1	3	0	1	1	0	2	0	0	0	0	0									
		0.13%	0.12%	0.15%	0.00%	0.00%	0.28%	0.36%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.13%	0.10%	0.00%	0.20%	0.16%	0.31%	0.18%	0.09%	0.38%	0.11%	0.00%	0.00%	0.00%	0.10%	0.31%	0.10%	0.08%	0.34%	0.31%	0.14%	0.13%	0.09%	0.51%	0.25%	0.00%	0.00%	0.85%	0.25%	0.00%	0.21%	0.16%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6122	159	138	149	162	172	169	153	165	159	132	119	146	165	116	162	142	177	129	146	172	167	135	165	203	158	146	184	106	145	190	65	110	81	115	203	59	88	19	67	17	212	26	91	84	26	170	34	5	9	8	2									
		16.15%	19.39%	20.26%	20.05%	18.54%	16.23%	20.29%	17.71%	17.78%	18.17%	15.57%	15.51%	18.02%	15.48%	14.76%	16.10%	16.59%	17.54%	20.91%	14.88%	15.28%	15.18%	17.26%	18.29%	16.46%	15.13%	16.31%	17.99%	16.49%	14.27%	15.78%	10.94%	11.39%	11.10%	14.82%	17.79%	10.00%	11.18%	10.05%	14.76%	14.53%	17.54%	13.98%	19.44%	13.17%	15.95%	16.59%	11.26%	8.62%	30.00%	19.05%	3.92%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	169	3	4	3	7	4	6	3	4	0	6	7	2	1	4	3	2	2	0	8	0	7	3	7	5	3	4	7	5	6	4	0	1	4	8	7	0	5	2	2	1	9	0	1	2	3	3	0	0	0	0	1									
		0.45%	0.37%	0.59%	0.40%	0.80%	0.38%	0.72%	0.35%	0.43%	0.00%	0.71%	0.91%	0.25%	0.09%	0.51%	0.30%	0.23%	0.20%	0.00%	0.82%	0.00%	0.64%	0.38%	0.78%	0.41%	0.29%	0.45%	0.68%	0.78%	0.59%	0.33%	0.00%	0.10%	0.55%	1.03%	0.61%	0.00%	0.64%	1.06%	0.44%	0.85%	0.74%	0.00%	0.21%	0.31%	1.84%	0.29%	0.00%	0.00%	0.00%	0.00%	1.96%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	304	4	6	2	11	4	9	9	4	5	6	5	1	9	8	9	10	10	4	5	6	14	7	10	6	11	5	8	1	3	9	0	6	5	5	17	2	5	2	5	0	32	2	5	10	5	0	0	0	0	1	1									
		0.80%	0.49%	0.88%	0.27%	1.26%	0.38%	1.08%	1.04%	0.43%	0.57%	0.71%	0.65%	0.12%	0.84%	1.02%	0.89%	1.17%	0.99%	0.65%	0.51%	0.53%	1.27%	0.90%	1.11%	0.49%	1.05%	0.56%	0.78%	0.16%	0.30%	0.75%	0.00%	0.62%	0.68%	0.64%	1.49%	0.34%	0.64%	1.06%	1.10%	0.00%	2.65%	1.08%	1.07%	1.57%	3.07%	0.00%	0.00%	0.00%	0.00%	2.38%	1.96%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	28	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	2	0	0	0	1	2	1	1	2	1	0	0	0	1	2	0	0	0	0	0	0	3	1	2	1	0	3	0	0	0	0	0									
		0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.11%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.16%	0.00%	0.18%	0.00%	0.00%	0.00%	0.08%	0.19%	0.11%	0.10%	0.31%	0.10%	0.00%	0.00%	0.00%	0.14%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.54%	0.43%	0.16%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	176	2	2	5	2	2	4	8	3	4	4	8	1	12	6	1	2	6	4	5	3	4	7	2	6	7	3	2	0	7	1	3	4	3	4	7	4	2	0	2	3	10	0	0	2	4	3	2	0	0	0	0									
		0.46%	0.24%	0.29%	0.67%	0.23%	0.19%	0.48%	0.93%	0.32%	0.46%	0.47%	1.04%	0.12%	1.13%	0.76%	0.10%	0.23%	0.59%	0.65%	0.51%	0.27%	0.36%	0.90%	0.22%	0.49%	0.67%	0.34%	0.20%	0.00%	0.69%	0.08%	0.51%	0.41%	0.41%	0.52%	0.61%	0.68%	0.25%	0.00%	0.44%	2.56%	0.83%	0.00%	0.00%	0.31%	2.45%	0.29%	0.66%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2886	61	52	51	66	90	64	80	64	69	79	70	72	98	68	77	89	64	39	77	116	75	65	68	124	86	77	62	45	56	50	39	63	32	66	123	25	33	13	32	8	122	10	32	36	22	49	23	2	0	2	0									
		7.61%	7.44%	7.64%	6.86%	7.55%	8.49%	7.68%	9.26%	6.90%	7.89%	9.32%	9.13%	8.89%	9.19%	8.65%	7.65%	10.40%	6.34%	6.32%	7.85%	10.30%	6.82%	8.31%	7.54%	10.06%	8.24%	8.60%	6.06%	6.99%	5.51%	4.15%	6.57%	6.52%	4.38%	8.51%	10.78%	4.24%	4.19%	6.88%	7.05%	6.84%	10.09%	5.38%	6.84%	5.64%	13.50%	4.78%	7.62%	3.45%	0.00%	4.76%	0.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	102	2	5	0	2	2	7	0	0	1	4	3	1	2	0	1	1	2	2	3	4	5	1	2	0	1	2	0	1	3	4	1	4	3	2	3	3	3	0	1	0	6	1	2	3	0	8	0	1	0	0	0									
		0.27%	0.24%	0.73%	0.00%	0.23%	0.19%	0.84%	0.00%	0.00%	0.11%	0.47%	0.39%	0.12%	0.19%	0.00%	0.10%	0.12%	0.20%	0.32%	0.31%	0.36%	0.45%	0.13%	0.22%	0.00%	0.10%	0.22%	0.00%	0.16%	0.30%	0.33%	0.17%	0.41%	0.41%	0.26%	0.26%	0.51%	0.38%	0.00%	0.22%	0.00%	0.50%	0.54%	0.43%	0.47%	0.00%	0.78%	0.00%	1.72%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1193	19	21	16	24	25	15	29	35	41	26	18	15	40	45	42	40	33	27	30	36	28	25	23	59	33	26	24	20	31	23	15	13	24	41	33	10	19	10	13	7	51	6	20	22	7	14	14	2	0	3	0									
		3.15%	2.32%	3.08%	2.15%	2.75%	2.36%	1.80%	3.36%	3.77%	4.69%	3.07%	2.35%	1.85%	3.75%	5.73%	4.17%	4.67%	3.27%	4.38%	3.06%	3.20%	2.55%	3.20%	2.55%	4.79%	3.16%	2.91%	2.35%	3.11%	3.05%	1.91%	2.53%	1.35%	3.29%	5.28%	2.89%	1.69%	2.41%	5.29%	2.86%	5.98%	4.22%	3.23%	4.27%	3.45%	4.29%	1.37%	4.64%	3.45%	0.00%	7.14%	0.00%									
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
