Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Олюторская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22					
37	"20. ""Политическая партия ""Единая Россия"""	1457	96	278	361	224	145	83	117	153					
		45.09%	50.0%	42.12%	38.28%	60.21%	38.35%	41.08%	58.5%	53.87%					
38	"21. ""Российская Конституционно-демократическая партия"""	5	1	0	2	0	0	1	0	1					
		0.15%	0.52%	0.0%	0.21%	0.0%	0.0%	0.49%	0.0%	0.35%					
39	"22. ""Развитие предпринимательства"""	3	0	0	0	1	1	0	0	1					
		0.09%	0.0%	0.0%	0.0%	0.26%	0.26%	0.0%	0.0%	0.35%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	275	10	52	110	27	31	8	10	27					
		8.51%	5.20%	7.87%	11.66%	7.25%	8.20%	3.96%	5.0%	9.50%					
															
41	Против всех	153	24	22	43	6	12	12	13	21					
		4.73%	12.5%	3.33%	4.55%	1.61%	3.17%	5.94%	6.5%	7.39%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
