Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																						
Дата голосования: 04.12.2011																																																																						
																																																																						
Наименование Избирательной комиссии:    Зианчуринская																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980					
		2.56%	0.26%	0.00%	0.00%	0.34%	0.00%	0.00%	1.18%	0.00%	0.00%	0.84%	0.00%	0.00%	1.18%	1.38%	2.04%	0.61%	0.30%	0.54%	1.10%	0.00%	0.98%	0.72%	2.56%	4.31%	5.26%	1.89%	5.19%	3.70%	7.51%	0.95%	1.71%	0.44%	11.69%	1.89%	0.81%	1.92%	1.89%	1.68%	1.92%	1.18%	0.76%	1.11%	0.97%	2.35%	6.25%	11.32%	4.51%	0.00%	2.44%	0.00%	1.52%	9.21%	8.64%	0.00%	3.15%	1.79%	2.70%	6.38%	1.51%	2.39%	2.95%	0.00%	2.16%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	93	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	12	13	7	0	4	1	0	2	0	3	0	0	0	2	0	2	5	1	0	5	0	3	0	0	9	2	0	1	0	3	0	0	0	0	1	2	5	3	2	0	1					
		0.49%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.98%	0.00%	1.40%	0.98%	1.54%	0.00%	0.28%	0.93%	0.00%	0.21%	0.00%	0.65%	0.00%	0.00%	0.00%	1.28%	0.00%	0.42%	0.87%	0.20%	0.00%	0.93%	0.00%	0.64%	0.00%	0.00%	1.45%	2.33%	0.00%	1.33%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	2.70%	1.42%	1.26%	1.44%	0.74%	0.00%	0.72%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2129	139	10	8	28	28	26	23	0	22	11	2	8	7	20	6	51	7	2	5	3	6	9	107	173	78	39	296	5	32	57	4	60	16	5	36	10	5	22	65	33	6	38	6	38	18	1	123	12	4	2	3	210	11	11	53	35	6	13	15	20	32	0	8					
		11.28%	18.03%	8.06%	7.21%	9.49%	9.36%	20.97%	9.02%	0.00%	9.82%	3.09%	2.56%	11.76%	4.14%	9.17%	4.08%	15.50%	2.08%	1.08%	2.76%	1.69%	2.93%	6.52%	12.46%	13.09%	17.11%	14.72%	20.50%	4.63%	15.02%	6.00%	1.71%	13.07%	20.78%	9.43%	14.57%	6.41%	4.72%	4.62%	11.32%	6.50%	4.58%	7.05%	2.91%	8.10%	11.25%	1.89%	19.81%	13.95%	3.25%	2.67%	2.27%	26.85%	13.58%	15.07%	16.72%	8.97%	16.22%	9.22%	3.78%	9.57%	11.81%	0.00%	5.76%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	95	1	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	6	10	7	0	16	1	4	3	0	3	2	0	0	0	0	0	4	2	0	3	1	3	0	0	5	0	0	0	0	10	0	0	5	0	0	0	2	0	0	0	1					
		0.50%	0.13%	0.00%	0.00%	0.68%	0.00%	0.00%	0.39%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.98%	0.00%	0.70%	0.76%	1.54%	0.00%	1.11%	0.93%	1.88%	0.32%	0.00%	0.65%	2.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	0.39%	0.00%	0.56%	0.49%	0.64%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%	1.28%	0.00%	0.00%	1.58%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.72%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15152	621	112	103	259	271	98	217	63	201	334	76	60	150	186	136	273	328	179	171	172	189	128	644	991	275	204	896	89	125	856	223	366	47	44	196	134	99	414	436	461	121	469	194	404	129	43	415	66	116	65	121	406	59	58	226	348	27	107	358	172	222	77	122					
		80.28%	80.54%	90.32%	92.79%	87.80%	90.64%	79.03%	85.10%	100.00%	89.73%	93.82%	97.44%	88.24%	88.76%	85.32%	92.52%	82.98%	97.33%	96.24%	94.48%	97.18%	92.20%	92.75%	74.97%	74.96%	60.31%	76.98%	62.05%	82.41%	58.69%	90.11%	95.30%	79.74%	61.04%	83.02%	79.35%	85.90%	93.40%	86.97%	75.96%	90.75%	92.37%	87.01%	94.17%	86.14%	80.63%	81.13%	66.83%	76.74%	94.31%	86.67%	91.67%	51.92%	72.84%	79.45%	71.29%	89.23%	72.97%	75.89%	90.18%	82.30%	81.92%	95.06%	87.77%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	43	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	7	0	0	1	0	3	0	0	0	0	0	11	3	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	4	0	1	0	0					
		0.23%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.66%	0.00%	0.48%	0.00%	0.00%	0.11%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	2.31%	0.52%	0.20%	0.76%	0.00%	0.00%	0.00%	0.63%	0.00%	0.16%	0.00%	0.00%	0.00%	0.76%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	1.01%	0.00%	0.37%	0.00%	0.00%					
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
