Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																										
Дата голосования: 07.12.2003 0:00:00																																										
																																										
Наименование Избирательной комиссии:    Пестречинская																																										
																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																										
																																										
		Сумма	УИК  2411	УИК  2412	УИК  2413	УИК  2414	УИК  2415	УИК  2416	УИК  2417	УИК  2418	УИК  2419	УИК  2420	УИК  2421	УИК  2422	УИК  2423	УИК  2424	УИК  2425	УИК  2426	УИК  2427	УИК  2428	УИК  2429	УИК  2430	УИК  2431	УИК  2432	УИК  2433	УИК  2434	УИК  2435	УИК  2436	УИК  2437	УИК  2438	УИК  2439	УИК  2440	УИК  2441	УИК  2442	УИК  2443	УИК  2444	УИК  2445					
		0.35%	0.0%	0.51%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.73%	0.0%	0.68%	0.40%	0.0%	0.0%	0.0%	0.0%	0.37%	0.49%	0.0%	0.45%	0.40%	0.67%	1.15%	0.0%	0.83%	0.35%	0.0%	0.33%	1.36%	0.38%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	40	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	5	0	2	0	0	1	4	0	5	1	6	1	0	2	1	0	2	3	1	0					
		0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.49%	0.0%	0.08%	0.68%	0.0%	1.08%	0.0%	0.0%	0.18%	0.49%	0.0%	0.45%	0.10%	0.67%	0.38%	0.0%	0.33%	0.17%	0.0%	0.16%	0.29%	0.38%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	47	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	7	0	0	1	0	6	0	0	5	3	8	0	0	7	1	0	0	2	2	0					
		0.24%	0.0%	0.0%	0.42%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.95%	0.0%	0.0%	0.31%	0.0%	1.12%	0.0%	0.0%	0.45%	0.30%	0.89%	0.0%	0.0%	1.16%	0.17%	0.0%	0.0%	0.19%	0.77%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	62	0	1	7	0	0	0	0	0	0	0	0	0	1	0	0	7	0	2	3	0	6	6	0	10	6	11	0	0	0	2	0	0	0	0	0					
		0.32%	0.0%	0.51%	0.99%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.95%	0.0%	1.08%	0.94%	0.0%	1.12%	0.73%	0.0%	0.90%	0.60%	1.23%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	16	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	1	0	4	2	2	0	0	0	0	0	0	0	0	0					
		0.08%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.12%	0.0%	0.36%	0.20%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	1	0	3	0	0	1	1	0	0	1	0	0					
		0.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.31%	0.0%	0.0%	0.24%	0.0%	0.09%	0.0%	0.33%	0.0%	0.0%	0.16%	0.17%	0.0%	0.0%	0.09%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	16	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	4	0	4	0	2	1	0	1	0	0	0	0	0	0					
		0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.31%	0.0%	0.0%	0.49%	0.0%	0.36%	0.0%	0.22%	0.38%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0					
		0.01%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.02%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.08%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	60	0	0	2	3	0	0	1	0	0	0	0	1	3	0	2	3	1	1	1	1	0	1	0	7	3	9	1	0	6	3	0	3	5	1	2					
		0.31%	0.0%	0.0%	0.28%	1.35%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	0.0%	0.07%	0.73%	0.0%	0.17%	0.40%	0.51%	0.54%	0.31%	0.25%	0.0%	0.12%	0.0%	0.63%	0.30%	1.00%	0.38%	0.0%	0.99%	0.53%	0.0%	0.24%	0.48%	0.38%	0.48%					
28	"11. ""Истинные патриоты России"""	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	3	0	1	1	0	0	0	1	0	0					
		0.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.62%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.33%	0.0%	0.52%	0.16%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	1	0	0	3	11	11	1	0	2	2	0	0	0	0	0					
		0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.31%	0.0%	0.18%	0.0%	0.0%	0.27%	1.11%	1.23%	0.38%	0.0%	0.33%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	4	1	0	0	0	0	0	0	0	0	0	2	0	0	0					
		0.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.31%	0.0%	0.75%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	18	0	2	9	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0					
		0.09%	0.0%	1.02%	1.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.22%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	80	0	0	0	0	0	0	0	1	0	0	0	2	1	0	2	4	0	3	7	0	14	7	1	11	4	10	1	0	3	2	0	1	5	1	0					
		0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.15%	0.24%	0.0%	0.17%	0.54%	0.0%	1.62%	2.21%	0.0%	2.63%	0.85%	0.08%	0.99%	0.40%	1.12%	0.38%	0.0%	0.49%	0.35%	0.0%	0.08%	0.48%	0.38%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	4	1	3	0	0	0	1	0	2	1	1	0					
		0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.36%	0.10%	0.33%	0.0%	0.0%	0.0%	0.17%	0.0%	0.16%	0.09%	0.38%	0.0%					
35	"18. ""ЛДПР"""	223	5	4	8	0	7	0	0	0	2	0	0	6	3	2	10	6	2	3	9	0	14	12	26	30	36	11	5	1	3	10	0	2	4	1	1					
		1.15%	2.76%	2.05%	1.14%	0.0%	2.17%	0.0%	0.0%	0.0%	0.88%	0.0%	0.0%	0.45%	0.73%	0.27%	0.86%	0.81%	1.02%	1.62%	2.84%	0.0%	2.63%	1.47%	2.30%	2.72%	3.65%	1.23%	1.92%	0.52%	0.49%	1.76%	0.0%	0.16%	0.38%	0.38%	0.24%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	256	7	0	11	1	3	0	0	0	1	2	1	2	32	10	22	15	1	0	20	0	22	17	10	21	10	18	0	0	4	14	1	3	6	0	2					
		1.32%	3.86%	0.0%	1.56%	0.45%	0.93%	0.0%	0.0%	0.0%	0.44%	0.74%	0.12%	0.15%	7.88%	1.35%	1.89%	2.04%	0.51%	0.0%	6.32%	0.0%	4.14%	2.08%	0.88%	1.90%	1.01%	2.01%	0.0%	0.0%	0.66%	2.47%	0.27%	0.24%	0.58%	0.0%	0.48%					
37	"20. ""Политическая партия ""Единая Россия"""	17382	167	185	614	212	301	113	166	322	215	265	811	1288	270	723	1045	647	174	160	236	392	409	707	1003	877	856	714	188	190	547	510	355	1144	954	246	376					
		89.87%	92.26%	94.87%	87.58%	95.49%	93.47%	98.26%	99.40%	96.98%	94.71%	98.14%	98.42%	98.32%	66.50%	98.10%	90.00%	88.02%	89.23%	86.48%	74.68%	98.98%	77.02%	86.74%	89.07%	79.58%	86.99%	80.04%	72.30%	98.95%	90.86%	90.10%	97.26%	94.46%	92.80%	94.98%	91.70%					
38	"21. ""Российская Конституционно-демократическая партия"""	27	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	2	1	0	0	1	9	1	2	2	0	0	3	1	0	0	0	0	0					
		0.13%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.13%	0.0%	1.08%	0.31%	0.0%	0.0%	0.12%	0.79%	0.09%	0.20%	0.22%	0.0%	0.0%	0.49%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	40	0	0	3	0	2	0	0	1	0	1	0	0	0	0	3	0	0	0	3	0	2	3	4	3	1	8	0	0	0	0	0	1	4	1	0					
		0.20%	0.0%	0.0%	0.42%	0.0%	0.62%	0.0%	0.0%	0.30%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.94%	0.0%	0.37%	0.36%	0.35%	0.27%	0.10%	0.89%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.38%	0.38%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	635	1	2	14	2	5	2	0	5	3	0	11	4	79	2	22	31	0	6	15	2	42	42	32	89	25	53	46	0	10	13	7	37	21	4	8					
		3.28%	0.55%	1.02%	1.99%	0.90%	1.55%	1.73%	0.0%	1.50%	1.32%	0.0%	1.33%	0.30%	19.45%	0.27%	1.89%	4.21%	0.0%	3.24%	4.74%	0.50%	7.90%	5.15%	2.84%	8.07%	2.54%	5.94%	17.69%	0.0%	1.66%	2.29%	1.91%	3.05%	2.04%	1.54%	1.95%					
																																										
41	Против всех	125	1	0	0	1	4	0	0	2	0	2	0	2	6	0	17	0	0	3	8	1	6	0	18	11	7	5	11	0	5	1	1	2	4	0	7					
		0.64%	0.55%	0.0%	0.0%	0.45%	1.24%	0.0%	0.0%	0.60%	0.0%	0.74%	0.0%	0.15%	1.47%	0.0%	1.46%	0.0%	0.0%	1.62%	2.53%	0.25%	1.12%	0.0%	1.59%	0.99%	0.71%	0.56%	4.23%	0.0%	0.83%	0.17%	0.27%	0.16%	0.38%	0.0%	1.70%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
