Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																								
Дата голосования: 18.09.2016																																																																								
																																																																								
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №1																																																																								
																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																								
																																																																								
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1426	13	26	17	10	19	11	7	14	8	25	0	25	14	17	48	17	20	16	31	24	21	22	3	7	105	3	22	17	20	21	37	14	9	24	45	8	14	7	12	45	54	27	77	11	68	41	21	15	34	13	23	62	19	15	14	13	20	23	18	13	27									
14	Число погашенных неиспользованных открепительных удостоверений	817	17	22	21	12	17	16	20	14	9	14	18	14	20	8	9	14	18	16	9	9	21	16	13	6	2	14	9	11	11	18	6	11	13	12	11	12	6	14	12	16	16	12	3	6	14	23	11	10	16	23	22	19	8	5	9	12	18	8	18	14	19									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	212	1	4	10	0	1	5	0	3	2	2	6	5	3	2	3	4	4	0	2	0	5	1	4	2	4	3	2	2	5	2	10	7	6	6	1	2	5	2	3	4	2	1	14	2	6	1	2	1	3	5	6	3	8	3	6	2	2	0	2	0	10									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	975	11	9	18	10	18	13	20	10	17	13	20	5	17	26	17	6	19	11	18	10	14	13	10	21	18	8	22	13	22	12	34	23	22	21	9	18	13	17	7	26	6	31	24	20	28	19	24	13	19	21	19	18	16	13	7	21	13	9	10	8	5									
		2.75%	1.89%	1.87%	2.58%	3.16%	3.03%	2.70%	2.81%	1.86%	3.68%	2.50%	2.32%	1.77%	2.93%	4.16%	2.31%	0.96%	3.15%	2.22%	3.11%	1.95%	2.26%	2.17%	2.58%	4.59%	2.47%	2.99%	4.68%	2.23%	4.33%	2.40%	2.61%	2.49%	2.64%	2.80%	2.47%	3.24%	3.36%	3.05%	1.23%	4.33%	2.43%	5.51%	1.94%	2.20%	3.84%	3.39%	3.31%	4.00%	3.10%	3.41%	3.70%	2.86%	2.53%	2.16%	1.72%	2.90%	1.99%	2.51%	2.10%	2.42%	1.21%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	491	5	4	12	7	10	5	8	13	6	7	19	2	7	7	5	14	15	2	11	4	13	10	4	12	10	7	4	7	6	0	20	6	8	16	8	6	2	9	8	7	2	9	17	9	7	7	2	5	7	10	11	11	7	11	5	7	9	5	11	6	7									
		1.38%	0.86%	0.83%	1.72%	2.22%	1.68%	1.04%	1.12%	2.41%	1.30%	1.35%	2.21%	0.71%	1.21%	1.12%	0.68%	2.24%	2.49%	0.40%	1.90%	0.78%	2.10%	1.67%	1.03%	2.62%	1.37%	2.61%	0.85%	1.20%	1.18%	0.00%	1.54%	0.65%	0.96%	2.13%	2.20%	1.08%	0.52%	1.61%	1.40%	1.17%	0.81%	1.60%	1.37%	0.99%	0.96%	1.25%	0.28%	1.54%	1.14%	1.62%	2.14%	1.75%	1.11%	1.83%	1.23%	0.97%	1.38%	1.40%	2.31%	1.82%	1.69%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	783	14	8	14	6	20	16	22	7	10	9	16	7	20	15	18	19	14	15	10	8	11	21	7	7	14	9	6	8	9	4	11	14	15	14	13	13	10	9	17	14	10	13	24	10	14	11	15	8	17	11	16	16	12	32	13	9	14	10	15	8	11									
		2.20%	2.41%	1.66%	2.01%	1.90%	3.36%	3.33%	3.09%	1.30%	2.16%	1.73%	1.86%	2.48%	3.45%	2.40%	2.45%	3.04%	2.32%	3.03%	1.73%	1.56%	1.77%	3.50%	1.80%	1.53%	1.92%	3.36%	1.28%	1.37%	1.77%	0.80%	0.84%	1.52%	1.80%	1.87%	3.57%	2.34%	2.58%	1.61%	2.98%	2.33%	4.05%	2.31%	1.94%	1.10%	1.92%	1.96%	2.07%	2.46%	2.78%	1.79%	3.11%	2.54%	1.90%	5.32%	3.19%	1.24%	2.14%	2.79%	3.15%	2.42%	2.66%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13506	201	170	233	117	221	162	294	184	151	191	303	90	181	198	326	220	205	210	215	195	189	211	135	172	238	91	131	275	159	191	730	474	296	341	129	187	124	199	180	203	89	184	647	235	291	195	253	129	245	216	192	189	245	219	167	328	326	134	175	120	205									
		38.03%	34.60%	35.34%	33.43%	37.03%	37.14%	33.68%	41.23%	34.14%	32.68%	36.73%	35.19%	31.91%	31.21%	31.68%	44.35%	35.26%	33.99%	42.42%	37.20%	38.01%	30.48%	35.17%	34.79%	37.55%	32.69%	33.96%	27.87%	47.25%	31.30%	38.28%	56.07%	51.41%	35.58%	45.47%	35.44%	33.69%	32.04%	35.66%	31.58%	33.83%	36.03%	32.68%	52.18%	25.80%	39.92%	34.76%	34.90%	39.69%	40.03%	35.06%	37.35%	30.05%	38.77%	36.38%	40.93%	45.24%	49.92%	37.43%	36.76%	36.36%	49.52%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	601	11	11	15	4	7	10	16	2	9	10	17	2	9	11	16	19	24	2	7	8	15	15	5	10	19	2	5	6	4	11	14	11	11	21	3	8	9	3	12	9	5	4	14	14	9	12	11	8	10	11	10	17	9	6	1	14	9	10	11	4	9									
		1.69%	1.89%	2.29%	2.15%	1.27%	1.18%	2.08%	2.24%	0.37%	1.95%	1.92%	1.97%	0.71%	1.55%	1.76%	2.18%	3.04%	3.98%	0.40%	1.21%	1.56%	2.42%	2.50%	1.29%	2.18%	2.61%	0.75%	1.06%	1.03%	0.79%	2.20%	1.08%	1.19%	1.32%	2.80%	0.82%	1.44%	2.33%	0.54%	2.11%	1.50%	2.02%	0.71%	1.13%	1.54%	1.23%	2.14%	1.52%	2.46%	1.63%	1.79%	1.95%	2.70%	1.42%	0.99%	0.25%	1.93%	1.38%	2.79%	2.31%	1.21%	2.17%									
24	"6. Политическая партия ""Гражданская Платформа"""	122	2	0	2	1	1	0	1	3	2	3	4	1	8	3	2	0	1	1	5	2	2	2	2	0	1	0	1	1	2	2	5	3	0	1	3	2	2	6	0	0	0	0	2	2	3	2	1	1	2	1	1	2	2	3	2	4	1	2	11	2	1									
		0.34%	0.34%	0.00%	0.29%	0.32%	0.17%	0.00%	0.14%	0.56%	0.43%	0.58%	0.46%	0.35%	1.38%	0.48%	0.27%	0.00%	0.17%	0.20%	0.87%	0.39%	0.32%	0.33%	0.52%	0.00%	0.14%	0.00%	0.21%	0.17%	0.39%	0.40%	0.38%	0.33%	0.00%	0.13%	0.82%	0.36%	0.52%	1.08%	0.00%	0.00%	0.00%	0.00%	0.16%	0.22%	0.41%	0.36%	0.14%	0.31%	0.33%	0.16%	0.19%	0.32%	0.32%	0.50%	0.49%	0.55%	0.15%	0.56%	2.31%	0.61%	0.24%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4072	58	64	73	31	73	52	76	40	45	48	125	33	52	86	82	65	69	43	35	53	54	60	39	42	84	19	43	53	38	42	159	110	103	72	34	65	39	65	67	60	31	47	146	353	75	70	66	37	66	71	52	70	67	71	56	104	79	34	46	33	47									
		11.47%	9.98%	13.31%	10.47%	9.81%	12.27%	10.81%	10.66%	7.42%	9.74%	9.23%	14.52%	11.70%	8.97%	13.76%	11.16%	10.42%	11.44%	8.69%	6.06%	10.33%	8.71%	10.00%	10.05%	9.17%	11.54%	7.09%	9.15%	9.11%	7.48%	8.42%	12.21%	11.93%	12.38%	9.60%	9.34%	11.71%	10.08%	11.65%	11.75%	10.00%	12.55%	8.35%	11.77%	38.75%	10.29%	12.48%	9.10%	11.38%	10.78%	11.53%	10.12%	11.13%	10.60%	11.79%	13.73%	14.34%	12.10%	9.50%	9.66%	10.00%	11.35%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	948	17	11	25	12	15	12	18	14	20	25	17	8	21	17	20	19	15	23	10	15	31	20	11	17	27	7	14	16	13	12	15	24	20	16	7	13	13	20	15	19	8	20	14	7	13	6	26	5	15	18	8	17	13	22	14	30	12	10	6	13	7									
		2.67%	2.93%	2.29%	3.59%	3.80%	2.52%	2.49%	2.52%	2.60%	4.33%	4.81%	1.97%	2.84%	3.62%	2.72%	2.72%	3.04%	2.49%	4.65%	1.73%	2.92%	5.00%	3.33%	2.84%	3.71%	3.71%	2.61%	2.98%	2.75%	2.56%	2.40%	1.15%	2.60%	2.40%	2.13%	1.92%	2.34%	3.36%	3.58%	2.63%	3.17%	3.24%	3.55%	1.13%	0.77%	1.78%	1.07%	3.59%	1.54%	2.45%	2.92%	1.56%	2.70%	2.06%	3.65%	3.43%	4.14%	1.84%	2.79%	1.26%	3.94%	1.69%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	2929	49	50	74	26	42	49	56	63	50	51	52	34	46	54	41	48	52	42	59	39	74	45	37	30	68	24	53	32	60	51	55	42	69	48	32	63	27	50	54	48	16	57	60	66	68	66	66	23	55	54	48	68	60	48	29	33	31	31	54	27	30									
		8.25%	8.43%	10.40%	10.62%	8.23%	7.06%	10.19%	7.85%	11.69%	10.82%	9.81%	6.04%	12.06%	7.93%	8.64%	5.58%	7.69%	8.62%	8.48%	10.21%	7.60%	11.94%	7.50%	9.54%	6.55%	9.34%	8.96%	11.28%	5.50%	11.81%	10.22%	4.22%	4.56%	8.29%	6.40%	8.79%	11.35%	6.98%	8.96%	9.47%	8.00%	6.48%	10.12%	4.84%	7.24%	9.33%	11.76%	9.10%	7.08%	8.99%	8.77%	9.34%	10.81%	9.49%	7.97%	7.11%	4.55%	4.75%	8.66%	11.34%	8.18%	7.25%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	99	2	2	3	3	2	2	2	0	1	3	3	0	2	2	0	1	1	2	1	0	2	1	2	1	1	1	0	0	2	0	3	6	4	3	0	2	0	2	0	4	1	0	8	0	1	0	2	0	1	0	2	2	2	2	4	2	0	3	2	0	1									
		0.28%	0.34%	0.42%	0.43%	0.95%	0.34%	0.42%	0.28%	0.00%	0.22%	0.58%	0.35%	0.00%	0.34%	0.32%	0.00%	0.16%	0.17%	0.40%	0.17%	0.00%	0.32%	0.17%	0.52%	0.22%	0.14%	0.37%	0.00%	0.00%	0.39%	0.00%	0.23%	0.65%	0.48%	0.40%	0.00%	0.36%	0.00%	0.36%	0.00%	0.67%	0.40%	0.00%	0.65%	0.00%	0.14%	0.00%	0.28%	0.00%	0.16%	0.00%	0.39%	0.32%	0.32%	0.33%	0.98%	0.28%	0.00%	0.84%	0.42%	0.00%	0.24%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4604	86	68	104	29	77	67	80	92	75	77	130	42	88	100	67	98	64	60	90	84	108	77	68	67	110	54	95	78	99	87	110	91	125	74	50	64	76	74	101	86	33	77	112	81	100	67	107	46	59	82	46	93	80	50	34	56	55	45	34	48	27									
		12.96%	14.80%	14.14%	14.92%	9.18%	12.94%	13.93%	11.22%	17.07%	16.23%	14.81%	15.10%	14.89%	15.17%	16.00%	9.12%	15.71%	10.61%	12.12%	15.57%	16.37%	17.42%	12.83%	17.53%	14.63%	15.11%	20.15%	20.21%	13.40%	19.49%	17.43%	8.45%	9.87%	15.02%	9.87%	13.74%	11.53%	19.64%	13.26%	17.72%	14.33%	13.36%	13.68%	9.03%	8.89%	13.72%	11.94%	14.76%	14.15%	9.64%	13.31%	8.95%	14.79%	12.66%	8.31%	8.33%	7.72%	8.42%	12.57%	7.14%	14.55%	6.52%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3801	60	54	76	38	61	57	61	64	42	57	102	27	76	60	92	76	74	55	81	52	50	84	40	52	79	32	45	49	60	56	89	58	94	76	47	64	47	64	78	77	22	66	106	62	88	66	92	27	70	73	66	74	74	65	44	64	64	34	58	41	39									
		10.70%	10.33%	11.23%	10.90%	12.03%	10.25%	11.85%	8.56%	11.87%	9.09%	10.96%	11.85%	9.57%	13.10%	9.60%	12.52%	12.18%	12.27%	11.11%	14.01%	10.14%	8.06%	14.00%	10.31%	11.35%	10.85%	11.94%	9.57%	8.42%	11.81%	11.22%	6.84%	6.29%	11.30%	10.13%	12.91%	11.53%	12.14%	11.47%	13.68%	12.83%	8.91%	11.72%	8.55%	6.81%	12.07%	11.76%	12.69%	8.31%	11.44%	11.85%	12.84%	11.76%	11.71%	10.80%	10.78%	8.83%	9.80%	9.50%	12.18%	12.42%	9.42%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	129	4	0	2	0	1	2	2	1	1	1	2	4	5	1	2	4	0	0	2	1	1	3	1	3	3	1	2	5	2	1	3	5	2	4	1	3	1	1	2	2	2	4	2	1	3	0	6	2	3	1	2	2	3	4	3	4	3	2	0	0	1									
		0.36%	0.69%	0.00%	0.29%	0.00%	0.17%	0.42%	0.28%	0.19%	0.22%	0.19%	0.23%	1.42%	0.86%	0.16%	0.27%	0.64%	0.00%	0.00%	0.35%	0.19%	0.16%	0.50%	0.26%	0.66%	0.41%	0.37%	0.43%	0.86%	0.39%	0.20%	0.23%	0.54%	0.24%	0.53%	0.27%	0.54%	0.26%	0.18%	0.35%	0.33%	0.81%	0.71%	0.16%	0.11%	0.41%	0.00%	0.83%	0.62%	0.49%	0.16%	0.39%	0.32%	0.47%	0.66%	0.74%	0.55%	0.46%	0.56%	0.00%	0.00%	0.24%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1612	28	20	32	18	33	19	46	34	21	21	32	24	35	35	27	23	35	20	20	30	40	27	17	19	38	7	26	18	22	18	31	32	40	28	20	21	18	25	23	32	17	34	34	31	23	34	35	16	30	38	25	35	28	35	22	26	20	16	23	15	20									
		4.54%	4.82%	4.16%	4.59%	5.70%	5.55%	3.95%	6.45%	6.31%	4.55%	4.04%	3.72%	8.51%	6.03%	5.60%	3.67%	3.69%	5.80%	4.04%	3.46%	5.85%	6.45%	4.50%	4.38%	4.15%	5.22%	2.61%	5.53%	3.09%	4.33%	3.61%	2.38%	3.47%	4.81%	3.73%	5.49%	3.78%	4.65%	4.48%	4.04%	5.33%	6.88%	6.04%	2.74%	3.40%	3.16%	6.06%	4.83%	4.92%	4.90%	6.17%	4.86%	5.56%	4.43%	5.81%	5.39%	3.59%	3.06%	4.47%	4.83%	4.55%	4.83%									
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
