Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    Тазовская																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	128	4	4	5	9	7	5	28	35	16	15									
		0.99%	0.39%	0.60%	0.27%	1.72%	0.79%	0.59%	2.01%	1.84%	0.75%	0.87%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9034	704	481	1219	358	629	611	961	1477	1424	1170									
		69.87%	68.82%	72.01%	66.43%	68.45%	70.83%	72.05%	68.94%	77.66%	66.82%	68.14%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	65	2	5	5	5	2	1	12	15	9	9									
		0.50%	0.20%	0.75%	0.27%	0.96%	0.23%	0.12%	0.86%	0.79%	0.42%	0.52%									
24	"6. Политическая партия ""Гражданская Платформа"""	45	5	0	3	6	3	2	9	11	2	4									
		0.35%	0.49%	0.00%	0.16%	1.15%	0.34%	0.24%	0.65%	0.58%	0.09%	0.23%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1680	154	100	338	57	146	103	84	141	315	242									
		12.99%	15.05%	14.97%	18.42%	10.90%	16.44%	12.15%	6.03%	7.41%	14.78%	14.09%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	58	3	4	4	4	3	2	11	11	3	13									
		0.45%	0.29%	0.60%	0.22%	0.76%	0.34%	0.24%	0.79%	0.58%	0.14%	0.76%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	83	2	3	3	5	3	3	14	16	23	11									
		0.64%	0.20%	0.45%	0.16%	0.96%	0.34%	0.35%	1.00%	0.84%	1.08%	0.64%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	35	1	2	2	3	2	5	5	9	1	5									
		0.27%	0.10%	0.30%	0.11%	0.57%	0.23%	0.59%	0.36%	0.47%	0.05%	0.29%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	69	4	4	3	3	2	3	6	16	19	9									
		0.53%	0.39%	0.60%	0.16%	0.57%	0.23%	0.35%	0.43%	0.84%	0.89%	0.52%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	507	42	27	78	21	19	6	82	72	84	76									
		3.92%	4.11%	4.04%	4.25%	4.02%	2.14%	0.71%	5.88%	3.79%	3.94%	4.43%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	60	7	2	4	3	3	7	16	6	4	8									
		0.46%	0.68%	0.30%	0.22%	0.57%	0.34%	0.83%	1.15%	0.32%	0.19%	0.47%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	746	75	26	146	38	23	29	110	34	167	98									
		5.77%	7.33%	3.89%	7.96%	7.27%	2.59%	3.42%	7.89%	1.79%	7.84%	5.71%									
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
