Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																															
Дата голосования: 07.12.2003 0:00:00																																																																															
																																																																															
Наименование Избирательной комиссии:    Любинская																																																																															
																																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																															
																																																																															
		Сумма	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	430	10	1	2	1	2	8	2	2	1	8	2	4	1	1	8	1	2	2	1	8	2	2	2	2	8	3	2	10	2	2	15	12	12	10	12	12	10	10	12	10	10	8	10	2	10	2	5	10	2	10	2	2	43	2	3	8	2	2	12	2	10	2	8	2	2	30	2	2	2	2	2	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	188	4	0	0	0	0	5	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	2	0	0	5	3	0	9	0	1	2	4	0	1	12	7	4	2	7	4	2	2	8	2	0	1	0	1	0	10	0	0	35	0	0	3	1	0	12	0	0	0	4	0	0	27	0	0	0	0	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	128	2	0	0	0	2	2	0	2	1	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	3	1	0	5	0	0	2	5	1	1	11	4	2	5	0	4	1	8	10	2	2	5	3	8	0	4	1	3	5	1	2	0	1	0	3	0	4	2	0	1	0	3	0	0	0	0	0	1					
14	Число погашенных открепительных удостоверений	242	6	1	2	1	2	3	2	2	1	5	2	1	1	1	8	1	2	2	1	8	2	0	2	2	3	0	2	1	2	1	13	8	12	9	0	5	6	8	5	6	8	6	2	0	10	1	5	9	2	0	2	2	8	2	3	5	1	2	0	2	10	2	4	2	2	3	2	2	2	2	2	0					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																															
18	"1. ""ЕДИНЕНИЕ"""	476	15	1	6	0	6	9	3	0	0	9	0	2	4	0	10	0	4	0	0	11	3	5	1	7	11	5	10	14	2	3	31	11	16	2	13	17	17	11	10	16	5	11	17	4	26	2	4	12	3	14	8	2	2	2	1	11	2	5	14	0	9	2	6	7	8	7	2	0	0	3	0	2					
		2.13%	1.93%	1.19%	5.82%	0.0%	2.79%	2.52%	3.79%	0.0%	0.0%	1.98%	0.0%	1.49%	8.88%	0.0%	2.84%	0.0%	3.44%	0.0%	0.0%	2.68%	2.67%	4.31%	1.13%	4.37%	2.48%	1.80%	4.67%	2.01%	1.08%	1.36%	2.83%	1.14%	1.96%	0.60%	1.67%	2.15%	3.13%	1.52%	1.32%	4.51%	1.28%	3.70%	3.46%	2.22%	4.51%	1.14%	1.88%	1.61%	1.63%	3.46%	5.44%	1.66%	0.49%	1.63%	1.04%	3.97%	1.29%	2.65%	1.64%	0.0%	2.0%	2.0%	1.58%	5.14%	6.20%	1.12%	2.06%	0.0%	0.0%	1.06%	0.0%	1.55%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	385	9	0	0	0	0	5	1	3	1	3	0	0	0	0	1	0	0	1	0	13	2	6	0	2	16	6	4	14	1	4	22	32	30	11	22	25	17	14	11	6	10	10	11	5	11	0	2	13	2	1	4	0	0	0	0	1	0	1	9	1	1	1	6	0	3	8	1	0	0	1	1	0					
		1.72%	1.15%	0.0%	0.0%	0.0%	0.0%	1.40%	1.26%	2.5%	1.53%	0.66%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.94%	0.0%	3.17%	1.78%	5.17%	0.0%	1.25%	3.61%	2.16%	1.86%	2.01%	0.54%	1.82%	2.01%	3.31%	3.69%	3.34%	2.83%	3.16%	3.13%	1.94%	1.46%	1.69%	2.56%	3.36%	2.24%	2.77%	1.90%	0.0%	0.94%	1.74%	1.09%	0.24%	2.72%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.53%	1.06%	0.57%	0.22%	1.0%	1.58%	0.0%	2.32%	1.28%	1.03%	0.0%	0.0%	0.35%	1.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	706	22	0	2	0	1	17	0	0	0	4	0	3	1	1	3	0	0	1	3	13	3	7	5	15	9	6	8	22	5	7	43	33	36	15	28	31	34	22	31	13	21	12	11	10	10	4	18	27	4	12	2	3	2	0	1	5	1	5	26	2	17	4	19	8	2	23	6	0	0	4	2	1					
		3.16%	2.83%	0.0%	1.94%	0.0%	0.46%	4.76%	0.0%	0.0%	0.0%	0.88%	0.0%	2.23%	2.22%	1.56%	0.85%	0.0%	0.0%	0.94%	3.0%	3.17%	2.67%	6.03%	5.68%	9.37%	2.03%	2.16%	3.73%	3.16%	2.70%	3.19%	3.93%	3.42%	4.42%	4.55%	3.61%	3.92%	6.27%	3.05%	4.12%	3.67%	5.38%	4.04%	2.24%	5.55%	1.73%	2.28%	8.49%	3.63%	2.18%	2.97%	1.36%	2.5%	0.49%	0.0%	1.04%	1.80%	0.64%	2.65%	3.06%	1.14%	3.77%	4.0%	5.02%	5.88%	1.55%	3.69%	6.18%	0.0%	0.0%	1.42%	2.0%	0.77%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	318	9	0	0	0	0	4	0	1	0	0	0	2	0	0	0	0	0	0	0	12	6	4	2	2	11	0	3	9	1	1	15	13	8	7	26	27	3	17	20	15	6	5	19	11	5	1	5	9	0	2	4	0	0	0	0	3	1	0	6	1	3	0	4	0	0	12	0	1	0	1	0	1					
		1.42%	1.15%	0.0%	0.0%	0.0%	0.0%	1.12%	0.0%	0.83%	0.0%	0.0%	0.0%	1.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.92%	5.35%	3.44%	2.27%	1.25%	2.48%	0.0%	1.40%	1.29%	0.54%	0.45%	1.37%	1.34%	0.98%	2.12%	3.35%	3.42%	0.55%	2.36%	2.65%	4.23%	1.53%	1.68%	3.86%	6.11%	0.86%	0.57%	2.35%	1.21%	0.0%	0.49%	2.72%	0.0%	0.0%	0.0%	0.0%	1.08%	0.64%	0.0%	0.70%	0.57%	0.66%	0.0%	1.05%	0.0%	0.0%	1.92%	0.0%	0.87%	0.0%	0.35%	0.0%	0.77%					
22	"5. ""За Русь Святую"""	79	2	0	1	0	1	5	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	3	1	4	0	1	2	1	0	0	1	0	4	3	4	1	2	4	4	1	3	0	3	0	3	1	0	0	0	0	0	0	0	1	2	2	3	0	0	1	0	2	1	5	1	0	0	0	0	0					
		0.35%	0.25%	0.0%	0.97%	0.0%	0.46%	1.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	1.21%	0.0%	0.0%	0.0%	1.87%	0.22%	1.44%	0.0%	0.14%	1.08%	0.45%	0.0%	0.0%	0.12%	0.0%	0.51%	0.38%	0.73%	0.13%	0.26%	1.12%	1.02%	0.33%	0.61%	0.0%	0.52%	0.0%	1.41%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	1.29%	1.06%	0.35%	0.0%	0.0%	1.0%	0.0%	1.47%	0.77%	0.80%	1.03%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	50	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	1	1	0	3	0	1	0	1	4	1	5	0	3	2	0	0	2	1	2	1	3	1	1	1	0	1	0	0	0	0	0	1	0	0	2	0	3	0	0	0	0	1	0	0	3	0	0	0					
		0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.89%	1.72%	0.0%	0.0%	0.22%	0.36%	0.0%	0.43%	0.0%	0.45%	0.0%	0.10%	0.49%	0.30%	0.64%	0.0%	0.55%	0.27%	0.0%	0.0%	0.51%	0.33%	0.40%	0.55%	0.52%	0.57%	0.47%	0.13%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.23%	0.0%	0.66%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	2.47%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	112	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	1	0	4	1	9	0	0	4	0	0	1	1	0	9	10	2	2	1	3	3	3	11	4	3	2	2	0	0	0	4	3	0	1	0	0	0	0	0	1	0	0	3	3	5	0	4	1	0	5	0	1	0	0	0	0					
		0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.44%	0.0%	0.74%	0.0%	0.0%	0.0%	0.0%	0.0%	0.94%	0.0%	0.97%	0.89%	7.75%	0.0%	0.0%	0.90%	0.0%	0.0%	0.14%	0.54%	0.0%	0.82%	1.03%	0.24%	0.60%	0.12%	0.38%	0.55%	0.41%	1.46%	1.12%	0.76%	0.67%	0.40%	0.0%	0.0%	0.0%	1.88%	0.40%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.35%	1.71%	1.11%	0.0%	1.05%	0.73%	0.0%	0.80%	0.0%	0.87%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	25	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	7	0	0	2	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0					
		0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.74%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	0.25%	0.12%	0.0%	0.0%	0.0%	0.0%	0.25%	0.33%	0.0%	0.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.72%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	1.03%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	46	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	2	0	0	4	1	2	1	7	0	1	2	2	0	1	1	2	5	2	0	1	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	1	0	0	0	0	0					
		0.20%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	1.87%	0.0%	0.36%	0.0%	0.28%	0.0%	0.0%	0.36%	0.10%	0.24%	0.30%	0.90%	0.0%	0.18%	0.27%	0.26%	0.0%	0.25%	0.33%	0.40%	2.77%	0.34%	0.0%	0.47%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	1.03%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1116	36	7	17	2	3	26	0	8	0	26	8	6	1	4	6	1	2	20	0	36	10	17	8	9	37	20	22	58	4	9	44	25	16	9	33	29	15	36	27	18	13	8	8	9	39	11	17	49	19	31	5	4	11	0	0	24	11	16	39	7	21	7	37	6	11	21	0	10	9	14	3	1					
		5.00%	4.63%	8.33%	16.50%	3.33%	1.39%	7.28%	0.0%	6.66%	0.0%	5.73%	10.38%	4.47%	2.22%	6.25%	1.70%	1.11%	1.72%	18.86%	0.0%	8.78%	8.92%	14.65%	9.09%	5.62%	8.37%	7.22%	10.28%	8.34%	2.16%	4.10%	4.02%	2.59%	1.96%	2.73%	4.25%	3.67%	2.76%	5.0%	3.59%	5.08%	3.33%	2.69%	1.62%	5.0%	6.77%	6.28%	8.01%	6.59%	10.38%	7.67%	3.40%	3.33%	2.74%	0.0%	0.0%	8.66%	7.14%	8.51%	4.59%	4.0%	4.66%	7.0%	9.78%	4.41%	8.52%	3.37%	0.0%	8.77%	7.43%	4.98%	3.0%	0.77%					
28	"11. ""Истинные патриоты России"""	26	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	3	0	0	1	1	1	0	0	3	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2					
		0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.26%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.43%	0.0%	0.0%	0.09%	0.10%	0.12%	0.0%	0.0%	0.38%	0.0%	0.13%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.24%	0.68%	0.0%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	1.14%	0.0%	0.0%	0.0%	0.0%	0.77%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.55%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	178	6	0	0	0	2	1	0	0	0	4	0	4	0	0	0	0	0	0	0	3	4	1	0	0	2	3	3	12	0	0	8	8	4	4	7	6	6	7	5	4	5	3	4	3	2	0	2	3	3	7	1	0	0	0	0	5	3	1	6	0	5	0	3	0	3	8	2	1	2	0	2	0					
		0.79%	0.77%	0.0%	0.0%	0.0%	0.93%	0.28%	0.0%	0.0%	0.0%	0.88%	0.0%	2.98%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.73%	3.57%	0.86%	0.0%	0.0%	0.45%	1.08%	1.40%	1.72%	0.0%	0.0%	0.73%	0.82%	0.49%	1.21%	0.90%	0.76%	1.10%	0.97%	0.66%	1.12%	1.28%	1.01%	0.81%	1.66%	0.34%	0.0%	0.94%	0.40%	1.63%	1.73%	0.68%	0.0%	0.0%	0.0%	0.0%	1.80%	1.94%	0.53%	0.70%	0.0%	1.11%	0.0%	0.79%	0.0%	2.32%	1.28%	2.06%	0.87%	1.65%	0.0%	2.0%	0.0%					
30	"13. ""Демократическая партия России"""	69	5	0	0	0	0	0	0	0	0	6	0	0	0	0	3	0	0	0	0	0	2	2	0	0	1	1	0	2	4	2	4	3	1	0	5	2	5	1	0	2	2	2	3	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	2	0	0	1	0	1	1	0	0	0	0	0					
		0.30%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.32%	0.0%	0.0%	0.0%	0.0%	0.85%	0.0%	0.0%	0.0%	0.0%	0.0%	1.78%	1.72%	0.0%	0.0%	0.22%	0.36%	0.0%	0.28%	2.16%	0.91%	0.36%	0.31%	0.12%	0.0%	0.64%	0.25%	0.92%	0.13%	0.0%	0.56%	0.51%	0.67%	0.61%	0.55%	0.17%	0.0%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.57%	0.44%	0.0%	0.0%	0.73%	0.0%	0.16%	1.03%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	49	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	3	2	2	2	3	1	0	1	0	1	1	1	1	1	0	0	3	0	8	0	3	0	0	0	0	1	1	4	0	0	0	0	0	2	0	0	0	1	0	1	0					
		0.21%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.89%	0.0%	2.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.24%	0.60%	0.25%	0.38%	0.18%	0.0%	0.13%	0.0%	0.25%	0.33%	0.20%	0.55%	0.17%	0.0%	0.0%	0.40%	0.0%	1.98%	0.0%	2.5%	0.0%	0.0%	0.0%	0.0%	0.64%	0.53%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	1.55%	0.0%	0.0%	0.0%	0.82%	0.0%	1.0%	0.0%					
32	"15. ""Партия СЛОН"""	24	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	4	0	0	1	2	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	1	1	0	0	0	0	0	0					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.18%	0.41%	0.0%	0.0%	0.12%	0.25%	0.18%	0.13%	0.13%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	1.47%	0.77%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	721	22	2	1	0	5	4	0	2	0	19	0	0	4	0	12	2	2	1	1	9	3	0	2	6	18	9	7	31	5	1	53	44	28	6	34	43	26	27	30	14	9	5	35	6	21	8	17	24	9	5	5	9	0	0	0	5	4	3	22	1	13	0	11	0	2	12	3	0	0	14	2	3					
		3.23%	2.83%	2.38%	0.97%	0.0%	2.32%	1.12%	0.0%	1.66%	0.0%	4.19%	0.0%	0.0%	8.88%	0.0%	3.41%	2.22%	1.72%	0.94%	1.0%	2.19%	2.67%	0.0%	2.27%	3.75%	4.07%	3.24%	3.27%	4.46%	2.70%	0.45%	4.84%	4.56%	3.44%	1.82%	4.38%	5.44%	4.79%	3.75%	3.98%	3.95%	2.30%	1.68%	7.12%	3.33%	3.64%	4.57%	8.01%	3.23%	4.91%	1.23%	3.40%	7.5%	0.0%	0.0%	0.0%	1.80%	2.59%	1.59%	2.59%	0.57%	2.88%	0.0%	2.91%	0.0%	1.55%	1.92%	3.09%	0.0%	0.0%	4.98%	2.0%	2.32%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	87	2	0	0	0	1	2	0	1	0	4	0	0	0	0	0	0	0	0	2	1	0	1	0	1	3	3	3	3	0	2	5	1	3	0	3	1	0	1	2	2	3	1	0	2	4	3	0	0	6	2	3	0	0	0	0	0	0	0	4	2	1	0	0	2	2	4	1	0	0	0	0	0					
		0.39%	0.25%	0.0%	0.0%	0.0%	0.46%	0.56%	0.0%	0.83%	0.0%	0.88%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.0%	0.24%	0.0%	0.86%	0.0%	0.62%	0.67%	1.08%	1.40%	0.43%	0.0%	0.91%	0.45%	0.10%	0.36%	0.0%	0.38%	0.12%	0.0%	0.13%	0.26%	0.56%	0.76%	0.33%	0.0%	1.11%	0.69%	1.71%	0.0%	0.0%	3.27%	0.49%	2.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	1.14%	0.22%	0.0%	0.0%	1.47%	1.55%	0.64%	1.03%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	2840	107	5	11	3	8	53	3	9	13	46	33	10	3	1	17	2	8	9	6	62	26	27	16	30	79	36	30	52	43	23	191	145	164	54	84	142	101	82	117	50	68	45	48	21	60	14	12	75	23	76	26	14	12	11	3	34	20	18	94	12	37	16	28	9	4	60	10	6	5	46	12	20					
		12.74%	13.78%	5.95%	10.67%	5.0%	3.72%	14.84%	3.79%	7.5%	20.0%	10.15%	42.85%	7.46%	6.66%	1.56%	4.84%	2.22%	6.89%	8.49%	6.0%	15.12%	23.21%	23.27%	18.18%	18.75%	17.87%	12.99%	14.01%	7.48%	23.24%	10.50%	17.45%	15.04%	20.17%	16.41%	10.83%	17.99%	18.63%	11.38%	15.55%	14.12%	17.43%	15.15%	9.77%	11.66%	10.41%	8.0%	5.66%	10.09%	12.56%	18.81%	17.68%	11.66%	2.99%	9.01%	3.12%	12.27%	12.98%	9.57%	11.07%	6.85%	8.22%	16.0%	7.40%	6.61%	3.10%	9.63%	10.30%	5.26%	4.13%	16.37%	12.0%	15.50%					
