Выборы Президента Российской Федерации																																																																							
																																																																							
"Наименование Избирательной комиссии:    Тюмень, Центральная"																																																																							
																																																																							
Итоги голосования 																																																																							
																																																																							
		Сумма	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973					
11	Число полученных открепительных  удостоверений	2040	45	30	40	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	40	40	30	30	30	30	30	30	30	30	50	30	30	30	30	30	30	30	30	30	30	30	40	40	30	30	30	30	30	30	45	50	30	30	30	30	40	40	40	30	30	30	30	0					
12	Число выданных открепительных удостоверений	1209	32	10	27	25	23	26	12	14	6	2	7	13	16	8	5	6	3	15	17	20	32	34	24	22	5	9	1	7	10	28	39	17	18	22	26	11	23	18	21	12	23	24	31	35	17	23	19	25	9	22	31	30	26	28	13	27	31	29	36	26	9	17	12	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1380	34	9	15	10	25	24	6	22	10	12	12	18	5	8	15	9	12	13	16	9	16	17	23	18	13	14	16	16	21	23	13	22	26	37	19	12	5	28	18	14	20	10	15	38	92	19	19	29	24	21	28	27	23	27	37	32	34	24	25	20	76	34	45	6					
14	Число неиспользованных открепительных удостоверений	831	13	20	13	5	7	4	18	16	24	28	23	17	14	22	25	24	27	15	13	10	8	6	6	8	25	21	29	23	20	2	11	13	12	8	4	19	7	12	9	18	7	6	9	5	13	7	11	5	21	8	14	20	4	2	17	3	9	11	4	4	21	13	18	0					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																							
18	. Глазьев Сергей Юрьевич	4332	88	46	74	98	50	90	40	44	28	17	30	48	60	46	26	43	24	59	97	67	75	104	84	86	20	27	29	29	40	111	92	82	68	102	86	45	75	108	57	92	54	92	100	92	67	78	128	73	78	73	75	84	53	69	63	95	138	74	100	64	72	60	56	7					
		5.35%	4.63%	4.09%	4.70%	5.29%	2.92%	4.64%	3.07%	4.41%	4.08%	2.32%	5.28%	3.72%	3.86%	5.32%	3.77%	5.80%	4.27%	6.48%	5.75%	4.38%	4.97%	6.25%	5.64%	5.07%	2.90%	4.35%	4.71%	4.58%	4.38%	7.66%	5.74%	6.07%	5.01%	6.35%	5.87%	4.97%	6.07%	6.09%	5.72%	6.28%	3.67%	5.58%	5.85%	6.04%	4.77%	6.96%	8.24%	4.96%	6.44%	5.69%	5.35%	6.22%	4.28%	4.29%	6.31%	6.63%	8.27%	5.92%	6.79%	5.57%	5.94%	4.65%	5.30%	3.80%					
19	. Малышкин Олег Александрович	1814	39	37	42	43	39	42	45	36	16	9	15	41	35	25	14	17	16	21	48	38	36	37	33	37	24	15	18	24	26	32	28	29	39	41	47	30	27	42	18	28	29	41	41	39	33	20	24	34	27	15	37	19	22	21	29	18	33	13	20	15	16	16	17	6					
		2.24%	2.05%	3.29%	2.66%	2.32%	2.28%	2.17%	3.46%	3.61%	2.33%	1.23%	2.64%	3.18%	2.25%	2.89%	2.03%	2.29%	2.85%	2.31%	2.84%	2.48%	2.38%	2.22%	2.22%	2.18%	3.48%	2.42%	2.92%	3.79%	2.84%	2.21%	1.75%	2.15%	2.88%	2.55%	3.21%	3.31%	2.19%	2.37%	1.81%	1.91%	1.97%	2.49%	2.40%	2.56%	2.35%	1.79%	1.54%	2.31%	2.23%	1.17%	2.64%	1.41%	1.78%	1.31%	2.91%	1.26%	1.98%	1.04%	1.36%	1.30%	1.32%	1.24%	1.61%	3.26%					
20	. Миронов Сергей Михайлович	833	19	8	18	20	21	32	9	7	6	2	3	8	9	7	4	6	3	10	23	15	16	24	27	10	3	2	7	9	19	16	21	15	14	10	27	14	15	21	6	21	16	21	22	14	12	11	17	11	14	24	16	10	6	15	14	10	14	3	21	9	10	9	5	2					
		1.03%	1.00%	0.71%	1.14%	1.08%	1.23%	1.65%	0.69%	0.70%	0.87%	0.27%	0.53%	0.62%	0.58%	0.81%	0.58%	0.81%	0.53%	1.10%	1.36%	0.98%	1.06%	1.44%	1.81%	0.59%	0.44%	0.32%	1.14%	1.42%	2.08%	1.10%	1.31%	1.11%	1.03%	0.62%	1.84%	1.55%	1.21%	1.19%	0.60%	1.43%	1.09%	1.27%	1.29%	0.92%	0.85%	0.98%	1.09%	0.75%	1.16%	1.87%	1.14%	0.74%	0.48%	0.93%	1.40%	0.70%	0.84%	0.24%	1.43%	0.78%	0.82%	0.70%	0.47%	1.09%					
21	. Путин Владимир Владимирович	55874	1360	802	1114	1303	1283	1338	986	710	496	601	436	877	1082	603	510	503	407	593	1117	1079	1055	1169	997	1180	509	473	439	449	662	942	1155	973	955	1145	1011	662	846	1161	719	1005	1089	1162	1166	1005	975	746	985	951	806	874	945	896	871	1084	643	879	1050	818	1002	744	741	849	746	140					
		69.01%	71.50%	71.23%	70.69%	70.39%	74.99%	69.04%	75.73%	71.21%	72.20%	82.10%	76.76%	67.93%	69.58%	69.71%	73.91%	67.88%	72.42%	65.16%	66.17%	70.48%	69.87%	70.25%	66.96%	69.62%	73.88%	76.17%	71.27%	70.93%	72.43%	64.97%	72.10%	72.07%	70.43%	71.30%	69.01%	73.15%	68.50%	65.52%	72.12%	68.55%	73.98%	70.51%	68.27%	66.03%	69.44%	66.61%	63.38%	64.56%	66.56%	68.17%	67.36%	66.37%	70.36%	67.41%	64.43%	61.38%	62.95%	65.44%	68.02%	64.70%	61.09%	65.87%	70.58%	76.09%					
22	. Хакамада Ирина Муцуовна	5298	122	44	70	89	71	133	48	36	23	10	20	58	73	24	37	28	14	51	110	90	104	89	109	120	27	24	21	47	39	72	89	80	108	80	89	50	77	122	57	95	106	98	106	127	97	69	127	116	110	92	106	101	98	185	85	109	150	132	112	109	189	117	99	8					
		6.54%	6.41%	3.91%	4.44%	4.81%	4.15%	6.86%	3.69%	3.61%	3.35%	1.37%	3.52%	4.49%	4.69%	2.77%	5.36%	3.78%	2.49%	5.60%	6.52%	5.88%	6.89%	5.35%	7.32%	7.08%	3.92%	3.86%	3.41%	7.42%	4.27%	4.97%	5.56%	5.93%	7.96%	4.98%	6.08%	5.52%	6.23%	6.88%	5.72%	6.48%	7.20%	5.95%	6.21%	8.34%	6.91%	6.16%	8.17%	7.88%	9.08%	7.18%	7.56%	7.48%	7.92%	11.50%	8.52%	7.61%	8.99%	10.56%	7.60%	9.48%	15.58%	9.08%	9.37%	4.35%					
23	. Харитонов Николай Михайлович	8049	158	115	170	183	158	176	99	120	80	66	47	174	190	123	53	115	76	139	190	142	114	141	138	139	69	53	74	60	82	187	162	112	85	164	119	54	132	204	86	139	109	127	181	128	140	132	175	176	113	127	132	147	113	115	94	222	177	139	150	118	113	162	64	7					
		9.94%	8.31%	10.21%	10.79%	9.89%	9.23%	9.08%	7.60%	12.04%	11.64%	9.02%	8.27%	13.48%	12.22%	14.22%	7.68%	15.52%	13.52%	15.27%	11.26%	9.27%	7.55%	8.47%	9.27%	8.20%	10.01%	8.53%	12.01%	9.48%	8.97%	12.90%	10.11%	8.30%	6.27%	10.21%	8.12%	5.97%	10.69%	11.51%	8.63%	9.48%	7.40%	7.71%	10.60%	8.41%	9.97%	11.79%	11.26%	11.95%	9.33%	9.91%	9.41%	10.89%	9.13%	7.15%	9.42%	15.50%	10.61%	11.12%	10.18%	10.26%	9.32%	12.57%	6.05%	3.80%					
																																																																							
24	Против всех	4177	98	59	81	100	76	107	55	38	29	12	16	71	91	24	32	23	18	31	96	83	93	86	90	114	23	15	19	9	43	78	55	51	80	56	78	44	60	108	42	78	69	90	80	108	69	58	90	105	59	72	76	81	61	114	68	92	101	68	63	84	67	63	65	12					
		5.16%	5.15%	5.24%	5.14%	5.40%	4.44%	5.52%	4.22%	3.81%	4.22%	1.64%	2.82%	5.50%	5.85%	2.77%	4.64%	3.10%	3.20%	3.41%	5.69%	5.42%	6.16%	5.17%	6.04%	6.73%	3.34%	2.42%	3.08%	1.42%	4.70%	5.38%	3.43%	3.78%	5.90%	3.49%	5.32%	4.86%	4.86%	6.09%	4.21%	5.32%	4.69%	5.46%	4.68%	7.10%	4.91%	5.18%	5.79%	7.13%	4.87%	5.62%	5.42%	6.00%	4.93%	7.09%	6.81%	6.42%	6.06%	5.44%	4.28%	7.30%	5.52%	4.89%	6.15%	6.52%					
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
