Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Моргаушская																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560					
14	Число неиспользованных открепительных удостоверений	623	23	18	19	0	14	35	8	5	0	15	4	10	19	15	11	30	7	9	18	15	9	7	15	17	12	12	15	10	5	18	7	6	5	30	7	11	3	4	5	27	21	14	13	6	13	8	14	26	8					
15	"Число открепительных удостоверений, выданных в ТИК"	8	1	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																								
18	. Глазьев Сергей Юрьевич	340	28	5	11	7	9	20	9	1	2	10	3	3	14	6	11	13	2	5	4	4	3	5	11	8	7	9	1	2	2	5	6	1	7	10	2	5	1	4	8	12	2	8	3	5	8	7	5	20	6					
		1.74%	1.91%	0.72%	2.96%	1.28%	1.93%	2.30%	3.75%	0.45%	1.23%	2.16%	1.30%	1.02%	3.13%	2.03%	3.20%	1.73%	0.93%	1.77%	0.95%	1.03%	1.24%	1.71%	2.81%	2.29%	2.78%	2.88%	0.33%	0.92%	1.50%	1.37%	3.02%	0.26%	1.70%	1.65%	0.81%	1.71%	0.45%	0.89%	3.15%	1.75%	0.39%	1.60%	0.85%	2.10%	2.46%	1.35%	1.38%	3.29%	1.53%					
19	. Малышкин Олег Александрович	455	28	18	11	16	8	15	6	2	2	7	2	7	17	5	5	28	7	1	6	6	6	5	15	19	2	16	5	10	3	7	11	6	4	19	8	6	8	12	3	21	13	9	7	3	5	15	7	8	5					
		2.32%	1.91%	2.60%	2.96%	2.91%	1.71%	1.72%	2.50%	0.89%	1.23%	1.51%	0.87%	2.38%	3.80%	1.69%	1.45%	3.73%	3.24%	0.35%	1.43%	1.55%	2.49%	1.71%	3.83%	5.44%	0.79%	5.11%	1.64%	4.59%	2.26%	1.92%	5.53%	1.59%	0.97%	3.13%	3.25%	2.05%	3.64%	2.68%	1.18%	3.06%	2.50%	1.80%	1.99%	1.26%	1.54%	2.90%	1.93%	1.32%	1.27%					
20	. Миронов Сергей Михайлович	145	9	7	6	6	2	8	4	1	1	4	0	2	4	2	0	4	2	1	2	3	4	1	2	3	1	3	0	3	5	6	1	5	4	0	1	0	1	3	3	7	1	8	3	1	0	2	4	2	3					
		0.74%	0.61%	1.01%	1.62%	1.09%	0.43%	0.92%	1.67%	0.45%	0.62%	0.86%	0.00%	0.68%	0.89%	0.68%	0.00%	0.53%	0.93%	0.35%	0.48%	0.77%	1.66%	0.34%	0.51%	0.86%	0.40%	0.96%	0.00%	1.38%	3.76%	1.64%	0.50%	1.32%	0.97%	0.00%	0.41%	0.00%	0.45%	0.67%	1.18%	1.02%	0.19%	1.60%	0.85%	0.42%	0.00%	0.39%	1.10%	0.33%	0.76%					
21	. Путин Владимир Владимирович	12698	1030	449	228	357	358	518	145	165	113	285	167	214	317	217	217	545	156	213	300	238	145	174	206	153	158	176	173	145	61	139	97	289	280	418	154	181	151	314	151	394	403	306	242	163	202	359	247	342	243					
		64.83%	70.12%	64.98%	61.46%	65.03%	76.66%	59.54%	60.42%	73.66%	69.75%	61.56%	72.61%	72.79%	70.92%	73.56%	63.08%	72.57%	72.22%	75.53%	71.43%	61.34%	60.17%	59.59%	52.55%	43.84%	62.70%	56.23%	56.91%	66.51%	45.86%	38.08%	48.74%	76.46%	67.96%	68.86%	62.60%	61.99%	68.64%	70.25%	59.45%	57.43%	77.65%	61.20%	68.75%	68.49%	62.15%	69.31%	68.04%	56.34%	61.83%					
22	. Хакамада Ирина Муцуовна	242	29	8	1	14	8	9	4	3	0	1	4	4	3	4	3	7	2	3	4	9	1	4	9	3	4	1	1	4	3	5	6	6	3	4	4	3	7	3	4	14	7	6	1	1	4	5	2	2	5					
		1.24%	1.97%	1.16%	0.27%	2.55%	1.71%	1.03%	1.67%	1.34%	0.00%	0.22%	1.74%	1.36%	0.67%	1.36%	0.87%	0.93%	0.93%	1.06%	0.95%	2.32%	0.41%	1.37%	2.30%	0.86%	1.59%	0.32%	0.33%	1.83%	2.26%	1.37%	3.02%	1.59%	0.73%	0.66%	1.63%	1.03%	3.18%	0.67%	1.57%	2.04%	1.35%	1.20%	0.28%	0.42%	1.23%	0.97%	0.55%	0.33%	1.27%					
23	. Харитонов Николай Михайлович	5186	308	196	101	141	71	274	66	48	36	124	48	51	89	55	91	131	38	56	99	122	76	96	132	149	72	103	116	50	55	196	74	61	106	137	70	91	47	95	80	224	86	142	85	55	95	122	95	207	124					
		26.48%	20.97%	28.36%	27.22%	25.68%	15.20%	31.49%	27.50%	21.43%	22.22%	26.78%	20.87%	17.35%	19.91%	18.64%	26.45%	17.44%	17.59%	19.86%	23.57%	31.44%	31.54%	32.88%	33.67%	42.69%	28.57%	32.91%	38.16%	22.94%	41.35%	53.70%	37.19%	16.14%	25.73%	22.57%	28.46%	31.16%	21.36%	21.25%	31.50%	32.65%	16.57%	28.40%	24.15%	23.11%	29.23%	23.55%	26.17%	34.10%	31.55%					
																																																								
24	Против всех	210	19	3	9	5	1	12	1	1	2	25	1	3	1	4	2	10	3	2	1	2	2	2	9	6	4	1	1	1	0	7	3	2	3	6	0	1	2	6	3	7	3	5	1	4	4	5	3	10	2					
		1.07%	1.29%	0.43%	2.43%	0.91%	0.21%	1.38%	0.42%	0.45%	1.23%	5.40%	0.43%	1.02%	0.22%	1.36%	0.58%	1.33%	1.39%	0.71%	0.24%	0.52%	0.83%	0.68%	2.30%	1.72%	1.59%	0.32%	0.33%	0.46%	0.00%	1.92%	1.51%	0.53%	0.73%	0.99%	0.00%	0.34%	0.91%	1.34%	1.18%	1.02%	0.58%	1.00%	0.28%	1.68%	1.23%	0.97%	0.83%	1.65%	0.51%					
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
