Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																													
Дата голосования: 02.12.2007																																																																													
																																																																													
Наименование Избирательной комиссии:    Гулькевичская																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170					
		0.14%	0.00%	0.25%	0.16%	0.24%	0.00%	0.11%	0.19%	0.13%	0.15%	0.00%	0.00%	0.17%	0.20%	0.08%	0.00%	0.00%	0.43%	0.00%	0.72%	0.00%	0.00%	0.26%	0.00%	0.29%	0.00%	0.08%	0.11%	0.00%	0.22%	0.22%	0.00%	0.41%	0.00%	0.00%	0.00%	0.16%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.31%	1.09%	0.15%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.22%	0.00%	0.00%	0.08%	0.00%	1.05%	0.17%	0.00%	0.00%	0.75%	0.33%	0.32%	0.00%	0.49%	0.19%	1.38%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	6714	94	183	216	152	93	127	66	155	219	96	131	190	95	220	169	44	105	192	132	13	171	103	78	67	51	138	120	67	109	181	31	28	38	86	39	54	53	231	60	40	45	54	45	109	185	69	14	127	75	27	10	6	115	215	103	16	60	160	124	29	54	21	242	12	52	54	50	101	84	19					
		15.06%	15.26%	15.51%	17.12%	12.09%	16.06%	14.24%	12.84%	19.50%	16.68%	16.67%	14.57%	16.05%	18.92%	16.76%	16.08%	11.61%	15.22%	22.88%	18.88%	14.13%	15.48%	13.38%	18.80%	19.25%	8.59%	10.42%	12.68%	14.32%	11.94%	19.80%	12.35%	11.38%	15.02%	15.96%	12.42%	8.70%	8.98%	18.80%	11.52%	10.64%	28.30%	11.97%	12.75%	22.43%	18.21%	10.80%	15.22%	19.27%	19.28%	13.04%	7.19%	3.28%	15.63%	21.35%	11.50%	16.67%	10.07%	12.18%	13.60%	10.18%	9.14%	11.67%	22.77%	8.96%	17.33%	17.09%	23.36%	16.56%	8.00%	13.10%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	222	3	6	5	3	2	4	1	1	7	4	3	7	4	2	3	6	1	8	3	0	3	6	3	0	7	11	0	1	4	2	0	0	1	1	5	0	6	10	5	5	0	1	0	6	4	2	0	7	15	10	0	0	2	4	1	0	2	2	7	0	3	0	7	0	2	0	2	1	1	0					
		0.50%	0.49%	0.51%	0.40%	0.24%	0.35%	0.45%	0.19%	0.13%	0.53%	0.69%	0.33%	0.59%	0.80%	0.15%	0.29%	1.58%	0.14%	0.95%	0.43%	0.00%	0.27%	0.78%	0.72%	0.00%	1.18%	0.83%	0.00%	0.21%	0.44%	0.22%	0.00%	0.00%	0.40%	0.19%	1.59%	0.00%	1.02%	0.81%	0.96%	1.33%	0.00%	0.22%	0.00%	1.23%	0.39%	0.31%	0.00%	1.06%	3.86%	4.83%	0.00%	0.00%	0.27%	0.40%	0.11%	0.00%	0.34%	0.15%	0.77%	0.00%	0.51%	0.00%	0.66%	0.00%	0.67%	0.00%	0.93%	0.16%	0.10%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	91	0	1	3	4	3	1	0	2	2	1	2	2	2	3	3	2	1	1	1	0	2	1	0	1	3	5	2	6	1	3	0	0	0	0	0	2	0	2	0	1	0	4	0	0	1	4	0	1	0	1	0	0	1	2	2	0	1	2	0	0	0	0	1	1	0	0	1	3	3	0					
		0.20%	0.00%	0.08%	0.24%	0.32%	0.52%	0.11%	0.00%	0.25%	0.15%	0.17%	0.22%	0.17%	0.40%	0.23%	0.29%	0.53%	0.14%	0.12%	0.14%	0.00%	0.18%	0.13%	0.00%	0.29%	0.51%	0.38%	0.21%	1.28%	0.11%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.16%	0.00%	0.27%	0.00%	0.89%	0.00%	0.00%	0.10%	0.63%	0.00%	0.15%	0.00%	0.48%	0.00%	0.00%	0.14%	0.20%	0.22%	0.00%	0.17%	0.15%	0.00%	0.00%	0.00%	0.00%	0.09%	0.75%	0.00%	0.00%	0.47%	0.49%	0.29%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	4552	63	150	117	137	49	98	62	68	151	72	107	111	43	166	114	43	56	80	72	6	124	73	68	47	54	94	81	27	82	86	12	25	16	56	19	99	63	109	61	40	14	60	50	33	93	56	21	58	51	19	18	21	86	62	86	2	47	104	119	43	60	12	123	14	37	31	25	42	155	9					
		10.21%	10.23%	12.71%	9.27%	10.90%	8.46%	10.99%	12.06%	8.55%	11.50%	12.50%	11.90%	9.38%	8.57%	12.64%	10.85%	11.35%	8.12%	9.54%	10.30%	6.52%	11.22%	9.48%	16.39%	13.51%	9.09%	7.09%	8.56%	5.77%	8.98%	9.41%	4.78%	10.16%	6.32%	10.39%	6.05%	15.94%	10.68%	8.87%	11.71%	10.64%	8.81%	13.30%	14.16%	6.79%	9.15%	8.76%	22.83%	8.80%	13.11%	9.18%	12.95%	11.48%	11.68%	6.16%	9.60%	2.08%	7.89%	7.91%	13.05%	15.09%	10.15%	6.67%	11.57%	10.45%	12.33%	9.81%	11.68%	6.89%	14.76%	6.21%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	3908	48	123	110	162	37	56	40	87	97	40	64	129	47	141	99	8	66	66	38	2	165	68	33	53	49	85	69	36	111	74	40	26	49	71	35	27	44	54	42	41	13	35	68	40	60	29	3	80	46	15	6	18	109	93	46	6	51	90	85	16	29	16	60	12	41	31	3	98	76	1					
		8.76%	7.79%	10.42%	8.72%	12.89%	6.39%	6.28%	7.78%	10.94%	7.39%	6.94%	7.12%	10.90%	9.36%	10.74%	9.42%	2.11%	9.57%	7.87%	5.44%	2.17%	14.93%	8.83%	7.95%	15.23%	8.25%	6.42%	7.29%	7.69%	12.16%	8.10%	15.94%	10.57%	19.37%	13.17%	11.15%	4.35%	7.46%	4.39%	8.06%	10.90%	8.18%	7.76%	19.26%	8.23%	5.91%	4.54%	3.26%	12.14%	11.83%	7.25%	4.32%	9.84%	14.81%	9.24%	5.13%	6.25%	8.56%	6.85%	9.32%	5.61%	4.91%	8.89%	5.64%	8.96%	13.67%	9.81%	1.40%	16.07%	7.24%	0.69%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	290	7	11	14	11	5	4	4	9	13	5	7	8	6	10	5	3	5	5	5	0	4	7	4	4	0	5	5	6	9	9	1	1	1	5	4	4	3	8	3	0	0	3	2	3	6	1	0	0	1	0	2	1	5	5	2	0	5	7	3	2	4	0	7	1	2	1	0	3	3	1					
		0.65%	1.14%	0.93%	1.11%	0.88%	0.86%	0.45%	0.78%	1.13%	0.99%	0.87%	0.78%	0.68%	1.20%	0.76%	0.48%	0.79%	0.72%	0.60%	0.72%	0.00%	0.36%	0.91%	0.96%	1.15%	0.00%	0.38%	0.53%	1.28%	0.99%	0.98%	0.40%	0.41%	0.40%	0.93%	1.27%	0.64%	0.51%	0.65%	0.58%	0.00%	0.00%	0.67%	0.57%	0.62%	0.59%	0.16%	0.00%	0.00%	0.26%	0.00%	1.44%	0.55%	0.68%	0.50%	0.22%	0.00%	0.84%	0.53%	0.33%	0.70%	0.68%	0.00%	0.66%	0.75%	0.67%	0.32%	0.00%	0.49%	0.29%	0.69%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	26425	364	653	726	736	360	561	305	429	729	326	553	693	283	702	595	244	396	445	417	69	557	479	209	158	397	930	624	307	563	517	157	153	131	273	198	409	380	735	337	214	75	274	163	271	594	436	49	352	175	115	86	130	387	592	618	64	392	879	532	181	398	121	562	83	156	183	120	345	679	99					
		59.26%	59.09%	55.34%	57.53%	58.55%	62.18%	62.89%	59.34%	53.96%	55.52%	56.60%	61.51%	58.53%	56.37%	53.47%	56.61%	64.38%	57.39%	53.04%	59.66%	75.00%	50.41%	62.21%	50.36%	45.40%	66.84%	70.19%	65.96%	65.60%	61.66%	56.56%	62.55%	62.20%	51.78%	50.65%	63.06%	65.86%	64.41%	59.80%	64.68%	56.91%	47.17%	60.75%	46.18%	55.76%	58.46%	68.23%	53.26%	53.41%	44.99%	55.56%	61.87%	71.04%	52.58%	58.79%	68.97%	66.67%	65.77%	66.89%	58.33%	63.51%	67.34%	67.22%	52.87%	61.94%	52.00%	57.91%	56.07%	56.56%	64.67%	68.28%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	255	6	11	8	11	7	1	7	9	7	4	5	10	6	11	4	4	5	7	0	0	13	7	1	1	4	1	5	2	4	6	0	0	0	0	0	3	3	6	1	1	6	0	1	4	6	7	0	2	0	2	0	0	4	2	10	4	1	2	1	2	2	0	8	0	0	2	1	1	5	1					
		0.57%	0.97%	0.93%	0.63%	0.88%	1.21%	0.11%	1.36%	1.13%	0.53%	0.69%	0.56%	0.84%	1.20%	0.84%	0.38%	1.06%	0.72%	0.83%	0.00%	0.00%	1.18%	0.91%	0.24%	0.29%	0.67%	0.08%	0.53%	0.43%	0.44%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.51%	0.49%	0.19%	0.27%	3.77%	0.00%	0.28%	0.82%	0.59%	1.10%	0.00%	0.30%	0.00%	0.97%	0.00%	0.00%	0.54%	0.20%	1.12%	4.17%	0.17%	0.15%	0.11%	0.70%	0.34%	0.00%	0.75%	0.00%	0.00%	0.63%	0.47%	0.16%	0.48%	0.69%					
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
