Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
"Наименование Избирательной комиссии:    Рыбинск, Волжская"																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №895									
		1.37%	0.64%	1.42%	1.23%	0.95%	0.96%	0.85%	1.74%	1.35%	0.91%	0.62%	1.05%	1.63%	0.60%	1.14%	2.09%	2.06%	1.14%	0.73%	1.46%	1.62%	2.07%	2.96%	1.88%	0.71%	0.87%	0.47%	1.23%	0.71%	0.42%	2.70%	0.86%	2.29%	0.88%	1.50%	1.83%	1.23%	0.78%	0.55%	0.86%	1.08%	1.88%	1.10%	1.82%	1.20%	3.01%	1.28%	1.68%	0.78%	1.77%	2.29%	1.29%	2.01%	1.68%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	19	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0									
		0.06%	0.00%	0.00%	0.14%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.15%	0.00%	0.00%	0.21%	0.16%	0.00%	0.00%	0.15%	0.16%	0.16%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.15%	0.18%	0.00%	0.16%	0.00%	0.17%	0.18%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.21%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1257	11	22	16	21	19	15	17	10	17	11	7	13	27	10	14	11	24	32	28	28	28	20	21	31	16	33	24	25	14	28	30	24	23	32	26	22	22	45	30	28	18	32	31	28	37	31	18	33	20	43	28	26	35	2									
		4.10%	3.54%	3.13%	2.18%	3.32%	3.04%	2.56%	2.69%	1.68%	3.10%	2.26%	1.23%	2.64%	4.02%	1.90%	2.93%	2.26%	3.92%	4.70%	4.54%	4.14%	4.45%	3.12%	3.30%	5.47%	3.48%	7.75%	3.70%	5.91%	2.96%	4.20%	4.32%	4.23%	3.37%	4.79%	4.77%	3.87%	3.45%	8.27%	5.14%	5.06%	3.08%	5.89%	4.34%	5.58%	6.19%	6.61%	2.76%	5.18%	4.42%	6.56%	6.03%	5.23%	7.35%	1.89%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4924	47	102	109	89	82	104	88	69	78	81	74	76	117	95	84	76	99	127	91	111	95	122	107	115	86	67	132	74	90	142	113	97	112	110	69	92	95	90	83	85	86	74	120	81	93	79	103	98	68	101	67	70	91	18									
		16.08%	15.11%	14.53%	14.85%	14.06%	13.10%	17.72%	13.92%	11.62%	14.21%	16.67%	12.98%	15.45%	17.41%	18.10%	17.57%	15.64%	16.15%	18.65%	14.75%	16.40%	15.10%	19.03%	16.80%	20.28%	18.70%	15.73%	20.34%	17.49%	19.03%	21.32%	16.28%	17.08%	16.42%	16.47%	12.66%	16.17%	14.91%	16.54%	14.21%	15.37%	14.73%	13.63%	16.81%	16.14%	15.55%	16.84%	15.77%	15.38%	15.04%	15.42%	14.44%	14.08%	19.12%	16.98%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	117	1	1	2	4	6	1	4	6	3	3	2	2	2	0	0	2	2	7	1	7	3	1	5	2	1	4	3	0	1	6	1	1	1	1	1	2	3	0	4	1	2	3	1	1	3	0	1	2	0	2	1	3	1	0									
		0.38%	0.32%	0.14%	0.27%	0.63%	0.96%	0.17%	0.63%	1.01%	0.55%	0.62%	0.35%	0.41%	0.30%	0.00%	0.00%	0.41%	0.33%	1.03%	0.16%	1.03%	0.48%	0.16%	0.78%	0.35%	0.22%	0.94%	0.46%	0.00%	0.21%	0.90%	0.14%	0.18%	0.15%	0.15%	0.18%	0.35%	0.47%	0.00%	0.68%	0.18%	0.34%	0.55%	0.14%	0.20%	0.50%	0.00%	0.15%	0.31%	0.00%	0.31%	0.22%	0.60%	0.21%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4237	34	126	134	113	134	99	144	79	89	49	84	66	91	77	61	58	62	73	74	76	76	82	87	81	48	54	62	49	72	119	101	79	107	145	69	96	81	65	80	86	87	82	88	77	34	45	91	73	48	67	50	63	59	11									
		13.83%	10.93%	17.95%	18.26%	17.85%	21.41%	16.87%	22.78%	13.30%	16.21%	10.08%	14.74%	13.41%	13.54%	14.67%	12.76%	11.93%	10.11%	10.72%	11.99%	11.23%	12.08%	12.79%	13.66%	14.29%	10.43%	12.68%	9.55%	11.58%	15.22%	17.87%	14.55%	13.91%	15.69%	21.71%	12.66%	16.87%	12.72%	11.95%	13.70%	15.55%	14.90%	15.10%	12.32%	15.34%	5.69%	9.59%	13.94%	11.46%	10.62%	10.23%	10.78%	12.68%	12.39%	10.38%									
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
