Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																													
Дата голосования: 02.12.2007																																																																													
																																																																													
"Наименование Избирательной комиссии:    Пенза, Октябрьская"																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
		Сумма	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1983	30	50	30	40	25	25	37	35	35	35	25	35	39	26	0	25	45	36	29	30	30	30	25	25	25	50	40	45	35	0	0	25	25	25	29	35	40	40	40	25	35	25	22	28	50	25	25	25	30	0	30	25	0	40	25	25	25	35	45	10	0	25	25	25	25	25	25	27	35	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1763	30	50	26	37	21	23	37	32	33	28	22	24	33	26	0	25	43	36	29	30	29	27	25	22	25	38	31	40	33	0	0	24	25	24	27	34	39	36	39	24	35	25	22	28	48	2	11	22	27	0	30	25	0	33	9	17	20	31	41	8	0	24	22	10	14	24	24	27	32	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1309	15	9	14	11	8	9	17	11	14	6	19	10	22	21	36	12	9	14	28	11	14	22	6	0	18	7	8	5	18	3	297	4	7	6	11	15	6	15	12	8	16	21	6	12	20	4	17	6	18	47	16	16	8	32	8	9	10	12	17	3	93	17	11	19	11	6	12	10	38	16					
14	Число погашенных неиспользованных открепительных удостоверений	220	0	0	4	3	4	2	0	3	2	7	3	11	6	0	0	0	2	0	0	0	1	3	0	3	0	12	9	5	2	0	0	1	0	1	2	1	1	4	1	1	0	0	0	0	2	23	14	3	3	0	0	0	0	7	16	8	5	4	4	2	0	1	3	15	11	1	1	0	3	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	0	0	0	0	0	0	3	0	1	0	1	0	0	2	0	0	1	0	1	0	1	0	0	1	0	2	1	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																													
18	1.Политическая партия «Аграрная партия России»	1398	21	25	30	22	15	2	20	17	20	22	26	21	16	17	8	25	13	34	19	25	24	37	22	33	27	21	12	14	21	1	13	37	30	30	36	28	36	37	25	15	34	33	31	19	16	2	11	12	18	4	17	26	2	19	21	19	10	22	18	0	2	16	19	18	12	18	20	16	29	17					
		1.61%	1.27%	1.73%	1.86%	1.48%	1.39%	0.21%	1.66%	1.02%	1.39%	1.38%	1.82%	1.39%	1.06%	1.16%	3.25%	1.54%	0.91%	2.07%	1.18%	1.81%	1.64%	2.50%	1.52%	2.34%	1.85%	1.51%	0.94%	0.98%	1.58%	0.40%	1.74%	2.68%	2.07%	2.11%	2.26%	1.87%	2.54%	2.49%	1.60%	1.27%	2.54%	2.61%	1.96%	1.40%	1.09%	3.77%	1.53%	1.21%	1.39%	1.75%	1.44%	1.42%	2.90%	2.21%	1.70%	1.46%	0.71%	1.40%	1.22%	0.00%	1.03%	1.04%	1.39%	2.25%	1.04%	1.20%	1.90%	1.73%	2.69%	1.46%					
19	2.Всероссийская политическая партия «Гражданская Сила»	991	23	17	15	29	10	12	19	23	27	28	22	26	11	14	1	13	16	23	17	8	23	21	9	12	14	13	18	16	16	0	1	17	7	17	18	18	16	21	25	8	16	22	15	18	12	0	6	13	18	0	19	25	3	5	10	8	12	20	18	2	0	31	14	4	6	12	12	6	9	11					
		1.14%	1.40%	1.18%	0.93%	1.95%	0.93%	1.25%	1.57%	1.38%	1.88%	1.76%	1.54%	1.72%	0.73%	0.95%	0.41%	0.80%	1.11%	1.40%	1.05%	0.58%	1.57%	1.42%	0.62%	0.85%	0.96%	0.94%	1.41%	1.11%	1.20%	0.00%	0.13%	1.23%	0.48%	1.19%	1.13%	1.20%	1.13%	1.42%	1.60%	0.68%	1.19%	1.74%	0.95%	1.33%	0.82%	0.00%	0.83%	1.31%	1.39%	0.00%	1.61%	1.37%	4.35%	0.58%	0.81%	0.61%	0.85%	1.27%	1.22%	0.70%	0.00%	2.02%	1.02%	0.50%	0.52%	0.80%	1.14%	0.65%	0.83%	0.94%					
20	3.Политическая партия «Демократическая партия России»	136	2	0	1	3	1	3	3	3	1	1	1	3	0	2	0	4	2	2	4	2	4	2	4	1	2	4	2	2	1	0	1	3	2	0	1	2	1	3	1	1	5	1	2	1	1	0	1	2	1	0	0	10	3	2	2	1	2	1	1	1	1	6	5	1	1	3	1	1	3	2					
		0.16%	0.12%	0.00%	0.06%	0.20%	0.09%	0.31%	0.25%	0.18%	0.07%	0.06%	0.07%	0.20%	0.00%	0.14%	0.00%	0.25%	0.14%	0.12%	0.25%	0.15%	0.27%	0.14%	0.28%	0.07%	0.14%	0.29%	0.16%	0.14%	0.08%	0.00%	0.13%	0.22%	0.14%	0.00%	0.06%	0.13%	0.07%	0.20%	0.06%	0.08%	0.37%	0.08%	0.13%	0.07%	0.07%	0.00%	0.14%	0.20%	0.08%	0.00%	0.00%	0.55%	4.35%	0.23%	0.16%	0.08%	0.14%	0.06%	0.07%	0.35%	0.51%	0.39%	0.36%	0.12%	0.09%	0.20%	0.09%	0.11%	0.28%	0.17%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	16559	356	326	306	247	230	154	210	302	280	388	285	290	284	257	42	349	296	348	331	289	296	336	318	293	310	246	265	315	298	41	100	240	304	272	324	337	238	278	347	145	283	223	384	223	196	8	121	154	194	54	246	203	6	110	225	206	246	324	286	62	5	244	283	132	179	322	213	168	189	197					
		19.04%	21.60%	22.54%	18.99%	16.58%	21.32%	15.99%	17.40%	18.08%	19.46%	24.33%	19.93%	19.23%	18.73%	17.47%	17.07%	21.46%	20.63%	21.23%	20.51%	20.96%	20.26%	22.72%	21.90%	20.74%	21.23%	17.71%	20.78%	21.95%	22.37%	16.53%	13.35%	17.38%	21.02%	19.10%	20.36%	22.47%	16.80%	18.75%	22.14%	12.25%	21.14%	17.64%	24.29%	16.47%	13.39%	15.09%	16.78%	15.52%	14.97%	23.68%	20.87%	11.12%	8.70%	12.81%	18.22%	15.83%	17.39%	20.57%	19.35%	21.75%	2.56%	15.93%	20.64%	16.48%	15.52%	21.51%	20.21%	18.14%	17.52%	16.88%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	496	12	20	9	10	7	7	12	4	8	3	6	9	11	3	0	7	13	11	9	7	11	8	8	8	7	7	7	11	13	0	2	9	3	9	8	13	4	5	13	3	12	3	8	12	6	0	8	3	2	0	19	7	0	2	7	4	12	8	10	1	1	13	13	1	3	8	3	2	5	6					
		0.57%	0.73%	1.38%	0.56%	0.67%	0.65%	0.73%	0.99%	0.24%	0.56%	0.19%	0.42%	0.60%	0.73%	0.20%	0.00%	0.43%	0.91%	0.67%	0.56%	0.51%	0.75%	0.54%	0.55%	0.57%	0.48%	0.50%	0.55%	0.77%	0.98%	0.00%	0.27%	0.65%	0.21%	0.63%	0.50%	0.87%	0.28%	0.34%	0.83%	0.25%	0.90%	0.24%	0.51%	0.89%	0.41%	0.00%	1.11%	0.30%	0.15%	0.00%	1.61%	0.38%	0.00%	0.23%	0.57%	0.31%	0.85%	0.51%	0.68%	0.35%	0.51%	0.85%	0.95%	0.12%	0.26%	0.53%	0.28%	0.22%	0.46%	0.51%					
23	6.Политическая партия «Партия социальной справедливости»	211	6	6	4	2	1	1	2	3	6	3	5	1	2	1	0	2	2	7	4	3	5	3	1	3	2	3	2	6	3	0	1	1	4	5	7	4	3	2	9	0	1	4	4	5	3	0	2	3	1	0	4	6	1	1	3	2	3	4	5	1	0	9	3	2	2	7	4	1	5	0					
		0.24%	0.36%	0.41%	0.25%	0.13%	0.09%	0.10%	0.17%	0.18%	0.42%	0.19%	0.35%	0.07%	0.13%	0.07%	0.00%	0.12%	0.14%	0.43%	0.25%	0.22%	0.34%	0.20%	0.07%	0.21%	0.14%	0.22%	0.16%	0.42%	0.23%	0.00%	0.13%	0.07%	0.28%	0.35%	0.44%	0.27%	0.21%	0.13%	0.57%	0.00%	0.07%	0.32%	0.25%	0.37%	0.20%	0.00%	0.28%	0.30%	0.08%	0.00%	0.34%	0.33%	1.45%	0.12%	0.24%	0.15%	0.21%	0.25%	0.34%	0.35%	0.00%	0.59%	0.22%	0.25%	0.17%	0.47%	0.38%	0.11%	0.46%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	7032	144	122	156	135	92	101	98	150	152	144	112	124	99	128	14	114	120	130	127	106	122	107	113	100	126	105	83	102	82	5	49	111	103	105	121	94	95	129	120	94	74	98	97	95	152	7	54	72	104	8	80	393	10	66	88	115	111	137	135	17	3	131	100	69	90	99	65	66	79	83					
		8.08%	8.74%	8.44%	9.68%	9.06%	8.53%	10.49%	8.12%	8.98%	10.56%	9.03%	7.83%	8.22%	6.53%	8.70%	5.69%	7.01%	8.36%	7.93%	7.87%	7.69%	8.35%	7.23%	7.78%	7.08%	8.63%	7.56%	6.51%	7.11%	6.16%	2.02%	6.54%	8.04%	7.12%	7.37%	7.61%	6.27%	6.70%	8.70%	7.66%	7.94%	5.53%	7.75%	6.14%	7.02%	10.38%	13.21%	7.49%	7.26%	8.02%	3.51%	6.79%	21.53%	14.49%	7.68%	7.13%	8.84%	7.84%	8.70%	9.13%	5.96%	1.54%	8.55%	7.29%	8.61%	7.81%	6.61%	6.17%	7.13%	7.32%	7.11%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	7053	122	128	155	122	91	64	77	126	71	140	93	138	143	100	27	155	134	167	124	126	126	105	124	137	87	113	114	136	102	13	50	132	105	129	159	130	99	103	106	86	122	90	147	123	90	6	68	75	110	24	107	123	4	47	97	84	115	120	121	29	4	148	108	50	62	149	105	80	96	90					
		8.11%	7.40%	8.85%	9.62%	8.19%	8.43%	6.65%	6.38%	7.54%	4.93%	8.78%	6.50%	9.15%	9.43%	6.80%	10.98%	9.53%	9.34%	10.19%	7.68%	9.14%	8.62%	7.10%	8.54%	9.70%	5.96%	8.14%	8.94%	9.48%	7.66%	5.24%	6.68%	9.56%	7.26%	9.06%	9.99%	8.67%	6.99%	6.95%	6.76%	7.26%	9.11%	7.12%	9.30%	9.08%	6.15%	11.32%	9.43%	7.56%	8.49%	10.53%	9.08%	6.74%	5.80%	5.47%	7.85%	6.46%	8.13%	7.62%	8.19%	10.18%	2.05%	9.66%	7.88%	6.24%	5.38%	9.95%	9.96%	8.64%	8.90%	7.71%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1057	15	11	17	33	10	16	18	15	21	18	16	26	18	21	1	11	26	16	19	23	12	18	36	27	13	9	17	14	22	2	12	25	26	30	15	22	16	14	27	17	22	8	19	6	12	0	5	6	13	2	8	18	2	8	10	16	16	17	28	3	1	22	22	5	12	14	11	10	8	8					
		1.22%	0.91%	0.76%	1.06%	2.21%	0.93%	1.66%	1.49%	0.90%	1.46%	1.13%	1.12%	1.72%	1.19%	1.43%	0.41%	0.68%	1.81%	0.98%	1.18%	1.67%	0.82%	1.22%	2.48%	1.91%	0.89%	0.65%	1.33%	0.98%	1.65%	0.81%	1.60%	1.81%	1.80%	2.11%	0.94%	1.47%	1.13%	0.94%	1.72%	1.44%	1.64%	0.63%	1.20%	0.44%	0.82%	0.00%	0.69%	0.60%	1.00%	0.88%	0.68%	0.99%	2.90%	0.93%	0.81%	1.23%	1.13%	1.08%	1.89%	1.05%	0.51%	1.44%	1.60%	0.62%	1.04%	0.94%	1.04%	1.08%	0.74%	0.69%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	49005	873	735	879	845	598	572	701	965	818	802	824	810	867	896	146	897	759	849	871	737	788	805	762	771	813	821	719	771	730	176	499	747	828	759	837	806	850	834	841	778	717	731	794	790	944	29	420	619	801	130	624	895	36	582	728	806	865	876	790	153	173	862	752	498	747	809	577	554	618	706					
		56.34%	52.97%	50.83%	54.56%	56.71%	55.42%	59.40%	58.08%	57.78%	56.85%	50.28%	57.62%	53.71%	57.19%	60.91%	59.35%	55.17%	52.89%	51.80%	53.97%	53.44%	53.94%	54.43%	52.48%	54.56%	55.68%	59.11%	56.39%	53.73%	54.80%	70.97%	66.62%	54.09%	57.26%	53.30%	52.61%	53.73%	59.99%	56.24%	53.67%	65.71%	53.55%	57.83%	50.22%	58.35%	64.48%	54.72%	58.25%	62.40%	61.81%	57.02%	52.93%	49.04%	52.17%	67.75%	58.95%	61.95%	61.13%	55.62%	53.45%	53.68%	88.72%	56.27%	54.85%	62.17%	64.79%	54.04%	54.74%	59.83%	57.28%	60.50%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1706	42	29	20	33	12	19	33	33	25	33	12	36	40	16	0	29	29	40	38	36	32	20	26	14	36	24	23	32	32	3	13	40	26	43	42	34	35	28	28	10	27	16	24	21	14	1	15	18	17	5	36	30	1	7	26	26	13	31	47	4	3	34	36	12	20	36	23	15	26	26					
		1.96%	2.55%	2.01%	1.24%	2.21%	1.11%	1.97%	2.73%	1.98%	1.74%	2.07%	0.84%	2.39%	2.64%	1.09%	0.00%	1.78%	2.02%	2.44%	2.35%	2.61%	2.19%	1.35%	1.79%	0.99%	2.47%	1.73%	1.80%	2.23%	2.40%	1.21%	1.74%	2.90%	1.80%	3.02%	2.64%	2.27%	2.47%	1.89%	1.79%	0.84%	2.02%	1.27%	1.52%	1.55%	0.96%	1.89%	2.08%	1.81%	1.31%	2.19%	3.05%	1.64%	1.45%	0.81%	2.11%	1.99%	0.92%	1.97%	3.18%	1.40%	1.54%	2.22%	2.63%	1.50%	1.73%	2.40%	2.18%	1.62%	2.41%	2.23%					
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
