Выборы Президента Российской Федерации																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Пятигорская городская																																																																																				
																																																																																				
Итоги голосования 																																																																																				
																																																																																				
		Сумма	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102					
11	Число полученных открепительных  удостоверений	1620	25	30	30	20	20	10	15	0	35	30	25	0	40	30	0	0	25	20	25	35	15	15	30	0	20	10	30	30	30	30	25	20	10	10	15	20	10	25	20	15	15	25	20	20	15	30	25	35	20	20	20	20	25	45	20	30	15	30	30	25	10	10	20	40	30	30	30	35	0	25	25	15	20	30	20	0	0					
12	Число выданных открепительных удостоверений	1207	22	25	20	19	5	8	9	0	26	21	20	0	19	28	0	0	23	20	25	25	3	5	26	0	20	1	16	27	12	22	9	14	9	4	11	13	3	15	17	5	15	21	8	18	15	22	25	27	17	16	14	15	25	40	13	23	13	25	24	12	2	9	10	22	26	30	30	33	0	19	23	14	18	16	20	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1767	9	24	13	15	5	4	10	65	16	22	25	2	20	10	48	251	23	8	11	22	17	191	16	25	24	30	20	21	11	20	22	15	5	7	7	4	10	5	79	11	11	5	6	17	6	6	14	9	8	13	10	15	10	28	13	10	9	15	7	5	6	5	12	7	14	8	17	14	105	11	11	8	6	16	13	111	43					
14	Число неиспользованных открепительных удостоверений	413	3	5	10	1	15	2	6	0	9	9	5	0	21	2	0	0	2	0	0	10	12	10	4	0	0	9	14	3	18	8	16	6	1	6	4	7	7	10	3	10	0	4	12	2	0	8	0	8	3	4	6	5	0	5	7	7	2	5	6	13	8	1	10	18	4	0	0	2	0	6	2	1	2	14	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	91	2	2	1	2	2	1	1	0	1	2	0	0	3	4	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	3	2	1	2	5	1	1	1	3	0	0	1	2	1	4	1	0	4	1	0	4	0	3	1	2	0	0	0	0	5	1	0	0	0	2	2	0	2	2	0	3	1	4	1	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																				
18	. Глазьев Сергей Юрьевич	3973	48	66	100	47	62	26	16	10	85	34	47	0	50	88	1	3	48	69	90	79	58	52	79	3	44	7	108	52	58	66	62	58	71	31	52	36	39	70	42	30	70	61	43	71	55	61	76	69	58	83	42	60	67	65	43	34	41	54	60	62	10	9	66	37	66	52	94	90	6	62	65	88	39	72	45	8	2					
		4.78%	4.30%	4.74%	5.88%	3.32%	4.72%	3.23%	2.95%	0.97%	5.53%	3.11%	4.33%	0.00%	3.99%	5.06%	0.72%	1.20%	5.02%	5.69%	6.58%	5.25%	4.73%	4.70%	6.10%	2.21%	5.02%	4.05%	7.79%	4.40%	4.64%	5.32%	6.10%	4.36%	6.24%	2.77%	5.30%	3.16%	4.69%	4.51%	3.46%	3.81%	5.69%	3.96%	3.24%	5.25%	5.89%	5.71%	5.15%	4.44%	5.89%	5.94%	4.78%	4.78%	4.60%	4.50%	4.62%	3.63%	5.12%	4.67%	5.91%	4.67%	3.02%	3.46%	4.86%	3.79%	5.95%	4.29%	6.16%	5.50%	4.65%	5.82%	5.45%	6.81%	3.15%	4.62%	3.32%	6.78%	3.77%					
19	. Малышкин Олег Александрович	1608	33	27	33	23	24	19	13	42	24	28	19	0	19	30	3	1	17	21	15	34	19	11	35	1	24	0	27	16	10	19	16	31	39	20	33	26	18	19	27	13	32	26	34	22	15	18	27	33	26	33	14	30	40	28	11	10	8	27	18	41	5	4	23	27	21	23	32	38	0	18	12	24	5	32	21	1	0					
		1.94%	2.95%	1.94%	1.94%	1.63%	1.83%	2.36%	2.39%	4.06%	1.56%	2.56%	1.75%	0.00%	1.52%	1.73%	2.16%	0.40%	1.78%	1.73%	1.10%	2.26%	1.55%	0.99%	2.70%	0.74%	2.74%	0.00%	1.95%	1.35%	0.80%	1.53%	1.57%	2.33%	3.43%	1.79%	3.36%	2.28%	2.16%	1.23%	2.22%	1.65%	2.60%	1.69%	2.56%	1.63%	1.61%	1.69%	1.83%	2.12%	2.64%	2.36%	1.59%	2.39%	2.75%	1.94%	1.18%	1.07%	1.00%	2.34%	1.77%	3.09%	1.51%	1.54%	1.69%	2.77%	1.89%	1.90%	2.10%	2.32%	0.00%	1.69%	1.01%	1.86%	0.40%	2.05%	1.55%	0.85%	0.00%					
20	. Миронов Сергей Михайлович	565	9	7	13	8	4	8	1	13	12	6	10	2	5	12	1	0	5	8	8	8	5	5	4	0	6	0	5	9	12	11	4	12	5	4	9	13	3	13	10	3	8	17	9	8	3	4	4	5	3	13	6	10	12	11	9	6	4	16	6	21	2	2	8	9	9	15	11	11	0	8	10	17	2	3	10	0	0					
		0.68%	0.81%	0.50%	0.76%	0.57%	0.30%	1.00%	0.18%	1.26%	0.78%	0.55%	0.92%	1.34%	0.40%	0.69%	0.72%	0.00%	0.52%	0.66%	0.58%	0.53%	0.41%	0.45%	0.31%	0.00%	0.68%	0.00%	0.36%	0.76%	0.96%	0.89%	0.39%	0.90%	0.44%	0.36%	0.92%	1.14%	0.36%	0.84%	0.82%	0.38%	0.65%	1.10%	0.68%	0.59%	0.32%	0.37%	0.27%	0.32%	0.30%	0.93%	0.68%	0.80%	0.82%	0.76%	0.97%	0.64%	0.50%	1.38%	0.59%	1.58%	0.60%	0.77%	0.59%	0.92%	0.81%	1.24%	0.72%	0.67%	0.00%	0.75%	0.84%	1.32%	0.16%	0.19%	0.74%	0.00%	0.00%					
21	. Путин Владимир Владимирович	56830	807	972	1120	954	901	571	405	770	1077	794	737	130	886	1168	108	191	632	808	867	965	868	741	806	104	591	104	889	715	878	791	663	893	754	840	618	813	560	1066	802	576	828	1131	914	933	631	745	1006	1088	675	959	603	839	980	1028	638	721	588	759	695	821	237	179	963	673	734	810	1018	1098	97	752	852	843	908	1065	977	72	35					
		68.42%	72.25%	69.88%	65.88%	67.47%	68.57%	71.02%	74.59%	74.47%	70.07%	72.58%	67.93%	87.25%	70.71%	67.17%	77.70%	76.10%	66.11%	66.67%	63.38%	64.12%	70.80%	67.00%	62.24%	76.47%	67.39%	60.12%	64.10%	60.54%	70.18%	63.79%	65.19%	67.19%	66.26%	75.13%	62.93%	71.44%	67.31%	68.73%	66.06%	73.10%	67.26%	73.39%	68.83%	68.96%	67.63%	69.76%	68.20%	70.06%	68.53%	68.60%	68.60%	66.91%	67.26%	71.19%	68.60%	76.95%	73.50%	65.66%	68.47%	61.82%	71.60%	68.85%	70.86%	69.03%	66.19%	66.89%	66.71%	67.07%	75.19%	70.54%	71.48%	65.25%	73.40%	68.27%	72.10%	61.02%	66.04%					
22	. Хакамада Ирина Муцуовна	3906	50	72	109	40	34	16	20	33	78	49	68	3	60	90	7	7	54	83	90	87	70	84	80	6	59	3	82	73	55	62	49	57	48	44	31	36	24	61	39	32	38	38	30	84	39	49	82	47	45	64	55	58	51	43	55	36	32	62	46	54	10	4	63	52	71	80	73	71	8	39	61	73	104	77	59	5	3					
		4.70%	4.48%	5.18%	6.41%	2.83%	2.59%	1.99%	3.68%	3.19%	5.07%	4.48%	6.27%	2.01%	4.79%	5.18%	5.04%	2.79%	5.65%	6.85%	6.58%	5.78%	5.71%	7.59%	6.18%	4.41%	6.73%	1.73%	5.91%	6.18%	4.40%	5.00%	4.82%	4.29%	4.22%	3.94%	3.16%	3.16%	2.88%	3.93%	3.21%	4.06%	3.09%	2.47%	2.26%	6.21%	4.18%	4.59%	5.56%	3.03%	4.57%	4.58%	6.26%	4.63%	3.50%	2.98%	5.91%	3.84%	4.00%	5.36%	4.53%	4.07%	3.02%	1.54%	4.64%	5.33%	6.40%	6.61%	4.78%	4.34%	6.20%	3.66%	5.12%	5.65%	8.41%	4.94%	4.35%	4.24%	5.66%					
23	. Харитонов Николай Михайлович	12466	122	187	239	285	235	124	72	11	190	137	167	6	178	266	5	34	152	173	236	258	144	158	232	6	122	53	220	219	197	229	178	236	156	144	188	164	150	267	245	115	210	220	255	168	153	138	212	257	145	198	127	214	239	184	117	99	97	179	137	269	51	46	170	131	165	184	238	252	10	138	151	199	142	240	197	27	7					
		15.01%	10.92%	13.44%	14.06%	20.16%	17.88%	15.42%	13.26%	1.06%	12.36%	12.52%	15.39%	4.03%	14.21%	15.30%	3.60%	13.55%	15.90%	14.27%	17.25%	17.14%	11.75%	14.29%	17.92%	4.41%	13.91%	30.64%	15.86%	18.54%	15.75%	18.47%	17.50%	17.76%	13.71%	12.88%	19.14%	14.41%	18.03%	17.21%	20.18%	14.59%	17.06%	14.28%	19.20%	12.42%	16.40%	12.92%	14.37%	16.55%	14.72%	14.16%	14.45%	17.07%	16.40%	12.74%	12.58%	10.57%	12.12%	15.48%	13.50%	20.26%	15.41%	17.69%	12.51%	13.44%	14.88%	15.19%	15.60%	15.39%	7.75%	12.95%	12.67%	15.40%	11.48%	15.38%	14.54%	22.88%	13.21%					
																																																																																				
24	Против всех	3026	39	52	78	50	41	17	14	134	67	34	32	7	48	79	12	11	40	47	50	68	60	51	54	16	25	6	45	52	35	56	36	34	37	19	40	36	21	44	40	15	40	38	25	67	34	48	58	49	25	44	27	37	55	71	38	28	19	51	42	36	14	11	53	41	37	39	54	71	7	44	37	42	0	55	36	5	6					
		3.64%	3.49%	3.74%	4.59%	3.54%	3.12%	2.11%	2.58%	12.96%	4.36%	3.11%	2.95%	4.70%	3.83%	4.54%	8.63%	4.38%	4.18%	3.88%	3.65%	4.52%	4.89%	4.61%	4.17%	11.76%	2.85%	3.47%	3.24%	4.40%	2.80%	4.52%	3.54%	2.56%	3.25%	1.70%	4.07%	3.16%	2.52%	2.84%	3.29%	1.90%	3.25%	2.47%	1.88%	4.95%	3.64%	4.49%	3.93%	3.16%	2.54%	3.15%	3.07%	2.95%	3.77%	4.92%	4.09%	2.99%	2.38%	4.41%	4.14%	2.71%	4.23%	4.23%	3.90%	4.21%	3.34%	3.22%	3.54%	4.34%	5.43%	4.13%	3.10%	3.25%	0.00%	3.53%	2.66%	4.24%	11.32%					
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
