Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    район Старое Крюково																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №3283	УИК №3284	УИК №3285	УИК №3286	УИК №3287	УИК №3288	УИК №3289	УИК №3290	УИК №3291	УИК №3292	УИК №3293	УИК №3294	УИК №3295	УИК №3296	УИК №3297	УИК №3298									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	173	5	0	3	23	21	24	4	8	2	9	2	3	15	9	38	7									
14	Число погашенных неиспользованных открепительных удостоверений	94	3	7	9	7	3	5	5	3	10	5	9	3	4	7	6	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	35	1	1	2	2	3	4	4	1	4	1	2	3	3	1	0	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	254	11	24	14	11	17	24	13	18	19	16	13	13	18	17	13	13									
		2.89%	2.24%	4.02%	2.75%	2.40%	3.04%	3.05%	2.85%	3.14%	3.77%	2.80%	2.59%	2.25%	3.07%	3.02%	2.51%	2.36%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	147	8	9	4	10	7	20	4	12	12	9	6	9	9	13	7	8									
		1.67%	1.63%	1.51%	0.79%	2.18%	1.25%	2.54%	0.88%	2.09%	2.38%	1.58%	1.20%	1.56%	1.53%	2.31%	1.35%	1.45%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	246	9	14	7	18	26	20	17	13	15	17	14	15	22	12	15	12									
		2.80%	1.83%	2.35%	1.38%	3.93%	4.64%	2.54%	3.73%	2.27%	2.98%	2.98%	2.79%	2.60%	3.75%	2.14%	2.90%	2.18%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3515	176	248	232	193	205	294	172	235	186	231	198	248	203	230	240	224									
		39.95%	35.85%	41.54%	45.58%	42.14%	36.61%	37.40%	37.72%	41.01%	36.90%	40.46%	39.52%	42.98%	34.58%	40.93%	46.42%	40.73%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	147	7	11	9	6	13	18	8	5	10	10	6	14	10	6	4	10									
		1.67%	1.43%	1.84%	1.77%	1.31%	2.32%	2.29%	1.75%	0.87%	1.98%	1.75%	1.20%	2.43%	1.70%	1.07%	0.77%	1.82%									
24	"6. Политическая партия ""Гражданская Платформа"""	21	1	2	0	1	3	1	1	1	0	2	1	0	2	1	5	0									
		0.24%	0.20%	0.34%	0.00%	0.22%	0.54%	0.13%	0.22%	0.17%	0.00%	0.35%	0.20%	0.00%	0.34%	0.18%	0.97%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1318	79	106	88	61	90	148	64	93	78	80	73	71	97	80	44	66									
		14.98%	16.09%	17.76%	17.29%	13.32%	16.07%	18.83%	14.04%	16.23%	15.48%	14.01%	14.57%	12.31%	16.52%	14.23%	8.51%	12.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	191	10	13	15	7	14	21	13	10	14	8	10	12	13	10	11	10									
		2.17%	2.04%	2.18%	2.95%	1.53%	2.50%	2.67%	2.85%	1.75%	2.78%	1.40%	1.99%	2.08%	2.21%	1.78%	2.13%	1.82%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	240	14	12	7	12	20	32	9	15	10	13	12	11	23	22	8	20									
		2.73%	2.85%	2.01%	1.38%	2.62%	3.57%	4.07%	1.97%	2.62%	1.98%	2.28%	2.40%	1.91%	3.92%	3.91%	1.55%	3.64%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	19	3	0	2	0	2	3	1	2	0	1	1	2	0	1	0	1									
		0.22%	0.61%	0.00%	0.39%	0.00%	0.36%	0.38%	0.22%	0.35%	0.00%	0.18%	0.20%	0.35%	0.00%	0.18%	0.00%	0.18%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	547	36	39	13	31	40	50	28	30	28	32	36	34	44	34	21	51									
		6.22%	7.33%	6.53%	2.55%	6.77%	7.14%	6.36%	6.14%	5.24%	5.56%	5.60%	7.19%	5.89%	7.50%	6.05%	4.06%	9.27%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1188	74	76	73	66	57	100	73	83	66	82	80	70	77	63	76	72									
		13.50%	15.07%	12.73%	14.34%	14.41%	10.18%	12.72%	16.01%	14.49%	13.10%	14.36%	15.97%	12.13%	13.12%	11.21%	14.70%	13.09%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	43	3	0	1	1	3	7	1	4	3	0	5	5	4	4	2	0									
		0.49%	0.61%	0.00%	0.20%	0.22%	0.54%	0.89%	0.22%	0.70%	0.60%	0.00%	0.99%	0.87%	0.68%	0.71%	0.39%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	750	49	33	34	35	59	34	37	39	49	55	36	63	57	55	62	53									
		8.52%	9.98%	5.53%	6.68%	7.64%	10.54%	4.33%	8.11%	6.81%	9.72%	9.63%	7.19%	10.92%	9.71%	9.79%	11.99%	9.64%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
