Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																								
Дата голосования: 07.12.2003 0:00:00																																								
																																								
Наименование Избирательной комиссии:    Звенигородская городская																																								
																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																								
																																								
		Сумма	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК  5004	УИК  5005	УИК  5109	УИК  5110	УИК  5111	УИК  5112	УИК  5116	УИК  5117	УИК  5118	УИК  5119	УИК  5120	УИК  5121	УИК  5122	УИК  5123	УИК  5124	УИК  5125	УИК  5134	УИК  5224	УИК  5225					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	958	26	24	17	37	36	25	26	8	25	27	34	40	2	27	136	3	46	38	15	1	23	79	20	20	16	6	16	4	7	61	75	15	23					
		6.34%	5.49%	4.69%	4.87%	8.42%	5.94%	3.73%	6.41%	2.28%	8.86%	3.91%	6.33%	5.36%	1.94%	7.60%	14.30%	13.63%	10.92%	15.32%	23.07%	5.88%	11.21%	14.41%	6.60%	10.36%	2.27%	5.94%	6.53%	2.68%	1.11%	3.08%	10.09%	3.23%	3.80%					
22	"5. ""За Русь Святую"""	83	7	0	1	4	5	2	3	1	1	1	2	3	0	0	4	0	3	1	0	0	1	3	1	0	8	3	4	0	2	17	3	3	0					
		0.54%	1.47%	0.0%	0.28%	0.91%	0.82%	0.29%	0.74%	0.28%	0.35%	0.14%	0.37%	0.40%	0.0%	0.0%	0.42%	0.0%	0.71%	0.40%	0.0%	0.0%	0.48%	0.54%	0.33%	0.0%	1.13%	2.97%	1.63%	0.0%	0.31%	0.86%	0.40%	0.64%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	64	0	0	1	5	0	2	1	1	1	4	3	6	1	2	2	1	1	0	0	0	2	8	2	1	5	0	2	0	1	5	2	1	4					
		0.42%	0.0%	0.0%	0.28%	1.13%	0.0%	0.29%	0.24%	0.28%	0.35%	0.58%	0.55%	0.80%	0.97%	0.56%	0.21%	4.54%	0.23%	0.0%	0.0%	0.0%	0.97%	1.45%	0.66%	0.51%	0.71%	0.0%	0.81%	0.0%	0.15%	0.25%	0.26%	0.21%	0.66%					
24	"7. ""Новый курс - Автомобильная Россия"""	143	7	4	7	4	6	9	3	2	4	9	11	10	0	8	7	0	5	0	0	0	3	3	0	1	4	0	0	0	6	13	5	9	3					
		0.94%	1.47%	0.78%	2.00%	0.91%	0.99%	1.34%	0.74%	0.57%	1.41%	1.30%	2.04%	1.34%	0.0%	2.25%	0.73%	0.0%	1.18%	0.0%	0.0%	0.0%	1.46%	0.54%	0.0%	0.51%	0.56%	0.0%	0.0%	0.0%	0.95%	0.65%	0.67%	1.94%	0.49%					
25	"8. ""Народно-республиканская партия России"""	17	1	1	2	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	3	0	2	1					
		0.11%	0.21%	0.19%	0.57%	0.22%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.97%	0.0%	0.0%	0.0%	0.23%	0.0%	1.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.43%	0.16%					
26	"9. ""Российская экологическая партия ""Зеленые"""	103	0	1	0	1	1	8	1	1	1	4	1	1	2	3	13	0	8	4	0	2	1	3	2	0	11	1	0	2	1	18	3	0	9					
		0.68%	0.0%	0.19%	0.0%	0.22%	0.16%	1.19%	0.24%	0.28%	0.35%	0.58%	0.18%	0.13%	1.94%	0.84%	1.36%	0.0%	1.90%	1.61%	0.0%	11.76%	0.48%	0.54%	0.66%	0.0%	1.56%	0.99%	0.0%	1.34%	0.15%	0.91%	0.40%	0.0%	1.49%					
27	"10. ""Аграрная партия России"""	266	17	14	6	9	11	15	10	7	5	16	18	16	6	10	12	0	5	3	0	0	1	14	2	1	3	2	6	0	8	28	6	7	8					
		1.76%	3.59%	2.73%	1.71%	2.05%	1.81%	2.23%	2.46%	2.0%	1.77%	2.32%	3.35%	2.14%	5.82%	2.81%	1.26%	0.0%	1.18%	1.20%	0.0%	0.0%	0.48%	2.55%	0.66%	0.51%	0.42%	1.98%	2.44%	0.0%	1.26%	1.41%	0.80%	1.51%	1.32%					
28	"11. ""Истинные патриоты России"""	48	7	0	0	3	1	3	1	2	1	0	4	4	0	1	0	0	0	0	0	0	0	0	1	0	7	0	0	0	1	6	0	1	5					
		0.31%	1.47%	0.0%	0.0%	0.68%	0.16%	0.44%	0.24%	0.57%	0.35%	0.0%	0.74%	0.53%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.99%	0.0%	0.0%	0.0%	0.15%	0.30%	0.0%	0.21%	0.82%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	159	5	9	2	3	7	6	7	2	2	4	10	12	1	5	9	0	2	1	0	0	7	3	1	0	2	3	5	0	6	23	3	16	3					
		1.05%	1.05%	1.76%	0.57%	0.68%	1.15%	0.89%	1.72%	0.57%	0.70%	0.58%	1.86%	1.60%	0.97%	1.40%	0.94%	0.0%	0.47%	0.40%	0.0%	0.0%	3.41%	0.54%	0.33%	0.0%	0.28%	2.97%	2.04%	0.0%	0.95%	1.16%	0.40%	3.45%	0.49%					
30	"13. ""Демократическая партия России"""	25	2	1	0	0	0	0	1	0	2	2	0	0	0	0	1	0	3	0	0	0	0	1	0	0	4	0	1	0	0	2	1	0	4					
		0.16%	0.42%	0.19%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.70%	0.29%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.71%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.56%	0.0%	0.40%	0.0%	0.0%	0.10%	0.13%	0.0%	0.66%					
31	"14. ""Великая Россия - Евразийский Союз"""	139	1	0	0	1	1	3	1	2	2	2	0	5	3	0	3	0	1	0	1	0	0	6	9	5	5	2	3	2	1	74	3	1	2					
		0.92%	0.21%	0.0%	0.0%	0.22%	0.16%	0.44%	0.24%	0.57%	0.70%	0.29%	0.0%	0.67%	2.91%	0.0%	0.31%	0.0%	0.23%	0.0%	1.53%	0.0%	0.0%	1.09%	2.97%	2.59%	0.71%	1.98%	1.22%	1.34%	0.15%	3.74%	0.40%	0.21%	0.33%					
32	"15. ""Партия СЛОН"""	28	0	3	3	2	0	0	0	0	1	1	1	0	0	0	1	0	2	0	0	0	0	1	1	1	0	0	0	0	0	7	2	1	1					
		0.18%	0.0%	0.58%	0.85%	0.45%	0.0%	0.0%	0.0%	0.0%	0.35%	0.14%	0.18%	0.0%	0.0%	0.0%	0.10%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.18%	0.33%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.26%	0.21%	0.16%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1960	88	32	61	67	106	131	83	73	44	122	87	122	8	73	191	4	43	18	5	2	35	59	37	27	19	17	17	2	17	146	99	73	52					
		12.97%	18.60%	6.26%	17.47%	15.26%	17.49%	19.55%	20.49%	20.85%	15.60%	17.70%	16.20%	16.35%	7.76%	20.56%	20.08%	18.18%	10.21%	7.25%	7.69%	11.76%	17.07%	10.76%	12.21%	13.98%	2.70%	16.83%	6.93%	1.34%	2.69%	7.38%	13.32%	15.76%	8.60%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	34	0	10	0	1	0	0	2	1	0	0	0	0	1	0	0	0	2	1	0	0	0	0	1	0	5	0	0	1	0	6	1	0	2					
		0.22%	0.0%	1.95%	0.0%	0.22%	0.0%	0.0%	0.49%	0.28%	0.0%	0.0%	0.0%	0.0%	0.97%	0.0%	0.0%	0.0%	0.47%	0.40%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.71%	0.0%	0.0%	0.67%	0.0%	0.30%	0.13%	0.0%	0.33%					
35	"18. ""ЛДПР"""	1480	40	30	22	27	47	59	24	25	13	51	44	56	11	31	36	0	6	9	0	1	25	48	31	24	90	17	47	9	110	447	29	30	41					
		9.80%	8.45%	5.87%	6.30%	6.15%	7.75%	8.80%	5.92%	7.14%	4.60%	7.40%	8.19%	7.50%	10.67%	8.73%	3.78%	0.0%	1.42%	3.62%	0.0%	5.88%	12.19%	8.75%	10.23%	12.43%	12.80%	16.83%	19.18%	6.04%	17.46%	22.62%	3.90%	6.47%	6.78%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	231	5	10	4	7	7	6	4	3	7	10	6	4	3	1	17	0	11	2	0	0	3	7	4	5	22	0	7	5	7	32	11	11	10					
		1.52%	1.05%	1.95%	1.14%	1.59%	1.15%	0.89%	0.98%	0.85%	2.48%	1.45%	1.11%	0.53%	2.91%	0.28%	1.78%	0.0%	2.61%	0.80%	0.0%	0.0%	1.46%	1.27%	1.32%	2.59%	3.12%	0.0%	2.85%	3.35%	1.11%	1.61%	1.48%	2.37%	1.65%					
37	"20. ""Политическая партия ""Единая Россия"""	5640	163	248	133	166	220	227	120	106	105	222	204	261	39	114	274	7	159	106	31	9	63	181	128	61	353	30	69	97	390	617	269	185	283					
		37.34%	34.46%	48.53%	38.10%	37.81%	36.30%	33.88%	29.62%	30.28%	37.23%	32.22%	37.98%	34.98%	37.86%	32.11%	28.81%	31.81%	37.76%	42.74%	47.69%	52.94%	30.73%	33.02%	42.24%	31.60%	50.21%	29.70%	28.16%	65.10%	61.90%	31.22%	36.20%	39.95%	46.85%					
38	"21. ""Российская Конституционно-демократическая партия"""	32	0	5	0	0	1	0	2	0	1	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	7	0	1	2	0	3	2	1	2					
		0.21%	0.0%	0.97%	0.0%	0.0%	0.16%	0.0%	0.49%	0.0%	0.35%	0.14%	0.0%	0.0%	0.97%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.18%	0.0%	0.0%	0.99%	0.0%	0.40%	1.34%	0.0%	0.15%	0.26%	0.21%	0.33%					
39	"22. ""Развитие предпринимательства"""	41	2	0	0	0	3	0	0	0	3	0	3	0	1	1	1	0	1	1	0	0	0	1	0	0	10	0	0	0	1	6	1	3	3					
		0.27%	0.42%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	1.06%	0.0%	0.55%	0.0%	0.97%	0.28%	0.10%	0.0%	0.23%	0.40%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	1.42%	0.0%	0.0%	0.0%	0.15%	0.30%	0.13%	0.64%	0.49%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1539	44	31	30	41	75	93	52	74	34	104	46	110	14	43	75	1	34	9	5	0	11	58	34	27	84	12	35	13	14	151	44	50	91					
		10.19%	9.30%	6.06%	8.59%	9.33%	12.37%	13.88%	12.83%	21.14%	12.05%	15.09%	8.56%	14.74%	13.59%	12.11%	7.88%	4.54%	8.07%	3.62%	7.69%	0.0%	5.36%	10.58%	11.22%	13.98%	11.94%	11.88%	14.28%	8.72%	2.22%	7.64%	5.92%	10.79%	15.06%					
																																								
41	Против всех	700	17	30	32	24	33	30	17	19	9	48	24	35	1	13	49	1	22	12	0	1	8	11	2	3	8	0	7	7	32	148	16	26	15					
		4.63%	3.59%	5.87%	9.16%	5.46%	5.44%	4.47%	4.19%	5.42%	3.19%	6.96%	4.46%	4.69%	0.97%	3.66%	5.15%	4.54%	5.22%	4.83%	0.0%	5.88%	3.90%	2.00%	0.66%	1.55%	1.13%	0.0%	2.85%	4.69%	5.07%	7.48%	2.15%	5.61%	2.48%					
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
