Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Нерюнгринская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390									
		26.67%	27.79%	26.20%	27.06%	27.68%	21.05%	29.81%	27.08%	26.01%	25.43%	27.00%	26.77%	26.02%	25.22%	24.70%	24.03%	27.61%	25.14%	27.18%	25.80%	28.02%	20.55%	26.40%	25.25%	28.13%	25.71%	28.97%	30.38%	30.55%	27.40%	28.77%	40.54%	8.50%	42.38%	37.10%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	157	3	6	5	3	8	8	8	14	3	5	7	6	9	3	9	6	4	9	3	2	10	0	4	0	0	0	6	5	3	4	0	2	1	1									
		0.61%	0.53%	0.54%	0.76%	0.39%	1.24%	0.90%	0.94%	1.29%	0.34%	0.57%	0.74%	0.72%	0.88%	0.36%	0.83%	0.55%	0.54%	0.91%	0.31%	0.19%	1.10%	0.00%	0.66%	0.00%	0.00%	0.00%	1.33%	0.85%	0.51%	0.46%	0.00%	0.49%	0.48%	0.20%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	280	8	13	11	11	5	11	7	17	11	5	9	15	9	10	17	10	8	12	5	15	16	3	6	8	9	1	4	3	3	8	1	4	1	4									
		1.09%	1.42%	1.17%	1.68%	1.44%	0.77%	1.24%	0.82%	1.57%	1.26%	0.57%	0.95%	1.80%	0.88%	1.22%	1.58%	0.92%	1.09%	1.22%	0.52%	1.45%	1.77%	0.44%	0.98%	0.80%	1.41%	0.93%	0.89%	0.51%	0.51%	0.91%	0.30%	0.97%	0.48%	0.79%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	37	0	0	1	2	1	5	1	2	0	1	4	1	3	0	2	2	1	0	1	1	0	0	1	2	0	0	1	1	1	2	0	1	0	0									
		0.14%	0.00%	0.00%	0.15%	0.26%	0.15%	0.56%	0.12%	0.18%	0.00%	0.11%	0.42%	0.12%	0.29%	0.00%	0.19%	0.18%	0.14%	0.00%	0.10%	0.10%	0.00%	0.00%	0.16%	0.20%	0.00%	0.00%	0.22%	0.17%	0.17%	0.23%	0.00%	0.24%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	226	1	11	5	7	6	5	4	16	5	1	13	11	16	15	13	16	11	8	7	5	7	2	2	9	3	1	4	3	5	4	7	3	0	0									
		0.88%	0.18%	0.99%	0.76%	0.91%	0.93%	0.56%	0.47%	1.48%	0.57%	0.11%	1.37%	1.32%	1.56%	1.82%	1.21%	1.48%	1.49%	0.81%	0.73%	0.48%	0.77%	0.29%	0.33%	0.90%	0.47%	0.93%	0.89%	0.51%	0.86%	0.46%	2.10%	0.73%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3307	62	143	52	113	80	91	101	134	108	98	134	127	143	97	149	133	99	136	142	59	136	112	93	158	119	10	46	77	102	129	15	36	3	70									
		12.86%	10.97%	12.92%	7.95%	14.75%	12.38%	10.24%	11.84%	12.36%	12.37%	11.21%	14.12%	15.23%	13.92%	11.80%	13.82%	12.28%	13.45%	13.79%	14.72%	5.70%	15.03%	16.52%	15.25%	15.82%	18.65%	9.35%	10.20%	13.14%	17.47%	14.73%	4.50%	8.74%	1.43%	13.89%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	90	1	5	0	2	1	3	2	3	6	2	2	5	7	2	5	3	0	5	2	6	3	1	3	4	1	1	2	0	1	4	1	0	2	5									
		0.35%	0.18%	0.45%	0.00%	0.26%	0.15%	0.34%	0.23%	0.28%	0.69%	0.23%	0.21%	0.60%	0.68%	0.24%	0.46%	0.28%	0.00%	0.51%	0.21%	0.58%	0.33%	0.15%	0.49%	0.40%	0.16%	0.93%	0.44%	0.00%	0.17%	0.46%	0.30%	0.00%	0.95%	0.99%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1570	22	78	36	41	35	61	48	64	57	60	61	54	61	68	89	84	61	62	65	128	60	26	23	35	17	4	15	25	22	39	4	38	6	21									
		6.10%	3.89%	7.05%	5.50%	5.35%	5.42%	6.86%	5.63%	5.90%	6.53%	6.86%	6.43%	6.47%	5.94%	8.27%	8.26%	7.76%	8.29%	6.29%	6.74%	12.37%	6.63%	3.83%	3.77%	3.50%	2.66%	3.74%	3.33%	4.27%	3.77%	4.45%	1.20%	9.22%	2.86%	4.17%									
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
