Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																
Дата голосования: 18.09.2016																																																																																
																																																																																
Наименование Избирательной комиссии:    Дюртюлинская																																																																																
																																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																
																																																																																
		Сумма	УИК №1791	УИК №1792	УИК №1794	УИК №1795	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1804	УИК №1805	УИК №1807	УИК №1808	УИК №1810	УИК №1812	УИК №1815	УИК №1817	УИК №1819	УИК №1820	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1871									
		1.04%	1.95%	0.23%	0.25%	2.91%	3.08%	2.28%	3.18%	1.39%	1.38%	1.85%	1.61%	0.00%	3.51%	2.49%	2.23%	0.46%	0.86%	0.18%	0.44%	0.00%	1.05%	0.00%	1.70%	0.09%	0.70%	3.48%	1.03%	0.70%	0.87%	1.20%	2.42%	0.00%	1.96%	1.41%	3.06%	0.36%	0.00%	0.00%	4.03%	0.23%	0.42%	0.25%	1.17%	2.07%	0.00%	0.00%	0.00%	0.00%	1.78%	1.36%	1.31%	1.09%	0.00%	0.27%	0.63%	0.21%	0.56%	0.00%	0.89%	0.00%	0.00%	0.67%	0.61%	0.62%	1.13%	1.71%	1.46%	0.44%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	22595	426	470	513	400	406	342	399	483	532	182	442	466	364	491	565	476	535	898	309	432	472	356	418	787	156	316	481	162	231	258	207	102	321	85	240	154	219	319	160	470	658	440	371	213	150	264	228	55	322	162	168	201	255	207	472	601	227	141	298	182	51	246	55	360	192	140	235	273	383									
		56.99%	64.06%	54.91%	63.18%	61.35%	59.53%	55.79%	52.85%	61.22%	61.29%	56.17%	59.41%	60.68%	51.05%	61.15%	70.01%	54.97%	65.81%	80.11%	67.91%	55.53%	55.01%	55.71%	54.64%	68.67%	54.74%	55.05%	55.10%	56.45%	40.17%	51.60%	62.73%	55.74%	63.06%	29.93%	52.52%	55.20%	37.95%	42.20%	64.52%	53.29%	55.02%	56.05%	86.68%	55.18%	35.46%	58.28%	58.16%	59.14%	71.71%	73.64%	55.08%	43.98%	30.95%	55.05%	73.87%	41.28%	63.06%	55.95%	53.21%	52.00%	69.86%	55.03%	33.33%	55.81%	36.16%	59.83%	57.04%	60.13%	98.97%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	124	2	2	1	5	4	7	13	6	5	0	5	0	5	5	2	2	2	0	2	0	1	0	0	0	0	5	0	1	3	3	0	1	1	0	0	1	0	0	1	9	0	2	1	0	0	0	0	0	0	0	0	2	0	1	2	6	3	1	2	0	0	0	0	5	4	0	1	0	0									
		0.31%	0.30%	0.23%	0.12%	0.77%	0.59%	1.14%	1.72%	0.76%	0.58%	0.00%	0.67%	0.00%	0.70%	0.62%	0.25%	0.23%	0.25%	0.00%	0.44%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.87%	0.00%	0.35%	0.52%	0.60%	0.00%	0.55%	0.20%	0.00%	0.00%	0.36%	0.00%	0.00%	0.40%	1.02%	0.00%	0.25%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.27%	0.31%	0.41%	0.83%	0.40%	0.36%	0.00%	0.00%	0.00%	0.00%	0.78%	0.75%	0.00%	0.24%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	235	3	2	2	2	4	2	6	7	11	2	4	0	10	5	4	3	0	0	0	7	0	15	0	0	2	8	0	2	0	6	0	3	4	0	2	2	2	3	0	2	0	3	5	4	0	0	0	0	0	0	6	7	1	0	4	5	2	2	9	1	4	0	1	4	1	6	4	41	0									
		0.59%	0.45%	0.23%	0.25%	0.31%	0.59%	0.33%	0.79%	0.89%	1.27%	0.62%	0.54%	0.00%	1.40%	0.62%	0.50%	0.35%	0.00%	0.00%	0.00%	0.90%	0.00%	2.35%	0.00%	0.00%	0.70%	1.39%	0.00%	0.70%	0.00%	1.20%	0.00%	1.64%	0.79%	0.00%	0.44%	0.72%	0.35%	0.40%	0.00%	0.23%	0.00%	0.38%	1.17%	1.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.97%	1.53%	0.12%	0.00%	0.63%	0.34%	0.56%	0.79%	1.61%	0.29%	5.48%	0.00%	0.61%	0.62%	0.19%	2.56%	0.97%	9.03%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1031	61	9	8	40	60	49	60	8	9	24	43	8	55	63	11	8	8	11	4	13	8	17	8	11	3	31	9	3	5	36	5	3	33	3	21	3	0	8	7	8	2	8	5	5	4	4	4	1	34	2	12	3	0	4	37	2	5	3	31	5	4	5	7	7	0	2	53	5	3									
		2.60%	9.17%	1.05%	0.99%	6.13%	8.80%	7.99%	7.95%	1.01%	1.04%	7.41%	5.78%	1.04%	7.71%	7.85%	1.36%	0.92%	0.98%	0.98%	0.88%	1.67%	0.93%	2.66%	1.05%	0.96%	1.05%	5.40%	1.03%	1.05%	0.87%	7.20%	1.52%	1.64%	6.48%	1.06%	4.60%	1.08%	0.00%	1.06%	2.82%	0.91%	0.17%	1.02%	1.17%	1.30%	0.95%	0.88%	1.02%	1.08%	7.57%	0.91%	3.93%	0.66%	0.00%	1.06%	5.79%	0.14%	1.39%	1.19%	5.54%	1.43%	5.48%	1.12%	4.24%	1.09%	0.00%	0.85%	12.86%	1.10%	0.78%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	71	8	3	2	2	7	3	5	1	2	0	0	0	2	1	1	1	3	0	0	0	1	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	3	2	1	0	2	1	2	0	0	7	0	1	0	0	0									
		0.18%	1.20%	0.35%	0.25%	0.31%	1.03%	0.49%	0.66%	0.13%	0.23%	0.00%	0.00%	0.00%	0.28%	0.12%	0.12%	0.12%	0.37%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	0.17%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.24%	0.00%	0.47%	0.14%	0.28%	0.00%	0.36%	0.29%	2.74%	0.00%	0.00%	1.09%	0.00%	0.43%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	134	9	2	1	11	6	3	4	6	9	5	3	0	19	10	2	2	3	0	2	0	4	0	0	0	0	2	3	1	5	2	0	0	0	0	0	0	1	0	0	0	6	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	3	1	0	0	0	2	0	0	0	0	0									
		0.34%	1.35%	0.23%	0.12%	1.69%	0.88%	0.49%	0.53%	0.76%	1.04%	1.54%	0.40%	0.00%	2.66%	1.25%	0.25%	0.23%	0.37%	0.00%	0.44%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.35%	0.34%	0.35%	0.87%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.50%	0.13%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.16%	0.07%	0.56%	0.00%	0.54%	0.29%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	46	0	3	0	0	2	0	0	0	9	2	0	0	0	3	4	1	1	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	4	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0									
		0.12%	0.00%	0.35%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	1.04%	0.62%	0.00%	0.00%	0.00%	0.37%	0.50%	0.12%	0.12%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.64%	0.00%	0.49%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	138	4	3	3	11	9	3	6	3	3	2	3	0	16	10	0	1	2	2	0	7	1	0	0	0	0	3	0	0	10	2	0	0	6	0	3	1	0	0	5	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	2	1	0	0	0	2	0	3	1	0	3	2	0									
		0.35%	0.60%	0.35%	0.37%	1.69%	1.32%	0.49%	0.79%	0.38%	0.35%	0.62%	0.40%	0.00%	2.24%	1.25%	0.00%	0.12%	0.25%	0.18%	0.00%	0.90%	0.12%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	1.74%	0.40%	0.00%	0.00%	1.18%	0.00%	0.66%	0.36%	0.00%	0.00%	2.02%	0.00%	0.00%	0.13%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.27%	0.00%	0.07%	0.56%	0.40%	0.00%	0.00%	0.00%	0.45%	0.00%	0.47%	0.19%	0.00%	0.73%	0.44%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	10826	90	264	212	78	117	89	109	161	155	82	201	219	129	118	104	268	165	126	91	243	265	189	235	255	88	160	276	82	299	63	85	53	103	165	129	87	287	337	57	278	406	243	20	120	224	140	120	28	36	47	76	228	368	116	51	673	68	76	155	143	4	139	89	202	276	76	64	124	0									
		27.31%	13.53%	30.84%	26.11%	11.96%	17.16%	14.52%	14.44%	20.41%	17.86%	25.31%	27.02%	28.52%	18.09%	14.69%	12.89%	30.95%	20.30%	11.24%	20.00%	31.23%	30.89%	29.58%	30.72%	22.25%	30.88%	27.87%	31.62%	28.57%	52.00%	12.60%	25.76%	28.96%	20.24%	58.10%	28.23%	31.18%	49.74%	44.58%	22.98%	31.52%	33.95%	30.96%	4.67%	31.09%	52.96%	30.91%	30.61%	30.11%	8.02%	21.36%	24.92%	49.89%	44.66%	30.85%	7.98%	46.22%	18.89%	30.16%	27.68%	40.86%	5.48%	31.10%	53.94%	31.32%	51.98%	32.48%	15.53%	27.31%	0.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	188	8	4	2	8	6	8	4	9	3	0	0	0	43	2	4	9	1	0	0	5	3	0	0	2	2	0	0	0	1	10	0	2	0	0	3	0	3	0	1	8	5	2	1	0	0	0	0	0	0	0	3	1	0	2	3	2	3	2	0	5	1	3	0	0	0	0	3	1	0									
		0.47%	1.20%	0.47%	0.25%	1.23%	0.88%	1.31%	0.53%	1.14%	0.35%	0.00%	0.00%	0.00%	6.03%	0.25%	0.50%	1.04%	0.12%	0.00%	0.00%	0.64%	0.35%	0.00%	0.00%	0.17%	0.70%	0.00%	0.00%	0.00%	0.17%	2.00%	0.00%	1.09%	0.00%	0.00%	0.66%	0.00%	0.52%	0.00%	0.40%	0.91%	0.42%	0.25%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.98%	0.22%	0.00%	0.53%	0.47%	0.14%	0.83%	0.79%	0.00%	1.43%	1.37%	0.67%	0.00%	0.00%	0.00%	0.00%	0.73%	0.22%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2816	6	87	60	14	23	14	61	30	89	15	13	75	26	24	77	86	81	82	33	71	85	62	76	90	28	1	88	28	9	43	17	18	11	27	1	28	58	76	4	89	107	78	15	36	43	45	40	9	1	1	31	3	186	38	8	150	35	25	10	12	0	45	0	34	51	1	4	2	0									
		7.10%	0.90%	10.16%	7.39%	2.15%	3.37%	2.28%	8.08%	3.80%	10.25%	4.63%	1.75%	9.77%	3.65%	2.99%	9.54%	9.93%	9.96%	7.31%	7.25%	9.13%	9.91%	9.70%	9.93%	7.85%	9.82%	0.17%	10.08%	9.76%	1.57%	8.60%	5.15%	9.84%	2.16%	9.51%	0.22%	10.04%	10.05%	10.05%	1.61%	10.09%	8.95%	9.94%	3.50%	9.33%	10.17%	9.93%	10.20%	9.68%	0.22%	0.45%	10.16%	0.66%	22.57%	10.11%	1.25%	10.30%	9.72%	9.92%	1.79%	3.43%	0.00%	10.07%	0.00%	5.27%	9.60%	0.43%	0.97%	0.44%	0.00%									
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
