Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																																		
Дата голосования: 04.12.2011																																																																																																																																		
																																																																																																																																		
Наименование Избирательной комиссии:    Таганрогская городская																																																																																																																																		
																																																																																																																																		
Сводная таблица результатов выборов																																																																																																																																		
																																																																																																																																		
		Сумма	УИК №1322	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №2474	УИК №2479	УИК №2522	УИК №2523	УИК №2620					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3395	0	20	50	45	20	31	22	20	30	30	15	16	36	30	30	20	20	25	20	30	20	40	30	30	21	20	30	25	20	30	20	30	20	20	20	30	30	20	20	20	20	30	40	40	40	30	30	40	20	40	30	40	30	30	30	40	50	20	30	40	20	30	30	30	30	30	60	30	20	50	30	30	30	40	30	30	31	20	20	20	30	30	20	40	30	20	22	20	20	40	20	30	20	30	20	20	40	20	20	40	20	30	20	30	20	30	20	20	40	20	20	30	20	50	40	30	40	30	1	0	35	30	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	3297	0	20	50	42	20	31	22	19	30	29	15	16	34	26	29	20	20	24	20	30	20	40	29	30	19	19	28	25	20	26	20	30	20	20	20	30	30	20	20	17	17	28	40	39	40	30	30	40	19	40	29	40	30	30	30	40	50	20	29	39	20	30	23	29	30	30	60	29	19	50	30	30	30	28	30	30	31	20	20	20	30	28	18	37	30	17	21	20	20	34	20	30	20	30	12	20	37	20	20	40	20	30	20	30	20	30	20	20	40	20	20	29	20	50	31	30	39	29	1	0	35	30	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	3410	32	31	24	17	31	14	23	17	13	36	10	12	10	25	6	7	49	45	14	23	23	64	22	122	29	78	19	18	8	10	29	57	15	17	6	18	13	16	7	18	25	27	18	278	25	6	17	16	25	7	20	14	11	13	20	15	6	18	16	16	31	12	11	21	293	7	32	49	14	20	12	57	25	14	13	14	16	50	118	20	8	14	11	18	17	14	13	14	9	118	8	9	7	9	10	27	13	15	10	4	24	12	5	14	10	23	19	13	7	14	22	14	11	11	6	11	14	12	20	302	17	9	22					
14	Число погашенных неиспользованных открепительных удостоверений	97	0	0	0	3	0	0	0	1	0	1	0	0	2	4	1	0	0	1	0	0	0	0	1	0	2	1	2	0	0	4	0	0	0	0	0	0	0	0	0	3	3	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	7	1	0	0	0	1	1	0	0	0	0	12	0	0	0	0	0	0	0	2	1	3	0	3	1	0	0	6	0	0	0	0	8	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	0	1	1	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	98	0	0	0	1	3	0	2	1	0	4	0	0	1	0	0	2	0	0	1	2	1	0	2	0	3	0	0	0	0	0	0	2	2	1	1	0	0	0	0	0	1	1	4	2	3	2	2	1	0	0	0	0	0	0	0	1	2	1	1	6	0	0	1	1	0	3	1	0	0	0	0	0	1	1	2	0	0	1	1	0	1	0	1	0	0	0	1	2	2	1	0	0	0	1	0	0	1	2	1	0	0	2	2	0	0	1	0	1	0	0	1	0	4	0	0	1	1	3	0	0	1	0	0					
16	Число утраченных открепительных удостоверений	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	22583	25	192	221	196	141	148	180	182	169	220	167	143	222	145	169	166	168	191	129	196	254	213	227	205	203	202	118	156	167	148	197	204	173	137	206	150	140	87	152	152	173	260	177	292	203	181	166	181	133	130	240	279	132	220	212	233	209	154	206	233	151	133	145	173	254	211	206	191	242	231	158	289	229	204	173	170	209	175	257	130	148	153	157	189	214	241	133	176	254	177	176	198	212	177	125	158	149	236	197	248	176	209	217	237	166	227	190	172	172	152	95	229	177	254	150	302	246	217	19	84	182	186	0					
		17.37%	5.45%	18.86%	17.58%	17.79%	14.52%	15.86%	18.75%	17.55%	14.98%	18.18%	16.57%	15.92%	19.61%	15.46%	18.95%	18.42%	16.80%	17.21%	17.92%	17.74%	20.67%	17.97%	18.74%	16.09%	17.99%	16.17%	18.15%	16.12%	16.97%	17.43%	18.19%	17.93%	15.10%	13.62%	20.72%	16.67%	14.81%	15.48%	18.18%	18.77%	18.72%	20.27%	14.77%	15.87%	15.25%	18.55%	15.24%	15.78%	14.47%	15.68%	19.58%	17.73%	19.19%	19.43%	16.42%	16.24%	18.43%	17.68%	18.25%	18.64%	15.62%	14.68%	21.17%	19.29%	16.62%	19.04%	13.80%	16.98%	22.08%	18.13%	17.63%	17.00%	16.74%	16.87%	15.99%	17.53%	18.22%	17.09%	18.32%	17.26%	14.33%	14.29%	17.76%	17.34%	19.37%	21.69%	14.29%	16.84%	19.72%	17.75%	19.15%	19.34%	20.68%	19.41%	18.74%	15.41%	15.11%	17.60%	15.85%	20.79%	15.73%	15.97%	19.10%	19.88%	18.95%	18.23%	20.93%	19.50%	15.90%	16.93%	17.40%	20.36%	14.48%	19.48%	16.76%	18.44%	18.37%	16.59%	4.77%	13.77%	13.89%	19.48%	0.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	16973	162	88	256	126	180	111	125	97	159	158	134	98	131	114	93	112	96	143	84	148	138	174	140	166	139	179	85	116	98	124	116	135	135	127	104	116	120	54	109	78	115	160	143	259	184	121	113	145	132	140	144	213	75	134	152	171	154	110	131	147	107	152	67	108	185	154	296	126	116	147	101	236	170	173	158	129	192	141	150	119	152	170	102	136	128	106	130	155	155	142	99	134	122	97	92	148	147	168	160	141	223	216	157	148	130	176	111	92	133	141	59	160	154	180	135	273	177	163	16	59	227	117	4					
		13.05%	35.29%	8.64%	20.37%	11.43%	18.54%	11.90%	13.02%	9.35%	14.10%	13.06%	13.29%	10.91%	11.57%	12.15%	10.43%	12.43%	9.60%	12.88%	11.67%	13.39%	11.23%	14.68%	11.56%	13.03%	12.32%	14.33%	13.08%	11.98%	9.96%	14.61%	10.71%	11.86%	11.78%	12.62%	10.46%	12.89%	12.70%	9.61%	13.04%	9.63%	12.45%	12.47%	11.94%	14.08%	13.82%	12.40%	10.38%	12.64%	14.36%	16.89%	11.75%	13.53%	10.90%	11.84%	11.77%	11.92%	13.58%	12.63%	11.60%	11.76%	11.07%	16.78%	9.78%	12.04%	12.11%	13.90%	19.83%	11.20%	10.58%	11.54%	11.27%	13.88%	12.43%	14.31%	14.60%	13.30%	16.74%	13.77%	10.69%	15.80%	14.71%	15.87%	11.54%	12.48%	11.58%	9.54%	13.96%	14.83%	12.03%	14.24%	10.77%	13.09%	11.90%	10.64%	13.79%	14.44%	14.91%	12.53%	12.87%	11.82%	19.93%	16.50%	13.82%	12.42%	14.84%	14.14%	12.22%	10.43%	12.29%	15.70%	10.81%	14.22%	12.60%	13.80%	15.08%	16.67%	13.22%	12.46%	4.02%	9.67%	17.33%	12.25%	18.18%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1546	4	6	14	14	16	11	8	7	17	12	12	11	12	11	13	10	15	8	11	14	18	20	18	18	14	22	4	12	15	6	11	18	10	18	11	9	14	9	10	12	6	26	11	17	14	12	15	16	17	12	12	28	2	14	11	19	15	13	11	15	8	9	9	6	7	11	28	14	11	10	9	21	16	17	16	10	20	13	18	8	14	16	18	17	21	15	10	14	11	11	3	9	17	10	5	12	9	15	12	15	11	12	17	7	7	11	11	18	13	5	7	9	8	14	15	20	8	19	3	4	17	13	1					
		1.19%	0.87%	0.59%	1.11%	1.27%	1.65%	1.18%	0.83%	0.68%	1.51%	0.99%	1.19%	1.22%	1.06%	1.17%	1.46%	1.11%	1.50%	0.72%	1.53%	1.27%	1.46%	1.69%	1.49%	1.41%	1.24%	1.76%	0.62%	1.24%	1.52%	0.71%	1.02%	1.58%	0.87%	1.79%	1.11%	1.00%	1.48%	1.60%	1.20%	1.48%	0.65%	2.03%	0.92%	0.92%	1.05%	1.23%	1.38%	1.39%	1.85%	1.45%	0.98%	1.78%	0.29%	1.24%	0.85%	1.32%	1.32%	1.49%	0.97%	1.20%	0.83%	0.99%	1.31%	0.67%	0.46%	0.99%	1.88%	1.24%	1.00%	0.78%	1.00%	1.24%	1.17%	1.41%	1.48%	1.03%	1.74%	1.27%	1.28%	1.06%	1.36%	1.49%	2.04%	1.56%	1.90%	1.35%	1.07%	1.34%	0.85%	1.10%	0.33%	0.88%	1.66%	1.10%	0.75%	1.17%	0.91%	1.12%	0.97%	1.26%	0.98%	0.92%	1.50%	0.59%	0.80%	0.88%	1.21%	2.04%	1.20%	0.56%	1.28%	0.80%	0.65%	1.07%	1.68%	1.22%	0.60%	1.45%	0.75%	0.66%	1.30%	1.36%	4.55%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	37762	27	348	341	291	262	261	250	294	319	324	299	264	353	288	272	251	318	315	230	308	381	377	375	399	287	390	191	312	295	219	331	345	365	283	261	259	333	186	275	235	282	363	387	463	398	279	367	353	255	246	331	466	223	341	399	472	337	230	327	356	262	253	211	271	443	343	408	345	353	456	300	507	434	311	289	289	284	266	430	225	315	323	262	338	328	302	270	269	407	264	269	336	261	255	180	313	298	373	380	330	268	355	305	328	238	334	265	243	348	262	143	310	371	352	263	414	341	387	32	150	388	319	4					
		29.04%	5.88%	34.18%	27.13%	26.41%	26.98%	27.97%	26.04%	28.35%	28.28%	26.78%	29.66%	29.40%	31.18%	30.70%	30.49%	27.86%	31.80%	28.38%	31.94%	27.87%	31.00%	31.81%	30.97%	31.32%	25.44%	31.22%	29.38%	32.23%	29.98%	25.80%	30.56%	30.32%	31.85%	28.13%	26.26%	28.78%	35.24%	33.10%	32.89%	29.01%	30.52%	28.29%	32.30%	25.16%	29.90%	28.59%	33.70%	30.78%	27.75%	29.67%	26.99%	29.61%	32.41%	30.12%	30.91%	32.89%	29.72%	26.41%	28.96%	28.48%	27.09%	27.92%	30.80%	30.21%	28.99%	30.96%	27.33%	30.67%	32.21%	35.79%	33.48%	29.82%	31.73%	25.72%	26.71%	29.79%	24.76%	25.98%	30.65%	29.88%	30.49%	30.16%	29.64%	31.01%	29.68%	27.18%	29.00%	25.74%	31.60%	26.48%	29.27%	32.81%	25.46%	27.96%	26.99%	30.54%	30.22%	27.82%	30.57%	27.66%	23.95%	27.12%	26.85%	27.52%	27.17%	26.83%	29.19%	27.55%	32.16%	29.18%	26.19%	27.56%	30.36%	26.99%	29.39%	25.27%	25.47%	29.59%	8.04%	24.59%	29.62%	33.40%	18.18%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	8468	8	100	117	104	60	98	95	86	99	134	85	89	78	89	65	74	99	95	55	84	82	48	78	77	89	92	32	56	50	55	87	90	72	66	92	77	62	47	33	61	52	89	78	107	66	58	68	66	37	30	102	99	43	79	82	57	66	57	83	75	75	39	51	59	85	69	57	68	80	73	50	116	89	90	79	51	63	57	78	47	61	76	44	76	96	86	57	70	81	58	67	61	68	85	21	47	44	71	73	65	59	69	59	74	51	71	55	63	67	59	46	75	63	74	52	74	49	65	2	16	137	51	0					
		6.51%	1.74%	9.82%	9.31%	9.44%	6.18%	10.50%	9.90%	8.29%	8.78%	11.07%	8.43%	9.91%	6.89%	9.49%	7.29%	8.21%	9.90%	8.56%	7.64%	7.60%	6.67%	4.05%	6.44%	6.04%	7.89%	7.37%	4.92%	5.79%	5.08%	6.48%	8.03%	7.91%	6.28%	6.56%	9.26%	8.56%	6.56%	8.36%	3.95%	7.53%	5.63%	6.94%	6.51%	5.82%	4.96%	5.94%	6.24%	5.75%	4.03%	3.62%	8.32%	6.29%	6.25%	6.98%	6.35%	3.97%	5.82%	6.54%	7.35%	6.00%	7.76%	4.30%	7.45%	6.58%	5.56%	6.23%	3.82%	6.04%	7.30%	5.73%	5.58%	6.82%	6.51%	7.44%	7.30%	5.26%	5.49%	5.57%	5.56%	6.24%	5.91%	7.10%	4.98%	6.97%	8.69%	7.74%	6.12%	6.70%	6.29%	5.82%	7.29%	5.96%	6.63%	9.32%	3.15%	4.59%	4.46%	5.29%	5.87%	5.45%	5.27%	5.27%	5.19%	6.21%	5.82%	5.70%	6.06%	7.14%	6.19%	6.57%	8.42%	6.67%	5.16%	5.67%	5.81%	4.52%	3.66%	4.97%	0.50%	2.62%	10.46%	5.34%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	40067	204	258	264	353	285	284	277	345	343	339	296	275	307	280	262	274	283	336	187	333	342	332	350	386	377	338	212	300	337	282	325	331	379	356	297	267	269	168	238	263	284	363	377	656	432	315	335	350	323	252	364	464	206	326	404	452	329	300	345	398	342	310	190	262	524	298	468	351	272	333	257	497	397	392	332	302	356	346	445	208	319	316	281	325	301	336	313	339	360	324	287	275	325	277	228	323	311	447	396	377	361	415	352	376	259	397	261	279	323	266	182	322	426	406	260	517	497	430	309	289	321	256	12					
		30.81%	44.44%	25.34%	21.00%	32.03%	29.35%	30.44%	28.85%	33.27%	30.41%	28.02%	29.37%	30.62%	27.12%	29.85%	29.37%	30.41%	28.30%	30.27%	25.97%	30.14%	27.83%	28.02%	28.90%	30.30%	33.42%	27.06%	32.62%	30.99%	34.25%	33.22%	30.01%	29.09%	33.07%	35.39%	29.88%	29.67%	28.47%	29.89%	28.47%	32.47%	30.74%	28.29%	31.47%	35.65%	32.46%	32.27%	30.76%	30.51%	35.15%	30.40%	29.69%	29.48%	29.94%	28.80%	31.29%	31.50%	29.01%	34.44%	30.56%	31.84%	35.37%	34.22%	27.74%	29.21%	34.29%	26.90%	31.35%	31.20%	24.82%	26.14%	28.68%	29.24%	29.02%	32.42%	30.68%	31.13%	31.04%	33.79%	31.72%	27.62%	30.88%	29.51%	31.79%	29.82%	27.24%	30.24%	33.62%	32.44%	27.95%	32.50%	31.23%	26.86%	31.71%	30.37%	34.18%	31.51%	31.54%	33.33%	31.86%	31.60%	32.26%	31.70%	30.99%	31.54%	29.57%	31.89%	28.74%	31.63%	29.85%	29.62%	33.33%	28.62%	34.86%	31.13%	29.05%	31.56%	37.12%	32.87%	77.64%	47.38%	24.50%	26.81%	54.55%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	861	3	8	22	6	11	6	11	10	14	9	7	5	6	5	4	6	4	12	5	11	7	6	10	8	10	6	3	5	12	1	2	7	9	4	9	8	3	5	6	4	2	6	9	20	17	4	9	7	5	6	7	8	3	5	9	9	9	3	8	6	12	3	3	10	11	6	13	11	4	5	1	9	11	4	7	4	11	7	6	5	5	6	6	2	10	6	3	11	6	5	5	9	6	5	5	4	8	6	4	5	8	10	11	8	7	8	6	4	6	5	5	4	7	5	10	16	2	9	2	4	15	6	1					
		0.66%	0.65%	0.79%	1.75%	0.54%	1.13%	0.64%	1.15%	0.96%	1.24%	0.74%	0.69%	0.56%	0.53%	0.53%	0.45%	0.67%	0.40%	1.08%	0.69%	0.99%	0.57%	0.51%	0.83%	0.63%	0.89%	0.48%	0.46%	0.52%	1.22%	0.12%	0.18%	0.62%	0.79%	0.40%	0.91%	0.89%	0.32%	0.89%	0.72%	0.49%	0.22%	0.47%	0.75%	1.09%	1.28%	0.41%	0.83%	0.61%	0.54%	0.72%	0.57%	0.51%	0.44%	0.44%	0.70%	0.63%	0.79%	0.34%	0.71%	0.48%	1.24%	0.33%	0.44%	1.11%	0.72%	0.54%	0.87%	0.98%	0.36%	0.39%	0.11%	0.53%	0.80%	0.33%	0.65%	0.41%	0.96%	0.68%	0.43%	0.66%	0.48%	0.56%	0.68%	0.18%	0.90%	0.54%	0.32%	1.05%	0.47%	0.50%	0.54%	0.88%	0.59%	0.55%	0.75%	0.39%	0.81%	0.45%	0.32%	0.42%	0.71%	0.76%	0.97%	0.67%	0.80%	0.64%	0.66%	0.45%	0.55%	0.56%	0.92%	0.36%	0.57%	0.38%	1.12%	0.98%	0.15%	0.69%	0.50%	0.66%	1.15%	0.63%	4.55%					
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
