Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Очерская																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК  2601	УИК  2602	УИК  2603	УИК  2605	УИК  2606	УИК  2607	УИК  2608	УИК  2609	УИК  2610	УИК  2611	УИК  2612	УИК  2613	УИК  2614	УИК  2615	УИК  2616	УИК  2617	УИК  2618	УИК  2619	УИК  2620	УИК  2621	УИК  2622	УИК  2623	УИК  2624	УИК  2625	УИК  2626	УИК  2627	УИК  2628					
		5.22%	6.17%	5.14%	4.47%	6.95%	7.47%	5.17%	2.91%	5.63%	5.60%	2.92%	7.57%	7.69%	4.32%	1.52%	4.65%	6.92%	7.0%	1.97%	5.2%	0.98%	1.39%	6.83%	0.0%	3.03%	1.63%	2.24%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	29	1	1	0	2	4	0	1	0	2	1	2	4	0	0	0	1	0	0	1	1	1	2	0	0	0	3	2					
		0.24%	0.13%	0.11%	0.0%	0.23%	0.42%	0.0%	0.24%	0.0%	0.32%	0.26%	0.21%	0.53%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.4%	0.32%	0.34%	0.85%	0.0%	0.0%	0.0%	1.34%	1.28%					
35	"18. ""ЛДПР"""	1316	66	108	91	80	103	46	37	100	67	64	98	82	31	19	46	28	8	13	31	43	44	30	9	5	24	29	14					
		11.02%	8.67%	12.61%	11.97%	9.59%	10.84%	11.33%	8.98%	9.71%	10.73%	17.02%	10.30%	10.87%	19.13%	7.22%	14.28%	10.76%	8.0%	8.55%	12.4%	14.14%	15.33%	12.82%	11.84%	7.57%	6.55%	13.00%	8.97%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	214	20	21	14	10	14	4	12	20	12	9	16	19	3	5	8	6	0	1	2	4	3	2	1	1	3	3	1					
		1.79%	2.62%	2.45%	1.84%	1.19%	1.47%	0.98%	2.91%	1.94%	1.92%	2.39%	1.68%	2.51%	1.85%	1.90%	2.48%	2.30%	0.0%	0.65%	0.8%	1.31%	1.04%	0.85%	1.31%	1.51%	0.81%	1.34%	0.64%					
37	"20. ""Политическая партия ""Единая Россия"""	4468	285	329	272	266	342	149	181	361	249	118	355	251	49	118	111	115	52	62	97	107	114	75	43	34	178	68	87					
		37.43%	37.45%	38.43%	35.78%	31.89%	36.0%	36.69%	43.93%	35.08%	39.90%	31.38%	37.32%	33.28%	30.24%	44.86%	34.47%	44.23%	52.0%	40.78%	38.8%	35.19%	39.72%	32.05%	56.57%	51.51%	48.63%	30.49%	55.76%					
38	"21. ""Российская Конституционно-демократическая партия"""	22	1	3	1	0	2	0	1	0	1	0	4	3	0	0	0	0	0	1	1	0	0	0	0	1	0	2	1					
		0.18%	0.13%	0.35%	0.13%	0.0%	0.21%	0.0%	0.24%	0.0%	0.16%	0.0%	0.42%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.65%	0.4%	0.0%	0.0%	0.0%	0.0%	1.51%	0.0%	0.89%	0.64%					
39	"22. ""Развитие предпринимательства"""	36	2	2	4	3	2	2	3	1	1	2	2	3	0	2	3	1	0	0	1	1	0	0	0	1	0	0	0					
		0.30%	0.26%	0.23%	0.52%	0.35%	0.21%	0.49%	0.72%	0.09%	0.16%	0.53%	0.21%	0.39%	0.0%	0.76%	0.93%	0.38%	0.0%	0.0%	0.4%	0.32%	0.0%	0.0%	0.0%	1.51%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	910	71	58	54	123	77	37	30	93	43	31	78	70	8	15	12	19	4	11	7	9	17	10	1	0	11	13	8					
		7.62%	9.32%	6.77%	7.10%	14.74%	8.10%	9.11%	7.28%	9.03%	6.89%	8.24%	8.20%	9.28%	4.93%	5.70%	3.72%	7.30%	4.0%	7.23%	2.8%	2.96%	5.92%	4.27%	1.31%	0.0%	3.00%	5.82%	5.12%					
																																		
41	Против всех	662	47	46	54	43	54	15	18	55	27	16	61	45	10	11	19	18	6	8	11	16	10	16	9	1	21	17	8					
		5.54%	6.17%	5.37%	7.10%	5.15%	5.68%	3.69%	4.36%	5.34%	4.32%	4.25%	6.41%	5.96%	6.17%	4.18%	5.90%	6.92%	6.0%	5.26%	4.4%	5.26%	3.48%	6.83%	11.84%	1.51%	5.73%	7.62%	5.12%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
