Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																						
Дата голосования: 04.12.2011																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Вольская																																																																																						
																																																																																						
Сводная таблица результатов выборов																																																																																						
																																																																																						
		Сумма	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2063	50	30	30	50	20	30	30	50	20	30	20	20	50	30	20	10	10	20	30	30	30	50	20	50	50	30	30	50	30	30	40	30	30	30	30	50	10	10	40	70	0	0	30	35	10	60	30	6	30	10	10	10	32	20	20	30	60	30	0	20	20	10	30	10	20	10	10	20	50	10	20	30	10	10	20	10	10	20	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1326	18	16	17	19	9	7	28	18	9	19	15	15	40	27	6	1	1	20	27	24	18	48	5	34	7	12	30	50	30	25	37	29	19	9	11	34	6	7	33	70	0	0	15	33	10	54	29	6	2	0	4	1	32	5	7	23	40	9	0	20	12	2	17	10	1	0	0	15	36	2	16	13	1	0	20	10	1	20	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	724	13	3	9	14	8	12	7	23	4	10	3	9	22	6	4	3	8	15	17	34	10	21	12	2	10	5	9	8	11	2	31	23	4	8	11	17	3	1	41	3	99	24	2	5	1	3	1	3	0	0	3	3	1	7	1	11	12	2	7	2	2	6	4	0	7	3	8	3	3	1	0	27	2	4	1	3	4	3	0					
14	Число погашенных неиспользованных открепительных удостоверений	737	32	14	13	31	11	23	2	32	11	11	5	5	10	3	14	9	9	0	3	6	12	2	15	16	43	18	0	0	0	5	3	1	11	21	19	16	4	3	7	0	0	0	15	2	0	6	1	0	28	10	6	9	0	15	13	7	20	21	0	0	8	8	13	0	19	10	10	5	14	8	4	17	9	10	0	0	9	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	843	3	1	1	5	0	0	4	2	0	0	0	1	2	0	0	1	0	1	2	1	0	0	1	0	795	1	2	0	3	1	2	0	0	0	0	2	0	0	2	2	0	0	0	1	0	2	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4887	91	90	97	166	38	58	91	75	33	38	54	51	223	89	26	35	16	70	134	119	87	209	29	29	83	67	108	136	136	125	108	98	131	83	63	148	15	41	117	276	0	37	42	12	15	58	31	6	44	10	12	11	17	11	18	96	133	93	2	38	14	9	68	30	43	16	9	14	76	16	18	91	39	13	26	7	9	7	13					
		9.34%	4.87%	9.88%	7.47%	14.70%	14.39%	9.75%	12.13%	5.99%	9.94%	6.93%	10.06%	8.64%	15.97%	13.34%	6.31%	14.83%	13.11%	12.59%	13.76%	9.75%	9.93%	10.52%	8.22%	2.42%	8.38%	7.80%	12.46%	8.61%	14.42%	11.14%	12.29%	11.32%	10.59%	11.46%	8.11%	8.76%	14.71%	11.68%	7.09%	15.01%	0.00%	7.81%	8.11%	2.68%	11.72%	9.65%	5.69%	6.19%	7.48%	7.30%	8.57%	7.75%	2.25%	3.25%	7.86%	13.10%	11.24%	10.25%	28.57%	10.56%	3.95%	5.11%	7.45%	10.24%	7.12%	7.44%	7.63%	8.70%	4.44%	6.08%	5.73%	15.61%	14.61%	9.09%	8.33%	5.26%	9.28%	2.05%	4.19%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3743	30	10	86	97	27	45	78	10	22	22	36	53	124	68	41	29	9	41	88	35	72	89	21	115	194	128	92	113	97	110	76	72	80	30	4	83	21	62	263	244	0	44	51	3	18	47	10	2	2	5	1	1	12	15	0	77	176	62	0	27	6	0	2	24	7	1	1	21	50	0	10	43	14	15	27	2	20	11	19					
		7.16%	1.61%	1.10%	6.63%	8.59%	10.23%	7.56%	10.40%	0.80%	6.63%	4.01%	6.70%	8.98%	8.88%	10.19%	9.95%	12.29%	7.38%	7.37%	9.03%	2.87%	8.22%	4.48%	5.95%	9.58%	19.58%	14.90%	10.61%	7.15%	10.29%	9.80%	8.65%	8.31%	6.47%	4.14%	0.51%	4.91%	20.59%	17.66%	15.94%	13.27%	0.00%	9.28%	9.85%	0.67%	14.06%	7.82%	1.83%	2.06%	0.34%	3.65%	0.71%	0.70%	1.59%	4.44%	0.00%	10.50%	14.88%	6.84%	0.00%	7.50%	1.69%	0.00%	0.22%	8.19%	1.16%	0.47%	0.85%	13.04%	2.92%	0.00%	3.18%	7.38%	5.24%	10.49%	8.65%	1.50%	20.62%	3.22%	6.13%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	332	0	0	10	3	0	3	4	1	2	1	5	6	18	2	3	0	4	10	11	3	16	16	3	11	17	11	7	10	12	11	9	9	4	0	1	3	0	4	10	23	0	7	2	0	1	3	0	0	0	0	0	0	0	2	0	12	22	7	0	3	1	1	0	3	0	0	0	0	0	0	0	2	1	0	1	0	0	0	1					
		0.63%	0.00%	0.00%	0.77%	0.27%	0.00%	0.50%	0.53%	0.08%	0.60%	0.18%	0.93%	1.02%	1.29%	0.30%	0.73%	0.00%	3.28%	1.80%	1.13%	0.25%	1.83%	0.81%	0.85%	0.92%	1.72%	1.28%	0.81%	0.63%	1.27%	0.98%	1.02%	1.04%	0.32%	0.00%	0.13%	0.18%	0.00%	1.14%	0.61%	1.25%	0.00%	1.48%	0.39%	0.00%	0.78%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.59%	0.00%	1.64%	1.86%	0.77%	0.00%	0.83%	0.28%	0.57%	0.00%	1.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.37%	0.00%	0.32%	0.00%	0.00%	0.00%	0.32%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	5623	20	12	89	170	39	72	97	10	51	27	57	68	196	114	40	31	23	86	143	180	138	233	35	194	162	79	167	238	200	178	176	60	132	58	3	173	1	44	213	349	1	50	104	4	9	60	17	2	5	9	2	1	20	18	3	149	254	158	2	65	8	1	6	24	8	4	2	12	51	0	15	76	18	17	23	3	19	16	29					
		10.75%	1.07%	1.32%	6.86%	15.06%	14.77%	12.10%	12.93%	0.80%	15.36%	4.93%	10.61%	11.53%	14.04%	17.09%	9.71%	13.14%	18.85%	15.47%	14.68%	14.74%	15.75%	11.73%	9.92%	16.17%	16.35%	9.20%	19.26%	15.06%	21.21%	15.86%	20.02%	6.93%	10.67%	8.01%	0.39%	10.24%	0.98%	12.54%	12.91%	18.98%	0.79%	10.55%	20.08%	0.89%	7.03%	9.98%	3.12%	2.06%	0.85%	6.57%	1.43%	0.70%	2.65%	5.33%	1.31%	20.33%	21.47%	17.42%	28.57%	18.06%	2.26%	0.57%	0.66%	8.19%	1.32%	1.86%	1.69%	7.45%	2.98%	0.00%	4.78%	13.04%	6.74%	11.89%	7.37%	2.26%	19.59%	4.68%	9.35%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	462	0	0	22	25	4	1	9	5	9	1	3	5	19	11	7	0	3	5	11	4	10	29	5	7	16	13	15	15	11	22	7	9	9	6	2	11	0	5	23	23	0	4	5	0	2	1	3	0	0	1	0	0	1	0	0	8	17	7	0	9	0	0	0	1	0	0	0	6	3	0	0	8	2	0	1	0	0	1	0					
		0.88%	0.00%	0.00%	1.69%	2.21%	1.52%	0.17%	1.20%	0.40%	2.71%	0.18%	0.56%	0.85%	1.36%	1.65%	1.70%	0.00%	2.46%	0.90%	1.13%	0.33%	1.14%	1.46%	1.42%	0.58%	1.61%	1.51%	1.73%	0.95%	1.17%	1.96%	0.80%	1.04%	0.73%	0.83%	0.26%	0.65%	0.00%	1.42%	1.39%	1.25%	0.00%	0.84%	0.97%	0.00%	1.56%	0.17%	0.55%	0.00%	0.00%	0.73%	0.00%	0.00%	0.13%	0.00%	0.00%	1.09%	1.44%	0.77%	0.00%	2.50%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	3.73%	0.18%	0.00%	0.00%	1.37%	0.75%	0.00%	0.32%	0.00%	0.00%	0.29%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	36704	1726	799	977	648	149	409	457	1150	211	458	380	398	786	373	290	139	64	334	578	878	531	1380	253	840	507	544	469	1050	471	657	490	606	876	540	703	1265	63	189	1008	906	125	320	292	426	81	423	481	87	537	112	125	129	702	289	202	375	559	558	3	210	325	162	836	205	541	194	106	104	1527	247	270	361	188	97	234	121	46	304	248					
		70.16%	92.45%	87.71%	75.27%	57.40%	56.44%	68.74%	60.93%	91.93%	63.55%	83.58%	70.76%	67.46%	56.30%	55.92%	70.39%	58.90%	52.46%	60.07%	59.34%	71.91%	60.62%	69.45%	71.67%	70.00%	51.16%	63.33%	54.09%	66.46%	49.95%	58.56%	55.75%	69.98%	70.82%	74.59%	90.48%	74.90%	61.76%	53.85%	61.09%	49.27%	98.43%	67.51%	56.37%	95.09%	63.28%	70.38%	88.26%	89.69%	91.33%	81.75%	89.29%	90.85%	93.10%	85.50%	88.21%	51.16%	47.25%	61.52%	42.86%	58.33%	91.81%	92.05%	91.57%	69.97%	89.57%	90.23%	89.83%	64.60%	89.25%	93.92%	85.99%	61.92%	70.41%	67.83%	75.00%	90.98%	47.42%	88.89%	80.00%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	182	0	0	2	5	3	1	1	0	0	1	1	2	6	3	3	1	0	2	2	2	12	10	0	1	4	5	6	3	4	4	6	4	5	2	1	3	1	2	16	18	1	8	3	1	0	2	1	0	0	0	0	0	2	0	0	4	3	3	0	1	0	1	1	2	0	0	0	0	0	0	0	2	2	1	0	0	1	1	0					
		0.35%	0.00%	0.00%	0.15%	0.44%	1.14%	0.17%	0.13%	0.00%	0.00%	0.18%	0.19%	0.34%	0.43%	0.45%	0.73%	0.42%	0.00%	0.36%	0.21%	0.16%	1.37%	0.50%	0.00%	0.08%	0.40%	0.58%	0.69%	0.19%	0.42%	0.36%	0.68%	0.46%	0.40%	0.28%	0.13%	0.18%	0.98%	0.57%	0.97%	0.98%	0.79%	1.69%	0.58%	0.22%	0.00%	0.33%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.55%	0.25%	0.33%	0.00%	0.28%	0.00%	0.57%	0.11%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.75%	0.70%	0.00%	0.00%	1.03%	0.29%	0.00%					
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
