Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Кыштовская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК  625	УИК  626	УИК  627	УИК  628	УИК  629	УИК  630	УИК  631	УИК  632	УИК  633	УИК  634	УИК  635	УИК  636	УИК  637	УИК  638	УИК  639	УИК  640	УИК  641	УИК  642	УИК  643	УИК  644	УИК  645	УИК  646	УИК  647	УИК  648	УИК  649	УИК  650	УИК  651	УИК  652	УИК  653	УИК  654	УИК  655					
11	Число полученных открепительных  удостоверений	125	10	8	8	10	3	3	5	4	3	4	4	3	2	3	3	5	2	3	3	5	3	3	3	3	3	3	3	3	4	3	3					
12	Число выданных открепительных удостоверений	33	3	6	4	7	0	0	4	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	3	0	1	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	25	1	2	0	2	0	0	0	1	0	1	1	1	1	1	1	1	1	2	0	2	1	1	1	0	1	1	2	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	92	7	2	4	3	3	3	1	4	3	4	4	3	2	3	1	4	2	3	3	4	3	3	3	3	0	3	2	3	3	3	3					
15	"Число открепительных удостоверений, выданных в ТИК"	5	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																						
18	. Глазьев Сергей Юрьевич	76	9	11	4	11	4	0	7	1	0	0	0	0	5	0	1	0	0	0	4	4	1	0	2	3	1	1	0	1	0	6	0					
		0.93%	1.28%	2.46%	0.91%	1.48%	4.26%	0.00%	2.12%	0.47%	0.00%	0.00%	0.00%	0.00%	6.10%	0.00%	0.40%	0.00%	0.00%	0.00%	2.13%	1.15%	0.50%	0.00%	0.82%	1.15%	0.44%	0.66%	0.00%	0.56%	0.00%	2.44%	0.00%					
19	. Малышкин Олег Александрович	125	4	7	6	11	2	0	9	0	11	0	2	4	1	5	4	7	0	0	3	5	3	1	7	3	1	0	4	4	5	14	2					
		1.53%	0.57%	1.57%	1.36%	1.48%	2.13%	0.00%	2.73%	0.00%	4.82%	0.00%	0.77%	1.75%	1.22%	3.18%	1.58%	1.88%	0.00%	0.00%	1.60%	1.44%	1.50%	0.74%	2.86%	1.15%	0.44%	0.00%	1.77%	2.25%	1.63%	5.69%	1.02%					
20	. Миронов Сергей Михайлович	32	3	1	2	2	1	0	0	0	1	1	0	2	0	0	6	3	0	0	1	1	0	1	0	0	1	0	2	0	2	1	1					
		0.39%	0.43%	0.22%	0.45%	0.27%	1.06%	0.00%	0.00%	0.00%	0.44%	0.31%	0.00%	0.87%	0.00%	0.00%	2.37%	0.80%	0.00%	0.00%	0.53%	0.29%	0.00%	0.74%	0.00%	0.00%	0.44%	0.00%	0.88%	0.00%	0.65%	0.41%	0.51%					
21	. Путин Владимир Владимирович	3615	288	191	216	323	45	34	175	69	82	135	88	94	32	42	142	215	33	113	98	83	79	59	102	125	83	49	149	129	103	132	107					
		44.32%	41.08%	42.73%	49.09%	43.47%	47.87%	33.66%	53.03%	32.39%	35.96%	41.67%	33.85%	41.05%	39.02%	26.75%	56.13%	57.64%	39.76%	58.25%	52.13%	23.92%	39.50%	43.38%	41.63%	48.08%	36.89%	32.45%	65.93%	72.47%	33.66%	53.66%	54.59%					
22	. Хакамада Ирина Муцуовна	175	23	12	6	16	1	10	4	4	4	8	6	5	2	0	5	7	3	3	4	5	6	2	10	2	5	4	0	4	7	5	2					
		2.15%	3.28%	2.68%	1.36%	2.15%	1.06%	9.90%	1.21%	1.88%	1.75%	2.47%	2.31%	2.18%	2.44%	0.00%	1.98%	1.88%	3.61%	1.55%	2.13%	1.44%	3.00%	1.47%	4.08%	0.77%	2.22%	2.65%	0.00%	2.25%	2.29%	2.03%	1.02%					
23	. Харитонов Николай Михайлович	3928	348	209	197	367	39	57	130	135	122	173	159	114	41	108	89	135	45	73	77	246	105	61	121	116	128	92	67	30	181	83	80					
		48.16%	49.64%	46.76%	44.77%	49.39%	41.49%	56.44%	39.39%	63.38%	53.51%	53.40%	61.15%	49.78%	50.00%	68.79%	35.18%	36.19%	54.22%	37.63%	40.96%	70.89%	52.50%	44.85%	49.39%	44.62%	56.89%	60.93%	29.65%	16.85%	59.15%	33.74%	40.82%					
																																						
24	Против всех	104	21	12	7	8	2	0	1	0	7	0	5	4	1	2	0	1	0	3	0	3	4	8	2	1	2	1	2	2	2	3	0					
		1.28%	3.00%	2.68%	1.59%	1.08%	2.13%	0.00%	0.30%	0.00%	3.07%	0.00%	1.92%	1.75%	1.22%	1.27%	0.00%	0.27%	0.00%	1.55%	0.00%	0.86%	2.00%	5.88%	0.82%	0.38%	0.89%	0.66%	0.88%	1.12%	0.65%	1.22%	0.00%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
