Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																							
Дата голосования: 07.12.2003 0:00:00																							
																							
Наименование Избирательной комиссии:    Каларская																							
																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																							
																							
		Сумма	УИК  145	УИК  146	УИК  147	УИК  148	УИК  149	УИК  150	УИК  151	УИК  152	УИК  153	УИК  154	УИК  155	УИК  156	УИК  157	УИК  158	УИК  159	УИК  160					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	176	25	19	13	16	9	0	13	16	5	0	4	6	15	15	5	15					
		4.92%	7.41%	7.08%	4.04%	6.42%	3.79%	0.0%	7.06%	3.89%	1.96%	0.0%	5.63%	2.44%	5.20%	5.22%	5.61%	6.43%					
22	"5. ""За Русь Святую"""	9	3	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0					
		0.25%	0.89%	0.0%	0.0%	0.0%	0.42%	1.58%	0.54%	0.24%	0.39%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	9	1	3	0	1	0	0	0	1	1	1	0	1	0	0	0	0					
		0.25%	0.29%	1.11%	0.0%	0.40%	0.0%	0.0%	0.0%	0.24%	0.39%	3.03%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	13	1	0	4	0	3	0	0	0	1	0	0	1	2	1	0	0					
		0.36%	0.29%	0.0%	1.24%	0.0%	1.26%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.40%	0.69%	0.34%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
		0.05%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	16	0	0	3	2	0	0	1	3	1	0	0	2	2	1	1	0					
		0.44%	0.0%	0.0%	0.93%	0.80%	0.0%	0.0%	0.54%	0.72%	0.39%	0.0%	0.0%	0.81%	0.69%	0.34%	1.12%	0.0%					
27	"10. ""Аграрная партия России"""	94	6	6	6	4	4	3	7	5	7	1	2	4	12	6	13	8					
		2.63%	1.78%	2.23%	1.86%	1.60%	1.68%	4.76%	3.80%	1.21%	2.75%	3.03%	2.81%	1.63%	4.16%	2.09%	14.60%	3.43%					
28	"11. ""Истинные патриоты России"""	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.05%	0.29%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	69	17	7	11	1	6	1	6	5	1	0	2	5	2	2	1	2					
		1.93%	5.04%	2.61%	3.42%	0.40%	2.53%	1.58%	3.26%	1.21%	0.39%	0.0%	2.81%	2.04%	0.69%	0.69%	1.12%	0.85%					
30	"13. ""Демократическая партия России"""	5	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0					
		0.14%	0.29%	0.0%	0.0%	0.40%	0.42%	0.0%	0.0%	0.0%	0.39%	0.0%	1.40%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	4	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0					
		0.11%	0.0%	0.0%	0.31%	0.0%	0.0%	1.58%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0					
		0.05%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	393	44	25	44	23	16	10	23	45	24	4	3	13	40	39	10	30					
		11.00%	13.05%	9.32%	13.70%	9.23%	6.75%	15.87%	12.5%	10.94%	9.44%	12.12%	4.22%	5.30%	13.88%	13.58%	11.23%	12.87%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	8	0	1	1	2	0	0	0	1	0	0	1	0	1	0	1	0					
		0.22%	0.0%	0.37%	0.31%	0.80%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	1.40%	0.0%	0.34%	0.0%	1.12%	0.0%					
35	"18. ""ЛДПР"""	774	61	61	72	64	63	15	38	100	62	6	9	60	41	66	12	44					
		21.68%	18.10%	22.76%	22.42%	25.70%	26.58%	23.80%	20.65%	24.33%	24.40%	18.18%	12.67%	24.48%	14.23%	22.99%	13.48%	18.88%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	49	2	2	4	1	4	0	3	10	4	0	2	5	3	6	0	3					
		1.37%	0.59%	0.74%	1.24%	0.40%	1.68%	0.0%	1.63%	2.43%	1.57%	0.0%	2.81%	2.04%	1.04%	2.09%	0.0%	1.28%					
37	"20. ""Политическая партия ""Единая Россия"""	1312	117	107	93	85	92	20	66	154	91	10	35	107	106	110	31	88					
		36.75%	34.71%	39.92%	28.97%	34.13%	38.81%	31.74%	35.86%	37.46%	35.82%	30.30%	49.29%	43.67%	36.80%	38.32%	34.83%	37.76%					
38	"21. ""Российская Конституционно-демократическая партия"""	8	1	0	0	0	0	1	0	1	3	0	0	2	0	0	0	0					
		0.22%	0.29%	0.0%	0.0%	0.0%	0.0%	1.58%	0.0%	0.24%	1.18%	0.0%	0.0%	0.81%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	5	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1					
		0.14%	0.0%	0.0%	0.31%	0.80%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.42%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	202	18	11	32	16	12	2	9	21	17	0	4	13	20	13	3	11					
		5.65%	5.34%	4.10%	9.96%	6.42%	5.06%	3.17%	4.89%	5.10%	6.69%	0.0%	5.63%	5.30%	6.94%	4.52%	3.37%	4.72%					
																							
41	Против всех	159	14	6	12	8	3	4	4	27	19	2	3	13	21	3	5	15					
		4.45%	4.15%	2.23%	3.73%	3.21%	1.26%	6.34%	2.17%	6.56%	7.48%	6.06%	4.22%	5.30%	7.29%	1.04%	5.61%	6.43%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
