Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																				
																																																																				
Наименование Избирательной комиссии:    Новокубанская																																																																				
																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																				
																																																																				
		Сумма	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3238	УИК №3239	УИК №3240	УИК №3241	УИК №3242	УИК №3243	УИК №3244	УИК №3245	УИК №3246	УИК №3247	УИК №3248	УИК №3249	УИК №3250	УИК №3251	УИК №3252	УИК №3253	УИК №3254	УИК №3255	УИК №3256	УИК №3257	УИК №3258	УИК №3259	УИК №3260	УИК №3261					
18	"1. ""ЕДИНЕНИЕ"""	508	5	0	26	13	7	5	0	13	6	1	11	8	20	8	3	4	11	2	6	10	12	7	5	9	3	6	4	11	15	9	15	6	11	9	3	0	16	19	10	0	3	2	3	1	16	28	3	1	2	7	14	13	8	14	9	7	6	13	12	14	3					
		1.19%	3.01%	0.0%	1.75%	0.92%	0.50%	1.77%	0.0%	1.53%	1.29%	0.48%	3.31%	1.50%	3.67%	3.50%	0.81%	2.09%	0.86%	0.25%	0.64%	1.32%	1.32%	0.68%	0.51%	1.08%	0.44%	1.01%	0.51%	0.85%	1.50%	0.94%	1.33%	1.29%	1.18%	1.11%	1.13%	0.0%	1.18%	1.75%	0.84%	0.0%	1.03%	2.10%	1.45%	0.52%	2.62%	1.62%	1.13%	0.27%	3.57%	1.14%	1.75%	1.37%	0.91%	1.90%	1.14%	0.98%	3.19%	1.21%	0.77%	1.60%	0.56%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	576	3	1	16	19	12	1	3	9	9	2	2	2	3	5	3	1	31	19	17	5	18	14	16	12	9	6	5	20	15	21	31	7	16	8	1	6	22	13	15	2	2	3	0	0	13	24	3	8	0	5	17	7	10	8	9	3	0	5	9	4	26					
		1.35%	1.80%	0.50%	1.08%	1.34%	0.86%	0.35%	2.52%	1.06%	1.94%	0.96%	0.60%	0.37%	0.55%	2.19%	0.81%	0.52%	2.45%	2.38%	1.82%	0.66%	1.98%	1.37%	1.63%	1.45%	1.33%	1.01%	0.64%	1.55%	1.50%	2.19%	2.76%	1.50%	1.71%	0.99%	0.37%	2.66%	1.62%	1.20%	1.26%	0.88%	0.68%	3.15%	0.0%	0.0%	2.13%	1.39%	1.13%	2.22%	0.0%	0.81%	2.13%	0.74%	1.13%	1.08%	1.14%	0.42%	0.0%	0.46%	0.58%	0.45%	4.88%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	681	6	2	14	29	10	5	4	14	8	1	7	5	7	1	0	4	23	12	17	14	8	17	24	19	12	15	10	24	20	8	26	8	12	11	1	4	18	22	18	0	2	3	6	2	11	45	4	7	0	9	12	19	17	6	5	8	2	29	20	5	9					
		1.59%	3.61%	1.01%	0.94%	2.05%	0.72%	1.77%	3.36%	1.64%	1.72%	0.48%	2.10%	0.93%	1.28%	0.43%	0.0%	2.09%	1.81%	1.50%	1.82%	1.85%	0.88%	1.67%	2.45%	2.30%	1.78%	2.54%	1.28%	1.86%	2.00%	0.83%	2.32%	1.72%	1.28%	1.36%	0.37%	1.77%	1.33%	2.03%	1.51%	0.0%	0.68%	3.15%	2.91%	1.05%	1.80%	2.60%	1.50%	1.94%	0.0%	1.47%	1.50%	2.01%	1.93%	0.81%	0.63%	1.12%	1.06%	2.71%	1.29%	0.57%	1.69%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	738	1	0	21	20	7	0	0	10	5	2	3	4	7	2	3	1	45	27	19	12	29	26	23	16	22	13	22	34	26	26	39	12	22	9	0	2	17	15	13	3	2	7	0	2	7	32	0	2	0	4	13	9	5	9	2	4	0	46	17	6	13					
		1.73%	0.60%	0.0%	1.41%	1.41%	0.50%	0.0%	0.0%	1.17%	1.07%	0.96%	0.90%	0.75%	1.28%	0.87%	0.81%	0.52%	3.55%	3.38%	2.04%	1.58%	3.19%	2.55%	2.35%	1.93%	3.26%	2.20%	2.82%	2.63%	2.60%	2.71%	3.48%	2.58%	2.36%	1.11%	0.0%	0.88%	1.25%	1.38%	1.09%	1.32%	0.68%	7.36%	0.0%	1.05%	1.14%	1.85%	0.0%	0.55%	0.0%	0.65%	1.63%	0.95%	0.56%	1.22%	0.25%	0.56%	0.0%	4.30%	1.10%	0.68%	2.44%					
22	"5. ""За Русь Святую"""	429	0	1	5	22	10	2	1	2	1	1	1	2	4	2	0	0	13	16	17	10	15	12	17	4	4	3	10	22	11	22	18	12	4	7	0	14	15	14	7	0	0	0	4	0	2	19	4	1	0	7	2	5	15	8	9	5	0	4	12	6	5					
		1.00%	0.0%	0.50%	0.33%	1.55%	0.72%	0.70%	0.84%	0.23%	0.21%	0.48%	0.30%	0.37%	0.73%	0.87%	0.0%	0.0%	1.02%	2.00%	1.82%	1.32%	1.65%	1.18%	1.74%	0.48%	0.59%	0.50%	1.28%	1.70%	1.10%	2.29%	1.60%	2.58%	0.42%	0.86%	0.0%	6.22%	1.10%	1.29%	0.58%	0.0%	0.0%	0.0%	1.94%	0.0%	0.32%	1.10%	1.50%	0.27%	0.0%	1.14%	0.25%	0.53%	1.70%	1.08%	1.14%	0.70%	0.0%	0.37%	0.77%	0.68%	0.93%					
23	"6. ""Объединенная Российская партия ""Русь"""	128	1	0	1	4	0	0	2	6	2	2	1	2	4	7	1	0	1	2	4	0	2	2	3	2	2	3	5	3	0	4	3	2	0	4	1	4	6	5	0	2	1	2	0	1	3	11	0	1	0	0	1	1	1	0	1	2	2	0	4	3	1					
		0.30%	0.60%	0.0%	0.06%	0.28%	0.0%	0.0%	1.68%	0.70%	0.43%	0.96%	0.30%	0.37%	0.73%	3.07%	0.27%	0.0%	0.07%	0.25%	0.43%	0.0%	0.22%	0.19%	0.30%	0.24%	0.29%	0.50%	0.64%	0.23%	0.0%	0.41%	0.26%	0.43%	0.0%	0.49%	0.37%	1.77%	0.44%	0.46%	0.0%	0.88%	0.34%	2.10%	0.0%	0.52%	0.49%	0.63%	0.0%	0.27%	0.0%	0.0%	0.12%	0.10%	0.11%	0.0%	0.12%	0.28%	1.06%	0.0%	0.25%	0.34%	0.18%					
24	"7. ""Новый курс - Автомобильная Россия"""	281	1	0	12	9	3	0	0	13	10	1	1	0	5	2	1	3	17	4	3	7	5	6	10	3	7	4	10	9	11	4	11	2	5	0	0	3	9	5	4	0	0	1	1	0	5	7	0	2	0	11	8	6	6	4	4	7	0	8	6	4	1					
		0.65%	0.60%	0.0%	0.81%	0.63%	0.21%	0.0%	0.0%	1.53%	2.15%	0.48%	0.30%	0.0%	0.91%	0.87%	0.27%	1.57%	1.34%	0.50%	0.32%	0.92%	0.55%	0.59%	1.02%	0.36%	1.03%	0.67%	1.28%	0.69%	1.10%	0.41%	0.98%	0.43%	0.53%	0.0%	0.0%	1.33%	0.66%	0.46%	0.33%	0.0%	0.0%	1.05%	0.48%	0.0%	0.81%	0.40%	0.0%	0.55%	0.0%	1.80%	1.00%	0.63%	0.68%	0.54%	0.50%	0.98%	0.0%	0.74%	0.38%	0.45%	0.18%					
25	"8. ""Народно-республиканская партия России"""	82	1	0	0	7	3	1	0	0	1	1	1	1	1	1	0	0	1	0	2	0	0	2	0	4	1	1	2	4	4	0	1	0	4	4	0	2	1	0	3	1	2	0	0	0	4	7	0	0	0	2	3	1	1	1	1	1	0	1	1	1	1					
		0.19%	0.60%	0.0%	0.0%	0.49%	0.21%	0.35%	0.0%	0.0%	0.21%	0.48%	0.30%	0.18%	0.18%	0.43%	0.0%	0.0%	0.07%	0.0%	0.21%	0.0%	0.0%	0.19%	0.0%	0.48%	0.14%	0.16%	0.25%	0.31%	0.40%	0.0%	0.08%	0.0%	0.42%	0.49%	0.0%	0.88%	0.07%	0.0%	0.25%	0.44%	0.68%	0.0%	0.0%	0.0%	0.65%	0.40%	0.0%	0.0%	0.0%	0.32%	0.37%	0.10%	0.11%	0.13%	0.12%	0.14%	0.0%	0.09%	0.06%	0.11%	0.18%					
26	"9. ""Российская экологическая партия ""Зеленые"""	106	1	0	6	2	2	3	2	3	3	0	0	0	0	0	0	1	9	5	2	4	2	5	8	1	1	0	1	5	3	2	0	0	1	4	1	0	2	2	4	0	2	1	0	0	2	4	0	1	0	0	1	0	2	0	2	1	0	0	1	3	1					
		0.24%	0.60%	0.0%	0.40%	0.14%	0.14%	1.06%	1.68%	0.35%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.71%	0.62%	0.21%	0.52%	0.22%	0.49%	0.81%	0.12%	0.14%	0.0%	0.12%	0.38%	0.30%	0.20%	0.0%	0.0%	0.10%	0.49%	0.37%	0.0%	0.14%	0.18%	0.33%	0.0%	0.68%	1.05%	0.0%	0.0%	0.32%	0.23%	0.0%	0.27%	0.0%	0.0%	0.12%	0.0%	0.22%	0.0%	0.25%	0.14%	0.0%	0.0%	0.06%	0.34%	0.18%					
27	"10. ""Аграрная партия России"""	1405	15	10	92	38	24	6	3	30	13	4	7	12	6	7	0	36	42	19	10	22	43	22	16	23	21	11	22	49	28	22	23	8	19	55	10	5	40	30	54	20	17	2	9	8	16	66	21	31	0	34	37	30	30	12	46	13	4	16	54	34	8					
		3.29%	9.03%	5.07%	6.21%	2.68%	1.73%	2.12%	2.52%	3.53%	2.80%	1.93%	2.10%	2.25%	1.10%	3.07%	0.0%	18.84%	3.32%	2.38%	1.07%	2.91%	4.73%	2.16%	1.63%	2.78%	3.11%	1.86%	2.82%	3.79%	2.80%	2.29%	2.05%	1.72%	2.04%	6.80%	3.77%	2.22%	2.95%	2.77%	4.54%	8.81%	5.84%	2.10%	4.36%	4.23%	2.62%	3.82%	7.92%	8.61%	0.0%	5.57%	4.64%	3.18%	3.41%	1.63%	5.83%	1.83%	2.12%	1.49%	3.50%	3.89%	1.50%					
28	"11. ""Истинные патриоты России"""	28	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	2	0	0	2	0	0	2	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	4	2	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0					
		0.06%	0.0%	0.0%	0.06%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.21%	0.0%	0.0%	0.19%	0.0%	0.0%	0.29%	0.16%	0.0%	0.07%	0.0%	0.10%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	1.37%	2.10%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.11%	0.0%	0.12%	0.0%	0.0%	0.09%	0.06%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	506	1	4	16	13	16	8	3	10	4	1	2	4	5	5	1	2	10	10	7	14	21	19	26	8	10	29	14	20	14	21	13	9	10	7	1	0	7	7	5	1	7	1	1	1	4	24	2	3	0	5	3	6	6	9	12	2	0	8	11	8	15					
		1.18%	0.60%	2.03%	1.08%	0.92%	1.15%	2.83%	2.52%	1.17%	0.86%	0.48%	0.60%	0.75%	0.91%	2.19%	0.27%	1.04%	0.79%	1.25%	0.75%	1.85%	2.31%	1.87%	2.66%	0.96%	1.48%	4.91%	1.79%	1.55%	1.40%	2.19%	1.16%	1.93%	1.07%	0.86%	0.37%	0.0%	0.51%	0.64%	0.42%	0.44%	2.40%	1.05%	0.48%	0.52%	0.65%	1.39%	0.75%	0.83%	0.0%	0.81%	0.37%	0.63%	0.68%	1.22%	1.52%	0.28%	0.0%	0.74%	0.71%	0.91%	2.81%					
30	"13. ""Демократическая партия России"""	77	0	0	1	4	2	0	0	0	0	1	0	0	1	2	0	0	3	4	1	1	1	3	3	5	3	0	0	2	1	0	2	0	5	1	0	2	1	3	1	0	3	0	0	0	1	3	0	0	0	0	0	3	1	1	0	0	1	5	1	4	1					
		0.18%	0.0%	0.0%	0.06%	0.28%	0.14%	0.0%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	0.18%	0.87%	0.0%	0.0%	0.23%	0.50%	0.10%	0.13%	0.11%	0.29%	0.30%	0.60%	0.44%	0.0%	0.0%	0.15%	0.10%	0.0%	0.17%	0.0%	0.53%	0.12%	0.0%	0.88%	0.07%	0.27%	0.08%	0.0%	1.03%	0.0%	0.0%	0.0%	0.16%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.11%	0.13%	0.0%	0.0%	0.53%	0.46%	0.06%	0.45%	0.18%					
31	"14. ""Великая Россия - Евразийский Союз"""	50	0	1	4	1	1	0	0	1	1	0	3	0	0	1	0	0	3	1	0	0	0	1	0	0	3	0	0	0	2	1	0	0	3	0	0	0	2	1	1	0	1	1	0	2	2	2	1	0	0	1	0	1	4	1	0	3	0	0	0	0	0					
		0.11%	0.0%	0.50%	0.27%	0.07%	0.07%	0.0%	0.0%	0.11%	0.21%	0.0%	0.90%	0.0%	0.0%	0.43%	0.0%	0.0%	0.23%	0.12%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.20%	0.10%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.14%	0.09%	0.08%	0.0%	0.34%	1.05%	0.0%	1.05%	0.32%	0.11%	0.37%	0.0%	0.0%	0.16%	0.0%	0.10%	0.45%	0.13%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	41	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	1	0	0	1	0	1	1	0	4	0	0	0	1	2	0	0	0	0	0	0	0	13	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1					
		0.09%	0.0%	0.0%	0.13%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	0.10%	0.0%	0.14%	0.0%	0.0%	0.07%	0.0%	0.10%	0.08%	0.0%	0.42%	0.0%	0.0%	0.0%	0.07%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.75%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.12%	0.0%	0.0%	0.09%	0.06%	0.11%	0.18%					
33	"16. ""Родина"" (народно-патриотический союз)"""	3212	15	10	112	91	87	10	5	60	20	8	8	20	27	13	9	7	129	78	96	72	96	72	83	68	61	45	72	106	69	116	102	42	99	53	7	13	83	65	97	14	16	1	10	15	16	104	11	15	3	74	82	87	80	89	47	30	6	63	112	41	70					
		7.53%	9.03%	5.07%	7.56%	6.44%	6.27%	3.54%	4.20%	7.06%	4.31%	3.86%	2.40%	3.75%	4.96%	5.70%	2.45%	3.66%	10.19%	9.78%	10.33%	9.53%	10.57%	7.08%	8.50%	8.23%	9.05%	7.62%	9.24%	8.21%	6.92%	12.12%	9.10%	9.05%	10.63%	6.55%	2.64%	5.77%	6.13%	6.00%	8.17%	6.16%	5.49%	1.05%	4.85%	7.93%	2.62%	6.02%	4.15%	4.16%	5.35%	12.13%	10.30%	9.22%	9.11%	12.12%	5.95%	4.23%	3.19%	5.89%	7.27%	4.69%	13.15%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	154	3	2	6	4	4	4	1	3	0	0	2	3	7	3	2	1	0	0	6	2	2	2	0	5	2	1	2	1	0	3	4	1	9	5	1	1	0	4	4	2	2	2	1	2	6	4	0	2	0	1	6	2	2	0	5	1	2	2	5	5	2					
		0.36%	1.80%	1.01%	0.40%	0.28%	0.28%	1.41%	0.84%	0.35%	0.0%	0.0%	0.60%	0.56%	1.28%	1.31%	0.54%	0.52%	0.0%	0.0%	0.64%	0.26%	0.22%	0.19%	0.0%	0.60%	0.29%	0.16%	0.25%	0.07%	0.0%	0.31%	0.35%	0.21%	0.96%	0.61%	0.37%	0.44%	0.0%	0.36%	0.33%	0.88%	0.68%	2.10%	0.48%	1.05%	0.98%	0.23%	0.0%	0.55%	0.0%	0.16%	0.75%	0.21%	0.22%	0.0%	0.63%	0.14%	1.06%	0.18%	0.32%	0.57%	0.37%					
35	"18. ""ЛДПР"""	5645	28	32	218	156	216	38	14	78	59	51	31	47	64	24	22	21	137	85	119	105	111	123	135	121	102	89	115	159	151	156	167	57	135	83	30	29	140	201	150	21	66	20	31	52	84	238	29	25	0	91	94	108	138	109	89	103	31	162	187	97	71					
		13.24%	16.86%	16.24%	14.72%	11.04%	15.57%	13.47%	11.76%	9.18%	12.74%	24.63%	9.33%	8.81%	11.76%	10.52%	6.01%	10.99%	10.83%	10.66%	12.80%	13.90%	12.22%	12.10%	13.83%	14.64%	15.13%	15.08%	14.76%	12.32%	15.14%	16.30%	14.91%	12.28%	14.50%	10.27%	11.32%	12.88%	10.35%	18.57%	12.63%	9.25%	22.68%	21.05%	15.04%	27.51%	13.77%	13.79%	10.94%	6.94%	0.0%	14.91%	11.80%	11.45%	15.71%	14.85%	11.28%	14.54%	16.48%	15.16%	12.15%	11.09%	13.34%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	521	1	3	18	13	10	7	2	11	2	5	4	3	8	2	3	5	8	8	19	9	11	17	18	11	6	6	15	14	10	10	13	5	17	7	6	2	15	15	12	0	7	4	4	0	8	24	6	2	0	3	13	5	11	7	10	14	1	9	21	8	13					
		1.22%	0.60%	1.52%	1.21%	0.92%	0.72%	2.48%	1.68%	1.29%	0.43%	2.41%	1.20%	0.56%	1.47%	0.87%	0.81%	2.61%	0.63%	1.00%	2.04%	1.19%	1.21%	1.67%	1.84%	1.33%	0.89%	1.01%	1.92%	1.08%	1.00%	1.04%	1.16%	1.07%	1.82%	0.86%	2.26%	0.88%	1.10%	1.38%	1.01%	0.0%	2.40%	4.21%	1.94%	0.0%	1.31%	1.39%	2.26%	0.55%	0.0%	0.49%	1.63%	0.53%	1.25%	0.95%	1.26%	1.97%	0.53%	0.84%	1.36%	0.91%	2.44%					
37	"20. ""Политическая партия ""Единая Россия"""	16911	58	38	542	492	439	109	61	403	168	37	185	379	289	91	304	49	418	238	319	261	281	410	335	254	245	204	289	495	377	298	413	190	317	343	120	107	657	411	484	84	116	25	101	55	295	704	109	151	41	188	265	307	267	307	331	354	71	554	797	483	196					
		39.66%	34.93%	19.28%	36.62%	34.81%	31.65%	38.65%	51.26%	47.46%	36.28%	17.87%	55.72%	71.10%	53.12%	39.91%	83.06%	25.65%	33.04%	29.86%	34.33%	34.56%	30.94%	40.35%	34.32%	30.75%	36.35%	34.57%	37.09%	38.37%	37.81%	31.13%	36.87%	40.94%	34.04%	42.45%	45.28%	47.55%	48.59%	37.98%	40.77%	37.00%	39.86%	26.31%	49.02%	29.10%	48.36%	40.81%	41.13%	41.94%	73.21%	30.81%	33.29%	32.55%	30.41%	41.82%	41.95%	50.0%	37.76%	51.87%	51.78%	55.26%	36.84%					
38	"21. ""Российская Конституционно-демократическая партия"""	89	0	1	1	3	3	1	2	0	1	1	4	1	1	0	0	2	0	1	3	1	2	5	2	0	1	0	0	3	0	5	0	0	2	2	1	0	3	2	0	0	1	0	2	0	1	2	0	3	0	2	1	1	0	1	8	0	0	2	10	1	0					
		0.20%	0.0%	0.50%	0.06%	0.21%	0.21%	0.35%	1.68%	0.0%	0.21%	0.48%	1.20%	0.18%	0.18%	0.0%	0.0%	1.04%	0.0%	0.12%	0.32%	0.13%	0.22%	0.49%	0.20%	0.0%	0.14%	0.0%	0.0%	0.23%	0.0%	0.52%	0.0%	0.0%	0.21%	0.24%	0.37%	0.0%	0.22%	0.18%	0.0%	0.0%	0.34%	0.0%	0.97%	0.0%	0.16%	0.11%	0.0%	0.83%	0.0%	0.32%	0.12%	0.10%	0.0%	0.13%	1.01%	0.0%	0.0%	0.18%	0.64%	0.11%	0.0%					
39	"22. ""Развитие предпринимательства"""	89	0	1	3	0	3	1	0	3	2	1	1	0	0	0	2	0	2	1	3	1	3	4	5	3	0	0	1	5	2	5	4	1	1	0	2	1	0	0	2	0	0	0	0	0	2	3	3	0	0	7	0	1	0	2	2	0	0	0	4	0	2					
