Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																										
Дата голосования: 07.12.2003 0:00:00																																																										
																																																										
Наименование Избирательной комиссии:    Чистопольская городская																																																										
																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																										
																																																										
		Сумма	УИК  2804	УИК  2805	УИК  2806	УИК  2807	УИК  2808	УИК  2809	УИК  2810	УИК  2811	УИК  2812	УИК  2813	УИК  2814	УИК  2815	УИК  2816	УИК  2817	УИК  2818	УИК  2819	УИК  2820	УИК  2821	УИК  2822	УИК  2823	УИК  2824	УИК  2825	УИК  2826	УИК  2827	УИК  2828	УИК  2829	УИК  2830	УИК  2831	УИК  2832	УИК  2833	УИК  2834	УИК  2835	УИК  2836	УИК  2837	УИК  2838	УИК  2839	УИК  2840	УИК  2841	УИК  2842	УИК  2843	УИК  2844	УИК  2845	УИК  2846	УИК  2847	УИК  2848	УИК  2849	УИК  2850	УИК  2851	УИК  2852	УИК  2853	УИК  2854					
23	"6. ""Объединенная Российская партия ""Русь"""	55	1	3	0	0	1	0	0	1	2	0	1	3	0	0	0	0	0	4	2	2	0	3	0	1	0	3	6	1	0	0	1	0	0	4	2	0	0	0	0	2	0	1	1	1	3	0	1	0	3	1	1					
		0.16%	0.13%	0.34%	0.0%	0.0%	0.09%	0.0%	0.0%	0.14%	0.20%	0.0%	0.13%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.25%	0.32%	0.0%	0.43%	0.0%	0.12%	0.0%	0.41%	0.91%	0.14%	0.0%	0.0%	0.15%	0.0%	0.0%	0.51%	0.28%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.15%	0.13%	0.11%	0.34%	0.0%	0.69%	0.0%	0.40%	0.24%	0.22%					
24	"7. ""Новый курс - Автомобильная Россия"""	213	1	7	0	11	5	3	0	7	6	6	7	5	0	5	0	2	8	8	7	2	6	1	2	3	5	3	4	6	2	3	3	2	6	7	4	2	4	0	6	6	0	2	0	14	10	6	1	4	7	3	1					
		0.63%	0.13%	0.79%	0.0%	1.52%	0.49%	0.64%	0.0%	1.03%	0.61%	0.75%	0.96%	0.73%	0.0%	1.29%	0.0%	0.30%	0.92%	1.09%	0.90%	0.32%	0.76%	0.14%	0.25%	0.37%	0.76%	0.41%	0.60%	0.86%	0.34%	0.50%	0.47%	0.28%	1.07%	0.89%	0.56%	0.24%	0.54%	0.0%	0.66%	0.77%	0.0%	0.30%	0.0%	1.54%	1.14%	0.89%	0.69%	0.63%	0.95%	0.74%	0.22%					
25	"8. ""Народно-республиканская партия России"""	57	1	4	0	0	1	2	1	2	1	1	1	0	0	0	0	5	0	1	1	2	0	1	0	0	0	2	8	1	2	0	1	2	0	1	1	0	0	0	1	2	1	0	3	0	0	4	0	2	0	0	2					
		0.17%	0.13%	0.45%	0.0%	0.0%	0.09%	0.42%	1.85%	0.29%	0.10%	0.12%	0.13%	0.0%	0.0%	0.0%	0.0%	0.76%	0.0%	0.13%	0.12%	0.32%	0.0%	0.14%	0.0%	0.0%	0.0%	0.27%	1.21%	0.14%	0.34%	0.0%	0.15%	0.28%	0.0%	0.12%	0.14%	0.0%	0.0%	0.0%	0.11%	0.25%	0.19%	0.0%	0.39%	0.0%	0.0%	0.59%	0.0%	0.31%	0.0%	0.0%	0.44%					
26	"9. ""Российская экологическая партия ""Зеленые"""	61	3	3	0	2	2	0	0	1	4	1	1	1	0	2	1	1	2	0	4	1	0	1	3	0	0	0	3	0	0	1	1	0	0	3	1	4	2	0	1	2	1	2	1	2	1	1	0	1	0	0	1					
		0.18%	0.40%	0.34%	0.0%	0.27%	0.19%	0.0%	0.0%	0.14%	0.40%	0.12%	0.13%	0.14%	0.0%	0.51%	0.66%	0.15%	0.23%	0.0%	0.51%	0.16%	0.0%	0.14%	0.38%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.16%	0.15%	0.0%	0.0%	0.38%	0.14%	0.49%	0.27%	0.0%	0.11%	0.25%	0.19%	0.30%	0.13%	0.22%	0.11%	0.14%	0.0%	0.15%	0.0%	0.0%	0.22%					
27	"10. ""Аграрная партия России"""	436	8	12	9	10	12	7	0	4	7	18	7	10	0	4	1	9	10	16	6	10	7	5	7	12	10	6	12	8	7	5	7	4	20	16	12	8	11	0	8	7	1	9	24	16	6	4	1	8	11	12	12					
		1.30%	1.07%	1.36%	0.80%	1.38%	1.19%	1.50%	0.0%	0.59%	0.71%	2.25%	0.96%	1.46%	0.0%	1.03%	0.66%	1.38%	1.16%	2.18%	0.77%	1.61%	0.89%	0.72%	0.89%	1.50%	1.53%	0.83%	1.82%	1.14%	1.20%	0.83%	1.10%	0.57%	3.59%	2.05%	1.70%	0.99%	1.49%	0.0%	0.88%	0.90%	0.19%	1.37%	3.16%	1.76%	0.68%	0.59%	0.69%	1.26%	1.49%	2.97%	2.67%					
28	"11. ""Истинные патриоты России"""	100	2	1	0	0	2	0	0	0	0	3	1	4	0	1	1	3	5	2	4	1	0	0	8	6	4	7	2	5	0	4	5	2	2	4	1	3	2	0	2	3	0	1	2	1	1	2	1	0	0	2	0					
		0.29%	0.26%	0.11%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.37%	0.13%	0.58%	0.0%	0.25%	0.66%	0.46%	0.58%	0.27%	0.51%	0.16%	0.0%	0.0%	1.02%	0.75%	0.61%	0.97%	0.30%	0.71%	0.0%	0.67%	0.78%	0.28%	0.35%	0.51%	0.14%	0.37%	0.27%	0.0%	0.22%	0.38%	0.0%	0.15%	0.26%	0.11%	0.11%	0.29%	0.69%	0.0%	0.0%	0.49%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	257	7	7	9	4	8	5	0	4	8	9	2	6	0	6	0	6	6	4	2	5	3	5	9	2	7	3	5	4	4	7	5	9	8	8	8	0	1	0	7	9	4	3	6	4	4	5	1	6	13	1	8					
		0.76%	0.94%	0.79%	0.80%	0.55%	0.79%	1.07%	0.0%	0.59%	0.81%	1.12%	0.27%	0.87%	0.0%	1.55%	0.0%	0.92%	0.69%	0.54%	0.25%	0.80%	0.38%	0.72%	1.14%	0.25%	1.07%	0.41%	0.75%	0.57%	0.68%	1.17%	0.78%	1.28%	1.43%	1.02%	1.13%	0.0%	0.13%	0.0%	0.77%	1.16%	0.77%	0.45%	0.79%	0.44%	0.45%	0.74%	0.69%	0.94%	1.76%	0.24%	1.78%					
30	"13. ""Демократическая партия России"""	73	14	4	4	2	0	0	0	0	0	1	1	3	0	0	0	3	0	3	1	2	2	0	4	0	1	0	1	2	0	1	1	1	0	2	1	0	1	0	2	2	1	0	1	1	1	2	0	5	0	0	3					
		0.21%	1.88%	0.45%	0.35%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.13%	0.43%	0.0%	0.0%	0.0%	0.46%	0.0%	0.41%	0.12%	0.32%	0.25%	0.0%	0.51%	0.0%	0.15%	0.0%	0.15%	0.28%	0.0%	0.16%	0.15%	0.14%	0.0%	0.25%	0.14%	0.0%	0.13%	0.0%	0.22%	0.25%	0.19%	0.0%	0.13%	0.11%	0.11%	0.29%	0.0%	0.78%	0.0%	0.0%	0.66%					
31	"14. ""Великая Россия - Евразийский Союз"""	146	0	2	5	2	7	1	0	5	11	1	2	2	0	2	0	4	7	6	10	1	0	7	0	1	0	5	4	4	5	5	3	4	0	3	4	3	0	0	2	2	4	2	0	6	5	3	1	0	1	3	1					
		0.43%	0.0%	0.22%	0.44%	0.27%	0.69%	0.21%	0.0%	0.73%	1.12%	0.12%	0.27%	0.29%	0.0%	0.51%	0.0%	0.61%	0.81%	0.82%	1.28%	0.16%	0.0%	1.01%	0.0%	0.12%	0.0%	0.69%	0.60%	0.57%	0.85%	0.83%	0.47%	0.57%	0.0%	0.38%	0.56%	0.37%	0.0%	0.0%	0.22%	0.25%	0.77%	0.30%	0.0%	0.66%	0.57%	0.44%	0.69%	0.0%	0.13%	0.74%	0.22%					
32	"15. ""Партия СЛОН"""	62	0	0	0	1	1	1	0	0	2	3	4	0	0	1	0	1	0	2	2	4	1	2	2	1	0	0	0	3	2	2	0	0	1	4	2	2	1	0	0	4	0	1	2	2	1	1	0	3	1	1	1					
		0.18%	0.0%	0.0%	0.0%	0.13%	0.09%	0.21%	0.0%	0.0%	0.20%	0.37%	0.54%	0.0%	0.0%	0.25%	0.0%	0.15%	0.0%	0.27%	0.25%	0.64%	0.12%	0.28%	0.25%	0.12%	0.0%	0.0%	0.0%	0.43%	0.34%	0.33%	0.0%	0.0%	0.17%	0.51%	0.28%	0.24%	0.13%	0.0%	0.0%	0.51%	0.0%	0.15%	0.26%	0.22%	0.11%	0.14%	0.0%	0.47%	0.13%	0.24%	0.22%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1780	35	49	53	38	85	18	2	29	36	48	48	35	1	22	1	52	39	38	18	30	28	16	2	33	30	38	35	33	32	29	22	27	19	48	40	51	49	0	53	63	44	64	54	54	67	53	6	32	47	23	11					
		5.33%	4.70%	5.55%	4.75%	5.27%	8.45%	3.86%	3.70%	4.28%	3.66%	6.02%	6.59%	5.12%	2.22%	5.69%	0.66%	7.98%	4.52%	5.19%	2.31%	4.83%	3.57%	2.31%	0.25%	4.14%	4.60%	5.27%	5.31%	4.74%	5.49%	4.85%	3.47%	3.86%	3.41%	6.16%	5.67%	6.32%	6.65%	0.0%	5.85%	8.16%	8.57%	9.75%	7.12%	5.97%	7.64%	7.91%	4.16%	5.04%	6.39%	5.70%	2.45%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	103	6	4	0	2	3	3	0	2	2	1	1	3	1	2	0	0	2	1	1	2	0	1	5	2	2	1	3	1	1	4	2	1	3	5	4	2	1	0	0	3	4	2	4	4	3	1	0	4	0	0	4					
		0.30%	0.80%	0.45%	0.0%	0.27%	0.29%	0.64%	0.0%	0.29%	0.20%	0.12%	0.13%	0.43%	2.22%	0.51%	0.0%	0.0%	0.23%	0.13%	0.12%	0.32%	0.0%	0.14%	0.63%	0.25%	0.30%	0.13%	0.45%	0.14%	0.17%	0.67%	0.31%	0.14%	0.53%	0.64%	0.56%	0.24%	0.13%	0.0%	0.0%	0.38%	0.77%	0.30%	0.52%	0.44%	0.34%	0.14%	0.0%	0.63%	0.0%	0.0%	0.89%					
35	"18. ""ЛДПР"""	2974	43	66	77	71	48	45	1	66	53	70	70	75	0	56	3	60	104	59	59	60	52	58	60	77	48	55	54	47	67	52	44	73	31	83	91	50	81	0	83	92	68	74	56	106	98	66	6	62	76	31	47					
		8.90%	5.77%	7.48%	6.91%	9.84%	4.77%	9.65%	1.85%	9.74%	5.39%	8.78%	9.61%	10.98%	0.0%	14.50%	1.98%	9.21%	12.07%	8.07%	7.60%	9.67%	6.63%	8.40%	7.65%	9.67%	7.37%	7.62%	8.19%	6.75%	11.51%	8.71%	6.94%	10.45%	5.57%	10.65%	12.90%	6.20%	11.00%	0.0%	9.17%	11.91%	13.25%	11.28%	7.38%	11.72%	11.18%	9.85%	4.16%	9.77%	10.34%	7.69%	10.49%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1051	20	43	29	27	31	17	0	16	18	13	21	13	0	14	1	23	24	22	24	16	25	22	31	19	27	20	16	45	23	23	13	19	16	18	30	17	20	2	29	19	13	26	34	54	37	18	0	12	18	30	3					
		3.14%	2.68%	4.87%	2.60%	3.74%	3.08%	3.64%	0.0%	2.36%	1.83%	1.63%	2.88%	1.90%	0.0%	3.62%	0.66%	3.53%	2.78%	3.00%	3.09%	2.58%	3.18%	3.18%	3.95%	2.38%	4.14%	2.77%	2.42%	6.46%	3.95%	3.85%	2.05%	2.72%	2.87%	2.31%	4.25%	2.10%	2.71%	13.33%	3.20%	2.46%	2.53%	3.96%	4.48%	5.97%	4.22%	2.68%	0.0%	1.89%	2.44%	7.44%	0.66%					
37	"20. ""Политическая партия ""Единая Россия"""	16449	380	404	712	320	572	227	40	381	649	384	385	299	37	165	136	285	414	327	390	315	401	383	425	405	279	337	375	315	307	286	339	327	272	297	301	453	339	7	407	315	261	313	359	390	329	289	94	321	303	204	194					
		49.27%	51.07%	45.80%	63.91%	44.38%	56.91%	48.71%	74.07%	56.27%	66.08%	48.18%	52.88%	43.77%	82.22%	42.74%	90.06%	43.77%	48.08%	44.73%	50.25%	50.80%	51.14%	55.50%	54.20%	50.87%	42.85%	46.74%	56.90%	45.25%	52.74%	47.90%	53.47%	46.84%	48.92%	38.12%	42.69%	56.20%	46.05%	46.66%	44.97%	40.80%	50.87%	47.71%	47.36%	43.14%	37.55%	43.13%	65.27%	50.63%	41.22%	50.62%	43.30%					
38	"21. ""Российская Конституционно-демократическая партия"""	101	0	3	0	2	4	1	0	1	0	0	2	3	2	0	0	2	2	3	7	0	11	1	5	2	1	1	1	0	1	2	2	0	9	5	3	0	1	0	4	1	4	0	1	2	0	1	9	2	0	0	0					
		0.30%	0.0%	0.34%	0.0%	0.27%	0.39%	0.21%	0.0%	0.14%	0.0%	0.0%	0.27%	0.43%	4.44%	0.0%	0.0%	0.30%	0.23%	0.41%	0.90%	0.0%	1.40%	0.14%	0.63%	0.25%	0.15%	0.13%	0.15%	0.0%	0.17%	0.33%	0.31%	0.0%	1.61%	0.64%	0.42%	0.0%	0.13%	0.0%	0.44%	0.12%	0.77%	0.0%	0.13%	0.22%	0.0%	0.14%	6.25%	0.31%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	109	2	5	0	1	5	1	0	3	2	1	3	2	0	1	1	2	2	2	0	3	2	5	0	1	5	3	2	1	1	4	0	2	5	1	4	3	2	0	5	2	1	1	1	3	7	1	0	0	5	3	3					
		0.32%	0.26%	0.56%	0.0%	0.13%	0.49%	0.21%	0.0%	0.44%	0.20%	0.12%	0.41%	0.29%	0.0%	0.25%	0.66%	0.30%	0.23%	0.27%	0.0%	0.48%	0.25%	0.72%	0.0%	0.12%	0.76%	0.41%	0.30%	0.14%	0.17%	0.67%	0.0%	0.28%	0.89%	0.12%	0.56%	0.37%	0.27%	0.0%	0.55%	0.25%	0.19%	0.15%	0.13%	0.33%	0.79%	0.14%	0.0%	0.0%	0.68%	0.74%	0.66%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	4426	92	130	104	93	51	47	5	78	105	100	91	65	1	48	2	110	125	126	146	80	134	100	133	130	101	113	82	108	48	60	92	123	80	136	73	118	84	5	149	100	56	72	102	98	127	84	7	92	123	40	57					
		13.25%	12.36%	14.73%	9.33%	12.89%	5.07%	10.08%	9.25%	11.52%	10.69%	12.54%	12.5%	9.51%	2.22%	12.43%	1.32%	16.89%	14.51%	17.23%	18.81%	12.90%	17.09%	14.49%	16.96%	16.33%	15.51%	15.67%	12.44%	15.51%	8.24%	10.05%	14.51%	17.62%	14.38%	17.45%	10.35%	14.64%	11.41%	33.33%	16.46%	12.95%	10.91%	10.97%	13.45%	10.84%	14.49%	12.53%	4.86%	14.51%	16.73%	9.92%	12.72%					
																																																										
41	Против всех	1406	48	27	46	41	48	34	2	8	11	50	5	54	1	16	2	28	36	47	22	23	43	20	9	19	39	39	3	32	16	37	31	43	38	51	52	29	51	0	43	38	0	0	3	59	65	44	5	7	3	3	35					
		4.21%	6.45%	3.06%	4.12%	5.68%	4.77%	7.29%	3.70%	1.18%	1.12%	6.27%	0.68%	7.90%	2.22%	4.14%	1.32%	4.30%	4.18%	6.42%	2.83%	3.70%	5.48%	2.89%	1.14%	2.38%	5.99%	5.40%	0.45%	4.59%	2.74%	6.19%	4.88%	6.16%	6.83%	6.54%	7.37%	3.59%	6.92%	0.0%	4.75%	4.92%	0.0%	0.0%	0.39%	6.52%	7.42%	6.56%	3.47%	1.10%	0.40%	0.74%	7.81%					
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
